,Datetime,Open,Close,High,Low,Volume,Gain%,1_day,3_day,5_day,10_day,20_day,30_day,1,5,10,20,30
0,2022-08-17 00:46:40,2.5,2.2,2.5,2.2,3766309,-11.999999999999991,2.06,3.13,2.68,2.39,2.0,1.32,-6.363636363636369,21.818181818181813,8.636363636363633,-9.090909090909099,-40.0
1,2022-08-18 00:46:40,2.3,2.06,2.43,2.05,1755495,-10.434782608695643,2.5,2.86,2.43,2.39,1.97,1.34,21.35922330097087,17.961165048543695,16.019417475728158,-4.368932038834955,-34.95145631067961
2,2022-08-19 00:46:40,2.2,2.5,2.5,2.05,8626507,13.636363636363628,3.13,2.68,2.24,2.33,1.89,1.455,25.199999999999996,-10.399999999999991,-6.799999999999998,-24.400000000000006,-41.8
3,2022-08-22 00:46:40,3.0,3.13,4.5,2.99,97787716,4.33333333333333,2.86,2.43,2.37,2.05,1.82,1.43,-8.626198083067093,-24.281150159744403,-34.50479233226837,-41.853035143769965,-54.31309904153354
4,2022-08-23 00:46:40,3.16,2.86,3.21,2.63,4693245,-9.493670886075956,2.68,2.24,2.29,1.88,1.8,1.38,-6.293706293706284,-19.930069930069923,-34.26573426573427,-37.06293706293706,-51.74825174825175
5,2022-08-24 00:46:40,2.82,2.68,2.85,2.52,1659526,-4.964539007092188,2.43,2.37,2.39,1.9,1.57,1.3658,-9.328358208955223,-10.82089552238806,-29.104477611940304,-41.417910447761194,-49.03731343283583
6,2022-08-25 00:46:40,2.69,2.43,2.69,2.35,1080586,-9.665427509293671,2.24,2.29,2.39,2.06,1.41,1.36,-7.818930041152261,-1.646090534979425,-15.226337448559674,-41.97530864197532,-44.03292181069959
7,2022-08-26 00:46:40,2.63,2.24,2.63,2.16,1131279,-14.82889733840303,2.37,2.39,2.33,2.09,1.42,1.3865,5.8035714285714235,4.017857142857136,-6.696428571428586,-36.60714285714287,-38.10267857142857
8,2022-08-29 00:46:40,2.26,2.37,2.63,2.2,768570,4.867256637168156,2.29,2.39,2.05,2.01,1.36,1.3,-3.3755274261603407,-13.502109704641363,-15.18987341772153,-42.61603375527426,-45.14767932489451
9,2022-08-30 00:46:40,2.43,2.29,2.435,2.23,377125,-5.761316872427988,2.39,2.33,1.88,1.97,1.31,1.33,4.36681222707424,-17.903930131004373,-13.973799126637557,-42.79475982532751,-41.92139737991266
10,2022-08-31 00:46:40,2.29,2.39,2.5,2.13,863039,4.36681222707424,2.39,2.05,1.9,2.0,1.32,1.29,0.0,-20.502092050209214,-16.317991631799167,-44.76987447698745,-46.02510460251047
11,2022-09-01 00:46:40,2.37,2.39,2.39,2.19,346163,0.8438818565400852,2.33,1.88,2.06,1.97,1.34,1.23,-2.510460251046027,-13.80753138075314,-17.57322175732218,-43.93305439330544,-48.53556485355649
12,2022-09-02 00:46:40,2.31,2.33,2.47,2.25,711484,0.8658008658008665,2.05,1.9,2.09,1.89,1.455,1.18,-12.017167381974259,-10.300429184549365,-18.88412017167383,-37.553648068669524,-49.35622317596567
13,2022-09-06 00:46:40,2.33,2.05,2.33,1.97,624886,-12.01716738197426,1.88,2.06,2.01,1.82,1.43,1.23,-8.292682926829267,-1.9512195121951237,-11.21951219512194,-30.24390243902439,-40.0
14,2022-09-07 00:46:40,2.02,1.88,2.09,1.8,428360,-6.930693069306937,1.9,2.09,1.97,1.8,1.38,1.19,1.0638297872340436,4.787234042553196,-4.255319148936162,-26.595744680851062,-36.702127659574465
15,2022-09-08 00:46:40,1.91,1.9,1.95,1.6,873624,-0.5235602094240842,2.06,2.01,2.0,1.57,1.3658,1.16,8.421052631578956,5.263157894736848,-17.36842105263157,-28.11578947368421,-38.94736842105263
16,2022-09-09 00:46:40,1.9,2.06,2.09,1.8,328729,8.421052631578956,2.09,1.97,1.97,1.41,1.36,1.16,1.456310679611641,-4.368932038834955,-31.553398058252434,-33.98058252427184,-43.689320388349515
17,2022-09-12 00:46:40,2.04,2.09,2.18,1.93,351641,2.450980392156854,2.01,2.0,1.89,1.42,1.3865,1.04,-3.827751196172252,-9.56937799043062,-32.057416267942585,-33.66028708133971,-50.23923444976076
18,2022-09-13 00:46:40,2.09,2.01,2.17,1.9801,425983,-3.827751196172252,1.97,1.97,1.82,1.36,1.3,1.0961,-1.990049751243772,-9.452736318407947,-32.33830845771143,-35.3233830845771,-45.467661691542276
19,2022-09-14 00:46:40,2.06,1.97,2.09,1.95,152826,-4.368932038834955,2.0,1.89,1.8,1.31,1.33,1.06,1.52284263959391,-8.629441624365478,-33.502538071065985,-32.48730964467005,-46.192893401015226
20,2022-09-15 00:46:40,1.86,2.0,2.11,1.86,324092,7.526881720430103,1.97,1.82,1.57,1.32,1.29,1.04,-1.5000000000000013,-21.499999999999996,-34.0,-35.5,-48.0
21,2022-09-16 00:46:40,2.04,1.97,2.04,1.87,193766,-3.4313725490196108,1.89,1.8,1.41,1.34,1.23,1.01,-4.0609137055837605,-28.426395939086298,-31.979695431472077,-37.56345177664975,-48.73096446700507
22,2022-09-19 00:46:40,1.95,1.89,1.98,1.8,404960,-3.07692307692308,1.82,1.57,1.42,1.455,1.18,1.02,-3.7037037037036953,-24.867724867724867,-23.01587301587301,-37.56613756613756,-46.03174603174603
23,2022-09-20 00:46:40,1.88,1.82,1.88,1.78,252223,-3.191489361702119,1.8,1.41,1.36,1.43,1.23,1.05,-1.0989010989010999,-25.274725274725274,-21.428571428571434,-32.417582417582416,-42.30769230769231
24,2022-09-21 00:46:40,1.79,1.8,1.8792,1.67,188527,0.5586592178770954,1.57,1.42,1.31,1.38,1.19,1.1,-12.777777777777777,-27.22222222222222,-23.333333333333343,-33.88888888888889,-38.888888888888886
25,2022-09-22 00:46:40,1.7108,1.57,1.72,1.41,486108,-8.230067804535892,1.41,1.36,1.32,1.3658,1.16,1.05,-10.191082802547779,-15.92356687898089,-13.006369426751602,-26.114649681528668,-33.12101910828025
26,2022-09-23 00:46:40,1.51,1.41,1.5851,1.4,159606,-6.622516556291397,1.42,1.31,1.34,1.36,1.16,1.1,0.7092198581560291,-4.9645390070921875,-3.5460992907801296,-17.73049645390071,-21.98581560283687
27,2022-09-26 00:46:40,1.4,1.42,1.42,1.3647,106134,1.42857142857143,1.36,1.32,1.455,1.3865,1.04,1.17,-4.2253521126760445,2.4647887323943762,-2.359154929577455,-26.76056338028168,-17.605633802816904
28,2022-09-27 00:46:40,1.42,1.36,1.4201,1.29,174711,-4.2253521126760445,1.31,1.34,1.43,1.3,1.0961,1.12,-3.676470588235297,5.1470588235294,-4.411764705882357,-19.404411764705884,-17.64705882352941
29,2022-09-28 00:46:40,1.32,1.31,1.37,1.25,53386,-0.7575757575757582,1.32,1.455,1.38,1.33,1.06,1.05,0.7633587786259549,5.3435114503816665,1.5267175572519098,-19.083969465648853,-19.84732824427481
30,2022-09-29 00:46:40,1.34,1.32,1.34,1.28,60912,-1.492537313432837,1.34,1.43,1.3658,1.29,1.04,1.02,1.5151515151515165,3.4696969696969573,-2.2727272727272747,-21.21212121212121,-22.72727272727273
31,2022-09-30 00:46:40,1.35,1.34,1.39,1.3212,63651,-0.7407407407407414,1.455,1.38,1.36,1.23,1.01,1.1,8.582089552238804,1.492537313432837,-8.208955223880604,-24.626865671641795,-17.91044776119403
32,2022-10-03 00:46:40,1.4,1.455,1.48,1.34,94087,3.92857142857144,1.43,1.3658,1.3865,1.18,1.02,1.04,-1.7182130584192532,-4.707903780068729,-18.90034364261169,-29.89690721649485,-28.52233676975945
33,2022-10-04 00:46:40,1.46,1.43,1.52,1.41,83666,-2.054794520547947,1.38,1.36,1.3,1.23,1.05,1.38,-3.4965034965034993,-9.090909090909085,-13.986013986013985,-26.573426573426566,-3.4965034965034993
34,2022-10-05 00:46:40,1.4,1.38,1.43,1.35,54991,-1.42857142857143,1.3658,1.3865,1.33,1.19,1.1,1.32,-1.028985507246376,-3.623188405797089,-13.768115942028983,-20.289855072463755,-4.34782608695651
35,2022-10-06 00:46:40,1.35,1.3658,1.393,1.31,37557,1.1703703703703563,1.36,1.3,1.29,1.16,1.05,1.3,-0.4246595401962078,-5.549860887391995,-15.0680919607556,-23.12197979206325,-4.817689266364026
36,2022-10-07 00:46:40,1.45,1.36,1.45,1.3201,88092,-6.206896551724128,1.3865,1.33,1.23,1.16,1.1,1.25,1.9485294117647034,-9.558823529411772,-14.705882352941188,-19.11764705882353,-8.088235294117654
37,2022-10-10 00:46:40,1.32,1.3865,1.4238,1.247,215344,5.037878787878788,1.3,1.29,1.18,1.04,1.17,1.17,-6.238730616660657,-14.893617021276603,-24.990984493328526,-15.614857554994598,-15.614857554994598
38,2022-10-11 00:46:40,1.5,1.3,1.5,1.28,86895,-13.33333333333333,1.33,1.23,1.23,1.0961,1.12,1.12,2.3076923076923097,-5.3846153846153895,-15.684615384615382,-13.846153846153841,-13.846153846153841
39,2022-10-12 00:46:40,1.3,1.33,1.33,1.26,8070,2.3076923076923097,1.29,1.18,1.19,1.06,1.05,1.11,-3.0075187969924837,-10.526315789473694,-20.30075187969925,-21.05263157894737,-16.54135338345864
40,2022-10-13 00:46:40,1.28,1.29,1.351,1.28,27784,0.7812500000000007,1.23,1.23,1.16,1.04,1.02,1.14,-4.651162790697678,-10.07751937984497,-19.37984496124031,-20.930232558139537,-11.627906976744196
41,2022-10-14 00:46:40,1.27,1.23,1.2729,1.23,25582,-3.1496062992126013,1.18,1.19,1.16,1.01,1.1,1.09,-4.065040650406507,-5.691056910569111,-17.886178861788615,-10.569105691056901,-11.382113821138203
42,2022-10-17 00:46:40,1.23,1.18,1.24,1.17,27281,-4.065040650406507,1.23,1.16,1.04,1.02,1.04,1.14,4.237288135593224,-11.864406779661008,-13.5593220338983,-11.864406779661008,-3.3898305084745797
43,2022-10-18 00:46:40,1.18,1.23,1.23,1.155,40505,4.237288135593224,1.19,1.16,1.0961,1.05,1.38,1.26,-3.2520325203252063,-10.886178861788611,-14.634146341463412,12.195121951219505,2.4390243902439046
44,2022-10-19 00:46:40,1.17,1.19,1.27,1.17,61633,1.7094017094017109,1.16,1.04,1.06,1.1,1.32,1.28,-2.521008403361347,-10.924369747899151,-7.563025210084022,10.924369747899169,7.5630252100840405
45,2022-10-20 00:46:40,1.2364,1.16,1.24,1.15,10231,-6.1792300226463945,1.16,1.0961,1.04,1.05,1.3,1.2,0.0,-10.344827586206886,-9.482758620689644,12.068965517241391,3.448275862068969
46,2022-10-21 00:46:40,1.1501,1.16,1.2,1.15,10880,0.8607947135031755,1.04,1.06,1.01,1.1,1.25,1.08,-10.344827586206886,-12.931034482758614,-5.172413793103434,7.75862068965518,-6.896551724137918
47,2022-10-24 00:46:40,1.16,1.04,1.16,1.0,190830,-10.344827586206886,1.0961,1.04,1.02,1.17,1.17,1.27,5.394230769230773,-1.9230769230769247,12.49999999999999,12.49999999999999,22.115384615384613
48,2022-10-25 00:46:40,1.04,1.0961,1.11,1.04,17436,5.394230769230773,1.06,1.01,1.05,1.12,1.12,1.26,-3.2934951190584814,-4.205820636803214,2.180457987409911,2.180457987409911,14.953015235836139
49,2022-10-26 00:46:40,1.1481,1.06,1.15,1.02,66146,-7.673547600383229,1.04,1.02,1.1,1.05,1.11,1.19,-1.8867924528301903,3.7735849056603805,-0.9433962264150951,4.7169811320754755,12.264150943396215
50,2022-10-27 00:46:40,1.0973,1.04,1.0973,1.0,55213,-5.221908320422848,1.01,1.05,1.05,1.02,1.14,1.18,-2.8846153846153872,0.9615384615384623,-1.9230769230769247,9.615384615384603,13.461538461538453
51,2022-10-28 00:46:40,1.0,1.01,1.05,0.8,94514,1.0000000000000009,1.02,1.1,1.1,1.1,1.09,1.3,0.990099009900991,8.910891089108919,8.910891089108919,7.920792079207928,28.712871287128717
52,2022-10-31 00:46:40,0.9903,1.02,1.02,0.9371,16454,2.9990911844895547,1.05,1.05,1.17,1.04,1.14,1.29,2.9411764705882377,14.705882352941169,1.960784313725492,11.76470588235293,26.47058823529412
53,2022-11-01 00:46:40,0.93,1.05,1.05,0.9206,47624,12.903225806451612,1.1,1.1,1.12,1.38,1.26,1.21,4.761904761904765,6.666666666666672,31.428571428571413,19.999999999999996,15.238095238095232
54,2022-11-02 00:46:40,1.05,1.1,1.1463,1.05,55133,4.761904761904765,1.05,1.17,1.05,1.32,1.28,1.21,-4.545454545454549,-4.545454545454549,19.999999999999996,16.36363636363636,9.999999999999988
55,2022-11-03 00:46:40,1.09,1.05,1.1,1.02,13946,-3.6697247706422047,1.1,1.12,1.02,1.3,1.2,1.2,4.761904761904765,-2.8571428571428594,23.809523809523807,14.285714285714276,14.285714285714276
56,2022-11-04 00:46:40,1.06,1.1,1.1,1.03,29876,3.773584905660381,1.17,1.05,1.1,1.25,1.08,1.19,6.363636363636349,0.0,13.636363636363628,-1.8181818181818195,8.181818181818167
57,2022-11-07 00:46:40,1.13,1.17,1.2,1.11,28620,3.539823008849561,1.12,1.02,1.04,1.17,1.27,1.18,-4.273504273504258,-11.111111111111102,0.0,8.547008547008556,0.8547008547008554
58,2022-11-08 00:46:40,1.17,1.12,1.17,1.0633,14749,-4.273504273504258,1.05,1.1,1.38,1.12,1.26,1.13,-6.250000000000005,23.214285714285694,0.0,12.499999999999991,0.8928571428571237
59,2022-11-09 00:46:40,1.2,1.05,1.2,1.0,60051,-12.499999999999991,1.02,1.04,1.32,1.11,1.19,1.14,-2.8571428571428594,25.71428571428572,5.714285714285719,13.333333333333325,8.571428571428557
