,Datetime,Open,Close,High,Low,Volume,Gain%,1_day,3_day,5_day,10_day,20_day,30_day,1,5,10,20,30
0,2003-10-09 00:46:40,2.83,2.61,2.84,2.56,342400,-7.773851590106013,2.6,2.69,2.68,3.58,4.6,3.8,-0.38314176245209913,2.681992337164762,37.164750957854416,76.24521072796935,45.593869731800766
1,2003-10-10 00:46:40,2.61,2.6,2.69,2.55,325900,-0.3831417624520991,2.68,2.65,2.8,3.6,4.2,3.69,3.0769230769230793,7.692307692307682,38.46153846153846,61.53846153846154,41.92307692307692
2,2003-10-13 00:46:40,2.68,2.68,2.69,2.58,261900,0.0,2.69,2.68,3.02,3.67,4.57,3.75,0.373134328358201,12.686567164179099,36.94029850746268,70.52238805970148,39.92537313432835
3,2003-10-14 00:46:40,2.69,2.69,2.71,2.64,243300,0.0,2.65,2.8,3.11,3.55,4.7,4.0,-1.4869888475836444,15.61338289962825,31.970260223048324,74.72118959107807,48.698884758364315
4,2003-10-15 00:46:40,2.65,2.65,2.69,2.6,333800,0.0,2.68,3.02,3.28,3.75,4.7,4.15,1.1320754716981227,23.773584905660375,41.50943396226416,77.35849056603776,56.60377358490568
5,2003-10-16 00:46:40,2.66,2.68,2.68,2.61,193300,0.7518796992481209,2.8,3.11,3.58,3.82,4.65,4.16,4.477611940298495,33.582089552238806,42.5373134328358,73.50746268656717,55.22388059701492
6,2003-10-17 00:46:40,2.74,2.8,2.82,2.67,150100,2.189781021897796,3.02,3.28,3.6,4.2,4.04,4.17,7.857142857142866,28.57142857142858,50.000000000000014,44.28571428571429,48.92857142857144
7,2003-10-20 00:46:40,2.84,3.02,3.02,2.78,356200,6.33802816901409,3.11,3.58,3.67,4.4,4.25,4.15,2.980132450331121,21.523178807947016,45.695364238410605,40.72847682119205,37.417218543046374
8,2003-10-21 00:46:40,3.02,3.11,3.11,3.0,593300,2.980132450331121,3.28,3.6,3.55,4.65,4.37,4.15,5.466237942122184,14.14790996784566,49.51768488745982,40.514469453376215,33.44051446945339
9,2003-10-22 00:46:40,3.12,3.28,3.28,3.08,416900,5.128205128205118,3.58,3.67,3.75,5.23,4.15,3.86,9.146341463414643,14.329268292682935,59.45121951219514,26.524390243902456,17.682926829268297
10,2003-10-23 00:46:40,3.29,3.58,3.64,3.26,684500,8.814589665653497,3.6,3.55,3.82,4.6,3.8,3.95,0.5586592178770954,6.703910614525133,28.49162011173183,6.145251396648037,10.33519553072626
11,2003-10-24 00:46:40,3.64,3.6,3.92,3.6,748600,-1.0989010989011,3.67,3.75,4.2,4.2,3.69,4.24,1.94444444444444,16.666666666666668,16.666666666666668,2.499999999999996,17.777777777777782
12,2003-10-27 00:46:40,3.75,3.67,3.75,3.6,314600,-2.1333333333333355,3.55,3.82,4.4,4.57,3.75,4.0,-3.2697547683923736,19.891008174386933,24.52316076294279,2.1798365122615824,8.99182561307902
13,2003-10-28 00:46:40,3.67,3.55,3.67,3.45,247100,-3.2697547683923736,3.75,4.2,4.65,4.7,4.0,3.85,5.633802816901413,30.985915492957762,32.39436619718311,12.676056338028175,8.450704225352121
14,2003-10-29 00:46:40,3.52,3.75,3.75,3.52,189300,6.534090909090909,3.82,4.4,5.23,4.7,4.15,3.85,1.8666666666666623,39.466666666666676,25.333333333333336,10.666666666666675,2.6666666666666687
15,2003-10-30 00:46:40,3.84,3.82,3.88,3.68,194300,-0.5208333333333338,4.2,4.65,4.6,4.65,4.16,4.06,9.9476439790576,20.418848167539263,21.727748691099492,8.900523560209432,6.282722513088999
