,Datetime,Open,Close,High,Low,Volume,Gain%,1_day,3_day,5_day,10_day,20_day,30_day,1,5,10,20,30
0,2003-02-03 00:46:40,4.0,4.1,4.1,4.0,27600,2.499999999999991,4.0,4.0,4.0,4.05,4.1,4.3,-2.439024390243894,-2.439024390243894,-1.219512195121947,0.0,4.87804878048781
1,2003-02-04 00:46:40,4.15,4.0,4.3,4.0,6600,-3.614457831325309,4.0,4.0,4.05,4.15,4.1,4.3,0.0,1.2499999999999956,3.750000000000009,2.499999999999991,7.499999999999996
2,2003-02-05 00:46:40,3.95,4.0,4.0,3.95,2000,1.265822784810122,4.0,4.0,3.99,4.15,4.1,4.1,0.0,-0.24999999999999467,3.750000000000009,2.499999999999991,2.499999999999991
3,2003-02-07 00:46:40,3.99,4.0,4.0,3.99,2100,0.2506265664160347,4.0,4.05,4.0,4.12,4.09,4.17,0.0,0.0,3.0000000000000027,2.2499999999999964,4.249999999999998
4,2003-02-10 00:46:40,4.0,4.0,4.0,3.9,3500,0.0,4.0,3.99,4.0,4.15,4.09,4.2,0.0,0.0,3.750000000000009,2.2499999999999964,5.000000000000004
5,2003-02-11 00:46:40,3.9,4.0,4.12,3.8,10100,2.5641025641025665,4.05,4.0,4.05,4.18,4.17,4.25,1.2499999999999956,1.2499999999999956,4.499999999999993,4.249999999999998,6.25
6,2003-02-12 00:46:40,4.0,4.05,4.05,4.0,3800,1.2499999999999956,3.99,4.0,4.15,4.35,4.15,4.24,-1.4814814814814719,2.469135802469149,7.407407407407403,2.469135802469149,4.691358024691368
7,2003-02-13 00:46:40,4.0,3.99,4.0,3.91,3600,-0.2499999999999946,4.0,4.05,4.15,4.25,4.15,4.1,0.25062656641603476,4.010025062656645,6.5162907268170365,4.010025062656645,2.7568922305764265
8,2003-02-14 00:46:40,4.0,4.0,4.0,4.0,6800,0.0,4.0,4.15,4.12,4.29,4.25,4.22,0.0,3.0000000000000027,7.250000000000001,6.25,5.499999999999994
9,2003-02-18 00:46:40,4.0,4.0,4.0,4.0,900,0.0,4.05,4.15,4.15,4.24,4.26,4.2,1.2499999999999956,3.750000000000009,6.000000000000005,6.499999999999995,5.000000000000004
10,2003-02-19 00:46:40,4.05,4.05,4.05,4.05,100,0.0,4.15,4.12,4.18,4.1,4.3,4.1,2.469135802469149,3.209876543209874,1.2345679012345634,6.17283950617284,1.2345679012345634
11,2003-02-20 00:46:40,4.05,4.15,4.15,4.05,3300,2.469135802469149,4.15,4.15,4.35,4.1,4.3,4.11,0.0,4.819277108433717,-1.2048192771084507,3.614457831325288,-0.9638554216867478
12,2003-02-21 00:46:40,4.15,4.15,4.15,4.15,100,0.0,4.12,4.18,4.25,4.1,4.1,4.19,-0.7228915662650661,2.4096385542168584,-1.2048192771084507,-1.2048192771084507,0.9638554216867478
13,2003-02-25 00:46:40,4.12,4.12,4.12,4.12,3000,0.0,4.15,4.35,4.29,4.09,4.17,4.13,0.7281553398058312,4.126213592233007,-0.7281553398058312,1.2135922330097044,0.24271844660193656
14,2003-02-26 00:46:40,4.15,4.15,4.15,4.15,8900,0.0,4.18,4.25,4.24,4.09,4.2,4.12,0.7228915662650447,2.168674698795177,-1.4457831325301322,1.2048192771084292,-0.7228915662650661
15,2003-02-27 00:46:40,4.1,4.18,4.18,4.1,500,1.951219512195124,4.35,4.29,4.1,4.17,4.25,4.15,4.066985645933013,-1.913875598086126,-0.23923444976076047,1.6746411483253658,-0.7177033492822814
