,Datetime,Open,Close,High,Low,Volume,Gain%,1_day,3_day,5_day,10_day,20_day,30_day,1,5,10,20,30
0,2003-02-03 00:46:40,1.74,1.74,1.74,1.74,1500,0.0,1.74,2.0,1.73,2.15,1.6,1.55,0.0,-0.5747126436781614,23.563218390804593,-8.045977011494248,-10.919540229885055
1,2003-02-04 00:46:40,1.7,1.74,1.75,1.7,1700,2.35294117647059,1.87,1.85,1.76,2.02,1.6,1.55,7.471264367816098,1.1494252873563229,16.09195402298851,-8.045977011494248,-10.919540229885055
2,2003-02-07 00:46:40,1.87,1.87,1.87,1.87,100,0.0,2.0,1.73,1.56,1.9,1.57,1.58,6.951871657754005,-16.577540106951876,1.6042780748662995,-16.0427807486631,-15.508021390374333
3,2003-02-10 00:46:40,1.95,2.0,2.0,1.95,2500,2.5641025641025665,1.85,1.76,1.73,1.8,1.59,1.59,-7.499999999999996,-13.5,-9.999999999999998,-20.499999999999996,-20.499999999999996
4,2003-02-11 00:46:40,1.99,1.85,1.99,1.75,9800,-7.035175879396981,1.73,1.56,1.78,1.8,1.45,1.55,-6.486486486486492,-3.783783783783787,-2.702702702702705,-21.621621621621628,-16.216216216216218
5,2003-02-12 00:46:40,1.79,1.73,1.79,1.73,4300,-3.3519553072625725,1.76,1.73,2.15,1.79,1.55,1.55,1.7341040462427761,24.27745664739884,3.4682080924855523,-10.404624277456644,-10.404624277456644
6,2003-02-13 00:46:40,1.76,1.76,1.76,1.76,1500,0.0,1.56,1.78,2.02,1.7,1.53,1.58,-11.36363636363636,14.772727272727273,-3.4090909090909123,-13.068181818181818,-10.227272727272723
7,2003-02-14 00:46:40,1.18,1.56,1.7,1.18,9300,32.20338983050849,1.73,2.15,1.9,1.69,1.5,1.21,10.897435897435892,21.794871794871785,8.333333333333325,-3.8461538461538494,-22.435897435897438
8,2003-02-18 00:46:40,1.58,1.73,1.73,1.25,5500,9.493670886075943,1.78,2.02,1.8,1.69,1.5,1.24,2.890173410404627,4.046242774566478,-2.3121387283237014,-13.294797687861271,-28.32369942196532
9,2003-02-19 00:46:40,1.71,1.78,1.8,1.69,2100,4.093567251461992,2.15,1.9,1.8,1.69,1.45,1.36,20.786516853932575,1.1235955056179785,-5.056179775280904,-18.539325842696634,-23.595505617977526
10,2003-02-20 00:46:40,1.89,2.15,2.2,1.89,6300,13.756613756613758,2.02,1.8,1.79,1.6,1.55,1.35,-6.0465116279069715,-16.744186046511622,-25.581395348837205,-27.90697674418604,-37.20930232558139
11,2003-02-21 00:46:40,2.02,2.02,2.02,2.02,1000,0.0,1.9,1.8,1.7,1.6,1.55,1.25,-5.940594059405946,-15.841584158415845,-20.79207920792079,-23.267326732673265,-38.11881188118812
12,2003-02-24 00:46:40,1.94,1.9,1.94,1.9,1000,-2.061855670103095,1.8,1.79,1.69,1.57,1.58,1.27,-5.263157894736835,-11.052631578947366,-17.36842105263157,-16.842105263157887,-33.1578947368421
13,2003-02-25 00:46:40,1.8,1.8,1.8,1.8,500,0.0,1.8,1.7,1.69,1.59,1.59,1.19,0.0,-6.111111111111116,-11.666666666666664,-11.666666666666664,-33.88888888888889
14,2003-02-27 00:46:40,1.79,1.8,2.0,1.79,1000,0.5586592178770954,1.79,1.69,1.69,1.45,1.55,1.17,-0.555555555555556,-6.111111111111116,-19.444444444444446,-13.88888888888889,-35.0
15,2003-02-28 00:46:40,1.79,1.79,1.79,1.79,800,0.0,1.7,1.69,1.6,1.55,1.55,1.58,-5.027932960893859,-10.614525139664801,-13.40782122905028,-13.40782122905028,-11.731843575418992
16,2003-03-04 00:46:40,1.7,1.7,1.73,1.7,4900,0.0,1.69,1.69,1.6,1.53,1.58,1.22,-0.5882352941176475,-5.882352941176463,-9.999999999999996,-7.058823529411757,-28.235294117647058
17,2003-03-05 00:46:40,1.73,1.69,1.73,1.69,600,-2.3121387283237014,1.69,1.6,1.57,1.5,1.21,1.2,0.0,-7.100591715976325,-11.242603550295856,-28.402366863905325,-28.994082840236686
18,2003-03-07 00:46:40,1.69,1.69,1.69,1.69,100,0.0,1.69,1.6,1.59,1.5,1.24,1.2,0.0,-5.9171597633136015,-11.242603550295856,-26.62721893491124,-28.994082840236686
19,2003-03-10 00:46:40,1.69,1.69,1.69,1.69,600,0.0,1.6,1.57,1.45,1.45,1.36,1.15,-5.32544378698224,-14.201183431952662,-14.201183431952662,-19.5266272189349,-31.952662721893493
20,2003-03-11 00:46:40,1.66,1.6,1.66,1.6,1100,-3.614457831325292,1.6,1.59,1.55,1.55,1.35,1.2,0.0,-3.1250000000000027,-3.1250000000000027,-15.625,-25.000000000000007
21,2003-03-12 00:46:40,1.6,1.6,1.6,1.6,900,0.0,1.57,1.45,1.53,1.55,1.25,1.25,-1.8750000000000018,-4.3750000000000036,-3.1250000000000027,-21.875000000000007,-21.875000000000007
22,2003-03-13 00:46:40,1.6,1.57,1.6,1.57,2100,-1.8750000000000016,1.59,1.55,1.5,1.58,1.27,1.16,1.2738853503184724,-4.458598726114653,0.6369426751592362,-19.10828025477707,-26.114649681528668
23,2003-03-14 00:46:40,1.59,1.59,1.6,1.57,1300,0.0,1.45,1.53,1.5,1.59,1.19,1.16,-8.805031446540887,-5.660377358490571,0.0,-25.15723270440252,-27.044025157232713
24,2003-03-17 00:46:40,1.63,1.45,1.63,1.44,6200,-11.04294478527607,1.55,1.5,1.45,1.55,1.17,1.16,6.896551724137938,0.0,6.896551724137938,-19.31034482758621,-20.000000000000004
25,2003-03-19 00:46:40,1.5,1.55,1.55,1.5,400,3.333333333333336,1.53,1.5,1.55,1.55,1.58,1.11,-1.2903225806451624,0.0,0.0,1.9354838709677438,-28.387096774193544
26,2003-03-20 00:46:40,1.53,1.53,1.53,1.53,100,0.0,1.5,1.45,1.55,1.58,1.22,1.15,-1.960784313725492,1.3071895424836613,3.2679738562091534,-20.261437908496735,-24.83660130718955
27,2003-03-21 00:46:40,1.57,1.5,1.6,1.48,2800,-4.458598726114653,1.5,1.55,1.58,1.21,1.2,1.15,0.0,5.3333333333333375,-19.333333333333336,-20.000000000000004,-23.33333333333334
28,2003-03-25 00:46:40,1.55,1.5,1.55,1.5,200,-3.2258064516129057,1.45,1.55,1.59,1.24,1.2,1.12,-3.333333333333336,6.000000000000005,-17.333333333333336,-20.000000000000004,-25.333333333333325
29,2003-03-31 00:46:40,1.5,1.45,1.5,1.45,200,-3.333333333333336,1.55,1.58,1.55,1.36,1.15,1.16,6.896551724137938,6.896551724137938,-6.206896551724128,-20.689655172413797,-20.000000000000004
30,2003-04-03 00:46:40,1.5,1.55,1.6,1.5,1800,3.333333333333336,1.55,1.59,1.55,1.35,1.2,1.2,0.0,0.0,-12.90322580645161,-22.580645161290327,-22.580645161290327
31,2003-04-07 00:46:40,1.55,1.55,1.55,1.55,100,0.0,1.58,1.55,1.58,1.25,1.25,1.2,1.9354838709677438,1.9354838709677438,-19.35483870967742,-19.35483870967742,-22.580645161290327
