,Datetime,Open,Close,High,Low,Volume,Gain%,1_day,3_day,5_day,10_day,20_day,30_day,1,5,10,20,30
0,2003-02-03 00:46:40,15.5,15.64,15.73,15.49,298200,0.9032258064516168,15.25,15.04,15.04,15.02,12.35,13.16,-2.4936061381074204,-3.8363171355498813,-3.964194373401541,-21.03580562659847,-15.856777493606138
1,2003-02-04 00:46:40,15.6,15.25,15.61,15.01,347500,-2.2435897435897414,15.14,14.81,14.72,14.54,12.22,13.69,-0.7213114754098323,-3.4754098360655696,-4.655737704918039,-19.868852459016388,-10.229508196721316
2,2003-02-05 00:46:40,15.45,15.14,15.61,15.13,322100,-2.006472491909377,15.04,15.04,14.65,14.79,12.21,13.84,-0.660501981505954,-3.2364597093791296,-2.3117569352708154,-19.352708058124172,-8.586525759577283
3,2003-02-06 00:46:40,15.2,15.04,15.26,14.92,238400,-1.0526315789473697,14.81,14.72,14.59,12.89,12.43,14.0,-1.5292553191489273,-2.99202127659574,-14.295212765957437,-17.353723404255316,-6.914893617021272
4,2003-02-07 00:46:40,15.12,14.81,15.34,14.68,192000,-2.050264550264542,15.04,14.65,14.75,12.7,12.18,13.71,1.553004726536115,-0.4051316677920357,-14.247130317353148,-17.758271438217427,-7.427413909520592
5,2003-02-10 00:46:40,14.75,15.04,15.14,14.7,281100,1.9661016949152488,14.72,14.59,15.02,12.67,12.44,13.86,-2.1276595744680753,-0.13297872340425249,-15.75797872340425,-17.28723404255319,-7.845744680851062
6,2003-02-11 00:46:40,15.1,14.72,15.15,14.57,254300,-2.516556291390722,14.65,14.75,14.54,12.8,12.24,13.8,-0.4755434782608715,-1.222826086956532,-13.043478260869565,-16.847826086956523,-6.249999999999999
7,2003-02-12 00:46:40,14.7,14.65,14.89,14.6,266100,-0.3401360544217614,14.59,15.02,14.79,12.74,12.6,13.87,-0.40955631399317743,0.9556313993173979,-13.037542662116042,-13.993174061433452,-5.32423208191127
8,2003-02-13 00:46:40,14.7,14.59,14.72,14.32,271000,-0.7482993197278873,14.75,14.54,12.89,12.47,12.61,14.0,1.0966415352981504,-11.651816312542833,-14.530500342700476,-13.570938999314603,-4.0438656614119255
9,2003-02-14 00:46:40,14.52,14.75,14.79,14.46,194900,1.584022038567496,15.02,14.79,12.7,12.64,13.14,13.82,1.8305084745762683,-13.898305084745768,-14.30508474576271,-10.915254237288131,-6.305084745762709
10,2003-02-18 00:46:40,14.85,15.02,15.06,14.83,124100,1.1447811447811442,14.54,12.89,12.67,12.35,13.16,13.9,-3.19573901464714,-15.645805592543274,-17.7762982689747,-12.383488681757653,-7.456724367509981
11,2003-02-19 00:46:40,15.0,14.54,15.0,14.4,295800,-3.066666666666672,14.79,12.7,12.8,12.22,13.69,14.36,1.7193947730398902,-11.966987620357624,-15.95598349381017,-5.845942228335624,-1.237964236588719
12,2003-02-20 00:46:40,14.54,14.79,14.79,14.54,242600,1.7193947730398902,12.89,12.67,12.74,12.21,13.84,14.3,-12.846517917511823,-13.860716700473287,-17.44421906693711,-6.423258958755912,-3.313049357674094
13,2003-02-21 00:46:40,14.8,12.89,14.8,12.75,2018900,-12.905405405405409,12.7,12.8,12.47,12.43,14.0,14.29,-1.4740108611326708,-3.25833979829325,-3.5686578743211856,8.611326609775015,10.861132660977491
14,2003-02-24 00:46:40,13.27,12.7,13.3,12.63,1090400,-4.295403165033913,12.67,12.74,12.64,12.18,13.71,14.35,-0.23622047244093985,-0.4724409448818797,-4.094488188976375,7.952755905511824,12.992125984251974
15,2003-02-25 00:46:40,12.7,12.67,12.85,12.55,634300,-0.2362204724409398,12.8,12.47,12.35,12.44,13.86,14.38,1.026045777426999,-2.525651144435677,-1.8153117600631448,9.39226519337016,13.496448303078143
16,2003-02-26 00:46:40,12.82,12.8,12.85,12.57,370300,-0.1560062402496066,12.74,12.64,12.22,12.24,13.8,14.41,-0.4687500000000039,-4.531250000000001,-4.3750000000000036,7.8125,12.578124999999996
17,2003-02-27 00:46:40,12.9,12.74,13.0,12.6,441600,-1.240310077519381,12.47,12.35,12.21,12.6,13.87,14.24,-2.1193092621664014,-4.160125588697012,-1.0989010989011034,8.869701726844575,11.773940345368917
18,2003-02-28 00:46:40,12.8,12.47,12.92,12.45,463500,-2.5781250000000004,12.64,12.22,12.43,12.61,14.0,14.09,1.3632718524458693,-0.3207698476343298,1.1226944667201186,12.269446672012824,12.99117882919005
19,2003-03-03 00:46:40,12.7,12.64,12.83,12.4,626600,-0.4724409448818797,12.35,12.21,12.18,13.14,13.82,14.68,-2.2943037974683618,-3.639240506329121,3.9556962025316453,9.335443037974681,16.139240506329106
20,2003-03-04 00:46:40,12.57,12.35,12.64,12.3,399800,-1.7501988862370774,12.22,12.43,12.44,13.16,13.9,14.75,-1.0526315789473604,0.7287449392712539,6.558704453441299,12.5506072874494,19.433198380566804
21,2003-03-05 00:46:40,12.36,12.22,12.45,12.1,387300,-1.1326860841423851,12.21,12.18,12.24,13.69,14.36,14.76,-0.08183306055646306,0.1636661211129261,12.029459901800317,17.51227495908346,20.785597381342054
22,2003-03-06 00:46:40,12.3,12.21,12.4,12.16,429500,-0.7317073170731696,12.43,12.44,12.6,13.84,14.3,15.03,1.8018018018017925,3.194103194103184,13.34971334971334,17.117117117117115,23.095823095823082
23,2003-03-07 00:46:40,12.2,12.43,12.46,12.05,413600,1.885245901639348,12.18,12.24,12.61,14.0,14.29,15.04,-2.011263073209976,1.4481094127111804,12.630732099758651,14.963797264682215,20.997586484312144
24,2003-03-10 00:46:40,12.35,12.18,12.36,12.07,361900,-1.3765182186234812,12.44,12.6,13.14,13.71,14.35,15.6,2.1346469622331674,7.881773399014786,12.561576354679813,17.81609195402299,28.078817733990146
25,2003-03-11 00:46:40,12.18,12.44,12.55,12.18,531300,2.1346469622331674,12.24,12.61,13.16,13.86,14.38,14.55,-1.6077170418006375,5.78778135048232,11.414790996784566,15.594855305466249,16.961414790996795
26,2003-03-12 00:46:40,12.35,12.24,12.35,12.15,340400,-0.8906882591093072,12.6,13.14,13.69,13.8,14.41,14.22,2.9411764705882306,11.846405228758163,12.74509803921569,17.72875816993464,16.176470588235297
27,2003-03-13 00:46:40,12.45,12.6,12.6,12.3,306100,1.2048192771084365,12.61,13.16,13.84,13.87,14.24,13.7,0.07936507936507767,9.841269841269844,10.079365079365077,13.01587301587302,8.730158730158728
28,2003-03-14 00:46:40,12.68,12.61,12.72,12.43,201500,-0.5520504731861222,13.14,13.69,14.0,14.0,14.09,13.74,4.203013481364006,11.02299762093577,11.02299762093577,11.736716891356071,8.96114195083268
29,2003-03-17 00:46:40,12.51,13.14,13.14,12.4,348400,5.035971223021589,13.16,13.84,13.71,13.82,14.68,13.77,0.15220700152206676,4.337899543378997,5.175038051750378,11.719939117199383,4.794520547945198
30,2003-03-18 00:46:40,13.05,13.16,13.23,12.9,428000,0.8429118773946316,13.69,14.0,13.86,13.9,14.75,13.86,4.027355623100299,5.319148936170207,5.623100303951369,12.08206686930091,5.319148936170207
31,2003-03-19 00:46:40,13.3,13.69,13.8,13.25,2855100,2.93233082706766,13.84,13.71,13.8,14.36,14.76,13.81,1.0956902848794767,0.8035062089116233,4.89408327246165,7.81592403214025,0.8765522279035866
32,2003-03-20 00:46:40,13.69,13.84,13.9,13.42,606500,1.0956902848794767,14.0,13.86,13.87,14.3,15.03,14.04,1.1560693641618507,0.2167630057803422,3.323699421965324,8.598265895953753,1.445086705202307
33,2003-03-21 00:46:40,14.02,14.0,14.3,13.94,600000,-0.1426533523537773,13.71,13.8,14.0,14.29,15.04,14.16,-2.0714285714285654,0.0,2.0714285714285654,7.428571428571422,1.142857142857144
34,2003-03-24 00:46:40,14.01,13.71,14.01,13.57,379800,-2.141327623126331,13.86,13.87,13.82,14.35,15.6,14.36,1.094091903719902,0.8023340627279316,4.668125455871618,13.785557986870888,4.74106491611961
35,2003-03-25 00:46:40,13.81,13.86,13.94,13.76,389900,0.3620564808109988,13.8,14.0,13.9,14.38,14.55,14.36,-0.4329004329004237,0.2886002886002953,3.7518037518037617,4.9783549783549885,3.6075036075036078
36,2003-03-26 00:46:40,13.96,13.8,14.0,13.66,431500,-1.1461318051575942,13.87,13.82,14.36,14.41,14.22,14.25,0.5072463768115834,4.057971014492744,4.420289855072459,3.0434782608695645,3.260869565217386
37,2003-03-27 00:46:40,13.7,13.87,14.01,13.61,224500,1.2408759124087587,14.0,13.9,14.3,14.24,13.7,14.48,0.937274693583279,3.1002162941600684,2.6676279740447084,-1.2256669069935107,4.397981254506137
