,Datetime,Open,Close,High,Low,Volume,Gain%,1_day,3_day,5_day,10_day,20_day,30_day,1,5,10,20,30
0,2005-05-03 00:46:40,4.93,5.13,5.23,4.93,130700,4.0567951318458455,5.18,5.18,5.38,4.83,4.53,7.73,0.974658869395708,4.873294346978558,-5.847953216374266,-11.695906432748531,50.682261208577
1,2005-05-04 00:46:40,5.1,5.18,5.23,5.03,46900,1.5686274509803937,5.18,5.38,5.28,4.58,4.38,7.23,0.0,1.9305019305019409,-11.583011583011576,-15.444015444015442,39.57528957528959
2,2005-05-05 00:46:40,5.18,5.18,5.33,5.13,42900,0.0,5.18,5.38,5.05,4.58,4.73,7.13,0.0,-2.5096525096525077,-11.583011583011576,-8.687258687258675,37.644787644787655
3,2005-05-06 00:46:40,5.13,5.18,5.28,5.13,32300,0.974658869395708,5.38,5.28,5.08,4.67,4.83,7.03,3.8610038610038644,-1.930501930501924,-9.845559845559842,-6.75675675675675,35.71428571428573
4,2005-05-09 00:46:40,5.23,5.38,5.48,5.18,68500,2.8680688336519973,5.38,5.05,5.03,4.68,4.65,8.73,0.0,-6.505576208178432,-13.01115241635688,-13.568773234200734,62.26765799256506
5,2005-05-10 00:46:40,5.63,5.38,5.63,5.23,86400,-4.440497335701599,5.28,5.08,4.83,4.63,4.85,8.61,-1.8587360594795475,-10.223048327137544,-13.940520446096654,-9.851301115241641,60.03717472118958
6,2005-05-11 00:46:40,5.38,5.28,5.38,5.23,17100,-1.8587360594795477,5.05,5.03,4.58,4.93,4.79,7.88,-4.356060606060614,-13.25757575757576,-6.628787878787888,-9.280303030303035,49.242424242424235
7,2005-05-12 00:46:40,5.23,5.05,5.28,4.98,27300,-3.4416826003824204,5.08,4.83,4.58,4.88,4.86,8.44,0.594059405940599,-9.306930693069303,-3.3663366336633653,-3.7623762376237524,67.12871287128712
8,2005-05-13 00:46:40,5.08,5.08,5.13,5.0,39000,0.0,5.03,4.58,4.67,4.83,5.28,8.23,-0.9842519685039335,-8.070866141732285,-4.921259842519684,3.9370078740157513,62.00787401574803
9,2005-05-16 00:46:40,5.08,5.03,5.16,4.93,26300,-0.9842519685039336,4.83,4.58,4.68,4.58,7.38,8.33,-3.976143141153085,-6.958250497017902,-8.946322067594437,46.7196819085487,65.60636182902584
