,Datetime,Open,Close,High,Low,Volume,Gain%,1_day,3_day,5_day,10_day,20_day,30_day,1,5,10,20,30
0,2012-02-01 00:46:40,17.25,16.0,17.44,15.77,11511901,-7.246376811594203,16.0,16.35,17.2,16.66,17.09,19.33,0.0,7.499999999999996,4.125000000000001,6.812499999999999,20.81249999999999
1,2012-02-02 00:46:40,16.0,16.0,16.14,15.375,1378341,0.0,16.12,17.34,17.25,16.79,16.94,19.94,0.7500000000000062,7.8125,4.937499999999995,5.875000000000008,24.625000000000007
2,2012-02-03 00:46:40,16.0,16.12,16.4,15.71,554105,0.7500000000000062,16.35,17.2,17.05,16.54,16.24,19.81,1.4267990074441712,5.7692307692307665,2.6054590570719487,0.7444168734491157,22.89081885856078
3,2012-02-06 00:46:40,16.4,16.35,16.45,15.92,336239,-0.3048780487804705,17.34,17.25,17.25,16.75,16.25,21.09,6.055045871559623,5.504587155963294,2.4464831804281255,-0.6116207951070424,28.990825688073386
4,2012-02-07 00:46:40,16.44,17.34,17.5,16.04,880355,5.474452554744516,17.2,17.05,16.85,17.0,16.45,21.4,-0.8073817762399109,-2.8258362168396682,-1.9607843137254894,-5.132641291810845,23.414071510957317
5,2012-02-08 00:46:40,17.2,17.2,17.74,17.0,777337,0.0,17.25,17.25,16.66,17.01,16.56,20.13,0.29069767441860883,-3.1395348837209256,-1.1046511627906845,-3.720930232558143,17.03488372093023
6,2012-02-09 00:46:40,17.5,17.25,17.7,17.08,157110,-1.4285714285714286,17.05,16.85,16.79,17.43,17.06,20.62,-1.1594202898550683,-2.666666666666672,1.0434782608695636,-1.1014492753623262,19.53623188405798
7,2012-02-10 00:46:40,17.0,17.05,17.32,16.95,200531,0.2941176470588277,17.25,16.66,16.54,17.4,17.34,21.69,1.1730205278592334,-2.9912023460410646,2.052785923753653,1.7008797653958894,27.21407624633431
8,2012-02-13 00:46:40,17.07,17.25,17.392,17.03,140498,1.0544815465729334,16.85,16.79,16.75,17.05,17.47,21.87,-2.3188405797101366,-2.898550724637681,-1.1594202898550683,1.2753623188405732,26.782608695652176
9,2012-02-14 00:46:40,17.25,16.85,17.32,16.8,329648,-2.318840579710137,16.66,16.54,17.0,16.92,18.3,20.94,-1.127596439169147,0.8902077151335227,0.41543026706231617,8.605341246290795,24.272997032640948
10,2012-02-15 00:46:40,17.0,16.66,17.0,16.41,168389,-1.9999999999999991,16.79,16.75,17.01,17.09,19.33,20.72,0.780312124849934,2.1008403361344623,2.5810324129651843,16.026410564225678,24.369747899159655
11,2012-02-16 00:46:40,16.75,16.79,16.97,16.57,71635,0.2388059701492486,16.54,17.0,17.43,16.94,19.94,20.94,-1.488981536628946,3.811792733770105,0.8933889219773802,18.76116736152473,24.717093508040513
12,2012-02-17 00:46:40,18.22,16.54,18.22,16.38,371474,-9.22063666300768,16.75,17.01,17.4,16.24,19.81,21.11,1.2696493349455917,5.199516324062875,-1.813784764207985,19.77025392986699,27.629987908101576
13,2012-02-21 00:46:40,16.75,16.75,16.75,16.45,251566,0.0,17.0,17.43,17.05,16.25,21.09,21.21,1.4925373134328357,1.7910447761194073,-2.9850746268656714,25.91044776119403,26.6268656716418
14,2012-02-22 00:46:40,16.95,17.0,17.1,16.71,199474,0.2949852507374673,17.01,17.4,16.92,16.45,21.4,20.42,0.058823529411773906,-0.47058823529410765,-3.2352941176470633,25.88235294117646,20.11764705882354
15,2012-02-23 00:46:40,17.05,17.01,17.09,16.74,407547,-0.2346041055718424,17.43,17.05,17.09,16.56,20.13,20.01,2.4691358024691246,0.4703115814226825,-2.645502645502662,18.342151675484992,17.636684303350968
16,2012-02-24 00:46:40,16.98,17.43,17.9,16.9,346557,2.6501766784452254,17.4,16.92,16.94,17.06,20.62,19.72,-0.17211703958692565,-2.81124497991967,-2.122776821572008,18.301778542742404,13.13826735513482
17,2012-02-27 00:46:40,17.36,17.4,17.57,17.0869,166644,0.2304147465437739,17.05,17.09,16.24,17.34,21.69,19.09,-2.011494252873551,-6.666666666666668,-0.3448275862068892,24.65517241379312,9.712643678160928
18,2012-02-28 00:46:40,17.35,17.05,17.3857,16.99,148528,-1.7291066282420788,16.92,16.94,16.25,17.47,21.87,18.75,-0.7624633431084985,-4.692082111436954,2.4633431085043878,28.269794721407628,9.970674486803514
19,2012-02-29 00:46:40,17.14,16.92,17.14,16.9,113121,-1.283547257876306,17.09,16.24,16.45,18.3,20.94,18.79,1.0047281323876958,-2.777777777777792,8.15602836879432,23.758865248226947,11.05200945626476
20,2012-03-01 00:46:40,16.94,17.09,17.09,16.91,114641,0.8854781582054225,16.94,16.25,16.56,19.33,20.72,18.0,-0.8777062609713199,-3.1012287887653667,13.107080163838495,21.24049151550614,5.324751316559392
21,2012-03-02 00:46:40,17.0,16.94,17.2072,16.89,101746,-0.3529411764705807,16.24,16.45,17.06,19.94,20.94,17.63,-4.132231404958694,0.7083825265643295,17.709563164108616,23.612750885478157,4.073199527744968
22,2012-03-05 00:46:40,16.77,16.24,17.03,16.2,337596,-3.1604054859868884,16.25,16.56,17.34,19.81,21.11,17.47,0.06157635467981258,6.7733990147783345,21.982758620689662,29.987684729064046,7.573891625615767
23,2012-03-06 00:46:40,16.1,16.25,16.65,16.1,489096,0.9316770186335316,16.45,17.06,17.47,21.09,21.21,16.88,1.2307692307692264,7.5076923076923014,29.784615384615382,30.523076923076932,3.8769230769230707
24,2012-03-07 00:46:40,16.55,16.45,16.75,16.2,256387,-0.6042296072507639,16.56,17.34,18.3,21.4,20.42,16.75,0.6686930091185376,11.246200607902743,30.091185410334344,24.133738601823723,1.8237082066869346
25,2012-03-08 00:46:40,16.65,16.56,16.89,16.4932,200010,-0.5405405405405397,17.06,17.47,19.33,20.13,20.01,16.56,3.0193236714975846,16.72705314009662,21.557971014492757,20.83333333333335,0.0
26,2012-03-09 00:46:40,16.5,17.06,17.15,16.5,691386,3.393939393939386,17.34,18.3,19.94,20.62,19.72,16.28,1.641266119577967,16.881594372801892,20.86752637749122,15.592028135990624,-4.572098475967161
27,2012-03-12 00:46:40,17.35,17.34,17.85,17.1885,753408,-0.0576368876080781,17.47,19.33,19.81,21.69,19.09,16.83,0.7497116493656228,14.244521337946935,25.086505190311424,10.092272202998846,-2.9411764705882444
28,2012-03-13 00:46:40,17.29,17.47,17.98,17.21,354944,1.0410641989589342,18.3,19.94,21.09,21.87,18.75,17.12,4.751001717229547,20.72123640526618,25.186033199771053,7.326846021751581,-2.0034344590726842
29,2012-03-14 00:46:40,17.65,18.3,18.85,17.6032,553174,3.682719546742222,19.33,19.81,21.4,20.94,18.79,17.84,5.628415300546434,16.939890710382503,14.426229508196725,2.677595628415292,-2.513661202185797
30,2012-03-15 00:46:40,18.24,19.33,19.48,18.2288,570773,5.975877192982456,19.94,21.09,20.13,20.72,18.0,18.19,3.1557165028453342,4.138644593895504,7.190894981893433,-6.880496637351259,-5.897568546301072
31,2012-03-16 00:46:40,19.56,19.94,20.45,19.41,884001,1.9427402862985816,19.81,21.4,20.62,20.94,17.63,18.12,-0.6519558676028212,3.410230692076227,5.015045135406218,-11.584754262788376,-9.127382146439318
32,2012-03-19 00:46:40,20.75,19.81,20.91,19.49,551944,-4.530120481927717,21.09,20.13,21.69,21.11,17.47,18.12,6.461383139828375,9.490156486622931,6.562342251388192,-11.812216052498737,-8.531044926804633
33,2012-03-20 00:46:40,19.67,21.09,21.78,19.61,1170867,7.219115404168774,21.4,20.62,21.87,21.21,16.88,18.52,1.469890943575148,3.6984352773826514,0.5689900426742579,-19.962067330488388,-12.185870080606923
34,2012-03-21 00:46:40,21.6,21.4,21.75,20.5,794208,-0.925925925925939,20.13,21.69,20.94,20.42,16.75,18.48,-5.934579439252334,-2.1495327102803614,-4.579439252336434,-21.728971962616818,-13.644859813084103
35,2012-03-22 00:46:40,21.06,20.13,21.07,20.07,476914,-4.415954415954415,20.62,21.87,20.72,20.01,16.56,17.78,2.4341778440139197,2.9309488325881765,-0.596125186289108,-17.734724292101344,-11.674118231495271
36,2012-03-23 00:46:40,20.78,20.62,21.0,20.4,259007,-0.7699711260827725,21.69,20.94,20.94,19.72,16.28,17.68,5.189136760426772,1.551891367604269,-4.364694471387013,-21.04752667313288,-14.258001939864215
37,2012-03-26 00:46:40,20.95,21.69,21.73,20.74,320217,3.5322195704057378,21.87,20.72,21.11,19.09,16.83,15.58,0.8298755186721978,-2.674043337943761,-11.987090825265104,-22.40663900414939,-28.16966343937299
38,2012-03-27 00:46:40,21.78,21.87,22.14,21.54,303059,0.413223140495867,20.94,20.94,21.21,18.75,17.12,15.15,-4.252400548696843,-3.017832647462278,-14.266117969821677,-21.71925011431184,-30.727023319615913
39,2012-03-28 00:46:40,21.79,20.94,21.99,20.85,272802,-3.900871959614492,20.72,21.11,20.42,18.79,17.84,14.85,-1.0506208213944719,-2.4832855778414498,-10.26743075453678,-14.804202483285584,-29.083094555873934
40,2012-03-29 00:46:40,20.87,20.72,21.21,20.38,348834,-0.7187350263536278,20.94,21.21,20.01,18.0,18.19,14.02,1.0617760617760736,-3.4266409266409137,-13.127413127413124,-12.2104247104247,-32.33590733590733
41,2012-03-30 00:46:40,21.01,20.94,21.07,20.61,1027963,-0.3331746787244182,21.11,20.42,19.72,17.63,18.12,13.11,0.8118433619866197,-5.8261700095511095,-15.807067812798481,-13.46704871060172,-37.39255014326648
42,2012-04-02 00:46:40,20.94,21.11,21.51,20.65,308807,0.8118433619866197,21.21,20.01,19.09,17.47,18.12,12.67,0.47370914258645863,-9.568924680246326,-17.243012790146853,-14.163903363334907,-39.98105163429654
43,2012-04-03 00:46:40,21.79,21.21,21.79,20.59,362638,-2.6617714547957703,20.42,19.72,18.75,16.88,18.52,11.94,-3.72465818010372,-11.598302687411602,-20.414898632720423,-12.682696841112689,-43.70579915134371
44,2012-04-04 00:46:40,20.75,20.42,21.1,20.25,173724,-1.590361445783124,20.01,19.09,18.79,16.75,18.48,11.94,-2.0078354554358477,-7.982370225269356,-17.97257590597454,-9.500489715964745,-41.52791380999021
45,2012-04-05 00:46:40,20.34,20.01,20.3994,19.72,381780,-1.6224188790560388,19.72,18.75,18.0,16.56,17.78,11.71,-1.449275362318854,-10.044977511244385,-17.24137931034484,-11.144427786106947,-41.479260369815094
46,2012-04-09 00:46:40,19.95,19.72,20.41,19.01,142227,-1.1528822055137866,19.09,18.79,17.63,16.28,17.68,11.67,-3.194726166328596,-10.598377281947261,-17.44421906693711,-10.344827586206891,-40.82150101419878
47,2012-04-10 00:46:40,19.72,19.09,20.06,18.47,303911,-3.194726166328596,18.75,18.0,17.47,16.83,15.58,12.05,-1.7810371922472492,-8.486118386589842,-11.838658983761139,-18.386589837611314,-36.87794656888423
48,2012-04-11 00:46:40,19.19,18.75,19.402,18.33,420868,-2.2928608650338784,18.79,17.63,16.88,17.12,15.15,12.08,0.2133333333333288,-9.973333333333338,-8.693333333333328,-19.2,-35.57333333333334
49,2012-04-12 00:46:40,18.77,18.79,19.3,18.4,380962,0.1065530101225337,18.0,17.47,16.75,17.84,14.85,12.05,-4.204364023416707,-10.85683874401277,-5.055880787653003,-20.968600319318785,-35.87014369345396
50,2012-04-13 00:46:40,18.19,18.0,18.67,17.47,786694,-1.0445299615173242,17.63,16.88,16.56,18.19,14.02,12.01,-2.055555555555561,-8.000000000000007,1.0555555555555627,-22.111111111111114,-33.27777777777778
51,2012-04-16 00:46:40,18.8,17.63,18.8,17.34,433360,-6.223404255319158,17.47,16.75,16.28,18.12,13.11,11.99,-0.9075439591605228,-7.657402155416891,2.7793533749291095,-25.638116846284742,-31.99092456040839
52,2012-04-17 00:46:40,17.85,17.47,18.09,17.4,480645,-2.1288515406162607,16.88,16.56,16.83,18.12,12.67,11.38,-3.3772180881511153,-3.6634230108757904,3.720663995420734,-27.4756725815684,-34.8597595878649
53,2012-04-18 00:46:40,17.93,16.88,17.93,16.635,546885,-5.8561070831009525,16.75,16.28,17.12,18.52,11.94,12.17,-0.7701421800947809,1.4218009478673106,9.715639810426545,-29.265402843601894,-27.902843601895732
54,2012-04-19 00:46:40,17.1,16.75,17.46,16.45,655426,-2.0467836257310026,16.56,16.83,17.84,18.48,11.94,10.95,-1.134328358208963,6.5074626865671625,10.328358208955226,-28.716417910447767,-34.626865671641795
55,2012-04-20 00:46:40,16.88,16.56,17.01,16.32,188056,-1.8957345971564,16.28,17.12,18.19,17.78,11.71,10.17,-1.690821256038633,9.842995169082142,7.367149758454121,-29.287439613526562,-38.586956521739125
56,2012-04-23 00:46:40,16.25,16.28,16.51,15.92,428816,0.1846153846153916,16.83,17.84,18.12,17.68,11.67,10.1,3.3783783783783603,11.3022113022113,8.59950859950859,-28.316953316953324,-37.96068796068796
57,2012-04-24 00:46:40,16.31,16.83,17.05,16.23,303154,3.1882280809319408,17.12,18.19,18.12,15.58,12.05,11.04,1.7231134878193863,7.664884135472387,-7.427213309566241,-28.40166369578133,-34.40285204991087
58,2012-04-25 00:46:40,16.94,17.12,17.81,16.72,355792,1.0625737898465155,17.84,18.12,18.52,15.15,12.08,11.57,4.205607476635507,8.177570093457936,-11.507009345794396,-29.4392523364486,-32.41822429906542
59,2012-04-26 00:46:40,17.08,17.84,17.96,16.92,435372,4.449648711943803,18.19,18.12,18.48,14.85,12.05,11.3,1.9618834080717569,3.587443946188344,-16.760089686098656,-32.455156950672645,-36.6591928251121
60,2012-04-27 00:46:40,17.9,18.19,18.53,17.9,511201,1.6201117318435907,18.12,18.52,17.78,14.02,12.01,11.03,-0.3848268279274342,-2.2539857064321063,-22.924683892248495,-33.97471137987906,-39.36228697086312
61,2012-04-30 00:46:40,18.15,18.12,18.27,17.57,200000,-0.1652892561983338,18.12,18.48,17.68,13.11,11.99,11.1,0.0,-2.4282560706401837,-27.649006622516563,-33.83002207505519,-38.741721854304636
62,2012-05-01 00:46:40,18.12,18.12,18.64,17.85,235139,0.0,18.52,17.78,15.58,12.67,11.38,11.75,2.207505518763789,-14.017660044150116,-30.077262693156737,-37.19646799116998,-35.154525386313466
63,2012-05-02 00:46:40,17.98,18.52,18.65,17.955,159479,3.0033370411568363,18.48,17.68,15.15,11.94,12.17,11.85,-0.21598272138228483,-18.196544276457878,-35.52915766738661,-34.28725701943844,-36.01511879049676
64,2012-05-03 00:46:40,18.5,18.48,18.82,18.22,118861,-0.1081081081081058,17.78,15.58,14.85,11.94,10.95,12.19,-3.7878787878787836,-19.64285714285715,-35.3896103896104,-40.74675324675325,-34.036796536796544
