,Datetime,Open,Close,High,Low,Volume,Gain%,1_day,3_day,5_day,10_day,20_day,30_day,1,5,10,20,30
0,2021-11-22 00:46:40,10.45,10.01,10.45,9.92,1078686,-4.210526315789469,10.12,10.01,10.03,9.93,9.83,9.85,1.0989010989010932,0.19980019980019556,-0.7992007992007999,-1.7982017982017953,-1.5984015984015998
1,2021-11-23 00:46:40,10.14,10.12,10.15,10.0,253063,-0.1972386587771336,10.15,10.05,10.01,9.94,9.84,9.85,0.29644268774704685,-1.0869565217391248,-1.7786561264822107,-2.766798418972326,-2.6679841897233163
2,2021-11-24 00:46:40,10.12,10.15,10.21,10.07,156937,0.2964426877470468,10.01,10.03,9.92,9.94,9.81,9.82,-1.3793103448275916,-2.2660098522167527,-2.0689655172413874,-3.349753694581279,-3.251231527093597
3,2021-11-26 00:46:40,10.15,10.01,10.15,10.0,430909,-1.3793103448275916,10.05,10.01,9.83,9.922,9.83,9.82,0.3996003996004088,-1.7982017982017953,-0.879120879120871,-1.7982017982017953,-1.8981018981018931
4,2021-11-29 00:46:40,10.1,10.05,10.1,10.01,155361,-0.4950495049504845,10.03,9.92,9.95,9.9,9.82,9.81,-0.19900497512439155,-0.9950248756219046,-1.4925373134328392,-2.2885572139303525,-2.3880597014925393
5,2021-11-30 00:46:40,10.0,10.03,10.04,10.0,173653,0.2999999999999936,10.01,9.83,9.93,9.9,9.81,9.82,-0.19940179461614732,-0.9970089730807543,-1.296111665004975,-2.1934197407776557,-2.093718843469582
6,2021-12-01 00:46:40,10.01,10.01,10.05,10.0,383777,0.0,9.92,9.95,9.94,9.88,9.82,9.81,-0.8991008991008976,-0.6993006993007022,-1.2987012987012887,-1.8981018981018931,-1.998001998001991
7,2021-12-02 00:46:40,10.01,9.92,10.013,9.89,927243,-0.8991008991008976,9.83,9.93,9.94,9.84,9.8186,9.81,-0.9072580645161276,0.20161290322580216,-0.8064516129032264,-1.022177419354838,-1.1088709677419297
8,2021-12-03 00:46:40,9.93,9.83,9.978,9.76,548114,-1.007049345417922,9.95,9.94,9.922,9.86,9.86,9.81,1.2207527975584864,0.9359104781281843,0.3051881993896171,0.3051881993896171,-0.20345879959307805
9,2021-12-06 00:46:40,9.83,9.95,9.95,9.81,48615,1.2207527975584864,9.93,9.94,9.9,9.83,9.83,9.8017,-0.20100502512562388,-0.5025125628140596,-1.2060301507537612,-1.2060301507537612,-1.4904522613065225
10,2021-12-07 00:46:40,10.0,9.93,10.0,9.8818,70260,-0.7000000000000028,9.94,9.922,9.9,9.83,9.85,9.79,0.1007049345417904,-0.30211480362537124,-1.007049345417922,-0.8056394763343411,-1.4098690835851013
11,2021-12-08 00:46:40,9.9,9.94,9.96,9.9,49034,0.4040404040403954,9.94,9.9,9.88,9.84,9.85,9.74,0.0,-0.6036217303822808,-1.0060362173038195,-0.9054325955734392,-2.012072434607639
