,Datetime,Open,Close,High,Low,Volume,Gain%,1_day,3_day,5_day,10_day,20_day,30_day,1,5,10,20,30
0,2022-03-22 00:46:40,9.72,9.72,9.72,9.72,5097,0.0,9.6393,9.72,9.75,9.9,9.73,9.65,-0.830246913580249,0.30864197530863535,1.851851851851849,0.10288065843621179,-0.7201646090535008
1,2022-03-23 00:46:40,9.74,9.6393,9.74,9.6393,1354,-1.0338809034907577,9.68,9.78,9.7,9.87,9.76,9.65,0.42222982996689895,0.6297137758965782,2.3933273162988886,1.2521656136856345,0.11100391107238006
2,2022-03-24 00:46:40,9.68,9.68,9.68,9.68,119,0.0,9.72,9.75,9.75,9.87,9.8,9.65,0.41322314049587733,0.7231404958677715,1.9628099173553668,1.2396694214876136,-0.30991735537189424
3,2022-03-30 00:46:40,9.72,9.72,9.72,9.72,4262,0.0,9.78,9.7,9.71,9.9,9.77,9.65,0.6172839506172707,-0.10288065843621179,1.851851851851849,0.514403292181059,-0.7201646090535008
4,2022-03-31 00:46:40,9.75,9.78,9.8,9.75,1905,0.3076923076923011,9.75,9.75,9.9,9.78,9.8,9.65,-0.3067484662576622,1.226993865030685,0.0,0.20449897750512627,-1.3292433537832211
5,2022-04-01 00:46:40,9.75,9.75,9.75,9.75,201,0.0,9.7,9.71,9.9,9.77,9.755,9.65,-0.5128205128205201,1.538461538461542,0.20512820512820074,0.051282051282059295,-1.025641025641022
6,2022-04-04 00:46:40,9.72,9.7,9.72,9.7,986639,-0.2057613168724418,9.75,9.9,9.87,9.75,9.7,9.64,0.5154639175257806,1.7525773195876282,0.5154639175257806,0.0,-0.6185567010309148
7,2022-04-05 00:46:40,9.75,9.75,9.75,9.75,1571,0.0,9.71,9.9,9.87,9.78,9.72,9.6299,-0.41025641025640147,1.2307692307692228,0.30769230769230116,-0.30769230769230116,-1.2317948717948797
8,2022-04-07 00:46:40,9.7101,9.71,9.7101,9.71,306,-0.0010298555112693,9.9,9.87,9.9,9.77,9.67,9.64,1.9567456230689957,1.9567456230689957,0.6179196704428292,-0.4119464469619044,-0.7209062821833191
9,2022-04-11 00:46:40,9.9,9.9,9.9,9.9,127,0.0,9.9,9.87,9.78,9.73,9.655,9.645,0.0,-1.2121212121212221,-1.7171717171717165,-2.4747474747474847,-2.5757575757575837
10,2022-04-13 00:46:40,9.9,9.9,9.9,9.9,1095,0.0,9.87,9.9,9.77,9.73,9.65,9.6375,-0.30303030303031453,-1.313131313131321,-1.7171717171717165,-2.525252525252525,-2.6515151515151625
