,Datetime,Open,Close,High,Low,Volume,Gain%,1_day,3_day,5_day,10_day,20_day,30_day,1,5,10,20,30
0,2005-05-03 00:46:40,18.66,20.05,20.65,18.51,3271300,7.449088960342983,21.6,21.6,21.2,21.3,23.19,28.19,7.730673316708232,5.7356608478802915,6.234413965087281,15.660847880299253,40.598503740648376
1,2005-05-04 00:46:40,20.97,21.6,22.0,20.25,1263200,3.0042918454935745,22.64,20.77,21.85,22.07,24.49,28.6,4.81481481481481,1.1574074074074074,2.1759259259259203,13.379629629629614,32.407407407407405
2,2005-05-05 00:46:40,23.45,22.64,23.45,22.09,864900,-3.454157782515986,21.6,21.2,21.9,22.65,25.79,28.7,-4.593639575971728,-3.268551236749125,0.044169611307411705,13.91342756183745,26.766784452296815
3,2005-05-06 00:46:40,23.06,21.6,23.25,21.55,460400,-6.331309627059832,20.77,21.85,21.96,23.1,26.24,28.01,-3.842592592592601,1.6666666666666639,6.944444444444444,21.481481481481467,29.675925925925924
4,2005-05-09 00:46:40,21.7,20.77,21.7,20.5,221000,-4.285714285714285,21.2,21.9,21.98,23.33,27.88,27.75,2.07029369282619,5.825710158883009,12.325469427058252,34.23206547905633,33.60616273471353
5,2005-05-10 00:46:40,20.5,21.2,21.81,20.2,244200,3.41463414634146,21.85,21.96,21.3,23.06,27.75,26.99,3.0660377358490667,0.4716981132075539,8.773584905660375,30.896226415094347,27.311320754716977
6,2005-05-11 00:46:40,21.38,21.85,22.35,21.06,169200,2.1983161833489357,21.9,21.98,22.07,22.16,27.38,27.65,0.2288329519450671,1.0068649885583472,1.4187643020594907,25.308924485125843,26.544622425629278
7,2005-05-12 00:46:40,22.0,21.9,22.4,21.75,125000,-0.454545454545461,21.96,21.3,22.65,22.51,26.9,26.87,0.27397260273973645,3.4246575342465757,2.785388127853895,22.831050228310502,22.694063926940654
8,2005-05-13 00:46:40,22.35,21.96,22.35,21.65,96100,-1.7449664429530225,21.98,22.07,23.1,22.03,26.87,27.1,0.09107468123861373,5.1912568306010956,0.3187613843351561,22.358834244080146,23.40619307832423
9,2005-05-16 00:46:40,22.24,21.98,22.24,21.63,73800,-1.16906474820143,21.3,22.65,23.33,21.95,27.5,28.07,-3.093721565059143,6.141947224749763,-0.13648771610555568,25.11373976342129,27.70700636942675
10,2005-05-17 00:46:40,21.87,21.3,22.0,21.01,227100,-2.6063100137174224,22.07,23.1,23.06,23.19,28.19,27.45,3.6150234741784018,8.262910798122055,8.87323943661972,32.347417840375584,28.873239436619713
11,2005-05-18 00:46:40,20.91,22.07,22.3,20.73,272000,5.547584887613582,22.65,23.33,22.16,24.49,28.6,28.15,2.628001812415035,0.40779338468509224,10.965111010421378,29.5876755777073,27.54870865428182
12,2005-05-19 00:46:40,21.07,22.65,22.94,21.07,230600,7.498813478879916,23.1,23.06,22.51,25.79,28.7,27.8,1.9867549668874298,-0.6181015452538501,13.863134657836648,26.710816777041945,22.73730684326712
13,2005-05-20 00:46:40,22.54,23.1,23.44,22.45,379200,2.484472049689451,23.33,22.16,22.03,26.24,28.01,28.6,0.995670995670982,-4.6320346320346335,13.59307359307358,21.255411255411254,23.809523809523807
14,2005-05-23 00:46:40,23.45,23.33,23.45,22.8,122400,-0.5117270788912622,23.06,22.51,21.95,27.88,27.75,28.42,-1.1573081868838386,-5.915130732961848,19.502786112301763,18.945563651950287,21.817402486069454
15,2005-05-24 00:46:40,23.65,23.06,23.8,22.5,168900,-2.494714587737843,22.16,22.03,23.19,27.75,26.99,28.4,-3.9028620988725002,0.5637467476149288,20.338248048568957,17.04249783174328,23.156981786643538
16,2005-05-25 00:46:40,21.76,22.16,22.5,21.2,240700,1.8382352941176403,22.51,21.95,24.49,27.38,27.65,28.79,1.5794223826714866,10.51444043321299,23.555956678700355,24.774368231046925,29.918772563176894
17,2005-05-26 00:46:40,22.0,22.51,22.93,21.4,102400,2.318181818181825,22.03,23.19,25.79,26.9,26.87,28.46,-2.132385606397159,14.571301643713893,19.502443358507314,19.369169258107505,26.43269657929809
18,2005-05-27 00:46:40,22.84,22.03,22.84,21.77,25500,-3.5464098073555115,21.95,24.49,26.24,26.87,27.1,28.26,-0.36314117113028527,19.11030413073081,21.97004085338175,23.0140717203813,28.279618701770314
19,2005-05-31 00:46:40,21.68,21.95,22.08,21.0,108500,1.2453874538745369,23.19,25.79,27.88,27.5,28.07,28.47,5.649202733485203,27.015945330296127,25.28473804100228,27.88154897494306,29.70387243735763
20,2005-06-01 00:46:40,21.73,23.19,23.19,21.73,124000,6.718821905200188,24.49,26.24,27.75,28.19,27.45,28.1,5.605864596808957,19.663648124191454,21.561017680034496,18.36998706338938,21.172919361793877
21,2005-06-02 00:46:40,22.67,24.49,24.97,22.65,191000,8.028231142479033,25.79,27.88,27.38,28.6,28.15,28.1,5.3082890975908565,11.800734993875055,16.782360146998787,14.944875459371174,14.740710494079229
22,2005-06-03 00:46:40,24.61,25.79,25.95,23.97,166200,4.794798862251117,26.24,27.75,26.9,28.7,27.8,28.02,1.7448623497479616,4.303993796044977,11.283443195036837,7.793718495540913,8.646762310973248
23,2005-06-06 00:46:40,25.72,26.24,26.49,25.38,123300,2.02177293934681,27.88,27.38,26.87,28.01,28.6,27.79,6.250000000000003,2.400914634146351,6.745426829268306,8.993902439024403,5.907012195121954
24,2005-06-07 00:46:40,26.37,27.88,28.24,26.0,276900,5.72620401971937,27.75,26.9,27.5,27.75,28.42,27.19,-0.46628407460544835,-1.3629842180774714,-0.46628407460544835,1.9368723098995795,-2.4748923959827756
25,2005-06-08 00:46:40,28.04,27.75,28.14,27.31,426900,-1.0342368045649042,27.38,26.87,28.19,26.99,28.4,26.23,-1.3333333333333368,1.5855855855855903,-2.7387387387387445,2.342342342342337,-5.477477477477476
26,2005-06-09 00:46:40,27.4,27.38,27.79,26.67,112000,-0.0729927007299254,26.9,27.5,28.6,27.65,28.79,26.97,-1.7531044558071602,4.45580715850987,0.986121256391525,5.149744338933529,-1.4974433893352819
27,2005-06-10 00:46:40,27.4,26.9,27.77,26.55,88400,-1.8248175182481756,26.87,28.19,28.7,26.87,28.46,27.01,-0.11152416356876427,6.691449814126398,-0.11152416356876427,5.799256505576217,0.40892193308551295
28,2005-06-13 00:46:40,27.2,26.87,27.53,26.61,87300,-1.2132352941176408,27.5,28.6,28.01,27.1,28.26,27.54,2.3446222553033085,4.242649795310757,0.8559732043170839,5.1730554521771515,2.493487160401928
29,2005-06-14 00:46:40,27.25,27.5,27.5,26.9,37500,0.9174311926605504,28.19,28.7,27.75,28.07,28.47,26.96,2.5090909090909137,0.9090909090909091,2.0727272727272736,3.5272727272727233,-1.9636363636363605
30,2005-06-15 00:46:40,27.09,28.19,28.74,27.09,213000,4.060538944259879,28.6,28.01,26.99,27.45,28.1,27.38,1.454416459737496,-4.256828662646338,-2.6250443419652427,-0.3192621496984741,-2.8733593472862795
31,2005-06-16 00:46:40,28.36,28.6,28.8,27.6,59300,0.846262341325818,28.7,27.75,27.65,28.15,28.1,27.13,0.3496503496503422,-3.3216783216783314,-1.5734265734265833,-1.7482517482517481,-5.139860139860148
32,2005-06-17 00:46:40,28.86,28.7,29.59,28.61,154500,-0.5544005544005549,28.01,26.99,26.87,27.8,28.02,27.4,-2.4041811846689813,-6.3763066202090535,-3.1358885017421554,-2.369337979094076,-4.529616724738679
33,2005-06-20 00:46:40,28.75,28.01,28.9,27.84,58500,-2.573913043478256,27.75,27.65,27.1,28.6,27.79,27.68,-0.928239914316321,-3.248839700107105,2.1063905747947156,-0.7854337736522757,-1.178150660478407
34,2005-06-21 00:46:40,28.28,27.75,28.29,27.1,154700,-1.874115983026878,26.99,26.87,28.07,28.42,27.19,27.3,-2.7387387387387445,1.1531531531531543,2.414414414414421,-2.0180180180180134,-1.6216216216216188
35,2005-06-22 00:46:40,27.3,26.99,27.38,26.55,86200,-1.1355311355311437,27.65,27.1,27.45,28.4,26.23,27.3,2.445350129677659,1.70433493886625,5.224157095220453,-2.815857725083357,1.1485735457576964
36,2005-06-23 00:46:40,26.69,27.65,28.18,26.55,40600,3.59685275384038,26.87,28.07,28.15,28.79,26.97,27.08,-2.820976491862559,1.8083182640144666,4.122965641952986,-2.4593128390596735,-2.061482820976493
37,2005-06-24 00:46:40,27.35,26.87,27.94,26.74,368400,-1.7550274223034747,27.1,27.45,27.8,28.46,27.01,27.31,0.8559732043170839,3.4611090435429834,5.917379977670263,0.5210271678451825,1.6375139560848444
38,2005-06-27 00:46:40,26.66,27.1,27.43,25.27,94100,1.6504126031507926,28.07,28.15,28.6,28.26,27.54,27.22,3.5793357933579295,5.535055350553505,4.280442804428045,1.6236162361623532,0.442804428044271
39,2005-06-28 00:46:40,27.0,28.07,28.1,26.73,41500,3.962962962962964,27.45,27.8,28.42,28.47,26.96,31.55,-2.2087638047737834,1.2468827930174615,1.4250089063056592,-3.954399714998217,12.397577484859282
40,2005-06-29 00:46:40,28.07,27.45,28.6,27.44,64100,-2.2087638047737834,28.15,28.6,28.4,28.1,27.38,33.2,2.550091074681236,3.460837887067393,2.367941712204015,-0.2550091074681249,20.947176684881615
41,2005-06-30 00:46:40,27.72,28.15,28.5,27.72,39200,1.5512265512265504,27.8,28.42,28.79,28.1,27.13,32.97,-1.24333925399644,2.273534635879221,-0.17761989342805384,-3.623445825932503,17.122557726465367
42,2005-07-01 00:46:40,28.29,27.8,28.29,27.36,31200,-1.7320607988688528,28.6,28.4,28.46,28.02,27.4,32.75,2.8776978417266212,2.3741007194244608,0.791366906474816,-1.438848920863317,17.805755395683452
43,2005-07-05 00:46:40,27.59,28.6,28.63,27.58,64600,3.660746647335997,28.42,28.79,28.26,27.79,27.68,32.55,-0.6293706293706284,-1.1888111888111883,-2.83216783216784,-3.216783216783223,13.811188811188796
44,2005-07-06 00:46:40,28.44,28.42,29.0,28.02,33300,-0.0703234880450055,28.4,28.46,28.47,27.19,27.3,32.51,-0.07037297677692865,0.17593244194228416,-4.327938071780438,-3.940886699507393,14.391273750879648
45,2005-07-07 00:46:40,27.95,28.4,29.1,27.85,21300,1.610017889087654,28.79,28.26,28.1,26.23,27.3,32.5,1.3732394366197203,-1.0563380281690042,-7.640845070422529,-3.873239436619711,14.436619718309865
46,2005-07-08 00:46:40,28.44,28.79,28.95,28.01,49200,1.2306610407876155,28.46,28.47,28.1,26.97,27.08,32.91,-1.146231330323023,-2.396665508857234,-6.321639458145191,-5.939562348037517,14.310524487669321
47,2005-07-11 00:46:40,28.91,28.46,29.0,28.04,61700,-1.556554825319956,28.26,28.1,28.02,27.01,27.31,33.02,-0.7027406886858724,-1.5460295151089292,-5.0948699929725905,-4.040758959943788,16.022487702037953
48,2005-07-12 00:46:40,28.29,28.26,28.44,27.15,40900,-0.1060445387062481,28.47,28.1,27.79,27.54,27.22,32.09,0.7430997876857653,-1.6631280962491237,-2.547770700636951,-3.680113234253371,13.552724699221521
49,2005-07-13 00:46:40,28.18,28.47,28.49,28.0,16900,1.0290986515259015,28.1,28.02,27.19,26.96,31.55,32.01,-1.2996136283807427,-4.495960660344213,-5.303828591499818,10.81840533895329,12.434141201264486
