,Datetime,Open,Close,High,Low,Volume,Gain%,1_day,3_day,5_day,10_day,20_day,30_day,1,5,10,20,30
0,2008-08-14 00:46:40,6.75,6.75,6.75,6.75,0,0.0,6.75,6.75,7.0,7.45,6.75,6.0,0.0,3.7037037037037033,10.370370370370372,0.0,-11.11111111111111
1,2008-08-15 00:46:40,6.75,6.75,6.75,6.75,0,0.0,6.75,6.8,6.8,7.0,6.75,5.9,0.0,0.740740740740738,3.7037037037037033,0.0,-12.592592592592588
2,2008-08-18 00:46:40,6.75,6.75,6.75,6.75,500,0.0,6.75,7.0,6.8,7.75,6.5,5.75,0.0,0.740740740740738,14.814814814814813,-3.7037037037037033,-14.814814814814813
3,2008-08-19 00:46:40,6.75,6.75,6.75,6.25,7230,0.0,6.8,6.8,7.5,7.05,6.3,4.55,0.740740740740738,11.11111111111111,4.444444444444442,-6.66666666666667,-32.592592592592595
4,2008-08-20 00:46:40,6.5,6.8,6.8,6.5,2200,4.615384615384613,7.0,6.8,6.65,7.1,6.3,5.9,2.941176470588238,-2.2058823529411686,4.411764705882351,-7.352941176470589,-13.23529411764705
5,2008-08-21 00:46:40,6.8,7.0,7.0,6.8,900,2.941176470588238,6.8,7.5,7.45,7.0,6.25,5.87,-2.85714285714286,6.428571428571431,0.0,-10.714285714285714,-16.142857142857142
6,2008-08-25 00:46:40,6.8,6.8,6.8,6.8,750,0.0,6.8,6.65,7.0,7.0,6.25,5.87,0.0,2.941176470588238,2.941176470588238,-8.088235294117645,-13.67647058823529
7,2008-08-26 00:46:40,6.5,6.8,6.8,6.5,2572,4.615384615384613,7.5,7.45,7.75,6.75,6.0,5.75,10.294117647058826,13.970588235294121,-0.7352941176470562,-11.764705882352938,-15.441176470588234
8,2008-08-27 00:46:40,6.75,7.5,7.5,6.45,10985,11.11111111111111,6.65,7.0,7.05,6.75,6.1,5.25,-11.333333333333329,-6.000000000000003,-10.0,-18.66666666666667,-30.0
9,2008-08-28 00:46:40,7.0,6.65,7.0,6.65,2000,-4.999999999999995,7.45,7.75,7.1,6.75,6.0,5.5,12.03007518796992,6.766917293233071,1.5037593984962352,-9.774436090225569,-17.29323308270677
10,2008-08-29 00:46:40,7.0,7.45,7.45,7.0,2500,6.428571428571431,7.0,7.05,7.0,6.75,6.0,5.65,-6.040268456375841,-6.040268456375841,-9.395973154362418,-19.46308724832215,-24.16107382550335
