,Datetime,Open,Close,High,Low,Volume,Gain%,1_day,3_day,5_day,10_day,20_day,30_day,1,5,10,20,30
0,2022-01-04 00:46:40,10.04,9.94,10.04,9.93,8699,-0.9960159362549766,9.98,9.93,10.02,9.97,10.06,10.02,0.4024144869215385,0.8048289738430591,0.3018108651911583,1.2072434607645974,0.8048289738430591
1,2022-01-05 00:46:40,9.87,9.98,9.9857,9.87,889,1.114488348530914,9.97,9.95,9.94,9.92,9.96,10.01,-0.10020040080160107,-0.40080160320642205,-0.6012024048096242,-0.20040080160320214,0.3006012024048032
2,2022-01-07 00:46:40,9.97,9.97,9.97,9.97,105,0.0,9.93,10.02,9.91,9.92,10.0199,10.01,-0.4012036108325068,-0.6018054162487513,-0.501504513540629,0.5005015045135323,0.4012036108324889
3,2022-01-10 00:46:40,9.93,9.93,9.93,9.93,10116,0.0,9.95,9.94,9.94,10.0,10.0,10.02,0.2014098690835808,0.1007049345417904,0.7049345417925507,0.7049345417925507,0.9063444108761315
4,2022-01-11 00:46:40,9.95,9.95,9.985,9.94,15417,0.0,10.02,9.91,9.95,10.005,10.03,10.03,0.7035175879397014,0.0,0.5527638190954924,0.8040201005025134,0.8040201005025134
5,2022-01-12 00:46:40,9.94,10.02,10.03,9.94,3113,0.8048289738430591,9.94,9.94,9.97,9.97,10.0,10.05,-0.7984031936127752,-0.49900199600797346,-0.49900199600797346,-0.19960079840318934,0.29940119760480177
6,2022-01-13 00:46:40,9.94,9.94,9.94,9.94,387,0.0,9.91,9.95,9.92,9.96,10.02,10.05,-0.3018108651911404,-0.2012072434607603,0.20120724346077817,0.8048289738430591,1.1066398390342176
7,2022-01-19 00:46:40,9.98,9.91,9.98,9.91,718,-0.7014028056112253,9.94,9.97,9.92,9.97,10.02,10.04,0.3027245206861691,0.10090817356205638,0.6054490413723561,1.109989909182638,1.3118062563067507
8,2022-01-21 00:46:40,9.96,9.94,9.99,9.94,586353,-0.2008032128514191,9.95,9.92,10.0,10.09,10.02,10.05,0.10060362173038015,0.6036217303822987,1.509054325955738,0.8048289738430591,1.1066398390342176
9,2022-01-24 00:46:40,9.94,9.95,9.95,9.925,307361,0.1006036217303801,9.97,9.92,10.005,10.01,10.02,10.05,0.20100502512564172,0.5527638190954924,0.6030150753768895,0.7035175879397014,1.005025125628155
10,2022-01-25 00:46:40,10.1,9.97,10.11,9.93,45667,-1.2871287128712774,9.92,10.0,9.97,10.06,10.02,10.06,-0.501504513540629,0.0,0.9027081243731179,0.5015045135406112,0.9027081243731179
11,2022-01-27 00:46:40,9.91,9.92,9.92,9.91,57897,0.1009081735620563,9.92,10.005,9.96,9.96,10.01,10.07,0.0,0.40322580645162226,0.40322580645162226,0.9072580645161276,1.5120967741935518
12,2022-01-28 00:46:40,9.92,9.92,9.92,9.92,4897,0.0,10.0,9.97,9.97,10.0199,10.01,10.07,0.8064516129032264,0.5040322580645233,1.0070564516129021,0.9072580645161276,1.5120967741935518
13,2022-01-31 00:46:40,10.0,10.0,10.0,10.0,639,0.0,10.005,9.96,10.09,10.0,10.02,10.07,0.050000000000007816,0.8999999999999986,0.0,0.19999999999999576,0.7000000000000028
14,2022-02-01 00:46:40,10.005,10.005,10.005,10.005,9259,0.0,9.97,9.97,10.01,10.03,10.03,10.05,-0.3498250874562733,0.04997501249374318,0.2498750624687514,0.2498750624687514,0.4497751124437774
15,2022-02-02 00:46:40,9.9,9.97,9.97,9.9,374,0.7070707070707098,9.96,10.09,10.06,10.0,10.05,10.07,-0.10030090270812222,0.9027081243731179,0.3009027081243667,0.8024072216649957,1.00300902708124
16,2022-02-03 00:46:40,9.96,9.96,9.96,9.96,1413,0.0,9.97,10.01,9.96,10.02,10.05,10.08,0.10040160642570066,0.0,0.6024096385542039,0.9036144578313239,1.2048192771084258
17,2022-02-04 00:46:40,9.96,9.97,9.97,9.96,3237,0.1004016064257006,10.09,10.06,10.0199,10.02,10.04,10.07,1.2036108324974846,0.5005015045135323,0.5015045135406112,0.7021063189568556,1.00300902708124
18,2022-02-07 00:46:40,9.96,10.09,10.09,9.96,4138,1.3052208835341264,10.01,9.96,10.0,10.02,10.05,10.06,-0.7928642220019828,-0.8919722497522286,-0.6937561942517373,-0.39643211100098263,-0.29732408325073695
19,2022-02-11 00:46:40,9.97,10.01,10.01,9.97,258,0.4012036108324889,10.06,10.0199,10.03,10.02,10.05,10.08,0.4995004995005066,0.19980019980019556,0.09990009990009778,0.3996003996004088,0.6993006993007022
20,2022-02-14 00:46:40,10.06,10.06,10.06,10.02,979,0.0,9.96,10.0,10.0,10.02,10.06,10.06,-0.9940357852882667,-0.5964214711729672,-0.3976143141153173,0.0,0.0
21,2022-02-18 00:46:40,9.97,9.96,9.97,9.96,460,-0.1003009027081222,10.0199,10.03,10.02,10.01,10.07,10.08,0.6014056224899492,0.6024096385542039,0.5020080321285033,1.1044176706827251,1.2048192771084258
22,2022-02-25 00:46:40,10.0199,10.0199,10.0199,10.0199,100,0.0,10.0,10.0,10.02,10.01,10.07,10.08,-0.19860477649477348,0.0009980139522327263,-0.09880338127127036,0.500004990069766,0.599806385293269
23,2022-03-01 00:46:40,10.01,10.0,10.01,9.96,104508,-0.0999000999000977,10.03,10.02,10.02,10.02,10.07,10.08,0.2999999999999936,0.19999999999999576,0.19999999999999576,0.7000000000000028,0.8000000000000007
24,2022-03-02 00:46:40,10.03,10.03,10.03,10.03,311,0.0,10.0,10.02,10.02,10.03,10.05,10.07,-0.29910269192422095,-0.09970089730807366,0.0,0.19940179461616503,0.39880358923231235
25,2022-03-04 00:46:40,10.0,10.0,10.0,10.0,447,0.0,10.02,10.02,10.02,10.05,10.07,10.08,0.19999999999999576,0.19999999999999576,0.5000000000000071,0.7000000000000028,0.8000000000000007
26,2022-03-08 00:46:40,10.02,10.02,10.02,10.02,397,0.0,10.02,10.02,10.01,10.05,10.08,10.068,0.0,-0.09980039920159467,0.29940119760480177,0.5988023952095858,0.4790419161676651
27,2022-03-10 00:46:40,10.02,10.02,10.02,10.02,342473,0.0,10.02,10.02,10.01,10.04,10.07,10.05,0.0,-0.09980039920159467,0.19960079840318934,0.49900199600799117,0.29940119760480177
28,2022-03-11 00:46:40,10.02,10.02,10.02,10.01,111910,0.0,10.02,10.01,10.02,10.05,10.06,10.05,0.0,0.0,0.29940119760480177,0.3992015968063965,0.29940119760480177
29,2022-03-14 00:46:40,10.0185,10.02,10.02,10.015,89138,0.0149723012427015,10.02,10.01,10.03,10.05,10.08,10.05,0.0,0.09980039920159467,0.29940119760480177,0.5988023952095858,0.29940119760480177
30,2022-03-16 00:46:40,10.0,10.02,10.02,10.0,87222,0.1999999999999957,10.01,10.02,10.05,10.06,10.06,10.05,-0.09980039920159467,0.29940119760480177,0.3992015968063965,0.3992015968063965,0.29940119760480177
31,2022-03-17 00:46:40,10.01,10.01,10.01,10.01,100,0.0,10.01,10.03,10.05,10.07,10.08,10.09,0.0,0.3996003996004088,0.5994005994006043,0.6993006993007022,0.7992007992007999
32,2022-03-18 00:46:40,10.02,10.01,10.02,10.01,286265,-0.0998003992015946,10.02,10.05,10.04,10.07,10.08,10.1,0.09990009990009778,0.2997002997002933,0.5994005994006043,0.6993006993007022,0.8991008991008976
33,2022-03-21 00:46:40,10.02,10.02,10.02,10.02,903,0.0,10.03,10.05,10.05,10.07,10.08,10.05,0.09980039920159467,0.29940119760480177,0.49900199600799117,0.5988023952095858,0.29940119760480177
34,2022-03-23 00:46:40,10.02,10.03,10.04,10.02,9281,0.0998003992015946,10.05,10.04,10.05,10.05,10.07,10.07,0.19940179461616503,0.19940179461616503,0.19940179461616503,0.39880358923231235,0.39880358923231235
