,Datetime,Open,Close,High,Low,Volume,Gain%,1_day,3_day,5_day,10_day,20_day,30_day,1,5,10,20,30
0,2021-02-04 00:46:40,10.15,10.2,10.5,10.1,130809,0.4926108374384131,10.15,10.09,10.08,10.145,9.9,9.92,-0.49019607843136215,-1.1764705882352864,-0.539215686274507,-2.9411764705882253,-2.7450980392156805
1,2021-02-05 00:46:40,10.28,10.15,10.28,10.0998,650208,-1.2645914396887064,10.1,10.13,10.13,10.12,9.94,9.85,-0.4926108374384306,-0.19704433497536525,-0.2955665024630654,-2.0689655172413874,-2.9556650246305485
2,2021-02-08 00:46:40,10.19,10.1,10.2,10.09,102400,-0.8832188420019614,10.09,10.08,10.12,10.12,9.99,9.76,-0.0990099009900969,0.1980198019801938,0.1980198019801938,-1.0891089108910834,-3.3663366336633653
3,2021-02-09 00:46:40,10.09,10.09,10.17,10.05,164895,0.0,10.13,10.13,10.15,10.14,9.8,9.75,0.3964321110010003,0.5946481665014915,0.49554013875124586,-2.874132804757177,-3.369672943508423
4,2021-02-10 00:46:40,10.15,10.13,10.15,10.09,76565,-0.1970443349753652,10.08,10.12,10.2,10.06,9.88,9.825,-0.49358341559724295,0.6910167818361155,-0.6910167818361331,-2.467917077986179,-3.0108588351431536
5,2021-02-11 00:46:40,10.16,10.08,10.18,10.07,81542,-0.7874015748031503,10.13,10.15,10.145,10.06,9.9275,9.92,0.4960317460317531,0.6448412698412649,-0.19841269841269418,-1.512896825396824,-1.5873015873015885
6,2021-02-12 00:46:40,10.07,10.13,10.16,10.07,718082,0.5958291956305908,10.12,10.2,10.12,10.04,9.91,9.91,-0.09871668311946262,-0.09871668311946262,-0.8884501480750407,-2.1717670286278445,-2.1717670286278445
7,2021-02-16 00:46:40,10.14,10.12,10.18,10.11,22880,-0.1972386587771336,10.15,10.145,10.12,9.96,9.79,9.82,0.29644268774704685,0.0,-1.5810276679841737,-3.2608695652173925,-2.9644268774703457
8,2021-02-17 00:46:40,10.16,10.15,10.17,10.12,168643,-0.0984251968503916,10.2,10.12,10.14,9.97,9.84,9.82,0.49261083743841316,-0.09852216748768262,-1.773399014778322,-3.0541871921182313,-3.251231527093597
9,2021-02-18 00:46:40,10.11,10.2,10.22,10.11,738688,0.8902077151335298,10.145,10.12,10.06,9.9,9.85,9.86,-0.539215686274507,-1.3725490196078314,-2.9411764705882253,-3.4313725490196045,-3.3333333333333317
10,2021-02-19 00:46:40,10.2,10.145,10.21,10.13,109339,-0.539215686274507,10.12,10.14,10.06,9.9,9.92,9.9064,-0.24642681123706608,-0.8378511582060038,-2.414982750123206,-2.21784130113356,-2.351897486446525
11,2021-02-22 00:46:40,10.19,10.12,10.32,10.11,81636,-0.6869479882237516,10.12,10.06,10.04,9.94,9.85,9.91,0.0,-0.7905138339920956,-1.7786561264822107,-2.6679841897233163,-2.07509881422924
