,Datetime,Open,Close,High,Low,Volume,Gain%,1_day,3_day,5_day,10_day,20_day,30_day,1,5,10,20,30
0,2021-04-05 00:46:40,8.5,8.5,8.5,8.5,1000,0.0,8.5,8.8,8.5,4.03,4.5,5.35,0.0,0.0,-52.588235294117645,-47.05882352941176,-37.05882352941177
1,2021-04-06 00:46:40,8.5,8.5,8.5,8.5,1000,0.0,8.5,8.5,7.0,3.53,5.0,5.4,0.0,-17.647058823529413,-58.47058823529413,-41.17647058823529,-36.470588235294116
2,2021-04-15 00:46:40,8.5,8.5,8.5,8.5,100,0.0,8.8,8.5,5.25,4.25,5.1,5.53,3.5294117647058907,-38.23529411764706,-50.0,-40.0,-34.94117647058823
3,2021-04-16 00:46:40,8.5,8.8,11.0,8.5,2400,3.5294117647058907,8.5,7.0,4.67,4.75,5.4,5.45,-3.409090909090917,-46.93181818181819,-46.02272727272727,-38.63636363636363,-38.06818181818182
4,2021-04-19 00:46:40,8.8,8.5,8.8,8.5,10900,-3.409090909090917,8.5,5.25,4.5,4.25,5.5,5.31,0.0,-47.05882352941176,-50.0,-35.294117647058826,-37.52941176470589
5,2021-04-20 00:46:40,8.5,8.5,8.5,8.5,100,0.0,7.0,4.67,4.03,4.5,5.0,5.0001,-17.647058823529413,-52.588235294117645,-47.05882352941176,-41.17647058823529,-41.17529411764706
6,2021-04-30 00:46:40,7.0,7.0,7.0,7.0,150,0.0,5.25,4.5,3.53,4.5,5.2,5.4,-25.0,-49.57142857142857,-35.714285714285715,-25.71428571428571,-22.85714285714285
7,2021-05-06 00:46:40,6.22,5.25,6.22,5.25,2528,-15.594855305466234,4.67,4.03,4.25,4.4,5.45,4.9,-11.04761904761905,-19.047619047619047,-16.190476190476183,3.809523809523813,-6.66666666666666
8,2021-05-07 00:46:40,5.02,4.67,5.02,4.67,3261,-6.972111553784854,4.5,3.53,4.75,3.85,5.25,5.0,-3.6402569593147733,1.713062098501072,-17.558886509635972,12.419700214132764,7.066381156316918
9,2021-05-10 00:46:40,4.25,4.5,4.5,4.25,208,5.88235294117647,4.03,4.25,4.25,4.2,5.35,5.0,-10.44444444444444,-5.555555555555555,-6.6666666666666625,18.88888888888888,11.11111111111111
10,2021-05-11 00:46:40,4.03,4.03,4.03,4.03,103,0.0,3.53,4.75,4.5,4.5,5.35,4.75,-12.406947890818868,11.662531017369721,11.662531017369721,32.75434243176177,17.86600496277915
11,2021-05-12 00:46:40,4.0,3.53,4.0,3.53,1190,-11.750000000000004,4.25,4.25,4.5,5.0,5.4,4.9,20.396600566572246,27.478753541076493,41.643059490084994,52.9745042492918,38.810198300283304
12,2021-05-14 00:46:40,4.0,4.25,4.25,4.0,3225,6.25,4.75,4.5,4.4,5.1,5.53,5.0,11.76470588235294,3.5294117647058907,19.999999999999993,30.117647058823536,17.647058823529413
13,2021-05-17 00:46:40,4.2,4.75,4.75,4.2,7790,13.09523809523809,4.25,4.5,3.85,5.4,5.45,4.99,-10.526315789473683,-18.94736842105263,13.684210526315796,14.736842105263163,5.0526315789473735
14,2021-05-19 00:46:40,4.25,4.25,5.0,4.25,17959,0.0,4.5,4.4,4.2,5.5,5.31,4.99,5.88235294117647,-1.17647058823529,29.411764705882355,24.941176470588225,17.41176470588236
15,2021-05-24 00:46:40,4.25,4.5,4.51,4.25,10666,5.88235294117647,4.5,3.85,4.5,5.0,5.0001,5.0,0.0,0.0,11.11111111111111,11.113333333333328,11.11111111111111
16,2021-05-25 00:46:40,4.5,4.5,4.5,4.5,250,0.0,4.4,4.2,5.0,5.2,5.4,5.0,-2.2222222222222143,11.11111111111111,15.555555555555559,20.000000000000007,11.11111111111111
17,2021-05-26 00:46:40,4.35,4.4,4.4,4.35,10030,1.1494252873563382,3.85,4.5,5.1,5.45,4.9,5.0,-12.500000000000005,15.909090909090892,23.863636363636356,11.363636363636363,13.636363636363628
18,2021-05-27 00:46:40,4.35,3.85,4.4,3.85,23455,-11.494252873563209,4.2,5.0,5.4,5.25,5.0,5.0,9.090909090909092,40.25974025974027,36.36363636363636,29.87012987012987,29.87012987012987
19,2021-05-28 00:46:40,4.25,4.2,4.25,4.2,41905,-1.17647058823529,4.5,5.1,5.5,5.35,5.0,4.9,7.142857142857138,30.95238095238095,27.380952380952365,19.047619047619044,16.66666666666667
