,Datetime,Open,Close,High,Low,Volume,Gain%,1_day,3_day,5_day,10_day,20_day,30_day,1,5,10,20,30
0,2003-02-03 00:46:40,14.65,14.5,15.35,14.41,187800,-1.0238907849829375,14.46,14.34,14.0,14.67,14.86,16.0,-0.27586206896551135,-3.4482758620689653,1.1724137931034477,2.4827586206896513,10.344827586206897
1,2003-02-04 00:46:40,14.6,14.46,14.7,14.31,262400,-0.9589041095890328,14.39,13.95,14.36,14.41,14.83,16.09,-0.4840940525587848,-0.6915629322268424,-0.3457814661134212,2.5587828492392752,11.272475795297364
2,2003-02-05 00:46:40,14.45,14.39,14.66,14.35,101700,-0.4152249134948009,14.34,14.0,14.38,14.46,14.83,16.22,-0.34746351633079015,-0.06949270326615557,0.4864489228631013,3.057678943710907,12.717164697706728
3,2003-02-06 00:46:40,14.46,14.34,14.51,14.02,121600,-0.829875518672206,13.95,14.36,14.21,14.8,14.81,16.4,-2.719665271966531,-0.9065550906555021,3.2078103207810384,3.277545327754537,14.365411436541134
4,2003-02-07 00:46:40,14.37,13.95,15.5,13.95,187900,-2.9227557411273484,14.0,14.38,14.18,14.43,14.63,15.98,0.35842293906810546,1.6487455197132648,3.440860215053767,4.874551971326175,14.551971326164884
5,2003-02-10 00:46:40,13.92,14.0,14.1,13.54,373600,0.5747126436781614,14.36,14.21,14.67,15.02,14.88,16.51,2.571428571428567,4.785714285714286,7.285714285714283,6.285714285714292,17.92857142857144
6,2003-02-11 00:46:40,13.4,14.36,14.55,13.02,632000,7.164179104477605,14.38,14.18,14.41,14.55,15.02,16.3,0.1392757660167225,0.3481894150417877,1.3231197771587833,4.596100278551534,13.509749303621179
7,2003-02-12 00:46:40,15.0,14.38,15.14,14.06,339700,-4.133333333333328,14.21,14.67,14.46,14.95,15.23,16.46,-1.182197496522948,0.5563282336578587,3.963838664812229,5.91098748261474,14.46453407510431
8,2003-02-13 00:46:40,15.08,14.21,15.09,14.08,484300,-5.769230769230764,14.18,14.41,14.8,15.2,14.94,16.66,-0.21111893033076098,4.152005629838141,6.966924700914837,5.13722730471498,17.241379310344822
9,2003-02-14 00:46:40,14.65,14.18,14.68,14.15,260300,-3.208191126279868,14.67,14.46,14.43,14.81,15.9,16.41,3.4555712270803967,1.7630465444287728,4.442877291960514,12.129760225669962,15.726375176304657
10,2003-02-18 00:46:40,14.1,14.67,14.78,14.1,153600,4.042553191489364,14.41,14.8,15.02,14.86,16.0,16.69,-1.7723244717109732,2.3858214042263097,1.2951601908657089,9.066121336059988,13.769597818677582
11,2003-02-19 00:46:40,14.55,14.41,14.75,14.15,174800,-0.9621993127147804,14.46,14.43,14.55,14.83,16.09,16.93,0.3469812630118023,0.9715475364330366,2.914642609299097,11.658570437196389,17.487855655794586
12,2003-02-20 00:46:40,14.4,14.46,14.98,14.4,95800,0.4166666666666701,14.8,15.02,14.95,14.83,16.22,16.99,2.3513139695712297,3.388658367911469,2.5587828492392752,12.17150760719224,17.496542185338846
13,2003-02-21 00:46:40,14.4,14.8,14.83,14.35,95400,2.77777777777778,14.43,14.55,15.2,14.81,16.4,16.82,-2.5000000000000067,2.7027027027026933,0.06756756756756613,10.810810810810796,13.648648648648646
14,2003-02-24 00:46:40,14.81,14.43,15.24,14.1,204800,-2.5658338960162106,15.02,14.95,14.81,14.63,15.98,16.97,4.0887040887040875,2.633402633402639,1.3860013860013933,10.741510741510748,17.602217602217596
15,2003-02-25 00:46:40,14.3,15.02,15.08,14.29,185900,5.034965034965027,14.55,15.2,14.86,14.88,16.51,16.99,-3.1291611185086476,-1.0652463382157134,-0.9320905459387404,9.920106524633836,13.11584553928095
16,2003-02-26 00:46:40,15.18,14.55,15.23,14.5,115400,-4.150197628458492,14.95,14.81,14.83,15.02,16.3,17.04,2.7491408934707806,1.9243986254295489,3.2302405498281708,12.027491408934706,17.11340206185566
17,2003-02-27 00:46:40,14.65,14.95,15.2,14.55,151800,2.047781569965863,15.2,14.86,14.83,15.23,16.46,17.0,1.6722408026755853,-0.8026755852842758,1.8729096989966634,10.100334448160545,13.712374581939804
