,Datetime,Open,Close,High,Low,Volume,Gain%,1_day,3_day,5_day,10_day,20_day,30_day,1,5,10,20,30
0,2018-02-08 00:46:40,11.25,11.5,11.9,9.6,1309463,2.2222222222222223,11.66,11.6,11.78,11.6,12.07,11.29,1.3913043478260883,2.4347826086956466,0.8695652173913012,4.956521739130437,-1.8260869565217466
1,2018-02-09 00:46:40,11.8,11.66,12.2,11.255,383984,-1.1864406779661063,11.26,11.5,11.7,11.64,12.37,10.8,-3.430531732418528,0.34305317324184514,-0.17152658662092257,6.089193825042874,-7.375643224699823
2,2018-02-12 00:46:40,11.58,11.26,11.97,11.25,39137,-2.763385146804838,11.6,11.78,11.9,11.46,11.97,9.36,3.0195381882770858,5.683836589698052,1.776198934280649,6.305506216696277,-16.87388987566608
3,2018-02-13 00:46:40,11.26,11.6,11.68,11.26,49421,3.0195381882770858,11.5,11.7,12.1,12.09,11.83,8.34,-0.8620689655172384,4.310344827586207,4.224137931034485,1.9827586206896588,-28.10344827586207
4,2018-02-14 00:46:40,11.58,11.5,11.87,11.5,48676,-0.6908462867012095,11.78,11.9,12.09,11.46,12.1,9.03,2.4347826086956466,5.1304347826086945,-0.34782608695651435,5.217391304347823,-21.478260869565222
5,2018-02-15 00:46:40,11.56,11.78,11.81,11.46,63139,1.903114186851201,11.7,12.1,11.6,11.44,12.5,9.05,-0.6791171477079803,-1.5280135823429517,-2.8862478777589122,6.112054329371822,-23.174872665534796
6,2018-02-16 00:46:40,11.78,11.7,12.0,11.65,105018,-0.6791171477079803,11.9,12.09,11.64,11.56,12.04,9.1,1.7094017094017186,-0.5128205128205019,-1.1965811965811863,2.905982905982905,-22.22222222222222
7,2018-02-20 00:46:40,12.03,11.9,12.03,11.5,85162,-1.080631753948454,12.1,11.6,11.46,11.29,11.92,8.99,1.680672268907557,-3.6974789915966344,-5.126050420168077,0.1680672268907527,-24.45378151260504
8,2018-02-21 00:46:40,11.855,12.1,12.2,11.61,20039,2.066638549135379,12.09,11.64,12.09,11.23,11.86,8.11,-0.0826446280991718,-0.0826446280991718,-7.190082644628093,-1.9834710743801671,-32.97520661157025
9,2018-02-22 00:46:40,12.2,12.09,12.97,11.88,78088,-0.9016393442622904,11.6,11.46,11.46,10.76,11.38,7.58,-4.0529363110008285,-5.2109181141439125,-11.000827129859388,-5.872622001654252,-37.303556658395365
10,2018-02-23 00:46:40,12.08,11.6,12.14,11.52,176002,-3.973509933774838,11.64,12.09,11.44,12.07,11.29,8.2,0.3448275862069045,-1.3793103448275874,4.05172413793104,-2.6724137931034524,-29.31034482758621
