,Datetime,Open,Close,High,Low,Volume,Gain%,1_day,3_day,5_day,10_day,20_day,30_day,1,5,10,20,30
0,2019-06-28 00:46:40,18.5,20.02,24.4399,17.26,2734622,8.216216216216214,21.0,24.45,24.3,20.17,19.39,22.4,4.895104895104898,21.378621378621386,0.7492507492507599,-3.146853146853142,11.888111888111883
1,2019-07-01 00:46:40,22.39,21.0,22.39,19.8332,382158,-6.208128628852169,21.7,27.35,23.51,19.71,19.25,22.5,3.33333333333333,11.95238095238096,-6.142857142857139,-8.333333333333332,7.142857142857142
2,2019-07-02 00:46:40,21.22,21.7,22.53,21.18,105346,2.262016965127241,24.45,24.3,19.67,19.48,18.33,22.0,12.672811059907835,-9.35483870967741,-10.230414746543774,-15.529953917050696,1.3824884792626762
3,2019-07-03 00:46:40,21.61,24.45,25.2001,21.61,191817,13.142063859324388,27.35,23.51,18.47,19.87,18.62,21.81,11.860940695296533,-24.45807770961145,-18.732106339468295,-23.84458077709611,-10.797546012269942
4,2019-07-05 00:46:40,25.0,27.35,29.0,22.8568,330864,9.400000000000006,24.3,19.67,20.14,19.69,18.8,22.05,-11.151736745886657,-26.36197440585009,-28.0073126142596,-31.26142595978062,-19.37842778793419
5,2019-07-08 00:46:40,27.56,24.3,27.56,23.6544,166399,-11.828737300435408,23.51,18.47,20.17,19.74,19.23,21.23,-3.2510288065843587,-16.99588477366255,-18.76543209876544,-20.8641975308642,-12.63374485596708
6,2019-07-09 00:46:40,24.01,23.51,25.4,23.51,74509,-2.082465639316951,19.67,20.14,19.71,20.41,17.78,21.52,-16.3334751169715,-16.163334751169717,-13.185878349638458,-24.37260740110591,-8.464483198638884
7,2019-07-10 00:46:40,23.72,19.67,24.78,18.91,134905,-17.074198988195604,18.47,20.17,19.48,20.19,17.4,20.87,-6.100660904931381,-0.9659379766141396,2.643619725470257,-11.540416878495186,6.100660904931363
8,2019-07-11 00:46:40,19.7,18.47,20.8,18.12,191830,-6.243654822335028,20.14,19.71,19.87,19.5,18.7,20.85,9.041689225771531,7.579859231185719,5.5766107200866335,1.2452625879805113,12.885760693015715
9,2019-07-12 00:46:40,18.68,20.14,20.275,18.1,61536,7.81584582441114,20.17,19.48,19.69,19.66,22.08,20.1,0.1489572989076521,-2.2343594836146936,-2.383316782522346,9.632571996027794,-0.1986097318768577
10,2019-07-15 00:46:40,20.13,20.17,20.7921,18.93,27432,0.1987083954297203,19.71,19.87,19.74,19.39,22.4,20.46,-2.280614774417456,-2.131879028259808,-3.8671294000991625,11.05602379771937,1.4377788795240412
11,2019-07-16 00:46:40,20.27,19.71,20.45,19.04,22859,-2.7627035027133635,19.48,19.69,20.41,19.25,22.5,19.35,-1.166920345002539,3.55149670218163,-2.333840690005078,14.155251141552508,-1.8264840182648374
12,2019-07-17 00:46:40,19.59,19.48,20.14,19.02,32520,-0.5615109749872356,19.87,19.74,20.19,18.33,22.0,19.21,2.002053388090352,3.644763860369614,-5.903490759753604,12.936344969199176,-1.386036960985624
13,2019-07-18 00:46:40,19.62,19.87,20.01,19.2,49960,1.27420998980632,19.69,20.41,19.5,18.62,21.81,18.86,-0.9058882737795657,-1.8621036738802264,-6.290890790135883,9.76346250629088,-5.083039758429801
14,2019-07-19 00:46:40,19.87,19.69,20.25,19.14,72017,-0.9058882737795656,19.74,20.19,19.66,18.8,22.05,19.77,0.2539360081259378,-0.15236160487557712,-4.520060944641953,11.985779583544943,0.4062976130015149
15,2019-07-22 00:46:40,19.77,19.74,20.75,19.72,35240,-0.1517450682852864,20.41,19.5,19.39,19.23,21.23,18.05,3.394123606889573,-1.7730496453900604,-2.583586626139808,7.548125633232027,-8.56129685916919
16,2019-07-23 00:46:40,20.35,20.41,22.2744,20.1,177294,0.2948402948402885,20.19,19.66,19.25,17.78,21.52,18.26,-1.0779029887310085,-5.683488486036257,-12.885840274375301,5.438510534051932,-10.534051935325813
17,2019-07-24 00:46:40,20.77,20.19,21.99,19.6,90025,-2.7924891670678784,19.5,19.39,18.33,17.4,20.87,20.18,-3.4175334323922795,-9.212481426448752,-13.818722139673117,3.368003962357601,-0.04952947003467837
18,2019-07-25 00:46:40,20.2,19.5,20.57,19.5,69947,-3.465346534653462,19.66,19.25,18.62,18.7,20.85,19.9,0.8205128205128212,-4.5128205128205074,-4.102564102564106,6.9230769230769305,2.051282051282044
19,2019-07-26 00:46:40,19.73,19.66,20.22,18.5,84868,-0.3547896604156121,19.39,18.33,18.8,22.08,20.1,17.84,-1.373346897253304,-4.374364191251269,12.309257375381476,2.2380467955239127,-9.25737538148525
