,Datetime,Open,Close,High,Low,Volume,Gain%,1_day,3_day,5_day,10_day,20_day,30_day,1,5,10,20,30
0,2020-05-01 00:46:40,21.0,18.56,22.0,17.6,1738727,-11.619047619047624,17.78,15.79,15.21,14.68,16.1,13.99,-4.202586206896539,-18.04956896551723,-20.9051724137931,-13.254310344827571,-24.622844827586203
1,2020-05-04 00:46:40,20.0,17.78,20.0,17.61,302336,-11.099999999999994,16.65,15.0,16.0,12.88,15.96,13.19,-6.355455568054007,-10.011248593925764,-27.559055118110237,-10.236220472440946,-25.815523059617558
2,2020-05-05 00:46:40,18.17,16.65,18.75,16.5,143490,-8.365437534397374,15.79,15.21,16.25,14.44,15.95,12.75,-5.165165165165162,-2.402402402402394,-13.27327327327327,-4.2042042042042,-23.42342342342342
3,2020-05-06 00:46:40,16.93,15.79,16.93,14.5,192078,-6.733608978145307,15.0,16.0,15.06,15.04,16.0,13.43,-5.003166561114624,-4.6231792273590795,-4.749841671944269,1.3299556681444007,-14.946168461051295
4,2020-05-07 00:46:40,16.25,15.0,16.3,14.59,152184,-7.6923076923076925,15.21,16.25,14.7,14.9,15.95,12.87,1.4000000000000057,-2.000000000000005,-0.6666666666666643,6.333333333333329,-14.200000000000005
5,2020-05-08 00:46:40,15.45,15.21,16.2,14.98,161774,-1.5533980582524172,16.0,15.06,14.68,14.43,15.94,11.64,5.193951347797496,-3.4845496383957992,-5.128205128205136,4.7994740302432515,-23.471400394477318
6,2020-05-11 00:46:40,15.65,16.0,16.5,15.25,172476,2.2364217252396146,16.25,14.7,12.88,15.69,15.59,11.12,1.5625,-19.499999999999996,-1.937500000000003,-2.562500000000001,-30.500000000000004
7,2020-05-12 00:46:40,16.45,16.25,17.49,15.82,124721,-1.2158054711246158,15.06,14.68,14.44,15.95,15.76,12.33,-7.323076923076919,-11.138461538461542,-1.8461538461538505,-3.0153846153846167,-24.123076923076923
8,2020-05-13 00:46:40,16.33,15.06,16.97,15.01,64493,-7.77709736680954,14.7,12.88,15.04,15.65,15.01,12.58,-2.3904382470119603,-0.1328021248340063,3.9176626826029204,-0.33200531208499806,-16.467463479415674
9,2020-05-14 00:46:40,15.05,14.7,15.45,14.0,123348,-2.3255813953488467,14.68,14.44,14.9,15.87,14.0,10.91,-0.13605442176870458,1.3605442176870821,7.959183673469387,-4.761904761904757,-25.782312925170064
10,2020-05-15 00:46:40,14.5,14.68,14.92,14.0,52065,1.2413793103448256,12.88,15.04,14.43,16.1,13.99,11.13,-12.261580381471383,-1.7029972752043598,9.673024523160775,-4.700272479564029,-24.1825613079019
11,2020-05-18 00:46:40,14.92,12.88,14.92,12.6,247031,-13.67292225201072,14.44,14.9,15.69,15.96,13.19,11.34,12.111801242236014,21.816770186335393,23.913043478260867,2.406832298136636,-11.95652173913044
12,2020-05-19 00:46:40,12.88,14.44,14.54,12.5,118269,12.111801242236014,15.04,14.43,15.95,15.95,12.75,11.26,4.15512465373961,10.457063711911356,10.457063711911356,-11.703601108033238,-22.022160664819943
13,2020-05-20 00:46:40,14.09,15.04,15.34,13.99,73989,6.742370475514544,14.9,15.69,15.65,16.0,13.43,11.11,-0.9308510638297792,4.055851063829795,6.382978723404261,-10.70478723404255,-26.13031914893617
14,2020-05-21 00:46:40,15.22,14.9,15.415,14.0,35006,-2.102496714848885,14.43,15.95,15.87,15.95,12.87,10.83,-3.1543624161073867,6.510067114093952,7.046979865771805,-13.62416107382551,-27.31543624161074
15,2020-05-22 00:46:40,15.15,14.43,15.15,14.3,51158,-4.752475247524757,15.69,15.65,16.1,15.94,11.64,11.32,8.73180873180873,11.573111573111586,10.464310464310463,-19.33471933471933,-21.552321552321548
16,2020-05-26 00:46:40,14.7,15.69,17.3,14.7,239743,6.734693877551022,15.95,15.87,15.96,15.59,11.12,12.07,1.6571064372211588,1.7208413001912133,-0.6373486297004438,-29.12683237731039,-23.072020395156144
17,2020-05-27 00:46:40,16.26,15.95,17.0,15.57,186043,-1.9065190651906656,15.65,16.1,15.95,15.76,12.33,12.14,-1.880877742946702,0.0,-1.1912225705329123,-22.69592476489028,-23.88714733542319
18,2020-05-28 00:46:40,16.19,15.65,16.2,15.435,162791,-3.335392217418165,15.87,15.96,16.0,15.01,12.58,12.57,1.4057507987220375,2.2364217252396146,-4.089456869009588,-19.616613418530353,-19.680511182108624
19,2020-05-29 00:46:40,15.5,15.87,16.5,15.5,136386,2.387096774193543,16.1,15.95,15.95,14.0,10.91,11.51,1.4492753623188546,0.504095778197858,-11.783238815374917,-31.253938248267165,-27.473219911783236
