,Datetime,Open,Close,High,Low,Volume,Gain%,1_day,3_day,5_day,10_day,20_day,30_day,1,5,10,20,30
0,2019-12-12 00:46:40,12.55,12.49,13.36,11.77,750019,-0.4780876494023944,12.9,11.07,9.4,10.63,13.64,12.27,3.2826261008807056,-24.739791833466775,-14.891913530824654,9.207365892714174,-1.7614091273018468
1,2019-12-13 00:46:40,12.45,12.9,13.7,12.12,290954,3.61445783132531,12.5,9.52,10.0,10.64,13.42,11.94,-3.1007751937984525,-22.48062015503876,-17.51937984496124,4.031007751937981,-7.441860465116286
2,2019-12-16 00:46:40,12.9,12.5,13.2,12.11,158289,-3.1007751937984525,11.07,9.4,10.18,10.75,13.75,11.4,-11.439999999999998,-18.560000000000002,-14.000000000000002,10.0,-8.799999999999997
3,2019-12-17 00:46:40,12.5,11.07,12.6433,11.0,222898,-11.439999999999998,9.52,10.0,10.53,12.7,13.29,10.86,-14.00180668473352,-4.878048780487814,14.724480578139104,20.05420054200541,-1.8970189701897096
4,2019-12-18 00:46:40,11.19,9.52,11.19,9.04,403853,-14.924039320822164,9.4,10.18,10.61,12.8,13.21,11.34,-1.2605042016806642,11.449579831932773,34.453781512605055,38.76050420168069,19.117647058823533
5,2019-12-19 00:46:40,9.44,9.4,9.49,7.84,325162,-0.423728813559313,10.0,10.53,10.63,13.54,13.05,12.43,6.382978723404251,13.08510638297873,44.04255319148935,38.829787234042556,32.234042553191486
6,2019-12-20 00:46:40,9.5,10.0,10.09,8.8801,96592,5.263157894736842,10.18,10.61,10.64,13.55,13.1,12.44,1.7999999999999972,6.400000000000006,35.50000000000001,30.999999999999993,24.399999999999995
7,2019-12-23 00:46:40,10.05,10.18,10.64,9.5,70022,1.2935323383084478,10.53,10.63,10.75,13.6,12.8,12.3,3.4381139489194465,5.599214145383107,33.59528487229863,25.736738703339896,20.82514734774068
8,2019-12-24 00:46:40,10.0,10.53,10.53,9.85,29951,5.299999999999994,10.61,10.64,12.7,13.45,12.55,12.26,0.7597340930674271,20.607787274453944,27.730294396961064,19.18328584995253,16.4292497625831
9,2019-12-26 00:46:40,10.46,10.61,11.0,10.32,46340,1.43403441682599,10.63,10.75,12.8,13.32,11.81,12.3,0.18850141376061594,20.640904806786065,25.541941564561743,11.310084825636203,15.928369462770982
10,2019-12-27 00:46:40,10.77,10.63,10.77,10.0,45901,-1.299907149489311,10.64,12.7,13.54,13.64,12.27,12.4,0.0940733772342407,27.375352775164615,28.31608654750705,15.428033866415792,16.650987770460954
11,2019-12-30 00:46:40,10.74,10.64,10.8,10.15,47181,-0.9310986964618216,10.75,12.8,13.55,13.42,11.94,12.6,1.03383458646616,27.349624060150372,26.12781954887217,12.218045112781944,18.421052631578938
12,2019-12-31 00:46:40,10.52,10.75,10.88,10.4714,73212,2.1863117870722477,12.7,13.54,13.6,13.75,11.4,12.4,18.139534883720923,26.51162790697674,27.906976744186046,6.04651162790698,15.34883720930233
13,2020-01-02 00:46:40,10.81,12.7,13.98,10.81,228963,17.483811285846425,12.8,13.55,13.45,13.29,10.86,12.0,0.7874015748031609,5.905511811023622,4.6456692913385815,-14.488188976377952,-5.511811023622042
14,2020-01-03 00:46:40,12.96,12.8,13.0,12.4217,59006,-1.234567901234569,13.54,13.6,13.32,13.21,11.34,12.03,5.781249999999988,4.0624999999999964,3.203125000000001,-11.406250000000007,-6.015625000000011
