,Datetime,Open,Close,High,Low,Volume,Gain%,1_day,3_day,5_day,10_day,20_day,30_day,1,5,10,20,30
0,2019-06-26 00:46:40,10.08,9.7,10.5,9.25,4198360,-3.769841269841277,9.5,9.7,9.48,9.31,10.25,9.3,-2.0618556701030855,-2.2680412371133905,-4.020618556701018,5.6701030927835125,-4.123711340206171
1,2019-06-27 00:46:40,9.68,9.5,9.85,9.32,369964,-1.8595041322314023,9.59,9.65,9.47,9.35,9.98,8.88,0.9473684210526301,-0.3157894736842038,-1.5789473684210564,5.0526315789473735,-6.526315789473676
2,2019-06-28 00:46:40,9.49,9.59,9.67,8.5,472207,1.0537407797681733,9.7,9.48,9.12,9.94,9.77,8.6,1.1470281543274186,-4.90093847758082,3.649635036496347,1.8769551616266915,-10.323253388946823
3,2019-07-01 00:46:40,9.71,9.7,10.5,9.3,340039,-0.1029866117404898,9.65,9.47,9.19,9.97,9.69,8.51,-0.5154639175257623,-5.257731958762885,2.7835051546391893,-0.10309278350515245,-12.268041237113398
4,2019-07-02 00:46:40,9.71,9.65,9.79,9.35,362516,-0.6179196704428476,9.48,9.12,8.94,9.87,9.61,9.14,-1.761658031088082,-7.357512953367884,2.2797927461139778,-0.4145077720207349,-5.284974093264246
5,2019-07-03 00:46:40,9.62,9.48,9.6334,9.28,173476,-1.455301455301443,9.47,9.19,9.31,10.2,9.64,9.0,-0.10548523206750829,-1.7932489451476785,7.594936708860748,1.6877637130801704,-5.06329113924051
6,2019-07-05 00:46:40,9.48,9.47,9.48,9.09,92125,-0.1054852320675082,9.12,8.94,9.35,10.45,9.7,8.98,-3.695881731784598,-1.2671594508975819,10.348468848996816,2.4287222808869973,-5.174234424498418
7,2019-07-08 00:46:40,9.34,9.12,9.34,8.75,96300,-2.3554603854389797,9.19,9.31,9.94,9.93,9.41,8.69,0.767543859649126,8.991228070175444,8.881578947368428,3.179824561403519,-4.714912280701752
8,2019-07-09 00:46:40,8.32,9.19,9.19,8.041,106145,10.45673076923076,8.94,9.35,9.97,9.95,9.43,8.85,-2.720348204570185,8.487486398258989,8.26985854189336,2.61153427638738,-3.69967355821545
9,2019-07-10 00:46:40,9.15,8.94,9.15,8.7,137788,-2.295081967213124,9.31,9.94,9.87,9.78,9.34,9.0,4.138702460850123,10.402684563758386,9.395973154362416,4.474272930648774,0.671140939597321
10,2019-07-11 00:46:40,8.93,9.31,9.36,8.7,95238,4.255319148936179,9.35,9.97,10.2,10.25,9.3,9.2,0.4296455424274881,9.559613319011802,10.096670247046182,-0.10741138560687202,-1.1815252416756306
11,2019-07-12 00:46:40,9.35,9.35,9.43,9.075,28753,0.0,9.94,9.87,10.45,9.98,8.88,8.92,6.310160427807486,11.764705882352938,6.737967914438511,-5.026737967914427,-4.5989304812834195
12,2019-07-15 00:46:40,9.39,9.94,9.95,9.135,86712,5.857294994675175,9.97,10.2,9.93,9.77,8.6,9.04,0.3018108651911583,-0.10060362173038015,-1.7102615694164984,-13.480885311871226,-9.05432595573441
13,2019-07-16 00:46:40,9.9,9.97,10.0,9.415,123772,0.7070707070707098,9.87,10.45,9.95,9.69,8.51,9.54,-1.003009027081258,-0.20060180541626227,-2.8084252758274935,-14.643931795386166,-4.312938816449362
14,2019-07-17 00:46:40,9.97,9.87,10.01,9.62,59264,-1.003009027081258,10.2,9.93,9.78,9.61,9.14,9.44,3.343465045592706,-0.9118541033434636,-2.634245187436675,-7.396149949341425,-4.356636271529886
15,2019-07-18 00:46:40,9.85,10.2,10.26,9.135,61664,3.553299492385784,10.45,9.95,10.25,9.64,9.0,9.39,2.450980392156863,0.4901960784313796,-5.490196078431361,-11.764705882352935,-7.941176470588224
16,2019-07-19 00:46:40,10.1,10.45,10.45,9.6,139825,3.465346534653462,9.93,9.78,9.98,9.7,8.98,8.99,-4.97607655502392,-4.497607655502382,-7.177033492822966,-14.066985645933006,-13.9712918660287
17,2019-07-22 00:46:40,10.24,9.93,10.75,9.58,200039,-3.027343750000005,9.95,10.25,9.77,9.41,8.69,8.78,0.2014098690835808,-1.6112789526686822,-5.2366565961732086,-12.48741188318228,-11.581067472306147
18,2019-07-23 00:46:40,9.91,9.95,10.0,9.345,143100,0.4036326942482255,9.78,9.98,9.69,9.43,8.85,9.4,-1.7085427135678386,-2.613065326633164,-5.226130653266328,-11.055276381909545,-5.527638190954764
19,2019-07-24 00:46:40,9.95,9.78,9.95,9.51,165754,-1.7085427135678386,10.25,9.77,9.61,9.34,9.0,9.33,4.8057259713701495,-1.7382413087934554,-4.49897750511247,-7.97546012269938,-4.601226993865024
20,2019-07-25 00:46:40,9.7,10.25,10.3799,9.67,185149,5.6701030927835125,9.98,9.69,9.64,9.3,9.2,9.5,-2.6341463414634103,-5.951219512195117,-9.268292682926822,-10.243902439024396,-7.317073170731707
21,2019-07-26 00:46:40,10.21,9.98,10.2798,9.81,57167,-2.252693437806077,9.77,9.61,9.7,8.88,8.92,10.7,-2.104208416833676,-2.805611222444901,-11.022044088176349,-10.621242484969946,7.2144288577154185
22,2019-07-29 00:46:40,10.0,9.77,10.0,9.61,34109,-2.3000000000000043,9.69,9.64,9.41,8.6,9.04,9.38,-0.8188331627430918,-3.684749232343904,-11.975435005117706,-7.4718526100307106,-3.9918116683725566
23,2019-07-30 00:46:40,9.77,9.69,10.05,9.51,55413,-0.8188331627430918,9.61,9.7,9.43,8.51,9.54,10.02,-0.8255933952528388,-2.6831785345717214,-12.177502579979357,-1.547987616099075,3.405572755417958
