,Datetime,Open,Close,High,Low,Volume,Gain%,1_day,3_day,5_day,10_day,20_day,30_day,1,5,10,20,30
0,2007-07-18 00:46:40,14.5,13.4,14.98,13.02,12442700,-7.5862068965517215,13.9,13.59,12.85,12.6,11.0,9.57,3.731343283582089,-4.104477611940303,-5.970149253731349,-17.910447761194032,-28.582089552238806
1,2007-07-19 00:46:40,13.41,13.9,13.9,13.25,1490500,3.6539895600298298,13.55,13.11,12.11,12.7,11.5,9.8,-2.517985611510789,-12.877697841726626,-8.633093525179863,-17.26618705035971,-29.496402877697836
2,2007-07-20 00:46:40,13.89,13.55,13.92,13.47,919100,-2.447804175665945,13.59,12.85,12.3,12.66,10.36,9.68,0.295202952029514,-9.22509225092251,-6.568265682656831,-23.542435424354252,-28.560885608856097
3,2007-07-23 00:46:40,13.55,13.59,13.75,13.32,627700,0.295202952029514,13.11,12.11,12.25,12.3,10.6,9.59,-3.5320088300220784,-9.86019131714496,-9.492273730684321,-22.001471670345843,-29.433406916850625
4,2007-07-24 00:46:40,13.6,13.11,13.76,12.75,668300,-3.60294117647059,12.85,12.3,12.0,11.72,10.09,9.7,-1.9832189168573593,-8.46681922196796,-10.602593440122035,-23.035850495804727,-26.01067887109077
5,2007-07-25 00:46:40,13.25,12.85,13.25,11.8,824700,-3.0188679245283048,12.11,12.25,12.6,11.35,9.83,9.28,-5.758754863813231,-1.9455252918287937,-11.673151750972762,-23.501945525291827,-27.782101167315176
6,2007-07-26 00:46:40,12.7,12.11,12.7,11.86,239300,-4.6456692913385815,12.3,12.0,12.7,11.33,10.08,8.7,1.5689512799339496,4.872006606110651,-6.440957886044586,-16.763005780346816,-28.158546655656487
7,2007-07-27 00:46:40,12.2,12.3,12.59,11.9,559900,0.8196721311475527,12.25,12.6,12.66,12.0,10.06,8.47,-0.40650406504065617,2.9268292682926784,-2.439024390243908,-18.211382113821138,-31.138211382113816
8,2007-07-30 00:46:40,12.25,12.25,12.5,11.12,386400,0.0,12.0,12.7,12.3,11.99,9.82,8.44,-2.0408163265306123,0.40816326530612823,-2.122448979591835,-19.83673469387755,-31.102040816326536
9,2007-07-31 00:46:40,12.25,12.0,12.4,12.0,198700,-2.0408163265306123,12.6,12.66,11.72,11.83,9.63,8.07,4.9999999999999964,-2.3333333333333277,-1.416666666666666,-19.749999999999993,-32.74999999999999
10,2007-08-01 00:46:40,12.2,12.6,12.77,12.2,300500,3.2786885245901667,12.7,12.3,11.35,11.0,9.57,7.84,0.7936507936507908,-9.920634920634921,-12.698412698412694,-24.047619047619044,-37.77777777777778
11,2007-08-02 00:46:40,12.6,12.7,12.78,12.6,45400,0.7936507936507908,12.66,11.72,11.33,11.5,9.8,7.81,-0.3149606299212532,-10.787401574803145,-9.44881889763779,-22.83464566929133,-38.503937007874015
12,2007-08-03 00:46:40,12.6,12.66,12.95,12.5,59700,0.4761904761904801,12.3,11.35,12.0,10.36,9.68,8.0,-2.8436018957345923,-5.213270142180096,-18.167456556082154,-23.538704581358612,-36.808846761453395
13,2007-08-06 00:46:40,12.65,12.3,12.68,12.18,107200,-2.7667984189723294,11.72,11.33,11.99,10.6,9.59,8.35,-4.715447154471545,-2.5203252032520362,-13.821138211382122,-22.032520325203258,-32.11382113821139
14,2007-08-07 00:46:40,12.2,11.72,12.29,11.71,278500,-3.934426229508186,11.35,12.0,11.83,10.09,9.7,9.58,-3.156996587030725,0.938566552901019,-13.907849829351543,-17.235494880546085,-18.259385665529017
15,2007-08-08 00:46:40,11.44,11.35,11.94,11.1,290200,-0.7867132867132856,11.33,11.99,11.0,9.83,9.28,9.8,-0.17621145374448965,-3.0837004405286312,-13.392070484581495,-18.23788546255507,-13.65638766519823
16,2007-08-09 00:46:40,11.2,11.33,11.74,10.9,130700,1.1607142857142927,12.0,11.83,11.5,10.08,8.7,9.82,5.913503971756398,1.5004413062665483,-11.032656663724625,-23.21270962047662,-13.327449249779344
17,2007-08-10 00:46:40,11.2,12.0,12.295,11.2,156100,7.1428571428571495,11.99,11.0,10.36,10.06,8.47,10.18,-0.08333333333333157,-13.666666666666671,-16.166666666666664,-29.416666666666664,-15.16666666666667
18,2007-08-13 00:46:40,12.0,11.99,12.75,11.9,173600,-0.0833333333333315,11.83,11.5,10.6,9.82,8.44,9.88,-1.33444537114262,-11.592994161801506,-18.09841534612177,-29.60800667222686,-17.59799833194328
19,2007-08-14 00:46:40,12.05,11.83,12.1,11.14,123200,-1.8257261410788437,11.0,10.36,10.09,9.63,8.07,10.24,-7.016060862214708,-14.708368554522403,-18.59678782755705,-31.783601014370245,-13.440405748098055
20,2007-08-15 00:46:40,12.09,11.0,12.09,10.25,228400,-9.01571546732837,11.5,10.6,9.83,9.57,7.84,10.25,4.545454545454546,-10.636363636363635,-12.999999999999998,-28.72727272727273,-6.8181818181818175
21,2007-08-16 00:46:40,10.8,11.5,11.96,10.77,378300,6.481481481481474,10.36,10.09,10.08,9.8,7.81,10.28,-9.913043478260875,-12.347826086956522,-14.782608695652169,-32.08695652173913,-10.60869565217392
22,2007-08-17 00:46:40,11.23,10.36,11.3,9.6,101600,-7.747105966162074,10.6,9.83,10.06,9.68,8.0,11.05,2.316602316602319,-2.8957528957528855,-6.563706563706562,-22.779922779922774,6.660231660231673
23,2007-08-20 00:46:40,10.35,10.6,13.0,10.2,56100,2.415458937198068,10.09,10.08,9.82,9.59,8.35,11.1,-4.811320754716979,-7.35849056603773,-9.52830188679245,-21.22641509433962,4.716981132075472
24,2007-08-21 00:46:40,10.6,10.09,10.66,10.02,39600,-4.811320754716979,9.83,10.06,9.63,9.7,9.58,11.5,-2.5768087215064397,-4.558969276511388,-3.8652130822596686,-5.054509415262634,13.974231912784937
25,2007-08-22 00:46:40,10.09,9.83,10.09,9.26,67200,-2.57680872150644,10.08,9.82,9.57,9.28,9.8,11.81,2.5432349949135302,-2.644964394710069,-5.595116988809773,-0.3051881993896171,20.142421159715163
26,2007-08-23 00:46:40,9.73,10.08,10.2,9.73,185500,3.5971223021582697,10.06,9.63,9.8,8.7,9.82,12.4,-0.19841269841269418,-2.7777777777777715,-13.690476190476197,-2.5793650793650773,23.015873015873016
27,2007-08-24 00:46:40,10.08,10.06,10.29,10.0,15800,-0.1984126984126941,9.82,9.57,9.68,8.47,10.18,11.74,-2.385685884691851,-3.777335984095435,-15.805168986083498,1.1928429423459166,16.69980119284294
28,2007-08-27 00:46:40,10.06,9.82,10.11,9.8,970000,-2.385685884691851,9.63,9.8,9.59,8.44,9.88,11.63,-1.934826883910382,-2.3421588594704725,-14.052953156822817,0.6109979633401272,18.43177189409369
29,2007-08-28 00:46:40,9.82,9.63,10.06,9.6,642200,-1.934826883910382,9.57,9.68,9.7,8.07,10.24,11.45,-0.6230529595015627,0.7268951194184683,-16.199376947040502,6.334371754932497,18.899273104880564
30,2007-08-29 00:46:40,9.55,9.57,9.83,9.55,101600,0.209424083769629,9.8,9.59,9.28,7.84,10.25,11.6,2.4033437826541317,-3.0303030303030396,-18.077324973876703,7.1055381400208955,21.212121212121204
31,2007-08-30 00:46:40,9.73,9.8,10.785,9.69,174300,0.7194244604316575,9.68,9.7,8.7,7.81,10.28,12.06,-1.2244897959183774,-11.224489795918382,-20.3061224489796,4.897959183673455,23.061224489795915
32,2007-08-31 00:46:40,10.0,9.68,10.26,9.5,216200,-3.200000000000003,9.59,9.28,8.47,8.0,11.05,11.75,-0.9297520661157012,-12.499999999999991,-17.355371900826444,14.152892561983482,21.38429752066116
33,2007-09-04 00:46:40,9.8,9.59,10.05,9.48,163300,-2.142857142857152,9.7,8.7,8.44,8.35,11.1,11.57,1.1470281543274186,-11.99165797705944,-12.930135557872788,15.745568300312824,20.646506777893645
34,2007-09-05 00:46:40,9.68,9.7,10.1,9.59,69300,0.2066115702479294,9.28,8.47,8.07,9.58,11.5,12.01,-4.329896907216495,-16.804123711340196,-1.2371134020618477,18.556701030927844,23.81443298969073
35,2007-09-06 00:46:40,9.69,9.28,9.83,9.23,57500,-4.231166150670796,8.7,8.44,7.84,9.8,11.81,11.93,-6.250000000000002,-15.51724137931034,5.603448275862084,27.262931034482772,28.556034482758623
36,2007-09-07 00:46:40,9.18,8.7,9.18,8.69,153000,-5.228758169934646,8.47,8.07,7.81,9.82,12.4,11.65,-2.643678160919525,-10.229885057471263,12.873563218390819,42.528735632183924,33.90804597701151
37,2007-09-10 00:46:40,8.7,8.47,8.7,8.35,30800,-2.643678160919525,8.44,7.84,8.0,10.18,11.74,11.5,-0.35419126328218575,-5.548996458087374,20.18890200708381,38.60684769775678,35.7733175914994
38,2007-09-11 00:46:40,8.46,8.44,8.8,8.4,26200,-0.2364066193853587,8.07,7.81,8.35,9.88,11.63,11.23,-4.383886255924161,-1.0663507109004722,17.061611374407597,37.7962085308057,33.0568720379147
39,2007-09-12 00:46:40,8.44,8.07,8.6,7.93,97200,-4.383886255924161,7.84,8.0,9.58,10.24,11.45,10.9,-2.8500619578686543,18.711276332094172,26.88971499380421,41.88351920693927,35.06815365551425
40,2007-09-13 00:46:40,8.1,7.84,8.15,7.81,153800,-3.209876543209874,7.81,8.35,9.8,10.25,11.6,11.21,-0.382653061224493,25.00000000000001,30.739795918367353,47.95918367346938,42.98469387755103
41,2007-09-14 00:46:40,7.82,7.81,8.02,7.67,180800,-0.127877237851671,8.0,9.58,9.82,10.28,12.06,11.49,2.4327784891165223,25.736235595390532,31.626120358514726,54.417413572343165,47.119078104993605
42,2007-09-17 00:46:40,7.86,8.0,8.16,7.86,39000,1.7811704834605555,8.35,9.8,10.18,11.05,11.75,11.43,4.374999999999996,27.249999999999996,38.12500000000001,46.875,42.875
43,2007-09-18 00:46:40,8.0,8.35,8.39,7.89,188700,4.374999999999996,9.58,9.82,9.88,11.1,11.57,12.0,14.730538922155695,18.323353293413188,32.93413173652694,38.562874251497014,43.712574850299404
44,2007-09-19 00:46:40,8.35,9.58,9.7,8.16,170800,14.730538922155697,9.8,10.18,10.24,11.5,12.01,12.81,2.296450939457209,6.889352818371609,20.041753653444676,25.365344467640917,33.7160751565762
45,2007-09-20 00:46:40,9.5,9.8,9.9,9.34,109400,3.157894736842113,9.82,9.88,10.25,11.81,11.93,13.09,0.20408163265305687,4.59183673469387,20.51020408163265,21.73469387755101,33.571428571428555
46,2007-09-21 00:46:40,9.8,9.82,9.9,9.54,124800,0.2040816326530568,10.18,10.24,10.28,12.4,11.65,13.0,3.6659877800407275,4.684317718940927,26.272912423625254,18.635437881873727,32.382892057026474
47,2007-09-24 00:46:40,9.69,10.18,10.3,9.69,231300,5.056759545923635,9.88,10.25,11.05,11.74,11.5,12.39,-2.9469548133595183,8.546168958742642,15.324165029469553,12.966601178781929,21.709233791748535
48,2007-09-25 00:46:40,10.15,9.88,10.4,9.75,196500,-2.6600985221674835,10.24,10.28,11.1,11.63,11.23,11.77,3.6437246963562693,12.348178137651809,17.712550607287447,13.663967611336028,19.129554655870432
49,2007-09-26 00:46:40,9.89,10.24,10.3,9.86,111700,3.538928210313444,10.25,11.05,11.5,11.45,10.9,11.27,0.09765624999999792,12.304687499999996,11.816406249999991,6.445312500000002,10.058593749999993
50,2007-09-27 00:46:40,10.16,10.25,10.42,9.99,210900,0.885826771653542,10.28,11.1,11.81,11.6,11.21,9.74,0.29268292682926206,15.219512195121956,13.17073170731707,9.365853658536594,-4.975609756097559
51,2007-09-28 00:46:40,10.23,10.28,11.1,10.02,1288100,0.4887585532746719,11.05,11.5,12.4,12.06,11.49,9.1,7.490272373540869,20.622568093385222,17.315175097276278,11.770428015564212,-11.478599221789882
