,Datetime,Open,Close,High,Low,Volume,Gain%,1_day,3_day,5_day,10_day,20_day,30_day,1,5,10,20,30
0,2020-08-12 00:46:40,5.0,4.15,5.05,3.83,1210419,-16.999999999999993,4.5,4.46,4.25,3.98,3.94,2.92,8.433734939759027,2.4096385542168584,-4.096385542168683,-5.06024096385543,-29.63855421686748
1,2020-08-13 00:46:40,4.25,4.5,4.74,3.96,874903,5.88235294117647,4.32,4.41,4.32,3.89,3.8,2.66,-3.999999999999994,-3.999999999999994,-13.555555555555554,-15.555555555555559,-40.888888888888886
2,2020-08-14 00:46:40,4.5,4.32,4.5,4.06,390939,-3.999999999999994,4.46,4.25,4.23,3.69,3.88,2.29,3.240740740740733,-2.08333333333333,-14.58333333333334,-10.185185185185192,-46.99074074074075
3,2020-08-17 00:46:40,4.4,4.46,4.5899,4.381,253769,1.3636363636363549,4.41,4.32,4.13,3.73,3.97,2.35,-1.1210762331838524,-7.399103139013455,-16.367713004484305,-10.986547085201789,-47.309417040358746
4,2020-08-18 00:46:40,4.55,4.41,4.7,4.37,298369,-3.07692307692307,4.25,4.23,4.15,4.14,4.1,2.23,-3.6281179138322024,-5.89569160997732,-6.122448979591847,-7.029478458049898,-49.43310657596372
5,2020-08-19 00:46:40,4.41,4.25,4.47,4.25,184492,-3.6281179138322015,4.32,4.13,3.98,4.39,4.12,2.25,1.6470588235294186,-6.352941176470589,3.2941176470588163,-3.0588235294117623,-47.05882352941176
6,2020-08-20 00:46:40,4.26,4.32,4.43,4.25,81650,1.408450704225364,4.23,4.15,3.89,4.07,4.0,2.305,-2.08333333333333,-9.953703703703706,-5.787037037037036,-7.407407407407414,-46.64351851851852
7,2020-08-21 00:46:40,4.25,4.23,4.2801,4.2,127369,-0.4705882352941076,4.13,3.98,3.69,4.08,4.1,2.41,-2.36406619385344,-12.765957446808521,-3.5460992907801496,-3.0732860520094745,-43.02600472813239
8,2020-08-24 00:46:40,4.35,4.13,4.35,4.08,170744,-5.057471264367811,4.15,3.89,3.73,4.0,3.8,2.57,0.48426150121066497,-9.685230024213073,-3.1476997578692467,-7.990314769975789,-37.77239709443099
9,2020-08-25 00:46:40,4.13,4.15,4.25,4.06,89751,0.4842615012106649,3.98,3.69,4.14,4.02,3.91,2.6,-4.096385542168683,-0.24096385542170298,-3.132530120481946,-5.783132530120486,-37.34939759036145
10,2020-08-26 00:46:40,4.15,3.98,4.2099,3.86,474445,-4.096385542168683,3.89,3.73,4.39,3.94,2.92,2.64,-2.2613065326633133,10.301507537688433,-1.0050251256281415,-26.633165829145728,-33.66834170854271
11,2020-08-27 00:46:40,3.98,3.89,3.98,3.8,116151,-2.2613065326633133,3.69,4.14,4.07,3.8,2.66,2.73,-5.141388174807203,4.627249357326482,-2.313624678663247,-31.619537275064264,-29.82005141388175
12,2020-08-28 00:46:40,3.96,3.69,3.96,3.66,140509,-6.818181818181819,3.73,4.39,4.08,3.88,2.29,2.8,1.084010840108402,10.569105691056913,5.149051490514904,-37.94037940379403,-24.119241192411927
13,2020-08-31 00:46:40,3.8,3.73,3.84,3.65,91785,-1.8421052631578907,4.14,4.07,4.0,3.97,2.35,2.75,10.991957104557633,7.238605898123325,6.4343163538874055,-36.997319034852545,-26.273458445040216
14,2020-09-01 00:46:40,3.82,4.14,5.26,3.67,8506112,8.376963350785337,4.39,4.08,4.02,4.1,2.23,3.02,6.038647342995169,-2.898550724637684,-0.966183574879228,-46.13526570048309,-27.05314009661835
15,2020-09-02 00:46:40,4.15,4.39,4.49,4.06,795191,5.783132530120465,4.07,4.0,3.94,4.12,2.25,2.94,-7.289293849658302,-10.250569476082,-6.1503416856491935,-48.747152619589976,-33.02961275626423
16,2020-09-03 00:46:40,4.3,4.07,4.3,4.0,569859,-5.348837209302316,4.08,4.02,3.8,4.0,2.305,3.03,0.24570024570024046,-6.633906633906644,-1.7199017199017268,-43.36609336609337,-25.552825552825563
17,2020-09-04 00:46:40,4.08,4.08,4.144,3.77,295942,0.0,4.0,3.94,3.88,4.1,2.41,3.0,-1.960784313725492,-4.901960784313729,0.49019607843136215,-40.931372549019606,-26.47058823529412
18,2020-09-08 00:46:40,4.02,4.0,4.49,3.95,987602,-0.4975124378109347,4.02,3.8,3.97,3.8,2.57,3.11,0.49999999999998934,-0.7499999999999951,-5.000000000000004,-35.75000000000001,-22.250000000000004
19,2020-09-09 00:46:40,4.05,4.02,4.2,4.01,83350,-0.7407407407407469,3.94,3.88,4.1,3.91,2.6,3.05,-1.990049751243772,1.9900497512437831,-2.736318407960185,-35.3233830845771,-24.12935323383084
20,2020-09-10 00:46:40,4.02,3.94,4.15,3.9,213191,-1.990049751243772,3.8,3.97,4.12,2.92,2.64,3.13,-3.55329949238579,4.56852791878173,-25.888324873096447,-32.99492385786802,-20.558375634517766
21,2020-09-11 00:46:40,3.98,3.8,3.99,3.7,257662,-4.522613065326637,3.88,4.1,4.0,2.66,2.73,3.39,2.105263157894739,5.263157894736848,-29.999999999999993,-28.157894736842103,-10.789473684210519
22,2020-09-14 00:46:40,3.94,3.88,3.96,3.8,70389,-1.52284263959391,3.97,4.12,4.1,2.29,2.8,3.18,2.319587628865987,5.670103092783499,-40.97938144329897,-27.835051546391753,-18.041237113402055
23,2020-09-15 00:46:40,4.0,3.97,4.06,3.8388,200804,-0.7499999999999951,4.1,4.0,3.8,2.35,2.75,3.25,3.274559193954646,-4.282115869017641,-40.80604534005038,-30.730478589420656,-18.136020151133504
24,2020-09-16 00:46:40,3.94,4.1,4.4,3.91,1517435,4.060913705583748,4.12,4.1,3.91,2.23,3.02,2.97,0.48780487804879175,-4.634146341463403,-45.609756097560975,-26.34146341463414,-27.56097560975609
25,2020-09-17 00:46:40,4.01,4.12,4.15,3.92,299109,2.743142144638412,4.0,3.8,2.92,2.25,2.94,3.0,-2.9126213592233037,-29.126213592233015,-45.38834951456311,-28.64077669902913,-27.18446601941748
26,2020-09-18 00:46:40,4.08,4.0,4.21,4.0,136261,-1.960784313725492,4.1,3.91,2.66,2.305,3.03,2.89,2.499999999999991,-33.5,-42.37499999999999,-24.250000000000004,-27.749999999999996
27,2020-09-21 00:46:40,4.02,4.1,4.18,4.0,184624,1.9900497512437831,3.8,2.92,2.29,2.41,3.0,2.73,-7.317073170731704,-44.14634146341463,-41.21951219512194,-26.829268292682922,-33.41463414634146
28,2020-09-22 00:46:40,4.1,3.8,4.1,3.8,231100,-7.317073170731704,3.91,2.66,2.35,2.57,3.11,2.76,2.8947368421052717,-38.1578947368421,-32.36842105263158,-18.157894736842103,-27.368421052631582
29,2020-09-23 00:46:40,3.95,3.91,4.09,3.87,542152,-1.0126582278481022,2.92,2.29,2.23,2.6,3.05,2.95,-25.31969309462916,-42.96675191815857,-33.50383631713555,-21.99488491048594,-24.552429667519178
30,2020-09-24 00:46:40,2.7,2.92,2.99,2.67,536075,8.14814814814814,2.66,2.35,2.25,2.64,3.13,3.0,-8.904109589041088,-22.945205479452053,-9.589041095890405,7.191780821917808,2.739726027397263
31,2020-09-25 00:46:40,2.9,2.66,2.92,2.47,380876,-8.27586206896551,2.29,2.23,2.305,2.73,3.39,3.05,-13.909774436090228,-13.345864661654133,2.631578947368415,27.443609022556387,14.661654135338335
32,2020-09-28 00:46:40,2.58,2.29,2.69,2.1301,531572,-11.24031007751938,2.35,2.25,2.41,2.8,3.18,2.81,2.6200873362445436,5.240174672489087,22.270742358078593,38.864628820960704,22.707423580786028
33,2020-09-29 00:46:40,2.26,2.35,2.432,2.16,312324,3.982300884955766,2.23,2.305,2.57,2.75,3.25,2.92,-5.106382978723409,9.361702127659562,17.021276595744677,38.29787234042553,24.255319148936163
34,2020-09-30 00:46:40,2.29,2.23,2.375,2.23,100270,-2.620087336244544,2.25,2.41,2.6,3.02,2.97,2.86,0.896860986547086,16.591928251121082,35.42600896860987,33.183856502242165,28.251121076233176
35,2020-10-01 00:46:40,2.21,2.25,2.31,2.21,53946,1.8099547511312235,2.305,2.57,2.64,2.94,3.0,2.96,2.4444444444444513,17.33333333333334,30.666666666666664,33.33333333333333,31.555555555555554
36,2020-10-02 00:46:40,2.18,2.305,2.36,2.1,128362,5.73394495412844,2.41,2.6,2.73,3.03,2.89,2.77,4.555314533622559,18.438177874186543,31.453362255965274,25.379609544468547,20.17353579175704
37,2020-10-05 00:46:40,2.37,2.41,2.5,2.35,111086,1.6877637130801704,2.57,2.64,2.8,3.0,2.73,2.73,6.63900414937758,16.18257261410787,24.48132780082987,13.278008298755179,13.278008298755179
38,2020-10-06 00:46:40,2.43,2.57,2.6,2.42,101256,5.76131687242797,2.6,2.73,2.75,3.11,2.76,2.64,1.1673151750972859,7.003891050583665,21.011673151750976,7.392996108949415,2.7237354085603225
39,2020-10-07 00:46:40,2.54,2.6,2.63,2.48,58810,2.362204724409451,2.64,2.8,3.02,3.05,2.95,2.6,1.5384615384615397,16.15384615384615,17.307692307692296,13.461538461538463,0.0
40,2020-10-08 00:46:40,2.59,2.64,2.64,2.54,33461,1.9305019305019409,2.73,2.75,2.94,3.13,3.0,2.7,3.4090909090909034,11.363636363636356,18.560606060606048,13.63636363636363,2.2727272727272747
41,2020-10-09 00:46:40,2.61,2.73,2.86,2.61,120452,4.597701149425292,2.8,3.02,3.03,3.39,3.05,2.81,2.564102564102558,10.989010989010982,24.175824175824182,11.721611721611715,2.9304029304029333
