,Datetime,Open,Close,High,Low,Volume,Gain%,1_day,3_day,5_day,10_day,20_day,30_day,1,5,10,20,30
0,2006-06-09 00:46:40,0.0001,0.0001,0.0001,0.0001,0,0.0,0.0001,0.0001,0.0001,0.08,0.04,0.02,0.0,0.0,79900.0,39899.99999999999,19900.0
1,2006-06-12 00:46:40,0.0001,0.0001,0.0001,0.0001,0,0.0,0.0001,0.0001,0.0001,0.08,0.05,0.02,0.0,0.0,79900.0,49900.0,19900.0
2,2006-06-13 00:46:40,0.0001,0.0001,0.0001,0.0001,0,0.0,0.0001,0.0001,0.01,0.06,0.05,0.02,0.0,9900.0,59899.999999999985,49900.0,19900.0
3,2006-06-14 00:46:40,0.0001,0.0001,0.0001,0.0001,0,0.0,0.0001,0.0001,0.02,0.06,0.06,0.013,0.0,19900.0,59899.999999999985,59899.999999999985,12900.0
4,2006-06-15 00:46:40,0.0001,0.0001,0.0001,0.0001,0,0.0,0.0001,0.01,0.02,0.03,0.05,0.013,0.0,19900.0,29900.0,49900.0,12900.0
5,2006-06-16 00:46:40,0.0001,0.0001,0.0001,0.0001,0,0.0,0.0001,0.02,0.08,0.03,0.04,0.013,0.0,79900.0,29900.0,39899.99999999999,12900.0
6,2006-06-19 00:46:40,0.0001,0.0001,0.0001,0.0001,0,0.0,0.01,0.02,0.08,0.03,0.02,0.01,9900.0,79900.0,29900.0,19900.0,9900.0
7,2006-11-21 00:46:40,0.01,0.01,0.01,0.01,5000,0.0,0.02,0.08,0.06,0.03,0.025,0.01,100.0,499.9999999999999,199.99999999999994,150.0,0.0
8,2006-11-22 00:46:40,0.02,0.02,0.02,0.02,5000,0.0,0.02,0.08,0.06,0.07,0.04,0.005,0.0,199.99999999999994,250.0,100.0,-75.0
9,2006-11-28 00:46:40,0.02,0.02,0.02,0.02,50000,0.0,0.08,0.06,0.03,0.07,0.02,0.005,300.0,49.999999999999986,250.0,0.0,-75.0
10,2006-12-18 00:46:40,0.05,0.08,0.08,0.05,15000,60.0,0.08,0.06,0.03,0.04,0.02,0.04,0.0,-62.5,-50.0,-75.0,-50.0
11,2006-12-19 00:46:40,0.05,0.08,0.08,0.05,15000,60.0,0.06,0.03,0.03,0.05,0.02,0.005,-25.000000000000007,-62.5,-37.5,-75.0,-93.75
12,2007-01-04 00:46:40,0.06,0.06,0.06,0.06,5500,0.0,0.06,0.03,0.03,0.05,0.02,0.005,0.0,-50.0,-16.66666666666666,-66.66666666666666,-91.66666666666667
13,2007-01-05 00:46:40,0.06,0.06,0.06,0.06,5500,0.0,0.03,0.03,0.07,0.06,0.013,0.002,-50.0,16.666666666666682,0.0,-78.33333333333333,-96.66666666666667
14,2007-01-30 00:46:40,0.03,0.03,0.03,0.03,5000,0.0,0.03,0.03,0.07,0.05,0.013,0.002,0.0,133.33333333333337,66.66666666666669,-56.66666666666668,-93.33333333333333
15,2007-02-07 00:46:40,0.03,0.03,0.03,0.03,25000,0.0,0.03,0.07,0.04,0.04,0.013,0.002,0.0,33.33333333333334,33.33333333333334,-56.66666666666668,-93.33333333333333
16,2007-03-12 00:46:40,0.03,0.03,0.03,0.03,3995,0.0,0.03,0.07,0.05,0.02,0.01,0.002,0.0,66.66666666666669,-33.33333333333333,-66.66666666666666,-93.33333333333333
17,2007-03-23 00:46:40,0.03,0.03,0.03,0.03,5000,0.0,0.07,0.04,0.05,0.025,0.01,0.002,133.33333333333337,66.66666666666669,-16.66666666666666,-66.66666666666666,-93.33333333333333
18,2007-03-26 00:46:40,0.07,0.07,0.07,0.07,15000,0.0,0.07,0.05,0.06,0.04,0.005,0.002,0.0,-14.285714285714295,-42.85714285714286,-92.85714285714285,-97.14285714285714
19,2007-03-28 00:46:40,0.07,0.07,0.07,0.07,5000,0.0,0.04,0.05,0.05,0.02,0.005,0.002,-42.85714285714286,-28.571428571428577,-71.42857142857143,-92.85714285714285,-97.14285714285714
20,2007-05-17 00:46:40,0.04,0.04,0.04,0.04,200,0.0,0.05,0.06,0.04,0.02,0.04,0.002,25.000000000000007,0.0,-50.0,0.0,-95.0
21,2007-06-01 00:46:40,0.05,0.05,0.05,0.05,10000,0.0,0.05,0.05,0.02,0.02,0.005,0.0021,0.0,-60.0,-60.0,-90.0,-95.80000000000001
22,2007-06-06 00:46:40,0.05,0.05,0.05,0.05,10000,0.0,0.06,0.04,0.025,0.02,0.005,0.0021,19.99999999999999,-50.0,-60.0,-90.0,-95.80000000000001
23,2007-06-07 00:46:40,0.05,0.06,0.15,0.04,37000,19.99999999999999,0.05,0.02,0.04,0.013,0.002,0.0021,-16.66666666666666,-33.33333333333333,-78.33333333333333,-96.66666666666667,-96.50000000000001
24,2007-08-01 00:46:40,0.05,0.05,0.05,0.05,10000,0.0,0.04,0.025,0.02,0.013,0.002,0.0021,-20.000000000000004,-60.0,-74.00000000000001,-96.0,-95.80000000000001
25,2007-08-07 00:46:40,0.04,0.04,0.04,0.04,10000,0.0,0.02,0.04,0.02,0.013,0.002,0.0001,-50.0,-50.0,-67.5,-95.0,-99.75
26,2007-08-09 00:46:40,0.02,0.02,0.02,0.02,5000,0.0,0.025,0.02,0.02,0.01,0.002,15.03,25.000000000000007,0.0,-50.0,-90.00000000000001,75050.0
27,2007-09-17 00:46:40,0.025,0.025,0.025,0.025,3000,0.0,0.04,0.02,0.02,0.01,0.002,14.71,60.0,-20.000000000000004,-60.0,-92.0,58740.0
28,2007-10-12 00:46:40,0.04,0.04,0.04,0.04,5000,0.0,0.02,0.02,0.013,0.005,0.002,14.51,-50.0,-67.5,-87.50000000000001,-95.0,36175.0
29,2007-10-23 00:46:40,0.02,0.02,0.02,0.02,15500,0.0,0.02,0.02,0.013,0.005,0.002,14.38,0.0,-35.0,-75.0,-90.00000000000001,71800.0
30,2007-10-24 00:46:40,0.02,0.02,0.02,0.02,10000,0.0,0.02,0.013,0.013,0.04,0.002,14.27,0.0,-35.0,100.0,-90.00000000000001,71250.0
31,2007-11-19 00:46:40,0.02,0.02,0.02,0.02,10000,0.0,0.02,0.013,0.01,0.005,0.0021,13.37,0.0,-50.0,-75.0,-89.49999999999999,66750.0
32,2007-11-27 00:46:40,0.02,0.02,0.02,0.02,5000,0.0,0.013,0.013,0.01,0.005,0.0021,13.31,-35.0,-50.0,-75.0,-89.49999999999999,66450.0
33,2007-12-04 00:46:40,0.013,0.013,0.013,0.013,11000,0.0,0.013,0.01,0.005,0.002,0.0021,13.37,0.0,-61.53846153846154,-84.61538461538461,-83.84615384615385,102746.15384615386
34,2007-12-06 00:46:40,0.013,0.013,0.013,0.013,200,0.0,0.013,0.01,0.005,0.002,0.0021,12.98,0.0,-61.53846153846154,-84.61538461538461,-83.84615384615385,99746.15384615386
35,2007-12-27 00:46:40,0.013,0.013,0.013,0.013,7000,0.0,0.01,0.005,0.04,0.002,0.0001,13.09,-23.076923076923073,207.6923076923077,-84.61538461538461,-99.23076923076923,100592.3076923077
