,Datetime,Open,Close,High,Low,Volume,Gain%,1_day,3_day,5_day,10_day,20_day,30_day,1,5,10,20,30
0,2017-05-24 00:46:40,6.0,6.725,7.0,5.75,2830660,12.083333333333329,6.75,6.49,6.725,7.99,8.1,7.995,0.3717472118959161,0.0,18.810408921933096,20.446096654275095,18.884758364312276
1,2017-05-25 00:46:40,6.925,6.75,7.16,6.675,475772,-2.527075812274365,6.615,6.55,7.045,7.87,8.605,7.88,-1.999999999999997,4.370370370370369,16.592592592592595,27.48148148148149,16.74074074074074
2,2017-05-26 00:46:40,6.68,6.615,6.8122,6.23,112414,-0.9730538922155616,6.49,6.725,8.0,7.025,8.41,7.68,-1.889644746787604,20.937263794406647,6.198034769463343,27.13529856386999,16.099773242630377
3,2017-05-30 00:46:40,6.6,6.49,6.6275,6.14,142338,-1.6666666666666583,6.55,7.045,7.85,7.26,8.22,7.7,0.9244992295839694,20.9553158705701,11.86440677966101,26.65639445300463,18.644067796610166
4,2017-05-31 00:46:40,6.51,6.55,6.75,6.465,111408,0.6144393241167441,6.725,8.0,7.97,7.52,8.225,7.75,2.6717557251908373,21.679389312977097,14.809160305343507,25.572519083969464,18.320610687022903
5,2017-06-01 00:46:40,6.54,6.725,7.0,6.54,256190,2.8287461773700247,7.045,7.85,7.99,7.575,8.145,7.815,4.758364312267663,18.810408921933096,12.639405204460974,21.11524163568773,16.208178438661722
6,2017-06-02 00:46:40,6.76,7.045,7.05,6.6175,71826,4.215976331360949,8.0,7.97,7.87,7.65,8.095,8.4,13.555713271823992,11.710432931156852,8.587650816181695,14.904187366926907,19.233498935415195
7,2017-06-05 00:46:40,7.03,8.0,8.625,7.03,318082,13.798008534850636,7.85,7.99,7.025,7.65,7.855,8.56,-1.8750000000000044,-12.187499999999996,-4.374999999999996,-1.8124999999999947,7.000000000000006
8,2017-06-06 00:46:40,7.965,7.85,8.6,7.55805,90930,-1.443816698053989,7.97,7.87,7.26,7.64,8.045,8.41,1.528662420382167,-7.515923566878979,-2.6751592356687897,2.4840764331210226,7.133757961783446
9,2017-06-07 00:46:40,7.9,7.97,8.275,7.9,103564,0.8860759493670809,7.99,7.025,7.52,7.875,8.01,8.13,0.2509410288582241,-5.646173149309915,-1.1919698870765338,0.5018820577164371,2.0075282308657596
10,2017-06-08 00:46:40,8.1749,7.99,8.1749,7.762,30626,-2.2618013676008144,7.87,7.26,7.575,8.1,7.995,8.06,-1.5018773466833555,-5.193992490613267,1.3767209011264008,0.06257822277847176,0.8760951188986269
11,2017-06-09 00:46:40,7.905,7.87,8.1045,7.565,43192,-0.4427577482605963,7.025,7.52,7.65,8.605,7.88,7.93,-10.736975857687417,-2.795425667090213,9.339263024142316,0.12706480304955256,0.7623888182973266
12,2017-06-12 00:46:40,7.9,7.025,7.9,6.955,69342,-11.075949367088606,7.26,7.575,7.65,8.41,7.68,8.115,3.3451957295373584,8.89679715302491,19.7153024911032,9.323843416370098,15.516014234875442
13,2017-06-13 00:46:40,7.1,7.26,7.305,6.825,91194,2.2535211267605657,7.52,7.65,7.64,8.22,7.7,9.5,3.5812672176308515,5.234159779614324,13.22314049586778,6.060606060606066,30.853994490358133
14,2017-06-14 00:46:40,7.295,7.52,7.85495,7.15795,114960,3.0843043180260405,7.575,7.65,7.875,8.225,7.75,9.0,0.7313829787234123,4.72074468085107,9.375000000000002,3.058510638297878,19.68085106382979
15,2017-06-15 00:46:40,7.61,7.575,7.99,7.28885,22552,-0.459921156373195,7.65,7.64,8.1,8.145,7.815,9.2,0.9900990099009923,6.930693069306923,7.524752475247516,3.168316831683171,21.45214521452144
16,2017-06-16 00:46:40,7.505,7.65,7.725,7.43275,36992,1.932045303131252,7.65,7.875,8.605,8.095,8.4,9.045,0.0,12.483660130718954,5.816993464052291,9.803921568627452,18.23529411764705
17,2017-06-19 00:46:40,7.975,7.65,8.155,7.5733,364478,-4.07523510971786,7.64,8.1,8.41,7.855,8.56,9.2,-0.13071895424837482,9.934640522875814,2.679738562091504,11.895424836601308,20.261437908496717
18,2017-06-20 00:46:40,7.7,7.64,7.89995,7.53,124474,-0.7792207792207856,7.875,8.605,8.22,8.045,8.41,9.135,3.0759162303664964,7.591623036649228,5.301047120418851,10.07853403141362,19.568062827225134
19,2017-06-21 00:46:40,7.7,7.875,7.9768,7.5975,183820,2.2727272727272703,8.1,8.41,8.225,8.01,8.13,9.395,2.8571428571428523,4.444444444444439,1.7142857142857115,3.2380952380952484,19.301587301587297
20,2017-06-22 00:46:40,7.905,8.1,8.535,7.73,741690,2.4667931688804474,8.605,8.22,8.145,7.995,8.06,9.375,6.234567901234578,0.5555555555555547,-1.2962962962962907,-0.49382716049381664,15.740740740740748
21,2017-06-23 00:46:40,8.65,8.605,8.84495,8.1,1189606,-0.5202312138728316,8.41,8.225,8.095,7.88,7.93,9.125,-2.266124346310288,-5.926786751888434,-8.425334108076706,-7.844276583381762,6.0429982568274205
22,2017-06-26 00:46:40,8.68,8.41,8.825,8.25,236384,-3.110599078341009,8.22,8.145,7.855,7.68,8.115,9.05,-2.2592152199762126,-6.599286563614741,-8.680142687277057,-3.507728894173602,7.609988109393585
23,2017-06-27 00:46:40,8.34,8.22,8.5,7.915,321528,-1.4388489208633,8.225,8.095,8.045,7.7,9.5,9.21,0.0608272506082604,-2.128953771289546,-6.326034063260345,15.571776155717753,12.043795620437958
24,2017-06-28 00:46:40,8.23,8.225,8.487,8.01,171602,-0.0607533414337883,8.145,7.855,8.01,7.75,9.0,9.05,-0.972644376899697,-2.6139817629179314,-5.775075987841941,9.422492401215809,10.030395136778129
25,2017-06-29 00:46:40,8.205,8.145,8.25,7.845,165840,-0.7312614259597867,8.095,8.045,7.995,7.815,9.2,9.165,-0.6138735420503246,-1.8416206261510064,-4.051565377532219,12.952731737262122,12.523020257826884
26,2017-06-30 00:46:40,8.145,8.095,8.2625,7.685,122132,-0.6138735420503246,7.855,8.01,7.88,8.4,9.045,9.305,-2.9647930821494772,-2.65596046942558,3.7677578752316205,11.735639283508329,14.947498455836925
27,2017-07-03 00:46:40,8.09,7.855,8.39,7.795,171444,-2.9048207663782377,8.045,7.995,7.68,8.56,9.2,9.6,2.418841502227874,-2.2278803309993727,8.975175047740294,17.122851686823665,22.215149586250785
28,2017-07-05 00:46:40,7.99,8.045,8.25,7.875,345672,0.6883604505632004,8.01,7.88,7.7,8.41,9.135,9.695,-0.43505282784338273,-4.288377874456181,4.53697949036669,13.548788067122436,20.509633312616536
29,2017-07-06 00:46:40,7.995,8.01,8.09,7.7,289916,0.1876172607879885,7.995,7.68,7.75,8.13,9.395,9.0,-0.18726591760299227,-3.245942571785266,1.4981273408239826,17.290886392009984,12.359550561797755
30,2017-07-07 00:46:40,7.995,7.995,8.14,7.74505,235972,0.0,7.88,7.7,7.815,8.06,9.375,9.2075,-1.4383989993746118,-2.2514071294559064,0.8130081300813058,17.26078799249531,15.16572858036272
31,2017-07-10 00:46:40,7.925,7.88,7.9505,7.815,88268,-0.5678233438485796,7.68,7.75,8.4,7.93,9.125,9.115,-2.53807106598985,6.59898477157361,0.6345177664974597,15.799492385786804,15.672588832487314
