Datetime,Open,Close,High,Low,Volume,Gain%
2003-02-03 00:46:40,10.94,10.94,11.01,10.5,1104400,0.0
2003-02-04 00:46:40,10.89,10.63,10.89,10.49,500700,-2.387511478420567
2003-02-05 00:46:40,10.61,10.55,10.7,10.4,519600,-0.5655042412817975
2003-02-06 00:46:40,10.65,10.34,10.7,10.09,1151500,-2.9107981220657324
2003-02-07 00:46:40,10.32,10.14,10.34,9.85,622900,-1.744186046511625
2003-02-10 00:46:40,10.2,10.22,10.3,10.09,388100,0.19607843137256228
2003-02-11 00:46:40,10.22,10.12,10.31,10.05,295900,-0.9784735812133211
2003-02-12 00:46:40,10.05,9.29,10.09,9.29,1262100,-7.562189054726383
2003-02-13 00:46:40,9.33,9.48,9.65,9.33,875200,1.6077170418006468
2003-02-14 00:46:40,9.52,9.5,9.68,9.47,511300,-0.2100840336134409
2003-02-18 00:46:40,9.8,9.82,9.9,9.66,772400,0.20408163265305687
2003-02-19 00:46:40,10.22,9.65,10.22,9.65,479300,-5.5772994129158535
2003-02-20 00:46:40,9.85,9.65,9.85,9.54,737500,-2.030456852791871
2003-02-21 00:46:40,9.68,9.72,9.8,9.5,565800,0.41322314049587733
2003-02-24 00:46:40,9.92,9.45,9.92,9.45,537500,-4.737903225806458
2003-02-25 00:46:40,9.45,9.68,9.68,9.31,321900,2.4338624338624384
2003-02-26 00:46:40,9.58,9.58,9.7,9.52,307600,0.0
2003-02-27 00:46:40,9.7,9.89,9.91,9.7,413300,1.9587628865979514
2003-02-28 00:46:40,9.91,10.0,10.15,9.85,987100,0.9081735620585252
2003-03-03 00:46:40,10.1,9.71,10.14,9.65,750900,-3.8613861386138497
2003-03-04 00:46:40,9.55,9.43,9.68,9.35,436500,-1.2565445026178113
2003-03-05 00:46:40,9.5,9.43,9.54,9.3,437800,-0.736842105263161
2003-03-06 00:46:40,9.31,9.2,9.33,9.15,508100,-1.1815252416756306
2003-03-07 00:46:40,9.15,9.67,9.72,9.1,589700,5.683060109289612
2003-03-10 00:46:40,9.87,10.05,10.16,9.65,1434600,1.8237082066869452
2003-03-11 00:46:40,10.06,10.05,10.16,10.01,893500,-0.09940357852882492
2003-03-12 00:46:40,10.05,10.05,10.12,10.0,608300,0.0
2003-03-13 00:46:40,10.05,10.33,10.44,10.05,457400,2.786069651741287
2003-03-14 00:46:40,10.45,10.18,10.49,10.15,690700,-2.583732057416264
2003-03-17 00:46:40,10.18,10.69,10.77,10.14,494800,5.009823182711196
2003-03-18 00:46:40,10.75,11.06,11.19,10.75,556600,2.883720930232563
2003-03-19 00:46:40,11.1,10.9,11.13,10.81,469000,-1.8018018018017956
2003-03-20 00:46:40,10.9,10.85,10.9,10.75,567600,-0.45871559633028175
2003-03-21 00:46:40,10.9,11.42,11.55,10.88,959400,4.770642201834859
2003-03-24 00:46:40,11.0,10.79,11.18,10.76,516500,-1.909090909090917
2003-03-25 00:46:40,10.85,11.05,11.3,10.85,472200,1.8433179723502402
2003-03-26 00:46:40,11.03,10.94,11.2,10.91,266300,-0.8159564823209416
2003-03-27 00:46:40,10.9,10.87,11.05,10.81,389500,-0.2752293577981756
2003-03-28 00:46:40,10.88,10.95,11.04,10.8,347700,0.6433823529411627
2003-03-31 00:46:40,10.95,10.5,10.95,10.5,711200,-4.109589041095884
2003-04-01 00:46:40,10.52,10.78,10.95,10.5,654600,2.4714828897338386
2003-04-02 00:46:40,10.98,11.0,11.24,10.9,699600,0.18214936247722746
2003-04-03 00:46:40,11.1,11.12,11.25,11.02,421300,0.18018018018017634
2003-04-04 00:46:40,11.3,11.22,11.4,11.16,372000,-0.707964601769912
2003-04-07 00:46:40,11.45,11.14,11.65,11.14,417000,-2.707423580786015
2003-04-08 00:46:40,11.15,11.11,11.25,11.1,356200,-0.3587443946188424
2003-04-09 00:46:40,11.11,11.0,11.23,10.96,430800,-0.9900990099009851
2003-04-10 00:46:40,11.0,11.04,11.15,10.85,534000,0.3636363636363559
2003-04-11 00:46:40,11.14,11.0,11.18,10.96,265400,-1.2567324955116748
2003-04-14 00:46:40,11.0,11.05,11.15,10.8,417900,0.454545454545461
2003-04-15 00:46:40,11.05,11.07,11.14,10.86,365700,0.1809954751131183
2003-04-16 00:46:40,11.09,10.86,11.12,10.77,423800,-2.073940486925162
2003-04-17 00:46:40,10.7,10.75,10.86,10.62,577100,0.4672897196261749
2003-04-21 00:46:40,10.78,11.1,11.1,10.66,518100,2.968460111317257
2003-04-22 00:46:40,11.0,11.08,11.14,10.85,522700,0.7272727272727278
2003-04-23 00:46:40,11.2,11.23,11.31,11.08,631100,0.267857142857153
2003-04-24 00:46:40,11.23,11.97,11.98,11.23,888100,6.589492430988425
2003-04-25 00:46:40,11.97,11.52,11.97,11.45,389700,-3.7593984962406104
2003-04-28 00:46:40,11.47,11.8,11.93,11.45,456600,2.8770706190061035
2003-04-29 00:46:40,11.96,11.85,11.99,11.8,335100,-0.9197324414715818
2003-04-30 00:46:40,11.96,12.36,12.4,11.91,816200,3.3444816053511586
2003-05-01 00:46:40,12.35,12.0,12.35,11.83,715100,-2.8340080971659893
2003-05-02 00:46:40,12.07,12.36,12.39,12.06,283200,2.4026512013255936
2003-05-05 00:46:40,12.35,12.26,12.35,12.01,294400,-0.7287449392712539
2003-05-06 00:46:40,12.35,12.05,12.35,12.05,334500,-2.4291497975708416
2003-05-07 00:46:40,12.06,12.45,12.49,12.03,603700,3.233830845771134
2003-05-08 00:46:40,12.15,11.88,12.16,11.82,1419400,-2.2222222222222183
2003-05-09 00:46:40,11.65,12.06,12.07,11.55,969800,3.5193133047210314
2003-05-12 00:46:40,12.07,12.26,12.28,12.04,484400,1.5741507870753895
2003-05-13 00:46:40,12.24,12.07,12.24,12.05,216700,-1.3888888888888884
2003-05-14 00:46:40,12.17,12.18,12.2,12.0,337200,0.08216926869350688
2003-05-15 00:46:40,12.25,12.28,12.31,12.12,819400,0.24489795918366825
2003-05-16 00:46:40,12.34,12.0,12.34,12.0,382900,-2.7552674230145855
2003-05-19 00:46:40,11.9,11.99,12.06,11.86,1001400,0.7563025210084021
2003-05-20 00:46:40,11.84,11.94,12.11,11.84,389700,0.8445945945945915
2003-05-21 00:46:40,12.0,12.0,12.02,11.84,1015600,0.0
2003-05-22 00:46:40,12.0,11.76,12.0,11.76,572500,-2.0000000000000018
2003-05-23 00:46:40,11.77,11.8,11.9,11.65,505500,0.25488530161428324
2003-05-27 00:46:40,11.7,11.74,11.8,11.59,1213300,0.3418803418803498
2003-05-28 00:46:40,11.74,11.93,12.07,11.67,607100,1.6183986371379855
2003-05-29 00:46:40,12.03,11.91,12.19,11.87,409400,-0.9975062344139587
2003-05-30 00:46:40,12.11,12.43,12.5,12.04,805300,2.642444260941373
2003-06-02 00:46:40,12.6,12.63,12.88,12.53,1249600,0.23809523809524713
2003-06-03 00:46:40,12.8,12.6,12.82,12.5,511700,-1.5625000000000084
2003-06-04 00:46:40,12.85,12.66,12.85,12.65,569600,-1.4785992217898793
2003-06-05 00:46:40,12.76,12.81,12.85,12.66,502400,0.39184952978056986
2003-06-06 00:46:40,12.96,12.87,13.0,12.8,425900,-0.694444444444457
2003-06-09 00:46:40,12.9,12.55,12.92,12.38,548500,-2.7131782945736407
2003-06-10 00:46:40,12.55,12.8,12.86,12.55,526900,1.9920318725099602
2003-06-11 00:46:40,12.95,12.76,12.95,12.6,512200,-1.4671814671814634
2003-06-12 00:46:40,12.8,12.95,12.99,12.78,360300,1.171874999999989
2003-06-13 00:46:40,12.98,12.86,12.99,12.86,394800,-0.924499229583983
2003-06-16 00:46:40,12.93,13.35,13.35,12.92,621300,3.248259860788863
2003-06-17 00:46:40,13.45,13.44,13.49,13.3,400900,-0.07434944237918058
2003-06-18 00:46:40,13.44,13.27,13.5,13.23,285600,-1.2648809523809519
2003-06-19 00:46:40,13.25,13.14,13.46,13.14,320100,-0.8301886792452787
2003-06-20 00:46:40,13.34,13.43,13.55,13.34,636500,0.674662668665666
2003-06-23 00:46:40,13.43,12.97,13.43,12.97,509300,-3.425167535368571
2003-06-24 00:46:40,13.03,13.5,13.6,13.03,942600,3.6070606293169662
2003-06-25 00:46:40,13.56,13.34,13.74,13.34,539300,-1.6224188790560516
2003-06-26 00:46:40,13.38,13.7,13.75,13.17,621000,2.3916292974588824
2003-06-27 00:46:40,13.75,13.3,13.75,13.24,422100,-3.2727272727272676
2003-06-30 00:46:40,13.35,13.75,13.9,13.31,742300,2.996254681647943
2003-07-01 00:46:40,13.75,13.54,13.75,13.32,484100,-1.5272727272727336
2003-07-02 00:46:40,13.54,13.63,13.65,13.53,430300,0.6646971935007507
2003-07-03 00:46:40,13.63,13.56,13.68,13.42,185800,-0.5135730007336777
2003-07-07 00:46:40,13.76,13.67,13.8,13.6,424500,-0.6540697674418594
2003-07-08 00:46:40,13.6,13.53,13.85,13.52,719600,-0.5147058823529432
2003-07-09 00:46:40,13.68,13.58,13.72,13.52,483900,-0.7309941520467811
2003-07-10 00:46:40,13.55,13.1,13.58,13.0,971600,-3.321033210332111
2003-07-11 00:46:40,13.2,13.29,13.45,13.2,349900,0.6818181818181808
2003-07-14 00:46:40,13.4,13.34,13.47,13.26,347400,-0.4477611940298544
2003-07-15 00:46:40,13.3,13.28,13.33,13.15,270100,-0.15037593984963418
2003-07-16 00:46:40,13.35,13.25,13.45,13.09,271200,-0.7490636704119823
2003-07-17 00:46:40,13.24,13.14,13.24,13.1,215300,-0.7552870090634414
2003-07-18 00:46:40,13.24,13.51,13.51,13.21,285700,2.0392749244712958
2003-07-21 00:46:40,13.51,13.29,13.55,13.24,159200,-1.6284233900814258
2003-07-22 00:46:40,13.39,13.49,13.54,13.33,221300,0.7468259895444335
2003-07-23 00:46:40,13.53,13.39,13.55,12.28,480100,-1.0347376201034648
2003-07-24 00:46:40,13.5,13.46,13.55,13.29,317200,-0.29629629629629
2003-07-25 00:46:40,13.49,13.32,13.55,13.25,522100,-1.260192735359525
2003-07-28 00:46:40,13.5,13.97,14.0,13.5,915900,3.4814814814814863
2003-07-29 00:46:40,14.0,13.85,14.1,13.78,547700,-1.071428571428574
2003-07-30 00:46:40,13.95,14.13,14.18,13.9,537900,1.2903225806451721
2003-07-31 00:46:40,14.13,14.07,14.15,13.95,678000,-0.42462845010616057
2003-08-01 00:46:40,14.15,13.82,14.2,13.81,325000,-2.3321554770318027
2003-08-04 00:46:40,14.05,14.04,14.09,13.8,482100,-0.07117437722421041
2003-08-05 00:46:40,14.06,13.9,14.06,13.77,342600,-1.1379800853485074
2003-08-06 00:46:40,13.83,13.7,13.87,13.7,233100,-0.9399855386840258
2003-08-07 00:46:40,13.7,13.77,13.89,13.61,355100,0.5109489051094911
2003-08-08 00:46:40,13.78,13.84,13.94,13.75,221700,0.4354136429608164
2003-08-11 00:46:40,13.89,13.6,13.89,13.45,499200,-2.0878329733621377
2003-08-12 00:46:40,13.7,13.75,13.9,13.65,336800,0.36496350364964025
2003-08-13 00:46:40,13.85,13.65,13.9,13.59,383900,-1.4440433212996338
2003-08-14 00:46:40,13.75,13.6,13.83,13.52,441200,-1.0909090909090935
2003-08-15 00:46:40,13.65,13.55,13.65,13.16,416000,-0.73260073260073
2003-08-18 00:46:40,13.65,13.58,13.75,13.55,370500,-0.5128205128205149
2003-08-19 00:46:40,13.65,13.71,13.83,13.6,446100,0.4395604395604432
2003-08-20 00:46:40,13.75,13.65,13.84,13.55,348700,-0.7272727272727246
2003-08-21 00:46:40,13.75,13.8,13.87,13.58,495300,0.3636363636363688
2003-08-22 00:46:40,13.88,13.53,13.9,13.47,450400,-2.521613832853036
2003-08-25 00:46:40,13.63,13.4,13.65,13.37,566300,-1.6874541452677947
2003-08-26 00:46:40,13.4,13.38,13.5,13.25,534200,-0.1492537313432804
2003-08-27 00:46:40,13.38,13.52,13.6,13.33,357500,1.046337817638257
2003-08-28 00:46:40,13.62,13.48,13.68,13.42,582800,-1.0279001468428692
2003-08-29 00:46:40,13.47,13.64,13.67,13.41,497400,1.262063845582776
2003-09-02 00:46:40,13.7,13.7,13.79,13.56,556600,0.0
2003-09-03 00:46:40,13.75,13.7,13.82,13.6,357900,-0.3636363636363688
2003-09-04 00:46:40,13.55,13.85,13.9,13.55,589400,2.214022140221394
2003-09-05 00:46:40,13.75,13.74,13.95,13.68,438300,-0.07272727272727117
2003-09-08 00:46:40,13.77,13.64,13.93,13.64,727800,-0.9440813362381917
2003-09-09 00:46:40,13.65,13.36,13.68,13.34,564700,-2.124542124542131
2003-09-10 00:46:40,13.3,13.27,13.3,13.18,880900,-0.22556390977444465
2003-09-11 00:46:40,13.22,13.35,13.45,13.21,690100,0.9833585476550605
2003-09-12 00:46:40,13.45,13.4,13.51,13.2,766300,-0.3717472118959029
2003-09-15 00:46:40,13.3,13.55,13.55,13.25,809000,1.8796992481203008
2003-09-16 00:46:40,13.55,13.68,13.73,13.44,763300,0.9594095940959335
2003-09-17 00:46:40,13.68,13.3,13.68,13.25,694100,-2.7777777777777706
2003-09-18 00:46:40,13.4,13.51,13.64,13.32,388300,0.8208955223880555
2003-09-19 00:46:40,13.71,13.74,13.8,13.6,453900,0.2188183807439778
2003-09-22 00:46:40,13.64,13.32,13.64,13.25,557600,-2.346041055718477
2003-09-23 00:46:40,13.33,13.5,13.6,13.33,684900,1.2753188297074263
2003-09-24 00:46:40,13.5,13.35,13.52,13.3,490800,-1.1111111111111138
2003-09-25 00:46:40,13.45,13.3,13.47,13.22,276200,-1.115241635687722
2003-09-26 00:46:40,13.19,13.24,13.41,13.06,347900,0.37907505686126397
2003-09-29 00:46:40,13.3,13.44,13.44,13.24,447000,1.0526315789473593
