Datetime,Open,Close,High,Low,Volume,Gain%
2003-02-03 00:46:40,5.39,5.51,5.55,5.39,9800,2.2263450834879426
2003-02-04 00:46:40,5.45,5.46,5.5,5.45,12500,0.1834862385321062
2003-02-05 00:46:40,5.49,5.62,5.62,5.46,4300,2.367941712204005
2003-02-06 00:46:40,5.5,5.53,5.53,5.5,2200,0.54545454545455
2003-02-07 00:46:40,5.54,5.41,5.54,5.29,17700,-2.346570397111911
2003-02-10 00:46:40,5.42,5.86,6.03,5.41,39400,8.118081180811815
2003-02-11 00:46:40,5.62,5.62,5.62,5.62,200,0.0
2003-02-12 00:46:40,5.59,5.46,5.59,5.46,2600,-2.3255813953488356
2003-02-13 00:46:40,5.6,5.45,5.6,5.45,28700,-2.678571428571419
2003-02-14 00:46:40,5.41,5.3,5.41,5.29,5200,-2.0332717190388228
2003-02-18 00:46:40,5.31,5.65,5.66,5.31,13600,6.403013182674214
2003-02-19 00:46:40,5.5,5.32,5.5,5.32,1700,-3.2727272727272676
2003-02-20 00:46:40,5.37,5.4,5.44,5.25,42700,0.5586592178770996
2003-02-21 00:46:40,5.26,5.28,5.45,5.26,8800,0.3802281368821381
2003-02-24 00:46:40,5.25,5.28,5.37,5.16,6600,0.5714285714285762
2003-02-25 00:46:40,5.25,5.21,5.25,5.21,1100,-0.7619047619047626
2003-02-26 00:46:40,5.21,5.17,5.21,5.16,3000,-0.7677543186180429
2003-02-27 00:46:40,5.15,5.34,5.34,5.15,1700,3.689320388349505
2003-03-03 00:46:40,5.18,5.29,5.29,5.17,4300,2.1235521235521295
2003-03-04 00:46:40,5.33,5.17,5.4,5.17,3200,-3.001876172607883
2003-03-06 00:46:40,5.18,5.18,5.18,5.18,1100,0.0
2003-03-07 00:46:40,5.18,5.18,5.2,5.18,4200,0.0
2003-03-10 00:46:40,5.18,5.18,5.18,5.07,21300,0.0
2003-03-11 00:46:40,5.18,5.19,5.19,5.09,5300,0.1930501930502061
2003-03-12 00:46:40,5.2,5.2,5.2,5.2,900,0.0
2003-03-13 00:46:40,5.2,5.5,5.5,5.2,5000,5.769230769230766
2003-03-14 00:46:40,5.51,5.44,5.53,5.43,3300,-1.2704174228675027
2003-03-18 00:46:40,5.26,5.49,5.49,5.26,2400,4.3726235741444945
2003-03-19 00:46:40,5.39,5.26,5.5,5.25,5300,-2.4118738404452675
2003-03-20 00:46:40,5.29,5.2,5.29,5.2,3400,-1.7013232514177665
2003-03-21 00:46:40,5.0,5.31,5.31,5.0,4500,6.199999999999992
2003-03-24 00:46:40,5.11,5.11,5.11,5.11,200,0.0
2003-03-25 00:46:40,5.2,5.2,5.21,5.2,1300,0.0
2003-03-26 00:46:40,5.17,5.1,5.17,5.1,200,-1.3539651837524234
2003-03-27 00:46:40,5.05,5.05,5.05,5.0,1800,0.0
2003-03-28 00:46:40,5.15,5.03,5.15,5.03,5400,-2.3300970873786424
2003-03-31 00:46:40,5.02,5.01,5.02,5.01,1100,-0.19920318725099181
2003-04-01 00:46:40,5.02,5.1,5.14,4.99,20800,1.5936254980079698
2003-04-02 00:46:40,4.95,5.0,5.0,4.95,200,1.0101010101010066
2003-04-03 00:46:40,5.0,5.07,5.07,4.9,3400,1.4000000000000057
2003-04-07 00:46:40,4.9,4.9,4.9,4.85,3300,0.0
2003-04-08 00:46:40,5.06,4.85,5.1,4.85,600,-4.150197628458498
