Datetime,Open,Close,High,Low,Volume,Gain%
2021-01-28 00:46:40,2.15,2.38,2.38,2.0,61132,10.69767441860465
2021-01-29 00:46:40,2.08,2.29,2.5,2.08,50178,10.096153846153843
2021-02-01 00:46:40,2.27,2.39,2.4,2.21,46212,5.286343612334806
2021-02-02 00:46:40,2.4,2.3,2.4,2.3,70212,-4.1666666666666705
2021-02-03 00:46:40,2.3,2.29,2.35,2.1,38577,-0.4347826086956429
2021-02-04 00:46:40,2.17,2.28,2.42,2.17,32870,5.069124423963128
2021-02-05 00:46:40,2.27,2.38,2.49,2.25,90285,4.845814977973563
2021-02-08 00:46:40,2.33,2.63,2.69,2.33,78828,12.875536480686685
2021-02-09 00:46:40,2.63,2.88,2.88,2.63,81756,9.505703422053232
2021-02-10 00:46:40,2.955,2.9,2.99,2.38,129942,-1.8612521150592272
2021-02-11 00:46:40,2.86,2.75,2.99,2.62,37131,-3.8461538461538423
2021-02-12 00:46:40,2.7,2.79,2.8,2.6,20232,3.3333333333333277
2021-02-16 00:46:40,2.79,2.9,2.91,2.65,40354,3.9426523297490994
2021-02-17 00:46:40,2.95,3.2,3.24,2.88,174392,8.47457627118644
2021-02-18 00:46:40,3.21,3.805,3.98,3.21,394826,18.53582554517135
2021-02-19 00:46:40,3.8,3.6,3.99,3.41,96542,-5.263157894736835
2021-02-22 00:46:40,3.61,3.95,4.15,3.61,205766,9.418282548476462
2021-02-23 00:46:40,3.95,3.5,4.0,3.01,102319,-11.392405063291143
2021-02-24 00:46:40,3.5,3.6,3.75,3.15,130962,2.85714285714286
2021-02-25 00:46:40,3.72,3.61,3.95,3.33,62040,-2.9569892473118364
2021-02-26 00:46:40,3.56,3.36,3.61,3.3,45288,-5.6179775280898925
2021-03-01 00:46:40,3.31,3.45,3.5,3.2,31930,4.229607250755291
2021-03-02 00:46:40,3.02,3.57,3.79,3.0,165792,18.21192052980132
2021-03-03 00:46:40,3.565,3.52,3.8,3.3,70702,-1.262272089761569
2021-03-04 00:46:40,3.5,2.99,3.5,2.52,116477,-14.571428571428566
2021-03-05 00:46:40,2.99,3.15,3.15,2.52,54144,5.351170568561862
2021-03-08 00:46:40,3.15,3.0,3.16,2.9,32687,-4.761904761904759
2021-03-09 00:46:40,3.15,2.99,3.24,2.92,71223,-5.079365079365069
2021-03-10 00:46:40,3.07,3.0,3.14,2.9,19677,-2.280130293159604
2021-03-11 00:46:40,2.95,3.09,3.2,2.95,23382,4.745762711864396
2021-03-12 00:46:40,3.09,3.18,3.23,3.0,24199,2.912621359223311
2021-03-15 00:46:40,3.02,3.0,3.15,3.0,27874,-0.6622516556291397
2021-03-16 00:46:40,3.15,3.13,4.29,3.11,660291,-0.6349206349206356
2021-03-17 00:46:40,3.3,3.9,3.97,3.27,185195,18.181818181818183
2021-03-18 00:46:40,3.95,3.6,4.09,3.5,100276,-8.860759493670887
2021-03-19 00:46:40,3.77,3.67,3.91,3.58,50989,-2.6525198938992065
2021-03-22 00:46:40,3.75,3.76,3.9,3.67,61692,0.266666666666661
2021-03-23 00:46:40,3.79,3.45,3.79,3.45,146207,-8.970976253298149
2021-03-24 00:46:40,3.42,3.58,3.84,3.4,99200,4.678362573099419
2021-03-25 00:46:40,3.58,3.4,3.6,3.25,43563,-5.027932960893859
2021-03-26 00:46:40,3.325,3.15,3.48,3.03,72607,-5.2631578947368505
2021-03-29 00:46:40,3.25,3.219,3.6,3.17,23869,-0.9538461538461581
2021-03-30 00:46:40,3.22,3.252,3.45,3.04,30905,0.9937888198757634
2021-03-31 00:46:40,3.4,3.2,3.5,3.2,49998,-5.882352941176463
2021-04-01 00:46:40,3.195,3.27,3.39,3.05,66047,2.3474178403755928
2021-04-05 00:46:40,3.35,3.23,3.35,3.0,60536,-3.5820895522388088
2021-04-06 00:46:40,3.23,3.14,3.24,3.06,21650,-2.786377708978324
2021-04-07 00:46:40,3.06,3.05,3.25,3.0,54015,-0.3267973856209226
2021-04-08 00:46:40,3.075,3.18,3.2,3.02,40795,3.414634146341463
2021-04-09 00:46:40,3.18,3.29,3.3,3.04,45625,3.4591194968553416
2021-04-12 00:46:40,3.29,3.06,3.3,3.05,47864,-6.990881458966565
2021-04-13 00:46:40,3.1,3.07,3.27,3.05,37725,-0.967741935483879
2021-04-14 00:46:40,3.07,2.86,3.09,2.83,45464,-6.840390879478826
2021-04-15 00:46:40,2.86,2.49,2.9,1.95,197182,-12.937062937062926
2021-04-16 00:46:40,2.51,2.68,2.75,2.32,34213,6.772908366533879
2021-04-19 00:46:40,2.34,2.43,2.72,2.34,56885,3.8461538461538596
2021-04-20 00:46:40,2.41,2.73,2.73,2.31,45991,13.278008298755179
2021-04-21 00:46:40,2.65,2.6,2.65,2.43,18551,-1.886792452830182
2021-04-22 00:46:40,2.46,2.73,2.73,2.46,33536,10.975609756097562
2021-04-23 00:46:40,2.73,2.47,2.73,2.34,45066,-9.523809523809517
2021-04-26 00:46:40,2.5,2.32,2.5,2.18,34782,-7.200000000000006
2021-04-27 00:46:40,2.05,2.21,2.4,2.05,26634,7.804878048780495
2021-04-28 00:46:40,2.39,2.2615,2.39,2.23,21007,-5.376569037656916
2021-04-29 00:46:40,2.26,2.5,2.5,2.1,57126,10.619469026548684
2021-04-30 00:46:40,2.35,2.7,2.76,2.35,37393,14.893617021276597
2021-05-03 00:46:40,2.71,2.5,2.84,2.5,19859,-7.749077490774907
2021-05-04 00:46:40,2.23,2.7,2.88,2.23,55143,21.07623318385651
2021-05-05 00:46:40,2.61,2.85,2.85,2.61,19432,9.195402298850583
2021-05-06 00:46:40,2.78,2.85,2.85,2.61,22734,2.517985611510802
2021-05-07 00:46:40,2.75,2.8,2.95,2.6,32883,1.818181818181812
2021-05-10 00:46:40,2.71,2.54,2.98,2.51,28576,-6.273062730627303
2021-05-11 00:46:40,2.56,2.675,2.96,2.56,21178,4.492187499999991
2021-05-12 00:46:40,2.67,2.71,2.75,2.52,24506,1.4981273408239715
2021-05-13 00:46:40,2.72,2.75,2.8,2.72,10196,1.102941176470581
2021-05-14 00:46:40,2.71,2.62,2.75,2.61,5499,-3.321033210332098
2021-05-17 00:46:40,2.65,2.65,2.78,2.62,7865,0.0
2021-05-18 00:46:40,2.72,2.72,2.72,2.6,12653,0.0
2021-05-19 00:46:40,2.7,2.69,2.72,2.59,7785,-0.3703703703703789
2021-05-20 00:46:40,2.69,2.86,2.99,2.51,25899,6.319702602230482
2021-05-21 00:46:40,3.0,2.95,3.1,2.85,20293,-1.6666666666666607
2021-05-24 00:46:40,3.1,3.09,3.2,3.0,37671,-0.3225806451612978
2021-05-25 00:46:40,3.18,3.08,3.18,2.78,14960,-3.1446540880503173
2021-05-26 00:46:40,2.86,2.85,3.19,2.6,56227,-0.3496503496503422
2021-05-27 00:46:40,2.855,3.0,3.17,2.855,22987,5.078809106830123
2021-05-28 00:46:40,3.01,3.0,3.18,3.0,25723,-0.3322259136212554
2021-06-01 00:46:40,3.0,3.01,3.01,2.86,15662,0.33333333333332626
2021-06-02 00:46:40,3.0,3.05,3.05,2.98,26196,1.6666666666666607
2021-06-03 00:46:40,3.01,2.97,3.05,2.85,21079,-1.3289036544850363
2021-06-04 00:46:40,2.96,3.02,3.05,2.9,30776,2.027027027027029
2021-06-07 00:46:40,3.02,3.0,3.05,2.95,16826,-0.6622516556291397
2021-06-08 00:46:40,3.01,3.07,3.1,2.9,22755,1.9933554817275767
2021-06-09 00:46:40,3.11,3.13,3.23,3.0701,34339,0.6430868167202578
