Datetime,Open,Close,High,Low,Volume,Gain%
2022-03-25 00:46:40,66.8,66.8,66.8,44.6,126327,0.0
2022-03-28 00:46:40,66.0,66.0,90.0,52.6,565785,0.0
2022-03-29 00:46:40,70.0,66.6,72.692,61.6,147534,-4.857142857142866
2022-03-30 00:46:40,65.2,56.0,66.0,56.0,49488,-14.110429447852765
2022-03-31 00:46:40,54.0,46.81,55.0,46.0,25069,-13.31481481481481
2022-04-01 00:46:40,46.6,50.0,59.0,45.6,33079,7.29613733905579
2022-04-04 00:46:40,49.6,45.0,52.0,44.6,24097,-9.2741935483871
2022-04-05 00:46:40,43.2,40.8,46.6,40.8,14846,-5.555555555555569
2022-04-06 00:46:40,40.2,43.2,45.0,40.2,12158,7.462686567164178
2022-04-07 00:46:40,44.798,37.4,45.82,36.3,15901,-16.514130095093538
2022-04-08 00:46:40,37.0,33.8,37.2,33.2,10452,-8.648648648648656
2022-04-11 00:46:40,33.8,31.002,35.3,30.8,11746,-8.278106508875736
2022-04-12 00:46:40,31.2,31.0,33.2,29.6,19147,-0.6410256410256387
2022-04-13 00:46:40,31.4,33.6,34.0,31.2,10371,7.006369426751602
2022-04-14 00:46:40,33.4,30.2,33.4,29.8,4490,-9.58083832335329
2022-04-18 00:46:40,29.2,33.2,35.0,29.2,15793,13.698630136986315
2022-04-19 00:46:40,35.998,33.0,36.0,31.4,8425,-8.328240457803206
2022-04-20 00:46:40,34.0,33.0,36.0,32.478,6068,-2.941176470588235
2022-04-21 00:46:40,33.2,28.4,34.8,27.04,11517,-14.457831325301216
2022-04-22 00:46:40,28.6,24.6,29.8,23.0,15907,-13.986013986013985
2022-04-25 00:46:40,24.0,23.2,25.0,22.2,4913,-3.333333333333336
2022-04-26 00:46:40,23.0,23.6,26.0,22.0,19501,2.6086956521739193
2022-04-27 00:46:40,25.0,31.4,41.6,24.0,318561,25.599999999999994
2022-04-28 00:46:40,27.6,30.2,30.6,26.0,18995,9.420289855072456
2022-04-29 00:46:40,30.4,29.8,31.678,26.4,11691,-1.9736842105263088
2022-05-02 00:46:40,29.0,26.2,29.0,25.6,4526,-9.655172413793107
2022-05-03 00:46:40,26.2,23.6,26.2,23.6,11878,-9.923664122137396
2022-05-04 00:46:40,24.0,29.8,38.2,23.98,223243,24.16666666666667
2022-05-05 00:46:40,30.0,28.6,31.598,27.6,18213,-4.666666666666662
2022-05-06 00:46:40,27.214,27.2,29.332,27.0,3884,-0.05144410964944274
2022-05-09 00:46:40,30.0,28.6,30.998,27.0,4500,-4.666666666666662
2022-05-10 00:46:40,29.0,27.6,29.874,26.284,2408,-4.827586206896547
2022-05-11 00:46:40,29.0,22.8,29.5,21.0,10460,-21.379310344827584
2022-05-12 00:46:40,22.0,24.0,24.798,20.6,4268,9.090909090909092
2022-05-13 00:46:40,24.0,24.6,24.7,21.0,659,2.500000000000006
