Datetime,Open,Close,High,Low,Volume,Gain%
2017-03-31 00:46:40,4.05,4.08,4.14,3.9993,2024665,0.7407407407407469
2017-04-03 00:46:40,4.06,3.9,4.08,3.875,2187526,-3.940886699507382
2017-04-04 00:46:40,3.93,3.99,4.04,3.91,6568242,1.5267175572519098
2017-04-05 00:46:40,4.03,4.01,4.03,3.97,2995555,-0.4962779156327658
2017-04-06 00:46:40,3.99,3.97,4.07,3.96,4094370,-0.5012531328320806
2017-04-07 00:46:40,3.83,3.86,3.92,3.8,33140812,0.7832898172323709
2017-04-10 00:46:40,3.84,3.87,3.89,3.83,1223423,0.7812500000000066
2017-04-11 00:46:40,3.91,3.95,4.0,3.9,8084406,1.0230179028133002
2017-04-12 00:46:40,3.97,3.91,3.99,3.9,4148735,-1.5113350125944598
2017-04-13 00:46:40,3.91,3.89,3.94,3.87,4431309,-0.5115089514066501
2017-04-17 00:46:40,3.88,3.89,3.92,3.88,1553823,0.25773195876289257
2017-04-18 00:46:40,3.88,3.95,3.98,3.87,3668017,1.8041237113402135
2017-04-19 00:46:40,3.98,3.99,4.02,3.94,2413404,0.251256281407041
2017-04-20 00:46:40,4.02,4.09,4.11,3.97,5233518,1.7412935323383159
2017-04-21 00:46:40,4.08,4.07,4.11,4.05,1981624,-0.24509803921568107
2017-04-24 00:46:40,4.1,4.14,4.16,4.05,2712116,0.9756097560975618
2017-04-25 00:46:40,4.11,4.34,4.36,4.1,7657072,5.596107055961059
2017-04-26 00:46:40,4.29,4.24,4.33,4.24,2329005,-1.1655011655011613
2017-04-27 00:46:40,4.23,4.15,4.265,4.13,4368171,-1.8912529550827437
2017-04-28 00:46:40,4.15,4.13,4.16,4.11,2204700,-0.48192771084338454
2017-05-01 00:46:40,4.12,4.13,4.2,4.11,1231241,0.24271844660193656
2017-05-02 00:46:40,4.13,4.16,4.24,4.11,1756567,0.7263922518159867
2017-05-03 00:46:40,4.16,4.09,4.17,4.07,1889589,-1.6826923076923146
2017-05-04 00:46:40,4.09,4.04,4.1,4.04,1981426,-1.222493887530558
2017-05-05 00:46:40,4.07,4.06,4.12,4.04,2441711,-0.24570024570026225
2017-05-08 00:46:40,4.19,4.09,4.19,4.06,2833623,-2.3866348448687473
2017-05-09 00:46:40,4.11,4.17,4.17,4.06,1982601,1.4598540145985306
2017-05-10 00:46:40,4.18,4.15,4.21,4.13,3282539,-0.7177033492822814
2017-05-11 00:46:40,4.25,4.08,4.25,4.04,2520570,-3.9999999999999982
2017-05-12 00:46:40,4.07,4.12,4.165,4.07,1787966,1.228501228501224
2017-05-15 00:46:40,4.13,4.07,4.14,4.07,1595575,-1.4527845036319518
2017-05-16 00:46:40,4.05,3.99,4.1,3.98,3858394,-1.4814814814814719
2017-05-17 00:46:40,3.9,3.91,4.0,3.9,2745135,0.2564102564102623
2017-05-18 00:46:40,3.9,3.84,3.91,3.83,3517608,-1.5384615384615399
2017-05-19 00:46:40,3.89,3.94,3.97,3.88,1323550,1.2853470437017949
2017-05-22 00:46:40,3.94,3.93,3.98,3.86,1338974,-0.25380710659897937
2017-05-23 00:46:40,3.91,3.89,3.99,3.89,976606,-0.5115089514066501
2017-05-24 00:46:40,3.9,3.87,3.9,3.85,1236252,-0.7692307692307643
2017-05-25 00:46:40,3.86,3.84,3.95,3.84,928257,-0.5181347150259072
2017-05-26 00:46:40,3.84,3.86,3.89,3.825,1025022,0.5208333333333338
2017-05-30 00:46:40,3.85,3.9,3.9,3.83,1793102,1.298701298701294
2017-05-31 00:46:40,3.9,3.88,3.92,3.81,2422472,-0.5128205128205132
2017-06-01 00:46:40,3.88,3.87,3.915,3.82,2778905,-0.25773195876288113
2017-06-02 00:46:40,3.89,3.87,3.895,3.82,1505788,-0.5141388174807203
2017-06-05 00:46:40,3.88,3.86,3.9,3.84,797900,-0.5154639175257737
