Datetime,Open,Close,High,Low,Volume,Gain%
2020-04-01 00:46:40,6.0,5.5,6.0,4.7,1624077,-8.333333333333332
2020-04-02 00:46:40,5.5,5.39,5.6,5.25,137737,-2.0000000000000058
2020-04-03 00:46:40,5.39,5.25,5.5,5.21,110582,-2.5974025974025916
2020-04-06 00:46:40,5.49,5.25,5.49,5.14,78944,-4.371584699453555
2020-04-07 00:46:40,5.25,5.434,5.4448,5.2,33104,3.504761904761908
2020-04-08 00:46:40,5.5,5.485,5.51,5.3598,129800,-0.2727272727272669
2020-04-09 00:46:40,5.5,5.27,5.5,5.16,67366,-4.18181818181819
2020-04-13 00:46:40,5.5,5.28,5.5,5.226,39714,-3.999999999999995
2020-04-14 00:46:40,5.5,5.24,5.5,5.2,53315,-4.727272727272724
2020-04-15 00:46:40,5.25,5.2202,5.44,5.21,18485,-0.5676190476190444
2020-04-16 00:46:40,5.23,5.23,5.4,5.21,17022,0.0
2020-04-17 00:46:40,5.39,5.29,5.39,5.2,17212,-1.8552875695732773
2020-04-20 00:46:40,5.3,5.23,5.3491,5.21,16731,-1.3207547169811207
2020-04-21 00:46:40,5.21,5.23,5.29,5.21,10008,0.38387715930903
2020-04-22 00:46:40,5.34,5.4,5.5,5.2455,121226,1.123595505617987
2020-04-23 00:46:40,5.5,5.2781,5.5,5.21,54458,-4.034545454545451
2020-04-24 00:46:40,5.3,5.22,5.3,5.21,40133,-1.5094339622641524
2020-04-27 00:46:40,5.3,5.21,5.3,5.17,37582,-1.6981132075471674
2020-04-28 00:46:40,5.21,5.2299,5.27,5.2,20526,0.3819577735124723
2020-04-29 00:46:40,5.3,5.25,5.3,5.2,83463,-0.943396226415091
2020-04-30 00:46:40,5.2,5.25,5.25,4.39,177294,0.9615384615384581
2020-05-01 00:46:40,5.25,4.88,5.25,4.6513,24204,-7.04761904761905
2020-05-04 00:46:40,4.98,4.66,4.98,4.56,30158,-6.425702811244985
2020-05-05 00:46:40,4.7727,4.43,4.8,4.4,31744,-7.180421983363727
2020-05-06 00:46:40,4.45,4.45,4.66,4.41,15341,0.0
2020-05-07 00:46:40,4.7,4.45,4.7,4.44,23235,-5.319148936170213
2020-05-08 00:46:40,4.59,4.55,4.68,4.55,9389,-0.8714596949891076
2020-05-11 00:46:40,4.64,4.75,4.95,4.61,50852,2.370689655172421
2020-05-12 00:46:40,4.86,4.9,4.95,4.84,26026,0.8230452674897125
2020-05-13 00:46:40,4.9,4.66,4.9,4.5601,22844,-4.897959183673473
2020-05-14 00:46:40,4.65,4.46,4.65,4.44,24039,-4.086021505376352
2020-05-15 00:46:40,4.41,4.46,4.6,4.41,8335,1.1337868480725584
2020-05-18 00:46:40,4.78,4.51,4.95,4.4707,118021,-5.648535564853566
2020-05-19 00:46:40,4.55,4.64,4.8,4.51,46290,1.9780219780219748
2020-05-20 00:46:40,4.65,4.41,4.72,4.36,49448,-5.1612903225806495
2020-05-21 00:46:40,4.5,3.86,4.5,3.6701,103622,-14.222222222222225
2020-05-22 00:46:40,3.71,3.72,4.01,3.29,137320,0.26954177897574744
2020-05-26 00:46:40,3.83,3.89,4.13,3.7,135873,1.5665796344647531
2020-05-27 00:46:40,3.95,3.77,3.975,3.77,65948,-4.5569620253164596
2020-05-28 00:46:40,4.0,3.65,4.0,3.61,41167,-8.750000000000002
2020-05-29 00:46:40,3.77,3.7,3.89,3.61,27760,-1.8567639257294388
2020-06-01 00:46:40,3.74,3.58,3.75,3.53,59364,-4.278074866310163
2020-06-02 00:46:40,3.59,3.47,3.64,3.4439,192925,-3.3426183844011046
2020-06-03 00:46:40,3.59,3.39,3.59,3.39,165844,-5.571030640668517
2020-06-04 00:46:40,3.6,3.4,3.6488,3.4,274852,-5.55555555555556
2020-06-05 00:46:40,3.39,3.45,3.49,3.2049,119821,1.7699115044247802
2020-06-08 00:46:40,3.63,3.41,3.6999,3.4,122435,-6.0606060606060534
2020-06-09 00:46:40,3.58,3.52,3.6,3.4,117890,-1.6759776536312863
2020-06-10 00:46:40,3.62,3.72,3.95,3.52,198771,2.7624309392265216
2020-06-11 00:46:40,3.77,3.58,3.83,3.5001,71588,-5.0397877984084865
2020-06-12 00:46:40,3.79,3.52,3.8,3.5,78280,-7.12401055408971
2020-06-15 00:46:40,3.52,3.54,3.8,3.42,128187,0.5681818181818187
2020-06-16 00:46:40,3.6,3.47,3.72,3.46,81505,-3.611111111111108
2020-06-17 00:46:40,3.45,3.52,3.655,3.45,56668,2.028985507246372
2020-06-18 00:46:40,3.52,3.49,3.69,3.49,107401,-0.8522727272727216
2020-06-19 00:46:40,3.52,3.48,3.69,3.48,81071,-1.1363636363636374
2020-06-22 00:46:40,3.49,3.48,3.51,3.38,42853,-0.28653295128940487
2020-06-23 00:46:40,3.5,3.62,3.94,3.5,227997,3.4285714285714315
2020-06-24 00:46:40,3.61,3.64,3.77,3.61,58419,0.8310249307479294
2020-06-25 00:46:40,3.66,3.7,3.8,3.61,45445,1.0928961748633887
2020-06-26 00:46:40,3.76,3.5,3.76,3.5,65282,-6.914893617021272
2020-06-29 00:46:40,3.56,3.43,3.63,3.41,55592,-3.651685393258424
2020-06-30 00:46:40,3.45,3.45,3.57,3.4417,54175,0.0
2020-07-01 00:46:40,3.46,3.44,3.55,3.42,29887,-0.5780346820809253
2020-07-02 00:46:40,3.41,3.47,3.55,3.41,25517,1.7595307917888579
2020-07-06 00:46:40,3.69,3.54,3.89,3.52,235612,-4.065040650406502
2020-07-07 00:46:40,3.51,3.52,3.65,3.51,90532,0.2849002849002915
2020-07-08 00:46:40,3.65,3.5,3.65,3.48,194075,-4.109589041095888
2020-07-09 00:46:40,3.58,3.84,4.25,3.54,1373825,7.262569832402228
2020-07-10 00:46:40,8.0,14.63,15.2,6.6,154663950,82.87500000000001
2020-07-13 00:46:40,19.13,24.74,29.5,18.37,57751295,29.325666492420282
2020-07-14 00:46:40,17.6,17.59,19.51,16.0,8080004,-0.0568181818181907
2020-07-15 00:46:40,15.46,16.43,21.0,15.31,6480223,6.274256144890031
2020-07-16 00:46:40,17.06,17.99,19.43,16.86,4083391,5.451348182883938
2020-07-17 00:46:40,17.93,16.29,18.5,16.12,1451721,-9.146681539319578
2020-07-20 00:46:40,16.3,13.8,16.31,13.68,1779521,-15.337423312883436
2020-07-21 00:46:40,14.2,12.41,14.3,11.365,2594280,-12.605633802816897
2020-07-22 00:46:40,12.34,13.17,13.87,11.81,1926694,6.726094003241492
2020-07-23 00:46:40,12.53,11.95,12.94,11.6,905176,-4.628890662410217
2020-07-24 00:46:40,11.32,11.21,11.5,10.46,1533344,-0.9717314487632458
2020-07-27 00:46:40,8.19,7.29,8.32,7.11,7428102,-10.989010989010984
2020-07-28 00:46:40,7.75,7.39,8.29,7.34,7042417,-4.6451612903225845
2020-07-29 00:46:40,7.53,7.63,7.98,7.4,2506167,1.3280212483399687
2020-07-30 00:46:40,7.37,7.12,7.5,7.035,1796335,-3.3921302578018993
2020-07-31 00:46:40,7.34,6.69,7.35,6.53,2674889,-8.855585831062664
2020-08-03 00:46:40,6.86,7.19,7.28,6.75,2263624,4.810495626822158
2020-08-04 00:46:40,7.11,8.37,9.5693,6.9,23735194,17.721518987341756
2020-08-05 00:46:40,8.38,8.93,9.09,8.12,5021674,6.563245823389008
2020-08-06 00:46:40,8.93,9.62,10.23,8.76,7707773,7.726763717805146
2020-08-07 00:46:40,9.35,8.7,9.5,8.5,3044889,-6.9518716577540145
2020-08-10 00:46:40,9.41,8.3,9.48,8.2,2999509,-11.795961742826774
2020-08-11 00:46:40,8.36,7.63,8.39,7.46,2774355,-8.732057416267939
2020-08-12 00:46:40,7.79,7.87,7.95,7.6,1182479,1.0269576379974337
2020-08-13 00:46:40,7.82,8.02,8.31,7.6482,1650243,2.557544757033239
2020-08-14 00:46:40,8.42,8.25,8.42,7.8,1210924,-2.0190023752969113
2020-08-17 00:46:40,8.07,7.77,8.25,7.7,1249172,-3.7174721189591162
2020-08-18 00:46:40,7.77,7.84,8.14,7.65,1970051,0.9009009009009046
2020-08-19 00:46:40,7.9,8.01,8.1,7.695,1521126,1.392405063291132
2020-08-20 00:46:40,8.01,8.49,8.85,7.85,3200327,5.992509363295886
2020-08-21 00:46:40,8.7,7.82,8.74,7.75,2194128,-10.114942528735622
2020-08-24 00:46:40,7.87,7.79,7.881,7.21,1851649,-1.0165184243964431
2020-08-25 00:46:40,7.7,7.55,7.7756,7.52,1143205,-1.9480519480519525
2020-08-26 00:46:40,7.57,7.56,8.15,7.55,1712113,-0.13210039630119783
2020-08-27 00:46:40,7.65,7.48,7.99,7.38,2056803,-2.2222222222222214
2020-08-28 00:46:40,7.5,7.3,7.6099,7.12,1365744,-2.6666666666666687
2020-08-31 00:46:40,7.49,6.85,7.49,6.75,1690132,-8.544726301735654
2020-09-01 00:46:40,6.7,7.08,7.16,6.66,1144301,5.671641791044775
2020-09-02 00:46:40,7.06,7.01,7.13,6.6767,885443,-0.7082152974504224
2020-09-03 00:46:40,6.77,6.32,6.97,6.24,1236415,-6.646971935007376
2020-09-04 00:46:40,6.35,6.07,6.46,5.47,1443447,-4.409448818897628
2020-09-08 00:46:40,5.6,6.46,6.5,5.55,1070758,15.357142857142863
2020-09-09 00:46:40,6.43,6.48,6.649,6.2,640493,0.7776049766718618
2020-09-10 00:46:40,6.5169,6.72,7.07,6.3,1683917,3.116512452239563
2020-09-11 00:46:40,6.88,6.61,6.9749,6.53,767690,-3.9244186046511564
2020-09-14 00:46:40,6.7965,6.76,6.8493,6.45,553242,-0.5370411241079996
2020-09-15 00:46:40,6.85,6.87,7.1648,6.78,619698,0.2919708029197148
2020-09-16 00:46:40,6.94,6.99,7.0,6.65,514707,0.7204610951008619
2020-09-17 00:46:40,6.73,6.71,6.82,6.6,397573,-0.2971768202080306
2020-09-18 00:46:40,6.71,6.55,6.76,6.35,432027,-2.384500745156485
2020-09-21 00:46:40,6.25,6.15,6.35,6.02,690048,-1.5999999999999945
2020-09-22 00:46:40,6.18,5.96,6.22,5.9323,383006,-3.559870550161808
2020-09-23 00:46:40,6.0,5.76,6.0499,5.63,572735,-4.0000000000000036
2020-09-24 00:46:40,5.6,5.45,5.615,5.4,572479,-2.678571428571419
2020-09-25 00:46:40,5.5,5.9,5.9,5.45,418814,7.27272727272728
2020-09-28 00:46:40,5.96,5.89,5.98,5.7,404416,-1.1744966442953066
2020-09-29 00:46:40,5.89,5.7,5.89,5.67,288807,-3.225806451612895
2020-09-30 00:46:40,5.68,5.57,5.88,5.5,421586,-1.9366197183098492
2020-10-01 00:46:40,5.59,5.35,5.68,4.9227,1822835,-4.293381037567088
2020-10-02 00:46:40,5.07,5.25,5.25,5.03,485608,3.5502958579881603
2020-10-05 00:46:40,5.25,5.21,5.36,5.05,987296,-0.7619047619047626
2020-10-06 00:46:40,5.2,5.03,5.28,5.0,691565,-3.269230769230768
2020-10-07 00:46:40,5.15,5.14,5.29,5.06,641312,-0.1941747572815665
2020-10-08 00:46:40,5.25,5.24,5.25,5.1,460042,-0.1904761904761864
2020-10-09 00:46:40,5.3,5.28,5.32,5.15,442049,-0.3773584905660297
2020-10-12 00:46:40,5.33,7.06,8.199,5.3,66982871,32.45778611632269
2020-10-13 00:46:40,6.55,6.14,6.55,5.92,7377524,-6.259541984732826
2020-10-14 00:46:40,6.07,5.96,6.29,5.9,1791713,-1.8121911037891318
2020-10-15 00:46:40,5.81,5.74,5.901,5.62,1001559,-1.2048192771084234
2020-10-16 00:46:40,5.83,6.0,6.5,5.77,3820633,2.915951972555745
2020-10-19 00:46:40,6.51,6.16,6.77,6.06,6590556,-5.3763440860215
2020-10-20 00:46:40,6.19,6.09,6.3,5.91,1547860,-1.6155088852988775
2020-10-21 00:46:40,5.96,5.6,6.05,5.58,1623050,-6.040268456375844
2020-10-22 00:46:40,5.62,5.75,5.93,5.42,1855812,2.313167259786475
2020-10-23 00:46:40,5.77,5.63,5.803,5.55,997377,-2.426343154246095
2020-10-26 00:46:40,5.735,5.66,5.8,5.56,960189,-1.3077593722755043
2020-10-27 00:46:40,5.67,5.56,5.75,5.51,946252,-1.9400352733686126
2020-10-28 00:46:40,5.44,5.68,5.6901,5.35,943211,4.41176470588234
2020-10-29 00:46:40,5.59,5.63,5.68,5.5,900365,0.7155635062611813
2020-10-30 00:46:40,5.55,5.62,5.63,5.39,781019,1.2612612612612664
2020-11-02 00:46:40,5.54,5.53,5.72,5.46,746016,-0.18050541516245103
2020-11-03 00:46:40,5.6,5.68,5.85,5.4,1173314,1.42857142857143
2020-11-04 00:46:40,5.76,5.8,5.89,5.53,1569859,0.6944444444444451
2020-11-05 00:46:40,5.85,6.14,6.25,5.7,1792042,4.957264957264958
2020-11-06 00:46:40,6.025,6.15,6.44,6.025,1676828,2.0746887966804977
2020-11-09 00:46:40,6.24,5.95,6.24,5.76,1464921,-4.647435897435898
2020-11-10 00:46:40,5.84,5.9,6.0,5.62,1049203,1.0273972602739811
2020-11-11 00:46:40,5.86,5.95,5.98,5.8,731261,1.5358361774744003
2020-11-12 00:46:40,5.91,5.89,6.12,5.8101,896949,-0.3384094754653208
2020-11-13 00:46:40,5.9,5.84,5.99,5.79,887419,-1.0169491525423813
2020-11-16 00:46:40,5.79,5.94,5.94,5.76,849093,2.5906735751295398
2020-11-17 00:46:40,5.92,6.02,6.2,5.86,1315456,1.689189189189183
2020-11-18 00:46:40,6.06,5.92,6.1,5.88,740859,-2.3102310231023053
2020-11-19 00:46:40,5.99,6.65,6.68,5.96,4406344,11.018363939899835
2020-11-20 00:46:40,6.7,6.32,6.74,6.2,2000296,-5.671641791044775
2020-11-23 00:46:40,6.2,6.03,6.4599,6.01,2146309,-2.741935483870966
2020-11-24 00:46:40,7.43,6.4,7.6,6.38,11264323,-13.862718707940772
2020-11-25 00:46:40,6.6,6.41,6.65,6.16,3328258,-2.8787878787878713
2020-11-27 00:46:40,6.5,6.49,6.64,6.41,1478437,-0.15384615384615058
2020-11-30 00:46:40,6.54,6.07,6.54,5.92,1856915,-7.186544342507642
2020-12-01 00:46:40,6.15,5.84,6.16,5.73,1693694,-5.0406504065040725
