Datetime,Open,Close,High,Low,Volume,Gain%
2021-11-03 00:46:40,21.21,28.89,32.44,21.2,38312761,36.2093352192362
2021-11-04 00:46:40,26.644,25.95,27.63,24.5,7421815,-2.6047140069058665
2021-11-05 00:46:40,26.77,26.03,28.4,25.1478,3471265,-2.764288382517738
2021-11-08 00:46:40,25.89,24.56,26.4999,23.95,2179734,-5.137118578601784
2021-11-09 00:46:40,24.1,21.75,24.35,20.9,4671667,-9.751037344398346
2021-11-10 00:46:40,21.93,20.62,22.06,20.25,3307068,-5.973552211582302
2021-11-11 00:46:40,20.98,21.24,21.89,20.83,1244828,1.239275500476635
2021-11-12 00:46:40,21.68,21.15,21.98,21.01,1229071,-2.4446494464944704
2021-11-15 00:46:40,21.22,21.04,22.616,20.69,1663794,-0.8482563619227131
2021-11-16 00:46:40,21.62,23.03,23.185,21.26,2009057,6.521739130434782
2021-11-17 00:46:40,23.37,24.64,25.45,22.47,3258755,5.434317501069746
2021-11-18 00:46:40,24.41,26.76,28.73,24.24,3387219,9.627201966407215
2021-11-19 00:46:40,26.76,24.4,27.0,24.28,1502913,-8.819133034379682
2021-11-22 00:46:40,24.5,21.83,24.74,21.01,2206793,-10.897959183673477
2021-11-23 00:46:40,21.86,18.9,22.33,18.35,2925244,-13.540713632204945
2021-11-24 00:46:40,19.45,20.29,20.6,18.9027,3592790,4.318766066838045
2021-11-26 00:46:40,19.65,19.75,20.07,18.74,1690730,0.50890585241731
2021-11-29 00:46:40,20.26,18.82,20.34,18.64,2811131,-7.1076011846002025
2021-11-30 00:46:40,18.77,19.24,19.88,18.33,2745695,2.503995737879589
2021-12-01 00:46:40,18.37,16.06,18.48,15.6101,7801284,-12.574850299401211
2021-12-02 00:46:40,16.36,16.07,16.9,15.49,3318777,-1.7726161369193103
2021-12-03 00:46:40,16.12,14.19,16.35,13.91,5863148,-11.972704714640207
2021-12-06 00:46:40,14.545,14.72,16.34,14.18,4449508,1.2031625988312185
2021-12-07 00:46:40,15.34,16.05,16.55,14.83,2164726,4.6284224250326
2021-12-08 00:46:40,16.05,14.92,16.3,14.76,2132811,-7.040498442367606
2021-12-09 00:46:40,15.0,15.24,15.4381,14.9,606442,1.6000000000000014
2021-12-10 00:46:40,15.39,13.96,15.78,13.6,2721434,-9.291747888239115
2021-12-13 00:46:40,14.25,12.96,14.3299,12.56,2164260,-9.052631578947363
2021-12-14 00:46:40,12.89,15.24,15.3697,12.89,1681401,18.231186966640802
2021-12-15 00:46:40,14.66,14.73,14.9,13.77,1343084,0.47748976807640026
2021-12-16 00:46:40,14.9,13.87,15.0,13.5,862536,-6.912751677852357
2021-12-17 00:46:40,13.7,14.45,15.4,13.7,2893475,5.474452554744526
2021-12-20 00:46:40,14.1,14.03,14.44,13.67,1041871,-0.49645390070922185
2021-12-21 00:46:40,14.7092,14.45,15.15,14.21,895116,-1.7621624561498919
2021-12-22 00:46:40,14.73,17.41,18.0,14.5,2983845,18.19416157501697
2021-12-23 00:46:40,17.0,17.75,18.7099,16.45,1796408,4.411764705882353
2021-12-27 00:46:40,18.58,19.05,19.17,17.68,1058213,2.529601722282037
2021-12-28 00:46:40,19.01,16.77,19.69,16.45,1579346,-11.783271962125207
2021-12-29 00:46:40,17.01,15.66,17.49,15.54,804207,-7.936507936507945
2021-12-30 00:46:40,15.49,15.95,16.36,15.3,702662,2.969657843770168
2021-12-31 00:46:40,15.78,15.08,15.987,15.04,447285,-4.435994930291503
2022-01-03 00:46:40,15.5,16.22,16.35,14.25,984852,4.645161290322573
2022-01-04 00:46:40,16.21,15.59,16.78,15.54,621994,-3.824799506477489
2022-01-05 00:46:40,15.5,13.57,15.57,12.8082,2433748,-12.451612903225804
2022-01-06 00:46:40,14.38,15.23,16.44,13.97,4909728,5.91098748261474
2022-01-07 00:46:40,14.77,13.94,15.1291,13.7,2209102,-5.619498984427896
2022-01-10 00:46:40,13.94,14.21,14.8,13.5,1109896,1.9368723098995795
2022-01-11 00:46:40,14.23,14.22,14.79,13.9,1131895,-0.07027406886858599
2022-01-12 00:46:40,14.37,13.84,14.7,13.68,1127760,-3.6882393876130783
2022-01-13 00:46:40,13.84,13.46,14.12,13.34,1024232,-2.745664739884386
2022-01-14 00:46:40,13.3,13.92,14.0,13.0,1027306,4.66165413533834
2022-01-18 00:46:40,13.53,13.55,13.79,13.21,1047734,0.14781966001479194
2022-01-19 00:46:40,13.62,13.83,14.24,13.4,780677,1.5418502202643236
2022-01-20 00:46:40,13.86,13.44,14.02,13.17,1141845,-3.03030303030303
2022-01-21 00:46:40,13.06,12.37,13.3,12.01,2372861,-5.283307810107207
2022-01-24 00:46:40,12.0,12.77,12.84,11.0,1759340,6.416666666666663
2022-01-25 00:46:40,12.3,12.32,12.75,11.52,898953,0.1626016260162567
2022-01-26 00:46:40,12.78,12.47,12.92,12.06,1149452,-2.42566510172143
2022-01-27 00:46:40,12.57,11.67,12.9,11.49,720685,-7.159904534606208
2022-01-28 00:46:40,11.55,11.78,12.1,11.01,1101169,1.9913419913419796
2022-01-31 00:46:40,11.85,12.36,12.63,11.48,1655660,4.303797468354429
2022-02-01 00:46:40,12.56,12.54,12.85,12.02,502421,-0.15923566878981965
2022-02-02 00:46:40,12.58,12.16,12.9,12.06,601556,-3.3386327503974558
2022-02-03 00:46:40,11.74,11.45,12.19,11.3,759250,-2.4701873935264134
2022-02-04 00:46:40,11.5,10.75,11.67,10.61,1776534,-6.521739130434782
2022-02-07 00:46:40,10.75,11.31,11.52,10.7104,580960,5.209302325581399
2022-02-08 00:46:40,11.21,11.19,11.5,10.9,800331,-0.1784121320249897
2022-02-09 00:46:40,11.36,11.64,12.45,11.29,1190896,2.4647887323943762
2022-02-10 00:46:40,11.45,11.46,12.14,11.35,511580,0.08733624454149838
2022-02-11 00:46:40,11.33,11.58,12.1282,11.33,478592,2.206531332744925
2022-02-14 00:46:40,11.49,11.17,11.53,11.0,766596,-2.7850304612706727
2022-02-15 00:46:40,11.48,11.02,11.6,10.92,913627,-4.00696864111499
2022-02-16 00:46:40,11.04,10.93,11.17,10.67,881701,-0.9963768115941978
2022-02-17 00:46:40,10.86,9.77,10.91,9.74,1336080,-10.036832412523019
2022-02-18 00:46:40,9.83,9.1,9.865,9.0,1534814,-7.4262461851475114
2022-02-22 00:46:40,9.09,8.57,9.2499,8.35,2089612,-5.720572057205716
2022-02-23 00:46:40,8.78,8.59,8.85,7.98,3089394,-2.1640091116173066
2022-02-24 00:46:40,7.56,8.57,9.52,7.55,4626613,13.359788359788368
2022-02-25 00:46:40,8.54,7.86,8.58,7.71,5997216,-7.9625292740046705
2022-02-28 00:46:40,7.83,7.88,8.08,7.46,3700431,0.6385696040868432
2022-03-01 00:46:40,7.66,7.61,7.9,7.3,3394856,-0.652741514360311
2022-03-02 00:46:40,7.66,7.35,7.7,6.92,3139416,-4.046997389033949
2022-03-03 00:46:40,7.32,6.75,7.37,6.6,3783012,-7.786885245901642
2022-03-04 00:46:40,6.76,6.33,6.89,6.205,1884570,-6.360946745562127
2022-03-07 00:46:40,6.32,5.98,6.385,5.8,3424384,-5.379746835443036
2022-03-08 00:46:40,6.12,5.73,6.19,5.63,3209790,-6.372549019607837
2022-03-09 00:46:40,5.9,5.81,6.23,5.8,2978560,-1.525423728813572
2022-03-10 00:46:40,5.85,5.99,6.13,5.695,1840254,2.393162393162403
2022-03-11 00:46:40,6.01,5.37,6.05,5.37,2270335,-10.648918469217964
2022-03-14 00:46:40,5.4,5.16,5.46,5.1,1903861,-4.444444444444448
2022-03-15 00:46:40,5.21,5.28,5.37,5.05,2945081,1.3435700575815794
2022-03-16 00:46:40,5.64,5.95,6.0199,5.57,4695238,5.496453900709229
2022-03-17 00:46:40,5.98,6.57,6.77,5.97,4839261,9.866220735785951
2022-03-18 00:46:40,6.58,6.3,6.8499,6.15,3517803,-4.255319148936175
2022-03-21 00:46:40,6.38,6.15,6.3925,6.03,1612157,-3.6050156739811845
2022-03-22 00:46:40,6.18,6.19,6.47,6.17,1696330,0.16181229773463876
2022-03-23 00:46:40,6.16,6.18,6.32,6.01,2097968,0.32467532467531773
2022-03-24 00:46:40,6.21,6.18,6.31,5.99,1897979,-0.4830917874396175
2022-03-25 00:46:40,6.14,6.03,6.2,5.9,1530970,-1.791530944625398
2022-03-28 00:46:40,6.04,6.05,6.12,5.89,1120542,0.16556291390728123
2022-03-29 00:46:40,6.1,6.2,6.39,6.08,3686875,1.6393442622950907
2022-03-30 00:46:40,6.2,6.46,6.82,6.13,5096834,4.1935483870967705
2022-03-31 00:46:40,6.39,6.01,6.49,5.95,3084466,-5.946791862284819
2022-04-01 00:46:40,6.09,6.15,6.17,5.905,2006789,0.9852216748768554
2022-04-04 00:46:40,6.2,6.71,6.75,6.17,1392291,8.225806451612899
2022-04-05 00:46:40,6.69,5.96,6.69,5.95,2957750,-10.911808669656208
2022-04-06 00:46:40,5.92,5.73,5.99,5.56,2391675,-3.2094594594594508
2022-04-07 00:46:40,5.71,5.61,5.81,5.31,2322623,-1.7513134851138292
2022-04-08 00:46:40,5.56,5.55,5.775,5.42,961483,-0.17985611510790983
