Datetime,Open,Close,High,Low,Volume,Gain%
2012-07-24 00:46:40,15.0,15.06,15.53,14.33,4343114,0.4000000000000033
2012-07-25 00:46:40,15.15,15.82,16.0,15.0,487704,4.422442244224422
2012-07-26 00:46:40,17.34,16.71,17.34,16.0,245241,-3.6332179930795796
2012-07-27 00:46:40,17.5,17.12,17.78,16.794,134742,-2.171428571428566
2012-07-30 00:46:40,17.45,17.65,17.85,17.4,88656,1.146131805157589
2012-07-31 00:46:40,17.68,17.69,18.44,17.0,150572,0.05656108597285952
2012-08-01 00:46:40,17.75,17.53,17.98,17.0,87686,-1.2394366197183033
2012-08-02 00:46:40,17.35,17.92,18.47,17.02,99744,3.2853025936599436
2012-08-03 00:46:40,18.1,18.3,18.5,18.1,40657,1.1049723756906038
2012-08-06 00:46:40,18.57,18.66,18.98,18.29,113580,0.48465266558965997
2012-08-07 00:46:40,18.75,19.1,19.29,18.685,86373,1.866666666666674
2012-08-08 00:46:40,19.1,19.02,19.1,18.7,92330,-0.4188481675392767
2012-08-09 00:46:40,19.15,19.46,19.49,18.8,55183,1.618798955613589
2012-08-10 00:46:40,19.2,19.69,19.69,19.09,20376,2.5520833333333437
2012-08-13 00:46:40,19.7,18.89,19.7,18.54,187750,-4.111675126903547
2012-08-14 00:46:40,19.17,18.67,19.17,18.6,76951,-2.608242044861763
2012-08-15 00:46:40,18.74,17.61,18.74,17.2,130639,-6.029882604055492
2012-08-16 00:46:40,17.67,17.56,17.89,16.62,99151,-0.6225240520656647
2012-08-17 00:46:40,17.41,17.53,17.73,17.27,91821,0.6892590465249914
2012-08-20 00:46:40,17.39,17.13,17.39,16.55,81789,-1.4951121334100146
2012-08-21 00:46:40,17.23,17.41,17.45,17.21,31175,1.0446894950667422
2012-08-22 00:46:40,17.4,17.3,17.97,16.66,36463,-0.5747126436781487
2012-08-23 00:46:40,17.4,17.99,17.99,17.01,21437,3.390804597701149
2012-08-24 00:46:40,17.84,17.97,18.31,17.84,45320,0.7286995515695012
