Datetime,Open,Close,High,Low,Volume,Gain%
2003-02-03 00:46:40,10.3,10.105,10.35,9.94,125000,-1.8932038834951481
2003-02-04 00:46:40,10.105,10.075,10.27,9.83,68600,-0.29688273132113935
2003-02-05 00:46:40,10.125,9.885,10.125,9.885,16000,-2.3703703703703725
2003-02-06 00:46:40,9.875,9.775,9.875,9.775,60400,-1.0126582278480976
2003-02-07 00:46:40,9.765,9.53,9.785,9.53,53400,-2.406554019457258
2003-02-10 00:46:40,9.555,9.5,9.645,9.41,21200,-0.5756148613291441
2003-02-11 00:46:40,9.45,9.525,9.975,9.4,74000,0.793650793650805
2003-02-12 00:46:40,9.5,9.425,9.655,9.325,58400,-0.7894736842105189
2003-02-13 00:46:40,9.35,9.39,9.4,9.2,83800,0.42780748663102597
2003-02-14 00:46:40,9.41,9.48,9.575,9.41,13600,0.7438894792773676
2003-02-18 00:46:40,9.53,9.77,9.78,9.45,72000,2.518363064008397
2003-02-19 00:46:40,9.85,9.285,9.85,9.28,38800,-5.736040609137051
2003-02-20 00:46:40,9.285,9.35,9.375,9.28,29000,0.7000538502961713
2003-02-21 00:46:40,9.35,9.35,9.39,9.245,34400,0.0
2003-02-24 00:46:40,9.375,9.245,9.425,9.205,36200,-1.386666666666675
2003-02-25 00:46:40,9.205,9.35,9.35,9.17,47400,1.575230852797388
2003-02-26 00:46:40,9.35,9.39,9.47,9.3,77200,0.42780748663102597
2003-02-27 00:46:40,9.45,9.4,9.45,9.305,9600,-0.5291005291005179
2003-02-28 00:46:40,9.55,9.6,9.725,9.475,36200,0.5235602094240727
2003-03-03 00:46:40,9.65,9.585,9.7,9.575,60800,-0.6735751295336736
2003-03-04 00:46:40,9.535,9.53,9.8,9.49,19000,-0.05243838489775335
2003-03-05 00:46:40,9.55,9.405,9.55,9.375,14400,-1.5183246073298569
2003-03-06 00:46:40,9.375,9.075,9.375,9.07,25000,-3.2000000000000077
2003-03-07 00:46:40,9.125,9.06,9.225,9.06,32400,-0.7123287671232822
2003-03-10 00:46:40,9.05,8.69,9.05,8.605,78200,-3.977900552486201
2003-03-11 00:46:40,8.8,8.575,8.8,8.55,38600,-2.5568181818181976
2003-03-12 00:46:40,8.54,8.5,8.56,8.44,45600,-0.468384074941442
2003-03-13 00:46:40,8.55,8.83,8.83,8.455,103000,3.2748538011695825
2003-03-14 00:46:40,8.835,8.5,8.835,8.475,100600,-3.791737408036229
2003-03-17 00:46:40,8.425,8.475,8.7,8.425,47200,0.5934718100890081
2003-03-18 00:46:40,8.41,8.5,8.545,8.375,53400,1.0701545778834702
2003-03-19 00:46:40,8.5,8.865,8.865,8.5,21200,4.294117647058826
2003-03-20 00:46:40,8.89,9.44,9.44,8.815,32400,6.186726659167592
2003-03-21 00:46:40,9.4,9.825,9.83,9.35,32800,4.521276595744669
2003-03-24 00:46:40,9.725,9.265,9.725,9.265,80600,-4.730077120822613
2003-03-25 00:46:40,9.325,8.65,9.675,8.375,124400,-7.238605898123314
2003-03-26 00:46:40,8.655,8.8,9.495,8.655,157000,1.6753321779318469
2003-03-27 00:46:40,8.825,9.31,9.315,8.825,31400,5.495750708215311
2003-03-28 00:46:40,9.315,9.395,9.4,9.28,33600,0.8588298443370915
2003-03-31 00:46:40,9.345,8.99,9.345,8.99,63800,-3.7988228999464995
2003-04-01 00:46:40,8.96,8.985,8.985,8.755,30600,0.2790178571428413
2003-04-02 00:46:40,9.025,9.15,9.3,9.025,58800,1.3850415512465373
2003-04-03 00:46:40,9.255,9.0,9.275,8.975,32200,-2.755267423014595
2003-04-04 00:46:40,9.1,9.05,9.14,9.05,19600,-0.5494505494505377
2003-04-07 00:46:40,9.14,9.3,9.305,9.14,37800,1.7505470459518613
2003-04-08 00:46:40,9.305,9.3,9.325,9.25,19400,-0.05373455131648582
2003-04-09 00:46:40,9.29,9.285,9.37,9.28,16000,-0.05382131324003235
2003-04-10 00:46:40,9.3,9.42,9.44,9.3,35600,1.2903225806451528
2003-04-11 00:46:40,9.445,9.32,9.515,9.32,39200,-1.3234515616728428
2003-04-14 00:46:40,9.365,9.35,9.375,9.3,59200,-0.16017084890550526
2003-04-15 00:46:40,9.395,9.41,9.45,9.275,70400,0.15965939329431156
2003-04-16 00:46:40,9.475,9.45,9.49,9.375,37000,-0.2638522427440671
2003-04-17 00:46:40,9.5,9.575,9.575,9.5,20000,0.7894736842105189
2003-04-21 00:46:40,9.585,9.525,9.605,9.5,80600,-0.6259780907668283
2003-04-22 00:46:40,9.555,9.73,9.73,9.555,28400,1.8315018315018388
2003-04-23 00:46:40,9.8,9.85,9.87,9.75,32000,0.5102040816326422
2003-04-24 00:46:40,9.775,9.8,9.875,9.76,19000,0.25575447570332843
2003-04-25 00:46:40,9.76,9.82,9.82,9.76,6000,0.6147540983606609
2003-04-28 00:46:40,9.85,10.175,10.175,9.85,44200,3.2994923857868135
2003-04-29 00:46:40,10.25,10.15,10.295,10.15,26000,-0.9756097560975575
2003-04-30 00:46:40,10.1,10.225,10.25,10.045,21200,1.2376237623762376
2003-05-01 00:46:40,10.245,10.125,10.245,9.975,30600,-1.1713030746705635
2003-05-02 00:46:40,10.175,10.23,10.3,10.175,22400,0.5405405405405377
2003-05-05 00:46:40,10.28,10.0,10.325,10.0,43600,-2.723735408560305
2003-05-06 00:46:40,10.02,10.245,10.26,9.97,29200,2.2455089820359246
2003-05-07 00:46:40,10.245,10.225,10.325,10.225,41000,-0.1952171791117577
2003-05-08 00:46:40,10.175,10.25,10.295,10.175,25400,0.7371007371007301
2003-05-09 00:46:40,10.3,10.385,10.385,10.25,26200,0.8252427184465928
2003-05-12 00:46:40,10.625,10.6,10.775,10.49,43000,-0.23529411764706218
2003-05-13 00:46:40,10.675,10.595,10.725,10.5,47000,-0.7494145199063238
2003-05-14 00:46:40,10.65,10.615,10.72,10.6,13000,-0.32863849765258346
2003-05-15 00:46:40,10.7,10.695,10.7,10.55,28800,-0.04672897196260753
2003-05-16 00:46:40,10.7,10.41,10.71,10.405,59800,-2.710280373831768
2003-05-19 00:46:40,10.525,10.15,10.555,9.315,25800,-3.5629453681710213
2003-05-20 00:46:40,10.225,10.15,10.29,10.085,20200,-0.7334963325183305
2003-05-21 00:46:40,10.275,10.25,10.275,10.135,18800,-0.24330900243309345
2003-05-22 00:46:40,10.175,10.14,10.185,10.06,15600,-0.3439803439803454
2003-05-23 00:46:40,10.15,10.32,10.35,10.15,31000,1.6748768472906395
2003-05-27 00:46:40,10.41,10.5,10.5,10.375,46600,0.8645533141210362
2003-05-28 00:46:40,10.575,10.535,10.62,10.525,22000,-0.3782505910165404
2003-05-29 00:46:40,10.56,10.64,10.725,10.56,39600,0.7575757575757582
2003-05-30 00:46:40,10.69,10.8,10.86,10.66,37800,1.0289990645463163
2003-06-02 00:46:40,10.85,10.79,10.965,10.79,35000,-0.5529953917050737
2003-06-03 00:46:40,10.84,10.805,10.85,10.75,22800,-0.3228782287822891
2003-06-04 00:46:40,10.85,11.055,11.06,10.79,54400,1.8894009216589867
2003-06-05 00:46:40,11.0,11.145,11.15,11.0,19600,1.3181818181818143
2003-06-06 00:46:40,11.145,10.92,11.28,10.92,57400,-2.0188425302826345
2003-06-09 00:46:40,10.94,10.86,11.015,10.86,19800,-0.7312614259597813
2003-06-10 00:46:40,10.925,10.75,10.95,10.735,20800,-1.601830663615567
2003-06-11 00:46:40,10.755,10.965,10.995,10.75,25200,1.9525801952580109
2003-06-12 00:46:40,11.0,10.78,11.015,10.775,11200,-2.0000000000000058
2003-06-13 00:46:40,10.825,10.8,10.995,10.8,36800,-0.23094688221707696
2003-06-16 00:46:40,10.875,10.94,10.95,10.75,64000,0.5977011494252827
2003-06-17 00:46:40,10.875,10.9,10.9,10.825,33200,0.2298850574712676
2003-06-18 00:46:40,10.875,10.925,10.925,10.875,14400,0.4597701149425352
2003-06-19 00:46:40,10.925,10.8,10.95,10.8,63800,-1.1441647597254003
2003-06-20 00:46:40,10.9,10.835,10.925,10.835,20800,-0.5963302752293532
2003-06-23 00:46:40,10.9,10.9,10.91,10.75,47000,0.0
2003-06-24 00:46:40,10.945,11.07,11.07,10.905,27800,1.1420740063956145
2003-06-25 00:46:40,11.025,11.15,11.15,10.98,52800,1.1337868480725624
2003-06-26 00:46:40,11.095,11.205,11.24,11.025,51400,0.9914375844975163
2003-06-27 00:46:40,11.175,11.26,11.4,11.175,49000,0.7606263982102826
2003-06-30 00:46:40,11.3,11.5,11.59,11.3,114800,1.7699115044247724
2003-07-01 00:46:40,11.425,11.485,11.59,11.425,57000,0.5251641137855468
2003-07-02 00:46:40,11.525,11.66,11.75,11.525,68600,1.1713665943600848
2003-07-03 00:46:40,11.725,11.51,11.725,11.51,15400,-1.83368869936034
2003-07-07 00:46:40,11.55,11.77,11.77,11.525,65000,1.9047619047618949
2003-07-08 00:46:40,11.81,12.2,12.25,11.81,64800,3.302286198137162
2003-07-09 00:46:40,12.175,12.425,12.5,12.17,41000,2.0533880903490758
2003-07-10 00:46:40,12.4,11.92,12.475,11.92,18000,-3.8709677419354875
2003-07-11 00:46:40,11.955,11.7,12.0,11.575,39200,-2.132998745294862
2003-07-14 00:46:40,11.725,11.495,11.91,11.45,41000,-1.9616204690831596
2003-07-15 00:46:40,11.5,11.5,11.53,11.44,33400,0.0
2003-07-16 00:46:40,11.5,11.415,11.525,11.375,22000,-0.7391304347826161
2003-07-17 00:46:40,11.4,11.31,11.46,11.295,26200,-0.7894736842105251
2003-07-18 00:46:40,11.33,11.125,11.33,11.06,17000,-1.8093556928508392
2003-07-21 00:46:40,11.15,10.9,11.15,10.86,21200,-2.242152466367713
2003-07-22 00:46:40,10.9,10.995,10.995,10.865,14000,0.8715596330275124
2003-07-23 00:46:40,11.0,10.95,11.0,10.895,13200,-0.454545454545461
2003-07-24 00:46:40,10.975,10.94,11.0,10.87,189600,-0.31890660592255254
2003-07-25 00:46:40,10.965,11.08,11.12,10.915,29200,1.0487916096671246
2003-07-28 00:46:40,11.105,11.435,11.495,11.105,44200,2.9716343989194063
2003-07-29 00:46:40,11.46,11.625,11.67,11.46,49000,1.4397905759162228
2003-07-30 00:46:40,11.65,11.575,11.72,11.525,61000,-0.6437768240343439
2003-07-31 00:46:40,11.575,11.8,11.825,11.55,22800,1.9438444924406173
2003-08-01 00:46:40,11.825,11.55,11.825,11.55,16800,-2.3255813953488254
2003-08-04 00:46:40,11.55,11.55,11.68,11.55,44200,0.0
2003-08-05 00:46:40,11.55,11.58,11.625,11.55,64200,0.25974025974025416
2003-08-06 00:46:40,11.63,11.75,11.75,11.625,13200,1.0318142734307756
2003-08-07 00:46:40,11.7,11.64,11.7,11.56,44000,-0.5128205128205019
2003-08-08 00:46:40,11.69,11.64,11.7,11.63,12000,-0.4277159965782629
2003-08-11 00:46:40,11.715,12.1,12.1,11.715,22600,3.2863849765258197
2003-08-12 00:46:40,12.05,12.275,12.275,11.995,15200,1.867219917012445
2003-08-13 00:46:40,12.3,12.43,12.5,12.285,30400,1.0569105691056828
2003-08-14 00:46:40,12.45,12.625,12.695,12.405,12400,1.4056224899598453
2003-08-15 00:46:40,12.675,12.65,12.835,12.65,14800,-0.1972386587771231
2003-08-18 00:46:40,12.7,12.93,12.95,12.68,58000,1.8110236220472475
2003-08-19 00:46:40,12.955,13.075,13.075,12.85,36000,0.9262832883056675
2003-08-20 00:46:40,13.025,13.07,13.07,12.8,21000,0.3454894433781185
2003-08-21 00:46:40,13.12,12.995,13.25,12.9,12200,-0.9527439024390244
2003-08-22 00:46:40,12.945,12.755,12.945,12.67,22800,-1.4677481653147895
2003-08-25 00:46:40,12.68,12.475,12.68,12.435,11800,-1.6167192429022088
2003-08-26 00:46:40,12.425,12.5,12.5,12.095,53000,0.603621730382288
2003-08-27 00:46:40,12.55,12.775,12.775,12.55,11600,1.7928286852589612
2003-08-28 00:46:40,12.805,12.6,12.83,12.575,9400,-1.6009371339320584
2003-08-29 00:46:40,12.625,12.78,12.85,12.625,5200,1.2277227722772228
2003-09-02 00:46:40,12.73,12.755,12.755,12.61,16400,0.19638648860958643
2003-09-03 00:46:40,12.875,12.915,13.065,12.875,32800,0.3106796116504788
2003-09-04 00:46:40,12.9,12.925,13.0,12.85,41400,0.19379844961240586
2003-09-05 00:46:40,12.875,12.625,13.18,12.575,44600,-1.9417475728155338
2003-09-08 00:46:40,12.65,12.715,12.865,12.64,12800,0.5138339920948577
2003-09-09 00:46:40,12.665,12.85,12.875,12.615,13000,1.460718515594161
2003-09-10 00:46:40,12.8,13.15,13.15,12.66,28400,2.7343749999999973
2003-09-11 00:46:40,13.1,13.275,13.4,12.95,75800,1.3358778625954253
2003-09-12 00:46:40,13.25,13.405,13.495,13.25,39000,1.169811320754712
2003-09-15 00:46:40,13.325,13.25,13.385,13.225,85800,-0.5628517823639722
2003-09-16 00:46:40,13.225,13.4,13.405,13.2,15000,1.3232514177693815
2003-09-17 00:46:40,13.4,13.365,13.55,13.325,33000,-0.2611940298507473
2003-09-18 00:46:40,13.295,13.525,13.55,13.295,33200,1.729973674313655
2003-09-19 00:46:40,13.475,13.685,13.8,13.475,337600,1.558441558441565
2003-09-22 00:46:40,13.735,13.69,13.75,13.6,49800,-0.327630141973061
2003-09-23 00:46:40,13.665,13.8,13.8,13.66,51600,0.9879253567508347
2003-09-24 00:46:40,13.75,13.775,13.775,13.645,279800,0.1818181818181844
2003-09-25 00:46:40,13.765,13.1,13.765,13.1,341200,-4.831093352706145
2003-09-26 00:46:40,13.085,12.7,13.085,12.7,63000,-2.942300343905247
2003-09-29 00:46:40,12.67,12.885,12.925,12.375,31400,1.696921862667718
2003-09-30 00:46:40,12.81,13.0,13.025,12.55,95000,1.483216237314594
2003-10-01 00:46:40,13.05,13.58,13.61,13.0,57800,4.061302681992332
2003-10-02 00:46:40,13.53,14.2,14.4,13.4,65000,4.951958610495195
2003-10-03 00:46:40,14.275,14.805,14.995,14.275,111200,3.7127845884413264
2003-10-06 00:46:40,14.855,14.675,15.175,14.65,56000,-1.2117132278694023
2003-10-07 00:46:40,14.625,14.975,14.975,14.625,69200,2.393162393162391
2003-10-08 00:46:40,14.925,14.825,15.03,14.64,74200,-0.67001675041877
2003-10-09 00:46:40,14.925,15.055,15.14,14.925,67600,0.871021775544382
2003-10-10 00:46:40,15.0,15.02,15.025,14.93,52400,0.1333333333333305
2003-10-13 00:46:40,14.945,15.285,15.31,14.945,62600,2.275008364001337
2003-10-14 00:46:40,15.235,15.625,15.65,15.21,115400,2.5598949786675456
2003-10-15 00:46:40,15.675,16.095,16.155,15.625,53400,2.6794258373205624
2003-10-16 00:46:40,15.9,16.075,16.125,15.9,70200,1.1006289308176034
2003-10-17 00:46:40,16.075,16.025,16.205,15.935,136200,-0.3110419906687447
2003-10-20 00:46:40,16.01,16.2,16.25,16.01,106200,1.1867582760774371
2003-10-21 00:46:40,16.125,16.13,16.275,16.0,72800,0.031007751937978327
2003-10-22 00:46:40,16.08,15.875,16.08,15.705,93600,-1.2748756218905368
2003-10-23 00:46:40,15.75,15.685,15.84,15.5,58200,-0.4126984126984095
2003-10-24 00:46:40,15.635,15.42,15.635,15.42,22600,-1.3751199232491196
2003-10-27 00:46:40,15.42,15.425,15.425,15.325,58200,0.032425421530484964
2003-10-28 00:46:40,15.425,15.715,15.765,15.3,66400,1.8800648298217124
2003-10-29 00:46:40,15.715,16.075,16.1,15.71,70200,2.290804963410751
2003-10-30 00:46:40,16.125,16.03,16.125,15.865,43400,-0.5891472868216984
2003-10-31 00:46:40,16.08,16.265,16.315,16.07,52400,1.1504975124378252
2003-11-03 00:46:40,16.265,16.0,16.325,15.83,63000,-1.6292652935751648
2003-11-04 00:46:40,16.025,16.06,16.13,16.025,44800,0.2184087363494549
2003-11-05 00:46:40,16.09,15.94,16.11,15.775,52200,-0.93225605966439
2003-11-06 00:46:40,15.94,15.945,15.945,15.9,16200,0.03136762860728219
