Datetime,Open,Close,High,Low,Volume,Gain%
2003-02-03 00:46:40,35.65,35.55,36.1,35.35,2503100,-0.2805049088359086
2003-02-04 00:46:40,35.45,35.91,36.13,35.2,3156900,1.297602256699559
2003-02-05 00:46:40,36.1,35.9,36.93,35.84,1814800,-0.5540166204986229
2003-02-06 00:46:40,35.8,35.52,36.2,35.32,2285200,-0.7821229050279164
2003-02-07 00:46:40,35.65,35.15,36.25,34.86,2383800,-1.4025245441795233
2003-02-10 00:46:40,35.0,35.33,35.58,34.7,1668200,0.942857142857138
2003-02-11 00:46:40,35.55,34.97,35.59,34.57,1959800,-1.6315049226441585
2003-02-12 00:46:40,35.08,35.75,36.0,34.67,3040700,1.9099201824401417
2003-02-13 00:46:40,35.75,35.39,35.85,35.06,1969200,-1.0069930069930055
2003-02-14 00:46:40,35.33,35.52,35.97,34.72,2123800,0.5377865836399798
2003-02-18 00:46:40,35.53,36.11,36.4,35.53,1613300,1.6324233042499248
2003-02-19 00:46:40,35.95,35.17,36.1,34.95,2300800,-2.1696801112656496
2003-02-20 00:46:40,35.47,34.67,35.47,34.55,2401800,-2.2554271215111283
2003-02-21 00:46:40,34.9,35.6,35.7,34.36,2263600,2.005730659025796
2003-02-24 00:46:40,35.5,34.73,35.5,34.51,1893100,-2.169014084507051
2003-02-25 00:46:40,34.3,34.92,35.0,33.75,1982000,1.8075801749271272
2003-02-26 00:46:40,35.08,34.94,35.6,34.87,2288700,-0.39908779931585114
2003-02-27 00:46:40,35.2,35.44,35.54,35.0,1929700,0.6818181818181672
2003-02-28 00:46:40,35.35,35.03,36.03,35.01,3028900,-0.9052333804809061
2003-03-03 00:46:40,35.45,35.15,35.75,34.9,1666000,-0.846262341325823
2003-03-04 00:46:40,35.37,34.88,35.37,34.63,2032100,-1.38535482046931
2003-03-05 00:46:40,34.83,34.95,35.05,34.48,2039400,0.3445305770887297
2003-03-06 00:46:40,34.7,33.95,34.88,33.71,2664200,-2.1613832853025934
2003-03-07 00:46:40,33.5,34.3,34.4,33.33,2292500,2.3880597014925287
2003-03-10 00:46:40,33.85,33.83,34.17,33.56,2672400,-0.05908419497785266
2003-03-11 00:46:40,33.95,33.66,34.55,33.57,2184500,-0.8541973490427281
2003-03-12 00:46:40,33.33,33.59,33.83,33.09,2414700,0.7800780078007954
2003-03-13 00:46:40,33.75,34.49,34.54,33.09,3771600,2.1925925925925984
2003-03-14 00:46:40,34.85,35.64,35.85,34.65,5175900,2.2668579626972716
2003-03-17 00:46:40,35.43,36.66,36.66,35.12,4533500,3.471634208298044
2003-03-18 00:46:40,36.71,37.01,37.26,36.48,3770500,0.8172160174339339
2003-03-19 00:46:40,37.0,37.11,37.26,36.67,2958500,0.29729729729729576
2003-03-20 00:46:40,37.11,37.1,37.35,36.34,2625700,-0.026946914578275423
2003-03-21 00:46:40,37.1,37.99,38.07,36.9,4583000,2.3989218328840987
2003-03-24 00:46:40,37.2,36.52,37.3,36.21,2509000,-1.8279569892473109
2003-03-25 00:46:40,36.27,36.49,36.85,36.12,3496000,0.6065618968844744
2003-03-26 00:46:40,36.16,35.63,36.18,35.36,3653100,-1.4657079646017537
2003-03-27 00:46:40,35.05,34.65,35.29,34.35,3987000,-1.1412268188302386
2003-03-28 00:46:40,34.65,34.63,34.65,34.1,2975000,-0.057720057720046236
2003-03-31 00:46:40,34.05,33.8,34.15,33.32,5067300,-0.7342143906020558
2003-04-01 00:46:40,34.0,34.15,34.38,33.49,3290100,0.4411764705882311
2003-04-02 00:46:40,34.8,35.02,35.18,34.61,4379900,0.6321839080459942
2003-04-03 00:46:40,35.79,34.78,35.79,34.65,1900600,-2.822017323274652
2003-04-04 00:46:40,34.99,34.72,35.6,34.39,2347800,-0.7716490425836042
2003-04-07 00:46:40,35.85,34.96,35.94,34.92,2979100,-2.482566248256626
2003-04-08 00:46:40,34.96,34.72,34.99,34.3,2204300,-0.686498855835246
2003-04-09 00:46:40,34.72,34.05,35.07,33.95,2727100,-1.9297235023041523
2003-04-10 00:46:40,34.23,33.85,34.61,33.72,2591100,-1.1101373064563116
2003-04-11 00:46:40,34.15,33.74,34.47,33.41,3710800,-1.2005856515373252
2003-04-14 00:46:40,33.74,33.93,34.1,33.56,2827900,0.5631298162418427
2003-04-15 00:46:40,33.7,34.06,34.25,33.54,2987200,1.0682492581602356
2003-04-16 00:46:40,34.06,33.44,34.23,33.39,2306500,-1.8203170874926733
2003-04-17 00:46:40,33.44,33.83,33.92,33.17,2146200,1.166267942583734
2003-04-21 00:46:40,34.05,33.84,34.4,33.67,2203000,-0.6167400881057086
2003-04-22 00:46:40,33.75,35.19,35.2,33.68,4024400,4.2666666666666595
2003-04-23 00:46:40,35.25,35.72,35.84,34.9,3804800,1.3333333333333302
2003-04-24 00:46:40,35.79,35.4,36.34,35.33,3579500,-1.0896898575020972
2003-04-25 00:46:40,35.59,35.45,35.74,35.01,2765800,-0.393368923855017
2003-04-28 00:46:40,35.45,35.75,35.8,35.06,3929500,0.8462623413258029
2003-04-29 00:46:40,36.0,35.96,36.1,35.65,4024600,-0.11111111111110875
2003-04-30 00:46:40,36.1,35.75,36.1,35.35,4600900,-0.9695290858725801
2003-05-01 00:46:40,35.8,35.31,35.8,34.75,4214400,-1.3687150837988686
2003-05-02 00:46:40,35.31,36.09,36.09,35.15,2395200,2.2090059473237074
2003-05-05 00:46:40,36.09,35.9,36.25,35.43,2215300,-0.5264616237184949
2003-05-06 00:46:40,35.9,36.55,36.62,35.9,2877500,1.8105849582172664
2003-05-07 00:46:40,36.07,36.0,36.47,35.83,3079200,-0.19406709176601133
2003-05-08 00:46:40,35.6,35.65,36.45,35.5,2744700,0.1404494382022392
2003-05-09 00:46:40,35.75,36.53,36.54,35.69,1990400,2.181818181818185
2003-05-12 00:46:40,36.53,37.34,37.55,36.29,3393200,2.2173555981385222
2003-05-13 00:46:40,37.34,37.36,37.68,37.1,3389200,0.0535618639528549
2003-05-14 00:46:40,37.45,37.13,37.48,36.91,2598600,-0.8544726301735655
2003-05-15 00:46:40,37.4,37.42,37.46,37.0,1894300,0.053475935828885365
2003-05-16 00:46:40,37.42,37.13,37.7,36.95,2315000,-0.7749866381614087
2003-05-19 00:46:40,36.85,36.15,36.96,36.15,2062900,-1.8995929443690713
2003-05-20 00:46:40,36.3,36.06,36.6,35.51,2330500,-0.6611570247933743
2003-05-21 00:46:40,35.65,36.13,36.24,35.35,3001500,1.3464235624123533
2003-05-22 00:46:40,36.3,37.02,37.15,36.05,4251300,1.9834710743801818
2003-05-23 00:46:40,36.8,36.68,36.95,36.52,2050700,-0.3260869565217322
2003-05-27 00:46:40,36.48,37.52,37.54,36.19,2775900,2.8508771929824737
2003-05-28 00:46:40,37.5,36.99,37.5,36.75,2526400,-1.3599999999999948
2003-05-29 00:46:40,36.79,36.54,37.47,36.5,4097500,-0.679532481652623
2003-05-30 00:46:40,36.59,36.67,37.02,36.4,3689900,0.2186389723968251
2003-06-02 00:46:40,36.99,36.84,37.44,36.76,2386600,-0.4055150040551462
2003-06-03 00:46:40,36.76,36.95,36.99,36.53,1976100,0.5168661588683483
2003-06-04 00:46:40,36.95,37.96,38.1,36.95,2895000,2.7334235453315237
2003-06-05 00:46:40,37.84,38.6,38.69,37.61,3511600,2.008456659619445
2003-06-06 00:46:40,38.85,38.44,39.39,38.13,3688500,-1.0553410553410647
2003-06-09 00:46:40,38.38,38.08,38.5,37.85,1965200,-0.7816571130797401
2003-06-10 00:46:40,38.27,38.19,38.85,37.75,2266500,-0.20904102430103316
2003-06-11 00:46:40,38.19,38.9,38.91,37.9,2506900,1.8591254255040612
2003-06-12 00:46:40,39.0,38.75,39.18,38.31,3201500,-0.641025641025641
2003-06-13 00:46:40,38.45,37.87,38.5,37.73,2967400,-1.5084525357607421
2003-06-16 00:46:40,38.25,38.65,38.77,37.6,4085400,1.0457516339869244
2003-06-17 00:46:40,38.65,38.23,38.99,38.04,3049700,-1.0866752910737432
2003-06-18 00:46:40,38.02,37.98,38.2,37.56,2752300,-0.10520778537613426
2003-06-19 00:46:40,37.98,38.01,38.79,37.62,2850200,0.07898894154818625
2003-06-20 00:46:40,38.18,37.57,38.43,37.5,4632600,-1.5976951283394432
2003-06-23 00:46:40,37.57,36.91,37.76,36.77,2646000,-1.7567207878626663
2003-06-24 00:46:40,36.98,37.2,37.55,36.92,2454300,0.5949161709032071
2003-06-25 00:46:40,37.07,36.7,37.35,36.7,2085000,-0.9981116806042554
2003-06-26 00:46:40,36.7,36.8,36.87,36.34,3088000,0.27247956403268203
2003-06-27 00:46:40,36.8,36.12,36.8,35.75,3384200,-1.847826086956521
2003-06-30 00:46:40,35.87,35.73,36.23,35.63,3715200,-0.3902982994145542
2003-07-01 00:46:40,35.75,36.07,36.08,35.31,2970700,0.895104895104896
2003-07-02 00:46:40,36.2,36.89,36.93,36.11,4056100,1.9060773480662918
2003-07-03 00:46:40,36.45,36.8,36.92,36.45,1549900,0.9602194787379815
2003-07-07 00:46:40,37.0,37.58,38.09,36.96,3899800,1.567567567567563
2003-07-08 00:46:40,37.3,37.57,37.66,37.27,2695900,0.7238605898123408
2003-07-09 00:46:40,37.51,37.35,37.52,36.98,2117500,-0.4265529192215319
2003-07-10 00:46:40,36.1,36.1,36.8,35.89,3891800,0.0
2003-07-11 00:46:40,36.11,36.38,36.65,35.94,2128300,0.7477153143173723
2003-07-14 00:46:40,36.8,36.53,37.05,36.39,2088700,-0.7336956521739023
2003-07-15 00:46:40,36.7,36.74,36.9,36.26,2942600,0.10899182561307669
2003-07-16 00:46:40,36.99,36.66,37.06,36.47,2848200,-0.8921330089213445
