Datetime,Open,Close,High,Low,Volume,Gain%
2003-02-03 00:46:40,14.45,14.2,14.59,14.19,35800,-1.7301038062283738
2003-02-04 00:46:40,14.2,14.65,14.84,14.2,92900,3.16901408450705
2003-02-05 00:46:40,14.82,14.8,15.2,14.5,97700,-0.134952766531711
2003-02-06 00:46:40,14.58,14.57,15.05,14.5,40900,-0.0685871056241412
2003-02-07 00:46:40,14.6,14.33,14.97,13.79,77100,-1.8493150684931479
2003-02-10 00:46:40,14.2,14.35,14.61,13.3,232700,1.0563380281690167
2003-02-11 00:46:40,14.5,14.8,15.05,14.5,54000,2.0689655172413843
2003-02-12 00:46:40,14.87,15.25,15.5,14.79,148300,2.555480833893751
2003-02-13 00:46:40,15.55,15.66,15.99,15.45,1053400,0.7073954983922792
2003-02-14 00:46:40,15.72,16.15,16.25,15.69,150100,2.735368956742989
2003-02-18 00:46:40,16.3,17.0,17.0,16.3,149600,4.294478527607358
2003-02-19 00:46:40,16.8,16.82,16.86,16.07,107100,0.1190476190476165
2003-02-20 00:46:40,16.87,16.52,16.91,16.4,57900,-2.074688796680506
2003-02-21 00:46:40,16.41,16.56,16.6,16.41,40000,0.9140767824497171
2003-02-24 00:46:40,16.66,18.11,18.66,16.66,562400,8.703481392557018
2003-02-25 00:46:40,15.0,14.85,15.59,13.09,2919500,-1.0000000000000024
2003-02-26 00:46:40,14.7,13.67,15.0,13.55,455500,-7.006802721088431
2003-02-27 00:46:40,13.77,12.95,13.95,12.51,732900,-5.9549745824255655
2003-02-28 00:46:40,12.75,12.7,13.0,12.45,240200,-0.3921568627451036
2003-03-03 00:46:40,12.59,14.24,14.55,12.59,247700,13.10563939634631
2003-03-04 00:46:40,14.1,13.94,14.3,13.63,125400,-1.1347517730496466
2003-03-05 00:46:40,13.75,14.6,15.23,13.75,199300,6.181818181818179
2003-03-06 00:46:40,14.55,14.47,14.76,14.2,146000,-0.5498281786941586
2003-03-07 00:46:40,14.17,14.77,15.1,14.1,144600,4.234297812279461
2003-03-10 00:46:40,14.9,14.31,14.9,14.17,73400,-3.95973154362416
2003-03-11 00:46:40,14.4,14.3,14.7,14.27,163600,-0.694444444444442
2003-03-12 00:46:40,14.17,14.46,14.5,14.1,34900,2.0465772759350807
2003-03-13 00:46:40,14.67,15.1,15.12,14.45,63500,2.9311520109066103
2003-03-14 00:46:40,14.94,14.4,15.0,14.36,98900,-3.6144578313252955
2003-03-17 00:46:40,14.39,13.57,14.39,13.55,212600,-5.69840166782488
2003-03-18 00:46:40,13.57,12.95,13.57,12.8,233500,-4.568901989683131
2003-03-19 00:46:40,12.8,10.86,13.11,9.95,875500,-15.15625000000001
2003-03-20 00:46:40,10.7,11.1,11.25,10.62,330000,3.7383177570093498
2003-03-21 00:46:40,11.15,12.34,13.24,11.08,475200,10.67264573991031
2003-03-24 00:46:40,12.09,12.21,12.65,12.01,174700,0.992555831265517
2003-03-25 00:46:40,12.2,12.05,12.42,12.0,197000,-1.2295081967212997
2003-03-26 00:46:40,12.05,10.4,12.15,10.15,890700,-13.692946058091287
2003-03-27 00:46:40,10.45,9.74,10.45,9.6,737000,-6.794258373205733
2003-03-28 00:46:40,9.6,9.92,10.27,9.6,187200,3.3333333333333366
2003-03-31 00:46:40,9.91,9.75,9.99,9.73,72200,-1.6145307769929378
2003-04-01 00:46:40,9.7,10.39,10.39,9.7,215400,7.113402061855684
2003-04-02 00:46:40,10.89,10.67,11.32,10.51,216700,-2.020202020202026
2003-04-03 00:46:40,10.67,10.02,10.76,10.0,162800,-6.091846298031869
2003-04-04 00:46:40,10.04,10.28,10.33,10.04,104800,2.3904382470119545
2003-04-07 00:46:40,10.6,10.81,11.05,10.4,218000,1.9811320754717063
2003-04-08 00:46:40,10.84,10.88,11.0,10.65,209800,0.3690036900369089
2003-04-09 00:46:40,10.95,11.08,11.2,10.8,109000,1.1872146118721534
2003-04-10 00:46:40,11.0,11.84,11.84,11.0,128400,7.636363636363636
2003-04-11 00:46:40,11.95,11.68,12.0,11.26,93500,-2.2594142259414194
2003-04-14 00:46:40,11.65,12.03,12.2,11.65,98700,3.2618025751072874
2003-04-15 00:46:40,12.0,11.91,12.18,11.75,95900,-0.7499999999999989
2003-04-16 00:46:40,11.88,11.84,11.98,11.72,71000,-0.33670033670034444
2003-04-17 00:46:40,11.98,11.95,12.1,11.76,66000,-0.25041736227046024
2003-04-21 00:46:40,11.95,11.47,11.95,11.32,220100,-4.016736401673629
2003-04-22 00:46:40,11.47,11.11,11.47,10.55,200500,-3.1386224934612135
2003-04-23 00:46:40,11.19,11.35,11.64,11.0,88200,1.4298480786416456
2003-04-24 00:46:40,11.2,10.83,11.39,10.68,213000,-3.3035714285714217
2003-04-25 00:46:40,10.85,10.15,10.85,10.07,468000,-6.451612903225801
2003-04-28 00:46:40,10.1,10.3,10.35,10.1,288600,1.980198019801991
2003-04-29 00:46:40,9.6,8.54,10.44,8.5,1097000,-11.041666666666671
2003-04-30 00:46:40,8.64,8.0,8.64,7.6,1299700,-7.407407407407414
2003-05-01 00:46:40,8.09,8.71,8.87,8.0,857200,7.663782447466019
2003-05-02 00:46:40,8.8,9.87,10.14,8.75,728800,12.159090909090892
2003-05-05 00:46:40,10.24,10.63,10.68,10.16,263300,3.8085937500000053
2003-05-06 00:46:40,10.61,11.74,12.24,10.55,451700,10.650329877474089
2003-05-07 00:46:40,11.74,11.04,11.74,11.0,301600,-5.962521294718918
