Datetime,Open,Close,High,Low,Volume,Gain%
2003-02-03 00:46:40,2.8,2.8,2.9,2.74,26600,0.0
2003-02-04 00:46:40,2.8,2.65,2.8,2.65,5800,-5.357142857142854
2003-02-05 00:46:40,2.65,2.65,2.65,2.65,500,0.0
2003-02-10 00:46:40,2.58,2.7,2.7,2.58,1600,4.651162790697678
2003-02-12 00:46:40,2.75,2.7,2.75,2.7,6400,-1.818181818181812
2003-02-20 00:46:40,2.7,2.65,2.7,2.65,3500,-1.8518518518518614
2003-02-21 00:46:40,2.7,2.65,2.7,2.65,2000,-1.8518518518518614
2003-02-24 00:46:40,2.7,2.65,2.7,2.65,4900,-1.8518518518518614
2003-02-27 00:46:40,2.75,2.9,2.9,2.75,3200,5.4545454545454515
2003-02-28 00:46:40,2.7,2.7,2.7,2.7,1400,0.0
2003-03-04 00:46:40,2.7,2.7,2.7,2.7,500,0.0
2003-03-06 00:46:40,2.7,2.65,2.7,2.65,1500,-1.8518518518518614
2003-03-07 00:46:40,2.8,2.8,2.8,2.8,1200,0.0
2003-03-11 00:46:40,2.65,2.65,2.65,2.65,500,0.0
2003-03-14 00:46:40,2.65,2.65,2.65,2.65,2000,0.0
2003-03-18 00:46:40,2.65,2.65,2.65,2.65,100,0.0
2003-03-19 00:46:40,2.75,2.75,2.75,2.75,1000,0.0
2003-03-21 00:46:40,2.75,2.75,2.75,2.75,1000,0.0
2003-03-24 00:46:40,2.65,2.66,2.66,2.65,1100,0.3773584905660465
2003-03-26 00:46:40,2.72,2.72,2.72,2.72,200,0.0
2003-03-27 00:46:40,2.65,2.65,2.65,2.65,4300,0.0
2003-04-01 00:46:40,2.71,2.75,2.75,2.71,5500,1.4760147601476028
2003-04-03 00:46:40,2.65,2.7,2.7,2.6,11700,1.8867924528301987
2003-04-08 00:46:40,2.65,2.6,2.7,2.6,16500,-1.886792452830182
2003-04-10 00:46:40,2.7,2.7,2.7,2.7,2900,0.0
2003-04-15 00:46:40,2.65,2.7,2.7,2.65,2400,1.8867924528301987
2003-04-21 00:46:40,2.63,2.7,2.7,2.63,4000,2.6615969581749157
2003-04-24 00:46:40,2.65,2.65,2.65,2.65,1500,0.0
2003-04-29 00:46:40,2.65,2.65,2.7,2.6,5700,0.0
2003-05-06 00:46:40,2.6,2.7,2.7,2.6,2800,3.8461538461538494
2003-05-09 00:46:40,2.68,2.65,2.68,2.65,43500,-1.119402985074636
2003-05-12 00:46:40,2.75,2.7,2.75,2.65,12900,-1.818181818181812
2003-05-14 00:46:40,2.73,2.73,2.73,2.73,500,0.0
2003-05-15 00:46:40,2.71,2.45,2.71,2.45,12000,-9.594095940959402
2003-05-16 00:46:40,2.6,2.61,2.65,2.55,32900,0.3846153846153764
2003-05-20 00:46:40,2.55,2.55,2.55,2.55,1800,0.0
2003-05-21 00:46:40,2.3,2.55,2.7,2.27,67200,10.869565217391305
2003-05-23 00:46:40,2.5,2.8,2.8,2.5,9500,11.999999999999993
2003-05-28 00:46:40,2.7,2.77,2.77,2.7,9500,2.592592592592587
2003-05-30 00:46:40,2.77,2.7,2.77,2.7,10500,-2.5270758122743624
2003-06-05 00:46:40,2.65,2.6,2.65,2.6,2500,-1.886792452830182
2003-06-06 00:46:40,2.55,2.55,2.55,2.55,200,0.0
2003-06-11 00:46:40,2.55,2.55,2.55,2.55,500,0.0
2003-06-17 00:46:40,2.58,2.58,2.58,2.58,1000,0.0
2003-06-19 00:46:40,2.53,2.53,2.53,2.53,1000,0.0
2003-06-24 00:46:40,2.45,2.35,2.45,2.3,43500,-4.081632653061227
2003-07-10 00:46:40,2.35,2.35,2.35,2.35,500,0.0
2003-07-14 00:46:40,2.4,2.4,2.4,2.4,200,0.0
2003-07-23 00:46:40,2.23,2.2,2.23,2.1,5800,-1.345291479820619
2003-07-28 00:46:40,2.15,2.15,2.15,2.15,2500,0.0
2003-07-30 00:46:40,2.15,2.15,2.15,2.15,100,0.0
2003-07-31 00:46:40,2.25,2.25,2.25,2.25,800,0.0
2003-08-01 00:46:40,2.15,2.15,2.15,2.15,500,0.0
2003-08-04 00:46:40,2.1,2.1,2.1,2.1,500,0.0
2003-08-06 00:46:40,2.15,2.3,2.3,2.15,1800,6.976744186046507
2003-08-19 00:46:40,2.25,2.25,2.25,2.25,2000,0.0
2003-08-20 00:46:40,2.15,2.15,2.15,2.15,4300,0.0
2003-08-21 00:46:40,2.17,2.17,2.17,2.17,1000,0.0
2003-08-25 00:46:40,2.2,2.2,2.2,2.15,7500,0.0
2003-08-26 00:46:40,2.05,2.1,2.15,2.05,28600,2.4390243902439157
2003-08-28 00:46:40,2.05,2.1,2.1,2.03,51700,2.4390243902439157
2003-08-29 00:46:40,2.25,2.25,2.25,2.25,1000,0.0
2003-09-03 00:46:40,2.25,2.25,2.25,2.25,500,0.0
2003-09-04 00:46:40,2.28,2.25,2.28,2.25,3000,-1.3157894736842022
2003-09-05 00:46:40,2.15,2.05,2.15,2.05,5200,-4.651162790697678
2003-09-08 00:46:40,2.3,2.0,2.3,2.0,700,-13.04347826086956
2003-09-11 00:46:40,2.3,2.3,2.3,2.3,1700,0.0
2003-09-17 00:46:40,2.0,2.0,2.0,2.0,2000,0.0
2003-09-18 00:46:40,2.0,1.63,2.1,1.5,113000,-18.500000000000007
2003-09-19 00:46:40,1.7,1.9,1.9,1.7,5000,11.764705882352938
2003-09-23 00:46:40,1.9,1.88,1.9,1.85,2000,-1.0526315789473695
2003-09-24 00:46:40,1.95,1.95,1.95,1.95,500,0.0
2003-09-25 00:46:40,1.95,1.95,1.95,1.9,2100,0.0
2003-09-26 00:46:40,2.05,2.13,2.15,2.05,4000,3.9024390243902474
2003-09-30 00:46:40,2.1,2.08,2.1,2.08,1500,-0.9523809523809532
