Datetime,Open,Close,High,Low,Volume,Gain%
2022-08-12 00:46:40,8.8,4.8,12.45,4.76,4561148,-45.45454545454546
2022-08-15 00:46:40,4.31,3.99,4.5499,3.58,944072,-7.424593967517389
2022-08-16 00:46:40,4.65,4.1,5.22,4.01,2563335,-11.827956989247326
2022-08-17 00:46:40,3.87,4.24,4.46,3.85,655571,9.560723514211888
2022-08-18 00:46:40,4.02,3.97,4.15,3.7701,564714,-1.2437810945273478
2022-08-19 00:46:40,3.72,3.65,4.09,3.41,555044,-1.8817204301075345
2022-08-22 00:46:40,4.13,3.54,4.24,3.45,772285,-14.285714285714283
2022-08-23 00:46:40,3.43,3.41,3.62,3.15,379196,-0.5830903790087468
2022-08-24 00:46:40,3.4,3.32,3.5186,2.92,1147851,-2.35294117647059
2022-08-25 00:46:40,3.05,2.95,3.28,2.72,406281,-3.2786885245901525
2022-08-26 00:46:40,2.94,2.8,3.1299,2.73,216678,-4.761904761904766
2022-08-29 00:46:40,2.78,2.4612,2.83,2.4,191060,-11.467625899280575
2022-08-30 00:46:40,2.52,2.33,2.6,2.3,100778,-7.539682539682538
2022-08-31 00:46:40,2.34,2.6227,2.7511,2.3,292195,12.08119658119659
2022-09-01 00:46:40,2.59,2.5954,2.86,2.51,355490,0.20849420849421985
2022-09-02 00:46:40,2.77,2.48,2.8,2.35,690702,-10.469314079422384
2022-09-06 00:46:40,2.44,2.35,2.4965,2.2,180258,-3.688524590163929
2022-09-07 00:46:40,2.28,2.24,2.445,2.11,91972,-1.7543859649122628
2022-09-08 00:46:40,2.2,2.28,2.33,2.18,73044,3.636363636363619
2022-09-09 00:46:40,2.35,2.37,2.6,2.25,420858,0.8510638297872347
2022-09-12 00:46:40,2.59,2.57,3.0,2.51,388024,-0.7722007722007729
2022-09-13 00:46:40,2.5,2.391,2.7996,2.32,566457,-4.359999999999999
2022-09-14 00:46:40,2.37,2.47,2.7,2.28,309713,4.2194092827004255
2022-09-15 00:46:40,2.38,2.27,2.46,2.23,158413,-4.621848739495793
2022-09-16 00:46:40,2.23,2.11,2.3597,2.11,99492,-5.381165919282516
2022-09-19 00:46:40,2.1,2.03,2.29,1.96,124971,-3.3333333333333464
2022-09-20 00:46:40,2.18,2.26,2.38,2.0455,152123,3.6697247706421847
2022-09-21 00:46:40,2.11,2.04,2.3,2.0101,47830,-3.317535545023689
2022-09-22 00:46:40,2.0601,2.04,2.1,1.9701,35769,-0.9756807921945433
2022-09-23 00:46:40,2.04,1.92,2.1052,1.9,57355,-5.8823529411764754
2022-09-26 00:46:40,1.8728,1.9227,2.0,1.8,19270,2.6644596326356287
2022-09-27 00:46:40,1.95,1.82,2.01,1.76,66488,-6.666666666666661
2022-09-28 00:46:40,1.8038,1.95,2.09,1.8,121891,8.105111431422547
2022-09-29 00:46:40,1.91,1.86,2.16,1.76,106106,-2.61780104712041
2022-09-30 00:46:40,1.84,1.84,2.0237,1.84,22297,0.0
2022-10-03 00:46:40,1.85,1.68,1.91,1.6501,39360,-9.189189189189197
2022-10-04 00:46:40,1.79,1.74,1.81,1.7226,28359,-2.793296089385477
2022-10-05 00:46:40,1.7,1.55,1.7,1.5,45609,-8.823529411764701
2022-10-06 00:46:40,1.61,1.555,1.64,1.52,34773,-3.416149068322991
2022-10-07 00:46:40,1.51,1.61,1.635,1.51,31040,6.622516556291397
2022-10-10 00:46:40,1.57,1.5856,1.68,1.51,30191,0.9936305732483972
2022-10-11 00:46:40,1.53,1.28,1.54,1.11,79732,-16.33986928104575
2022-10-12 00:46:40,1.3,1.27,1.41,1.22,52637,-2.3076923076923097
2022-10-13 00:46:40,1.34,1.34,1.395,1.28,77647,0.0
2022-10-14 00:46:40,1.28,1.25,1.3399,1.22,26034,-2.343750000000002
2022-10-17 00:46:40,1.22,1.3,1.3,1.2,46921,6.557377049180333
2022-10-18 00:46:40,1.34,1.28,1.37,1.2438,23408,-4.4776119402985115
2022-10-19 00:46:40,1.31,1.3,1.3999,1.25,100327,-0.7633587786259549
2022-10-20 00:46:40,1.3,1.2,1.3499,1.13,41142,-7.692307692307699
2022-10-21 00:46:40,1.18,1.14,1.2362,1.13,43575,-3.3898305084745797
2022-10-24 00:46:40,1.15,1.14,1.19,1.12,58540,-0.8695652173913052
2022-10-25 00:46:40,1.2499,1.21,1.2499,1.1502,27540,-3.192255380430438
2022-10-26 00:46:40,1.14,1.24,1.24,1.139,18895,8.771929824561413
2022-10-27 00:46:40,1.23,1.15,1.23,1.1,23866,-6.504065040650413
2022-10-28 00:46:40,1.16,1.125,1.21,1.05,72742,-3.017241379310338
2022-10-31 00:46:40,1.1984,1.11,1.1984,1.0949,47918,-7.376502002670211
2022-11-01 00:46:40,1.1101,1.18,1.2,1.1101,34128,6.29673002432212
2022-11-02 00:46:40,1.19,1.2,1.24,1.16,152356,0.8403361344537823
2022-11-03 00:46:40,1.23,1.13,1.23,1.105,46953,-8.130081300813014
2022-11-04 00:46:40,1.16,1.11,1.16,1.0701,29738,-4.310344827586192
2022-11-07 00:46:40,1.14,1.04,1.14,1.0,51423,-8.771929824561392
2022-11-08 00:46:40,1.01,1.01,1.0999,1.0092,34148,0.0
2022-11-09 00:46:40,1.04,0.95,1.055,0.9219,109761,-8.65384615384616
2022-11-10 00:46:40,0.925,0.9676,0.983799,0.91,43972,4.605405405405402
2022-11-11 00:46:40,0.9391,0.95,0.957,0.901,159181,1.1606857629645309
2022-11-14 00:46:40,0.95,0.96,0.987,0.93,116522,1.0526315789473695
2022-11-15 00:46:40,0.982,1.03,1.063,0.961,67870,4.887983706720982
2022-11-16 00:46:40,1.0,0.9956,1.0451,0.992918,21104,-0.43999999999999595
2022-11-17 00:46:40,0.9968,0.9786,0.9999,0.9519,20532,-1.8258426966292127
2022-11-18 00:46:40,0.9873,0.9999,1.02,0.9785,62994,1.2762078395624488
2022-11-21 00:46:40,1.0,0.982,1.0299,0.9624,31911,-1.8000000000000016
2022-11-22 00:46:40,0.9532,1.0099,1.01,0.9532,16819,5.948384389425091
2022-11-23 00:46:40,0.98,0.9802,1.0275,0.91,40893,0.020408163265303876
2022-11-25 00:46:40,0.9888,0.9901,1.0099,0.9705,41053,0.13147249190938187
2022-11-28 00:46:40,0.9784,1.03,1.04,0.9784,29097,5.273916598528207
2022-11-29 00:46:40,1.02,0.9606,1.02,0.9219,60030,-5.8235294117647065
2022-11-30 00:46:40,0.94,0.922,0.969999,0.9219,24190,-1.9148936170212665
2022-12-01 00:46:40,0.9231,0.9056,0.9627,0.84,75390,-1.8957859386848737
2022-12-02 00:46:40,0.91,0.861201,0.91,0.8599,17469,-5.362527472527477
2022-12-05 00:46:40,0.861301,0.98,1.04,0.861301,129966,13.781360987622213
2022-12-06 00:46:40,0.99,1.0199,1.1399,0.9333,338182,3.020202020202024
2022-12-07 00:46:40,0.9812,0.94,1.01,0.881,192290,-4.198940073379537
2022-12-08 00:46:40,0.955015,0.895,0.9795,0.862,77257,-6.284194489091788
2022-12-09 00:46:40,0.9,1.0892,1.19,0.88,983681,21.022222222222215
2022-12-12 00:46:40,1.36,1.4,1.7492,1.25,4936402,2.9411764705882213
2022-12-13 00:46:40,1.23,1.34,1.38,1.095,848882,8.943089430894318
2022-12-14 00:46:40,1.29,1.275,1.48,1.16,454287,-1.1627906976744282
2022-12-15 00:46:40,1.3,1.13,1.3,1.11,142223,-13.076923076923089
2022-12-16 00:46:40,1.1069,0.99,1.1069,0.97,177372,-10.561026289637727
2022-12-19 00:46:40,0.995,0.8789,0.995,0.8309,348453,-11.668341708542712
2022-12-20 00:46:40,0.9674,0.861,0.9674,0.8,81856,-10.99855282199711
2022-12-21 00:46:40,0.8601,0.84,0.8762,0.75,166514,-2.336937565399373
2022-12-22 00:46:40,0.84,0.851,0.8997,0.7901,24990,1.3095238095238109
2022-12-23 00:46:40,0.8119,0.7801,0.854978,0.7701,49193,-3.916738514595387
2022-12-27 00:46:40,0.7938,0.85,0.8997,0.78,73005,7.0798689846308935
2022-12-28 00:46:40,0.86,0.792099,0.86,0.78,43668,-7.895465116279069
2022-12-29 00:46:40,0.8373,0.7897,0.84,0.73,41279,-5.684939687089464
2022-12-30 00:46:40,0.795001,0.8201,0.8778,0.7601,128026,3.15710294704033
2023-01-03 00:46:40,0.89,0.83,0.89,0.777,146651,-6.741573033707871
2023-01-04 00:46:40,0.8623,0.8199,0.8623,0.775,55271,-4.917082221964513
2023-01-05 00:46:40,0.8016,0.8,0.8287,0.7722,65708,-0.19960079840318548
2023-01-06 00:46:40,0.847,0.8011,0.847,0.8,41358,-5.419126328217231
2023-01-09 00:46:40,0.8017,0.851,0.8897,0.8016,62809,6.149432456030936
2023-01-10 00:46:40,0.851101,0.8899,0.9,0.8208,91256,4.55868339950253
2023-01-11 00:46:40,0.8998,0.945,0.9642,0.87901,135925,5.023338519671027
2023-01-12 00:46:40,0.93,0.9425,0.98,0.9,67931,1.3440860215053716
2023-01-13 00:46:40,0.94495,0.9694,0.9872,0.91,80800,2.5874384888089406
2023-01-17 00:46:40,1.05,1.22,1.24,0.9827,530485,16.190476190476183
2023-01-18 00:46:40,1.19,1.2272,1.32,1.1577,536491,3.126050420168078
2023-01-19 00:46:40,1.27,1.2,1.35,1.1613,163871,-5.511811023622052
2023-01-20 00:46:40,1.23,1.2,1.23,1.14,69213,-2.4390243902439046
2023-01-23 00:46:40,1.24,1.2,1.24,1.14,283721,-3.2258064516129057
2023-01-24 00:46:40,1.2107,1.19,1.22,1.13,69214,-1.7097546873709557
2023-01-25 00:46:40,1.17,1.14,1.2,1.12,32515,-2.5641025641025665
2023-01-26 00:46:40,1.14,1.1,1.14,1.1,21461,-3.508771929824545
2023-01-27 00:46:40,1.1084,1.1,1.1444,1.07,46225,-0.7578491519307076
2023-01-30 00:46:40,1.09,1.058,1.12,1.03,83838,-2.935779816513764
2023-01-31 00:46:40,1.07,1.04,1.0899,1.03,64204,-2.803738317757012
2023-02-01 00:46:40,1.08,1.1001,1.13,1.04,102849,1.8611111111111116
