Datetime,Open,Close,High,Low,Volume,Gain%
2006-11-10 00:46:40,7.0,6.75,7.18,6.55,2316728,-3.571428571428571
2006-11-13 00:46:40,6.75,6.39,6.8,6.25,585871,-5.3333333333333375
2006-11-14 00:46:40,5.54,6.65,6.65,5.54,172503,20.036101083032495
2006-11-15 00:46:40,6.7,6.5,6.75,6.4,55459,-2.9850746268656745
2006-11-16 00:46:40,6.5,6.77,6.77,6.5,164879,4.153846153846148
2006-11-17 00:46:40,6.75,6.55,6.75,6.4,145337,-2.9629629629629655
2006-11-20 00:46:40,6.69,6.47,6.69,6.43,69247,-3.2884902840059884
2006-11-21 00:46:40,6.51,6.57,6.58,6.4,114051,0.9216589861751229
2006-11-22 00:46:40,6.59,6.54,6.59,6.43,48105,-0.758725341426401
2006-11-24 00:46:40,6.45,6.5,6.5,6.41,19272,0.7751937984496096
2006-11-27 00:46:40,6.45,6.4,6.5,6.4,101017,-0.7751937984496096
2006-11-28 00:46:40,6.41,6.45,6.57,6.4,60432,0.6240249609984405
2006-11-29 00:46:40,6.45,6.86,6.91,6.45,103352,6.356589147286824
2006-11-30 00:46:40,6.8,6.9,6.98,6.7,61412,1.4705882352941255
2006-12-01 00:46:40,7.1,7.19,7.65,6.9,377714,1.2676056338028274
2006-12-04 00:46:40,7.33,7.1,7.33,6.85,142235,-3.137789904502052
2006-12-05 00:46:40,7.1,7.64,7.65,7.05,175521,7.605633802816902
2006-12-06 00:46:40,7.54,8.15,8.25,7.54,462001,8.090185676392577
2006-12-07 00:46:40,6.85,7.3,7.32,6.4,210758,6.569343065693434
2006-12-08 00:46:40,7.3,7.1,7.45,7.0,79895,-2.739726027397263
2006-12-11 00:46:40,7.11,6.77,7.2,6.64,49297,-4.7819971870604885
2006-12-12 00:46:40,6.94,6.7,6.94,6.7,21204,-3.458213256484153
2006-12-13 00:46:40,6.7,6.68,6.77,6.5,44255,-0.2985074626865741
2006-12-14 00:46:40,6.61,6.8,6.9,6.5,84670,2.874432677760961
