Datetime,Open,Close,High,Low,Volume,Gain%
2003-02-03 00:46:40,24.74,24.5,24.74,24.4,10200,-0.9700889248181019
2003-02-04 00:46:40,24.5,24.49,24.6,24.49,13700,-0.040816326530618625
2003-02-05 00:46:40,24.61,24.05,24.61,24.04,3100,-2.275497765136118
2003-02-06 00:46:40,24.37,24.07,24.37,23.9,1800,-1.2310217480508852
2003-02-07 00:46:40,23.84,23.47,23.84,23.34,4500,-1.552013422818796
2003-02-10 00:46:40,23.48,23.47,23.48,23.47,1300,-0.04258943781942744
2003-02-11 00:46:40,23.37,23.72,23.72,23.26,2200,1.4976465554129135
2003-02-12 00:46:40,23.91,23.45,23.91,23.45,3400,-1.923881221246344
2003-02-13 00:46:40,23.4,23.28,23.4,23.28,3600,-0.5128205128205019
2003-02-14 00:46:40,23.35,23.49,23.49,23.28,3700,0.5995717344753619
2003-02-18 00:46:40,23.34,23.34,23.34,23.34,100,0.0
2003-02-19 00:46:40,23.28,23.41,23.62,23.27,1600,0.55841924398625
2003-02-20 00:46:40,23.36,23.29,23.36,23.28,5800,-0.2996575342465766
2003-02-21 00:46:40,23.29,22.95,23.36,22.95,8200,-1.4598540145985395
2003-02-24 00:46:40,22.75,22.08,22.76,22.08,11000,-2.9450549450549524
2003-02-25 00:46:40,22.0,22.26,22.26,21.22,7800,1.181818181818189
2003-02-26 00:46:40,22.38,22.19,22.38,21.99,1900,-0.8489722966934663
2003-02-27 00:46:40,22.23,22.22,22.23,21.83,1200,-0.04498425551057833
2003-02-28 00:46:40,22.06,21.89,22.06,21.89,1700,-0.7706255666364378
2003-03-03 00:46:40,21.51,21.6,21.75,21.51,3000,0.41841004184100344
2003-03-04 00:46:40,21.75,21.78,21.79,21.75,400,0.13793103448276386
2003-03-05 00:46:40,21.72,21.99,22.14,21.71,1900,1.2430939226519317
2003-03-06 00:46:40,21.94,21.71,21.94,21.18,5800,-1.048313582497723
2003-03-07 00:46:40,21.87,22.81,23.47,21.87,20000,4.298125285779596
