Datetime,Open,Close,High,Low,Volume,Gain%
2003-02-03 00:46:40,5.575,5.5925,5.625,5.54,1018000,0.31390134529148106
2003-02-04 00:46:40,5.5375,5.65,5.6725,5.525,1232800,2.0316027088036246
2003-02-05 00:46:40,5.65,5.6125,5.775,5.59,985200,-0.6637168141593014
2003-02-06 00:46:40,5.6125,5.55,5.6125,5.55,425200,-1.1135857461024499
2003-02-07 00:46:40,5.6125,5.5175,5.6125,5.49,486400,-1.6926503340757195
2003-02-10 00:46:40,5.55,5.54,5.55,5.425,425200,-0.18018018018017634
2003-02-11 00:46:40,5.5475,5.4825,5.56,5.4425,498400,-1.1716989634970778
2003-02-12 00:46:40,5.5,5.4,5.53,5.3975,315200,-1.818181818181812
2003-02-13 00:46:40,5.38,5.5125,5.535,5.375,660800,2.4628252788104144
2003-02-14 00:46:40,5.475,5.515,5.625,5.475,925600,0.7305936073059367
2003-02-18 00:46:40,5.535,5.5875,5.595,5.51,747200,0.9485094850948548
2003-02-19 00:46:40,5.595,5.485,5.595,5.445,710000,-1.966041108132251
2003-02-20 00:46:40,5.175,5.485,5.5775,5.1275,2666000,5.9903381642512175
2003-02-21 00:46:40,5.4875,5.43,5.525,5.37,1088000,-1.0478359908883845
2003-02-24 00:46:40,5.43,5.2725,5.43,5.25,1161600,-2.900552486187841
2003-02-25 00:46:40,5.2025,5.46,5.475,5.1775,1390000,4.9495434887073575
2003-02-26 00:46:40,5.4625,5.245,5.4625,5.235,1013200,-3.9816933638443976
2003-02-27 00:46:40,5.3,5.31,5.3475,5.245,749200,0.18867924528301486
2003-02-28 00:46:40,5.3275,5.2525,5.3375,5.235,520800,-1.407789770060991
2003-03-03 00:46:40,5.2925,5.2725,5.3625,5.2575,851200,-0.3778932451582515
2003-03-04 00:46:40,5.2725,5.2625,5.31,5.2375,707200,-0.18966334755808037
2003-03-05 00:46:40,5.2625,5.1725,5.2625,5.125,1268400,-1.7102137767220873
2003-03-06 00:46:40,5.1525,5.155,5.1625,5.1025,849200,0.04852013585638799
2003-03-07 00:46:40,5.155,5.2275,5.2475,5.1,891200,1.4064015518913633
2003-03-10 00:46:40,5.2275,5.1375,5.2275,5.1225,624800,-1.7216642754662812
2003-03-11 00:46:40,5.15,5.105,5.235,5.105,606800,-0.8737864077669889
2003-03-12 00:46:40,5.0625,5.08,5.1375,5.05,738000,0.34567901234568044
