Datetime,Open,Close,High,Low,Volume,Gain%
2020-09-23 00:46:40,33.55,40.8,44.0,31.0,1978215,21.609538002980628
2020-09-24 00:46:40,39.52,37.5,39.99,33.9,445267,-5.111336032388671
2020-09-25 00:46:40,36.16,45.0,48.0,35.6723,305051,24.44690265486727
2020-09-28 00:46:40,48.44,46.5,51.89,44.11,312738,-4.00495458298926
2020-09-29 00:46:40,46.85,44.07,47.4399,41.43,155421,-5.93383137673426
2020-09-30 00:46:40,41.68,45.87,47.23,41.6,136515,10.052783109404984
2020-10-01 00:46:40,45.32,43.2,47.22,43.2,220736,-4.677846425419236
2020-10-02 00:46:40,42.4,41.72,43.0,41.22,203077,-1.6037735849056596
2020-10-05 00:46:40,42.56,42.86,43.11,41.73,66647,0.704887218045106
2020-10-06 00:46:40,43.21,42.6,43.72,41.9,135432,-1.4117102522564209
2020-10-07 00:46:40,42.95,43.0,43.9504,42.8085,137261,0.11641443538998174
2020-10-08 00:46:40,42.71,43.9,43.95,40.02,158645,2.78623273238117
2020-10-09 00:46:40,46.12,44.0,46.42,43.1001,223775,-4.596704249783169
2020-10-12 00:46:40,45.03,45.6,46.25,44.2,70120,1.2658227848101273
2020-10-13 00:46:40,46.01,48.5,48.91,45.0,45606,5.411866985437952
2020-10-14 00:46:40,48.89,46.75,51.25,46.08,132804,-4.377173246062591
2020-10-15 00:46:40,47.0,44.59,47.1823,44.59,52225,-5.127659574468078
2020-10-16 00:46:40,45.31,49.17,49.95,45.31,100234,8.519090708452879
2020-10-19 00:46:40,51.61,53.58,57.25,50.755,224404,3.8170897112962585
2020-10-20 00:46:40,53.6,57.18,60.8,53.6,162170,6.679104477611937
2020-10-21 00:46:40,57.98,49.37,60.26,49.37,150450,-14.849948258020007
2020-10-22 00:46:40,50.0,47.02,52.7799,46.69,82158,-5.959999999999994
2020-10-23 00:46:40,47.47,51.26,51.9,47.2001,63152,7.983989888350536
2020-10-26 00:46:40,51.12,49.21,51.12,46.0,79394,-3.736306729264469
2020-10-27 00:46:40,48.88,50.67,51.47,48.88,74870,3.6620294599017984
2020-10-28 00:46:40,50.4,49.64,50.9251,49.0056,110806,-1.507936507936504
2020-10-29 00:46:40,50.18,50.55,50.93,49.07,120201,0.7373455559984007
2020-10-30 00:46:40,50.55,46.0,51.4,45.43,202019,-9.000989119683476
2020-11-02 00:46:40,47.63,46.1,47.79,45.01,50292,-3.212261179928619
2020-11-03 00:46:40,46.46,46.06,47.38,45.555,86356,-0.8609556607834665
2020-11-04 00:46:40,45.82,47.73,47.855,45.82,64924,4.168485377564375
2020-11-05 00:46:40,48.0,49.0,49.0,45.7,48667,2.083333333333333
2020-11-06 00:46:40,49.08,48.0,49.1296,47.4,34958,-2.200488997555009
2020-11-09 00:46:40,50.0,45.1,50.43,45.1,154288,-9.799999999999997
2020-11-10 00:46:40,44.99,40.22,44.99,39.54,137234,-10.6023560791287
2020-11-11 00:46:40,40.67,42.32,43.8499,40.67,56774,4.057044504548804
2020-11-12 00:46:40,42.99,42.49,42.99,41.6503,52145,-1.1630611770179111
2020-11-13 00:46:40,41.8,39.13,42.85,38.6,340872,-6.387559808612428
2020-11-16 00:46:40,42.92,47.99,48.0,40.96,184519,11.812674743709227
2020-11-17 00:46:40,48.0,47.78,51.7,47.53,158342,-0.458333333333331
2020-11-18 00:46:40,50.2,47.5,51.2645,47.13,149586,-5.378486055776898
2020-11-19 00:46:40,48.0,47.76,49.0,47.3292,73096,-0.5000000000000042
2020-11-20 00:46:40,48.21,47.18,48.93,45.8736,92225,-2.1364862061812926
2020-11-23 00:46:40,48.1,49.34,51.9999,47.53,144170,2.577962577962582
2020-11-24 00:46:40,49.8,47.58,50.92,47.005,117395,-4.4578313253012025
2020-11-25 00:46:40,47.99,47.29,48.65,46.3556,53951,-1.4586372160866905
2020-11-27 00:46:40,47.79,48.05,48.05,46.92,25419,0.5440468717304834
2020-11-30 00:46:40,48.48,48.41,49.275,47.5,87634,-0.144389438943895
2020-12-01 00:46:40,48.83,46.57,49.0199,45.9,72793,-4.6283022731927055
2020-12-02 00:46:40,47.18,47.35,48.75,45.2,163005,0.3603221704111948
2020-12-03 00:46:40,47.49,47.72,48.47,45.75,113631,0.484312486839328
2020-12-04 00:46:40,48.23,47.54,48.7408,45.55,88230,-1.4306448268712373
2020-12-07 00:46:40,47.54,45.86,48.0,45.32,70639,-3.5338662179217497
2020-12-08 00:46:40,45.33,45.75,47.262,45.33,73762,0.9265387160820686
2020-12-09 00:46:40,46.12,43.0,46.2,43.0,108346,-6.764960971379005
2020-12-10 00:46:40,43.3,41.79,44.0,40.645,114294,-3.487297921478056
2020-12-11 00:46:40,42.0,42.0,43.8,41.0,114249,0.0
2020-12-14 00:46:40,41.5,43.52,43.8,41.5,79786,4.8674698795180795
2020-12-15 00:46:40,43.39,43.0,44.43,42.6,118410,-0.8988246139663529
2020-12-16 00:46:40,43.04,44.98,44.99,43.04,134225,4.507434944237914
2020-12-17 00:46:40,46.0,48.5,53.14,45.99,297450,5.434782608695652
2020-12-18 00:46:40,49.6,45.85,49.6,45.81,682529,-7.560483870967742
2020-12-21 00:46:40,45.43,46.02,46.23,44.57,176234,1.2987012987013062
2020-12-22 00:46:40,45.6,51.41,51.97,45.6,125962,12.741228070175428
2020-12-23 00:46:40,51.63,55.79,56.26,51.63,143891,8.057331009103228
2020-12-24 00:46:40,56.0,57.1,58.52,55.2,53818,1.9642857142857166
2020-12-28 00:46:40,57.0,57.83,58.33,55.0,68167,1.45614035087719
2020-12-29 00:46:40,58.41,53.47,58.41,53.01,58914,-8.45745591508303
2020-12-30 00:46:40,53.5,51.35,54.26,51.0,64631,-4.018691588785044
2020-12-31 00:46:40,51.54,47.32,51.54,47.18,94747,-8.187815289095845
2021-01-04 00:46:40,47.01,44.51,47.2,43.8,116741,-5.318017443097213
2021-01-05 00:46:40,44.35,45.49,46.93,44.35,51968,2.5704622322435187
2021-01-06 00:46:40,45.7,45.49,47.26,44.6,67465,-0.4595185995623651
2021-01-07 00:46:40,46.47,44.13,46.59,43.74,92364,-5.03550677856681
2021-01-08 00:46:40,44.19,44.97,45.94,43.5,95455,1.7651052274270225
2021-01-11 00:46:40,45.0,45.92,46.41,43.9,59518,2.0444444444444483
2021-01-12 00:46:40,46.23,44.66,46.23,43.53,76472,-3.3960631624486273
2021-01-13 00:46:40,45.36,46.67,47.85,43.6,79521,2.8880070546737264
2021-01-14 00:46:40,47.45,47.0,48.275,45.41,59307,-0.9483667017913653
2021-01-15 00:46:40,47.48,44.61,47.48,44.36,54440,-6.044650379106987
2021-01-19 00:46:40,44.71,45.39,45.39,43.6,73943,1.5209125475285163
2021-01-20 00:46:40,45.51,43.52,45.51,43.52,58286,-4.372665348275094
2021-01-21 00:46:40,45.4,42.55,45.4,42.135,78675,-6.27753303964758
2021-01-22 00:46:40,42.37,42.92,42.92,41.62,62803,1.2980882700023704
2021-01-25 00:46:40,43.64,43.85,46.39,42.82,85928,0.4812098991750707
2021-01-26 00:46:40,45.32,46.0,46.0,44.5,51534,1.5004413062665483
2021-01-27 00:46:40,45.0,46.49,47.0,43.6901,66869,3.3111111111111153
2021-01-28 00:46:40,46.99,44.48,46.99,43.4556,50893,-5.341562034475431
2021-01-29 00:46:40,44.25,43.34,45.6,43.17,44502,-2.0564971751412355
2021-02-01 00:46:40,43.12,43.53,43.805,42.0,40859,0.9508348794063166
2021-02-02 00:46:40,44.53,43.5,44.53,42.5,32993,-2.313047383786214
2021-02-03 00:46:40,44.0,44.99,45.09,42.8,28914,2.2500000000000044
2021-02-04 00:46:40,45.1,46.03,46.19,44.0331,54429,2.062084257206208
2021-02-05 00:46:40,48.0,52.88,55.0,48.0,228373,10.166666666666673
2021-02-08 00:46:40,54.85,53.99,55.99,50.92,123706,-1.5679124886052862
2021-02-09 00:46:40,54.82,53.6,55.7,53.09,117520,-2.2254651587012018
2021-02-10 00:46:40,54.74,55.72,55.74,53.04,57869,1.790281329923268
2021-02-11 00:46:40,55.8,53.82,55.8,51.52,106160,-3.548387096774188
2021-02-12 00:46:40,54.73,53.26,55.0199,52.26,25966,-2.685912662159691
2021-02-16 00:46:40,53.0,48.33,53.0,47.4101,103009,-8.811320754716984
2021-02-17 00:46:40,48.15,47.0,48.89,46.37,46498,-2.388369678089301
2021-02-18 00:46:40,46.19,47.29,47.29,45.8,45886,2.3814678501840256
2021-02-19 00:46:40,46.8,48.19,49.0,46.8,46998,2.9700854700854715
2021-02-22 00:46:40,48.23,43.7,48.23,43.38,84117,-9.392494298154663
2021-02-23 00:46:40,43.0,42.78,43.86,40.0,77953,-0.5116279069767415
2021-02-24 00:46:40,45.65,42.35,45.65,41.56,96765,-7.228915662650596
2021-02-25 00:46:40,42.41,40.0,42.89,40.0,110455,-5.68262202310775
2021-02-26 00:46:40,40.12,39.47,41.1195,37.77,68786,-1.6201395812562278
2021-03-01 00:46:40,41.0,40.18,41.85,39.66,56682,-2.000000000000001
2021-03-02 00:46:40,40.76,42.47,43.2399,39.75,63963,4.195289499509325
2021-03-03 00:46:40,42.5,40.27,42.5,38.6001,74823,-5.247058823529405
2021-03-04 00:46:40,39.78,37.3,40.33,36.0,100625,-6.2342885872297735
2021-03-05 00:46:40,37.89,35.75,38.1379,34.3891,99418,-5.647928213248879
2021-03-08 00:46:40,35.47,33.27,36.92,33.0,116606,-6.2024245841556125
2021-03-09 00:46:40,34.37,36.97,38.0,34.15,74356,7.564736688972946
2021-03-10 00:46:40,37.99,36.64,38.6551,35.703,44267,-3.5535667280863423
2021-03-11 00:46:40,37.0,37.44,38.96,36.3,52426,1.189189189189183
2021-03-12 00:46:40,41.0,37.18,41.0,35.82,131689,-9.317073170731708
2021-03-15 00:46:40,37.07,35.06,37.44,35.06,123766,-5.422174264904229
2021-03-16 00:46:40,35.48,35.99,36.74,34.53,82202,1.437429537767771
2021-03-17 00:46:40,35.11,36.37,36.54,35.06,45875,3.5887211620620847
2021-03-18 00:46:40,36.28,35.35,36.28,34.89,57905,-2.563395810363836
