Datetime,Open,Close,High,Low,Volume,Gain%
2003-02-03 00:46:40,11.25,11.305,11.395,11.25,917200,0.4888888888888864
2003-02-04 00:46:40,11.35,11.4,11.475,11.29,572800,0.4405286343612398
2003-02-05 00:46:40,11.45,11.4,11.575,11.4,496600,-0.4366812227074143
2003-02-06 00:46:40,11.395,11.325,11.405,11.325,504600,-0.6143045195261104
2003-02-07 00:46:40,11.325,11.285,11.455,11.285,455400,-0.3532008830022
2003-02-10 00:46:40,11.385,11.34,11.475,11.29,587200,-0.3952569169960468
2003-02-11 00:46:40,11.35,11.22,11.375,11.2,910200,-1.1453744493391984
2003-02-12 00:46:40,11.22,11.15,11.25,11.11,848800,-0.6238859180035676
2003-02-13 00:46:40,11.15,11.165,11.2,11.13,443600,0.13452914798205196
2003-02-14 00:46:40,11.175,11.135,11.3,11.13,569800,-0.3579418344519098
2003-02-18 00:46:40,11.225,11.51,11.565,11.225,778400,2.538975501113587
2003-02-19 00:46:40,11.525,11.25,11.525,11.25,632200,-2.386117136659439
2003-02-20 00:46:40,11.375,11.235,11.38,11.175,548200,-1.2307692307692357
2003-02-21 00:46:40,11.25,11.295,11.465,11.195,481600,0.3999999999999994
2003-02-24 00:46:40,11.295,11.175,11.365,11.105,675400,-1.0624169986719718
2003-02-25 00:46:40,11.15,11.365,11.47,11.15,678400,1.9282511210762319
2003-02-26 00:46:40,11.475,11.305,11.475,11.275,532600,-1.481481481481481
2003-02-27 00:46:40,11.425,11.445,11.505,11.3,1164400,0.17505470459518224
2003-02-28 00:46:40,11.475,11.565,11.64,11.465,1224800,0.7843137254901948
2003-03-03 00:46:40,11.575,11.555,11.72,11.475,918800,-0.17278617710582786
2003-03-04 00:46:40,11.5,11.75,11.85,11.5,1514200,2.1739130434782608
2003-03-05 00:46:40,11.7,11.555,11.7,11.435,1145000,-1.2393162393162358
2003-03-06 00:46:40,11.505,11.565,11.635,11.42,980600,0.5215123859191545
2003-03-07 00:46:40,11.535,11.83,11.92,11.535,817800,2.557433896835717
2003-03-10 00:46:40,11.835,11.7,11.855,11.61,710000,-1.140684410646401
2003-03-11 00:46:40,11.775,11.76,11.945,11.725,645200,-0.12738853503185196
2003-03-12 00:46:40,11.675,11.925,11.975,11.675,679600,2.141327623126338
2003-03-13 00:46:40,12.0,12.095,12.195,11.995,756800,0.791666666666672
2003-03-14 00:46:40,12.095,11.845,12.095,11.8,900600,-2.066969822240595
2003-03-17 00:46:40,11.845,12.19,12.2,11.845,793200,2.9126213592232912
2003-03-18 00:46:40,12.2,12.28,12.35,12.0,1052800,0.6557377049180334
2003-03-19 00:46:40,12.15,12.56,12.565,12.15,870400,3.37448559670782
2003-03-20 00:46:40,13.1,12.79,13.375,12.725,32450400,-2.3664122137404617
2003-03-21 00:46:40,12.845,12.945,12.975,12.775,4323600,0.7785130400934187
2003-03-24 00:46:40,12.945,12.725,12.945,12.585,2197800,-1.6994978756276604
2003-03-25 00:46:40,12.73,12.495,12.73,12.4,4580000,-1.8460329929300956
2003-03-26 00:46:40,12.35,12.17,12.37,12.155,3368000,-1.4574898785425079
2003-03-27 00:46:40,12.17,12.385,12.475,12.075,1259200,1.7666392769104342
2003-03-28 00:46:40,12.38,11.98,12.38,11.95,2069000,-3.231017770597741
2003-03-31 00:46:40,11.96,12.07,12.1,11.85,1456800,0.9197324414715671
2003-04-01 00:46:40,12.07,12.015,12.145,11.96,1107400,-0.45567522783761155
2003-04-02 00:46:40,12.1,12.285,12.325,12.015,1244200,1.528925619834715
2003-04-03 00:46:40,12.18,12.085,12.25,12.045,1009200,-0.7799671592774948
2003-04-04 00:46:40,12.085,12.12,12.165,12.03,780800,0.2896152254861263
2003-04-07 00:46:40,12.15,12.075,12.38,12.025,937400,-0.6172839506172927
2003-04-08 00:46:40,12.15,12.055,12.2,12.0,707000,-0.7818930041152315
2003-04-09 00:46:40,11.945,11.98,12.07,11.845,1140000,0.2930096274591891
2003-04-10 00:46:40,12.01,12.21,12.475,11.96,1143000,1.665278934221491
