Datetime,Open,Close,High,Low,Volume,Gain%
2019-12-24 00:46:40,2.0,10.25,19.0,2.0,2073,412.5
2019-12-26 00:46:40,10.5,15.0,19.0,10.1,4577,42.857142857142854
2019-12-27 00:46:40,13.01,12.51,14.0,11.01,3781,-3.843197540353574
2019-12-30 00:46:40,13.0,12.49,13.26,5.0,115752,-3.9230769230769216
2019-12-31 00:46:40,12.52,13.45,13.45,12.5,3186,7.428115015974439
2020-01-03 00:46:40,13.45,16.0,16.0,12.98,34337,18.959107806691456
2020-01-06 00:46:40,15.85,15.01,15.85,15.01,5334,-5.29968454258675
2020-01-07 00:46:40,15.01,15.0,15.01,14.01,2224,-0.06662225183211051
2020-01-08 00:46:40,14.26,15.75,15.75,14.26,9734,10.44880785413745
2020-01-09 00:46:40,15.75,15.0,15.75,14.12,8699,-4.761904761904762
2020-01-10 00:46:40,15.0,15.0,15.0,13.98,58494,0.0
2020-01-13 00:46:40,15.0,14.8,15.0,14.8,340,-1.3333333333333286
2020-01-14 00:46:40,13.73,14.5,14.9,13.73,2399,5.608157319737797
2020-01-15 00:46:40,13.75,14.0,14.5,13.75,3697,1.8181818181818181
2020-01-16 00:46:40,14.0,14.9,14.9,14.0,373,6.428571428571431
2020-01-17 00:46:40,13.7,14.9,14.9,13.3,4208,8.75912408759125
2020-01-21 00:46:40,13.21,13.2,14.75,13.2,3647,-0.07570022710069313
2020-01-22 00:46:40,13.21,14.0,14.0,13.21,2163,5.980317940953816
2020-01-23 00:46:40,14.3,13.01,14.3,13.01,663,-9.020979020979027
2020-01-24 00:46:40,13.01,14.0,14.0,13.0,4207,7.609531129900078
2020-01-27 00:46:40,13.1,13.0,13.89,12.56,2474,-0.7633587786259515
2020-01-29 00:46:40,13.99,13.0,13.99,13.0,768,-7.076483202287349
2020-01-31 00:46:40,12.35,11.02,13.25,11.01,3201,-10.76923076923077
2020-02-03 00:46:40,12.87,12.87,12.87,12.87,158,0.0
2020-02-04 00:46:40,11.27,12.5,12.5,10.51,5150,10.91393078970719
2020-02-05 00:46:40,11.25,11.0,12.5,11.0,19299,-2.2222222222222223
2020-02-06 00:46:40,11.02,11.0,12.5,10.85,7953,-0.1814882032667838
2020-02-07 00:46:40,11.0,11.93,12.28,10.41,1482,8.454545454545451
2020-02-10 00:46:40,10.41,11.0,11.0,10.41,1557,5.667627281460133
2020-02-11 00:46:40,12.1,12.1,12.1,12.1,229,0.0
2020-02-12 00:46:40,10.4,11.9,11.9,10.4,2787,14.423076923076922
2020-02-13 00:46:40,11.9,11.0,11.9,10.05,3231,-7.563025210084036
2020-02-14 00:46:40,11.0,11.9,11.9,11.0,1912,8.181818181818185
2020-02-18 00:46:40,10.01,11.45,11.5,10.01,2156,14.385614385614382
2020-02-19 00:46:40,10.5,11.45,11.45,10.5,4266,9.04761904761904
2020-02-20 00:46:40,11.55,11.8931,12.0,11.35,24407,2.970562770562768
2020-02-21 00:46:40,11.8,11.85,11.855,11.6607,3268,0.423728813559313
2020-02-24 00:46:40,11.58,11.0,11.58,10.99,4135,-5.008635578583766
2020-02-25 00:46:40,11.1931,10.41,11.1931,10.41,5563,-6.996274490534341
2020-02-26 00:46:40,10.01,9.475,10.01,9.43,11662,-5.344655344655346
2020-02-27 00:46:40,9.01,8.4,9.1,8.4,28568,-6.770255271920083
2020-02-28 00:46:40,8.25,7.48,8.25,7.48,6148,-9.333333333333329
2020-03-02 00:46:40,8.0,8.25,8.79,8.0,5455,3.125
2020-03-03 00:46:40,8.75,7.995,8.75,7.995,4006,-8.628571428571426
2020-03-04 00:46:40,8.3199,8.29,8.3199,7.9,4785,-0.3593793194629908
2020-03-05 00:46:40,8.0,8.0,8.0,8.0,1889,0.0
2020-03-06 00:46:40,8.221,8.0,8.221,7.8,2862,-2.6882374407006457
2020-03-09 00:46:40,7.01,5.5,7.61,5.4801,18713,-21.540656205420824
2020-03-10 00:46:40,6.46,4.47,6.643,4.43,34050,-30.804953560371523
2020-03-11 00:46:40,4.47,3.96,4.7264,3.62,10675,-11.409395973154359
2020-03-12 00:46:40,3.41,3.5435,3.5435,3.41,2279,3.9149560117301974
2020-03-13 00:46:40,3.5774,3.21,3.5774,3.21,2501,-10.270028512327388
2020-03-16 00:46:40,3.18,2.85,3.18,2.85,2903,-10.37735849056604
2020-03-17 00:46:40,2.75,2.25,2.91,2.25,3473,-18.181818181818183
2020-03-18 00:46:40,2.46,2.44,2.46,2.26,6496,-0.8130081300813016
2020-03-19 00:46:40,2.42,2.44,2.88,2.25,4554,0.8264462809917362
2020-03-20 00:46:40,2.48,2.31,2.56,2.31,1717,-6.854838709677416
2020-03-23 00:46:40,2.5399,2.4589,2.5399,2.4589,554,-3.1891019331469725
2020-03-24 00:46:40,2.8281,2.89,3.056,2.697,2323,2.1887486298221446
2020-03-25 00:46:40,2.75,2.6,2.75,2.6,6903,-5.4545454545454515
2020-03-26 00:46:40,3.0,5.61,5.75,2.8756,82659,87.00000000000001
2020-03-27 00:46:40,6.17,5.52,8.44,5.3,197981,-10.534846029173424
2020-03-30 00:46:40,4.75,4.43,5.0,4.0267,32767,-6.736842105263163
2020-03-31 00:46:40,4.23,4.675,4.8999,4.23,13287,10.520094562647738
2020-04-01 00:46:40,4.2,4.36,4.6,4.2,5512,3.809523809523813
2020-04-02 00:46:40,4.36,4.71,4.8797,4.36,9059,8.027522935779807
2020-04-03 00:46:40,4.75,4.82,4.825,4.32,6780,1.473684210526322
2020-04-06 00:46:40,4.69,4.7,4.84,4.6001,11286,0.21321961620468627
2020-04-07 00:46:40,4.49,4.33,4.61,4.3,12732,-3.563474387527843
2020-04-08 00:46:40,4.497,4.5,4.5,4.4018,1841,0.06671114076050953
2020-04-09 00:46:40,4.5,5.5,5.82,4.39,50781,22.22222222222222
2020-04-13 00:46:40,5.71,5.42,6.0,5.11,33704,-5.078809106830123
2020-04-14 00:46:40,5.85,5.19,5.85,4.95,17255,-11.28205128205127
2020-04-15 00:46:40,5.425,4.86,5.425,4.62,11283,-10.414746543778792
2020-04-16 00:46:40,4.64,5.05,5.32,4.457,8859,8.836206896551728
2020-04-17 00:46:40,4.9705,4.9,5.0,4.8001,3590,-1.418368373403078
