Datetime,Open,Close,High,Low,Volume,Gain%
2007-08-16 00:46:40,10.5,10.5,11.31,10.0,13902200,0.0
2007-08-17 00:46:40,10.7,11.0,11.0,10.55,2989000,2.8037383177570163
2007-08-20 00:46:40,11.45,11.3,11.5,11.1,3014600,-1.3100436681222583
2007-08-21 00:46:40,11.3,11.05,11.34,10.85,1864200,-2.2123893805309733
2007-08-22 00:46:40,11.1,11.1,11.15,10.85,1400100,0.0
2007-08-23 00:46:40,11.1,11.0,11.15,10.85,987600,-0.9009009009008978
2007-08-24 00:46:40,11.0,11.03,11.09,10.85,504800,0.2727272727272669
2007-08-27 00:46:40,11.08,10.93,11.08,10.85,1101200,-1.3537906137184148
2007-08-28 00:46:40,10.95,10.51,10.95,10.46,1879200,-4.018264840182644
2007-08-29 00:46:40,10.56,10.6,10.75,10.5,165700,0.3787878787878707
2007-08-30 00:46:40,10.7,10.5,10.75,10.5,394100,-1.8691588785046664
2007-08-31 00:46:40,10.59,10.51,10.66,10.5,469200,-0.7554296506137872
2007-09-04 00:46:40,10.7,10.95,10.99,10.55,380700,2.3364485981308416
2007-09-05 00:46:40,10.85,10.62,10.85,10.56,212800,-2.119815668202769
2007-09-06 00:46:40,10.53,10.35,10.6,10.0,492200,-1.7094017094017069
2007-09-07 00:46:40,10.2,10.05,10.2,9.7,293600,-1.4705882352941038
2007-09-10 00:46:40,10.1,10.2,10.41,10.05,675400,0.9900990099009866
2007-09-11 00:46:40,10.4,10.46,10.6,10.3,843900,0.5769230769230818
2007-09-12 00:46:40,10.5,10.68,10.8,10.5,640500,1.7142857142857115
2007-09-13 00:46:40,10.75,11.11,11.27,10.65,785000,3.3488372093023204
2007-09-14 00:46:40,10.98,11.3,11.35,10.748,1295500,2.9143897996357038
2007-09-17 00:46:40,11.48,11.19,11.48,10.7,438100,-2.5261324041811926
2007-09-18 00:46:40,11.3,11.45,11.7,11.01,1126900,1.3274336283185715
2007-09-19 00:46:40,11.59,11.48,11.65,11.2,698900,-0.9490940465918847
2007-09-20 00:46:40,11.5,11.64,11.83,11.47,1069800,1.217391304347831
2007-09-21 00:46:40,11.69,12.25,12.3,11.69,1225500,4.790419161676651
2007-09-24 00:46:40,12.39,12.4,12.7,12.2,1007600,0.0807102502017739
2007-09-25 00:46:40,12.34,12.11,12.4,12.05,1065300,-1.8638573743922238
2007-09-26 00:46:40,12.3,12.57,12.8,12.25,1191900,2.195121951219509
2007-09-27 00:46:40,12.62,12.93,13.0,12.55,1941000,2.456418383518229
2007-09-28 00:46:40,12.98,12.9,13.3,12.75,1034600,-0.6163328197226507
2007-10-01 00:46:40,13.0,13.28,13.38,12.85,890900,2.153846153846149
2007-10-02 00:46:40,13.35,13.03,13.35,12.25,1079800,-2.3970037453183544
2007-10-03 00:46:40,13.03,12.43,13.11,12.4,455100,-4.604758250191862
2007-10-04 00:46:40,12.6,12.95,13.09,12.6,852000,2.777777777777775
2007-10-05 00:46:40,13.19,13.24,13.35,13.0,354000,0.37907505686126397
2007-10-08 00:46:40,13.2,13.1,13.2,12.88,184800,-0.7575757575757549
2007-10-09 00:46:40,13.1,13.1,13.2,12.88,438300,0.0
2007-10-10 00:46:40,12.95,12.96,13.1,12.75,456000,0.07722007722008929
2007-10-11 00:46:40,13.05,12.41,13.15,12.4,340600,-4.904214559386977
2007-10-12 00:46:40,12.4,12.28,12.54,12.15,333100,-0.967741935483879
2007-10-15 00:46:40,12.44,12.34,12.48,12.09,517400,-0.8038585209003187
2007-10-16 00:46:40,12.16,12.2,12.34,10.86,498700,0.3289473684210456
2007-10-17 00:46:40,12.35,12.09,12.48,11.99,750200,-2.105263157894735
2007-10-18 00:46:40,12.18,12.24,12.34,11.9,404400,0.4926108374384277
2007-10-19 00:46:40,12.2,12.0,12.7,11.93,458700,-1.6393442622950762
2007-10-22 00:46:40,11.72,12.0,12.11,11.5,501100,2.3890784982935096
2007-10-23 00:46:40,12.15,12.12,12.28,12.06,488800,-0.24691358024692295
2007-10-24 00:46:40,12.12,12.19,12.25,12.0,590000,0.57755775577558
2007-10-25 00:46:40,12.24,12.18,12.3,12.1,343900,-0.49019607843137664
2007-10-26 00:46:40,12.2,12.39,12.4,12.2,461900,1.5573770491803385
2007-10-29 00:46:40,12.45,12.4,12.7,12.29,724300,-0.4016064257028027
2007-10-30 00:46:40,12.34,12.49,12.58,12.31,165400,1.2155591572123206
2007-10-31 00:46:40,12.5,12.7,13.0,12.4,432400,1.5999999999999945
2007-11-01 00:46:40,12.75,12.61,12.75,12.3,358800,-1.098039215686279
2007-11-02 00:46:40,12.5,12.15,12.75,11.9999,499700,-2.799999999999997
2007-11-05 00:46:40,12.2,11.85,12.35,11.75,511600,-2.8688524590163906
2007-11-06 00:46:40,11.74,11.96,12.07,11.74,624600,1.8739352640545197
2007-11-07 00:46:40,11.98,11.53,12.0,11.48,509700,-3.75626043405677
2007-11-08 00:46:40,11.53,11.27,11.87,10.76,588000,-2.2549869904596687
2007-11-09 00:46:40,11.2,11.04,11.2,9.53,545300,-1.42857142857143
2007-11-12 00:46:40,10.95,10.3,10.95,10.08,580900,-5.936073059360718
2007-11-13 00:46:40,10.1,10.8,11.08,10.1,1008700,6.930693069306941
2007-11-14 00:46:40,10.73,11.01,11.29,10.73,1264625,2.609506057781914
2007-11-15 00:46:40,10.95,10.62,10.97,10.48,107100,-3.0136986301369872
2007-11-16 00:46:40,10.6,11.54,11.67,10.6,478800,8.867924528301883
2007-11-19 00:46:40,11.4,10.92,11.4,10.83,655300,-4.210526315789477
2007-11-20 00:46:40,11.15,10.8,11.1999,10.75,498100,-3.139013452914795
2007-11-21 00:46:40,10.54,10.33,10.7,10.1,392500,-1.9924098671726669
2007-11-23 00:46:40,10.5,10.45,10.62,10.21,159900,-0.476190476190483
2007-11-26 00:46:40,10.7,10.1,10.73,10.07,508400,-5.607476635514016
2007-11-27 00:46:40,10.04,10.0,10.57,9.93,354950,-0.39840637450198363
2007-11-28 00:46:40,10.0,10.6,10.71,10.0,226100,5.9999999999999964
2007-11-29 00:46:40,10.6,11.11,11.65,10.52,685200,4.811320754716979
2007-11-30 00:46:40,11.2,10.85,11.28,10.73,182600,-3.124999999999997
2007-12-03 00:46:40,10.75,10.95,11.24,10.75,170700,1.860465116279063
2007-12-04 00:46:40,10.86,10.87,11.1,10.85,131000,0.09208103130754869
2007-12-05 00:46:40,10.86,11.03,11.25,10.86,186000,1.5653775322283605
2007-12-06 00:46:40,11.08,10.9,11.08,10.8,259600,-1.6245487364620912
2007-12-07 00:46:40,10.85,10.93,11.05,10.78,305400,0.7373271889400929
2007-12-10 00:46:40,11.07,10.72,11.07,10.5,458550,-3.1616982836495
2007-12-11 00:46:40,10.85,10.9,11.05,10.8,450500,0.4608294930875642
2007-12-12 00:46:40,10.95,10.63,11.25,10.4,471600,-2.922374429223731
2007-12-13 00:46:40,10.6,10.39,10.65,10.22,207800,-1.9811320754716895
2007-12-14 00:46:40,10.4,10.83,10.9,10.07,387500,4.1346153846153815
2007-12-17 00:46:40,10.7,10.35,10.7,10.25,487200,-3.2710280373831746
2007-12-18 00:46:40,10.35,10.87,10.97,10.35,507995,5.024154589371977
2007-12-19 00:46:40,10.89,10.8,11.0,10.44,512200,-0.8264462809917341
2007-12-20 00:46:40,10.85,10.99,11.07,10.7,3899709,1.2903225806451666
2007-12-21 00:46:40,11.15,11.23,11.3,11.13,431804,0.7174887892376688
2007-12-24 00:46:40,11.22,11.48,11.5,11.22,124619,2.317290552584668
2007-12-26 00:46:40,11.49,11.59,11.67,11.41,187719,0.8703220191470813
2007-12-27 00:46:40,11.5,11.7,11.9,11.42,666628,1.7391304347826024
2007-12-28 00:46:40,11.76,12.51,12.93,11.59,1379693,6.377551020408164
2007-12-31 00:46:40,12.32,12.6,12.7,11.87,916004,2.2727272727272676
2008-01-02 00:46:40,12.35,12.19,12.6,11.95,877400,-1.2955465587044546
2008-01-03 00:46:40,12.15,12.28,12.51,12.02,461400,1.0699588477366173
2008-01-04 00:46:40,12.3,12.15,12.39,11.93,514960,-1.219512195121954
2008-01-07 00:46:40,12.2,12.3,12.52,12.0,1298710,0.8196721311475527
2008-01-08 00:46:40,12.35,12.9,13.25,12.35,2100830,4.453441295546565
2008-01-09 00:46:40,13.01,13.94,14.45,13.0,3862296,7.148347425057645
2008-01-10 00:46:40,14.14,13.5,14.4,13.28,1123854,-4.52616690240453
2008-01-11 00:46:40,13.55,13.59,13.91,13.3,716066,0.295202952029514
2008-01-14 00:46:40,13.64,13.88,14.5,13.64,2956400,1.7595307917888579
2008-01-15 00:46:40,13.9,13.32,13.9,13.01,1514430,-4.172661870503598
2008-01-16 00:46:40,13.1,12.68,13.1,11.2,2264284,-3.206106870229007
2008-01-17 00:46:40,12.71,13.17,13.17,12.05,2250745,3.619197482297396
2008-01-18 00:46:40,13.25,13.59,13.65,13.0,1352617,2.5660377358490556
2008-01-22 00:46:40,12.8,12.93,13.4,11.67,1055101,1.0156249999999922
2008-01-23 00:46:40,12.5,12.48,12.55,11.65,1156749,-0.1599999999999966
