Datetime,Open,Close,High,Low,Volume,Gain%
2009-09-03 00:46:40,15.0,15.0,15.0,15.0,70,0.0
2009-09-04 00:46:40,15.0,15.0,15.0,15.0,150,0.0
2009-09-08 00:46:40,15.0,15.0,15.0,15.0,30,0.0
2009-09-09 00:46:40,15.0,15.0,15.0,15.0,73,0.0
2009-09-14 00:46:40,15.0,15.0,15.0,15.0,36,0.0
2009-09-15 00:46:40,15.0,15.0,15.0,15.0,175,0.0
2009-09-16 00:46:40,15.0,15.0,15.0,15.0,50,0.0
2009-09-17 00:46:40,15.0,15.0,15.0,15.0,41,0.0
2009-09-18 00:46:40,15.0,16.5,16.5,15.0,293,10.0
2009-09-21 00:46:40,16.5,16.5,16.5,16.5,68,0.0
2009-09-22 00:46:40,16.5,16.5,16.5,16.5,311,0.0
2009-09-23 00:46:40,16.5,16.5,16.5,16.5,483,0.0
2009-09-24 00:46:40,16.5,18.0,18.0,16.5,3182,9.090909090909092
2009-09-25 00:46:40,19.5,19.5,19.5,18.0,1883,0.0
2009-09-28 00:46:40,19.5,16.5,19.5,16.5,1416,-15.384615384615385
2009-09-29 00:46:40,16.5,18.0,20.37,16.5,1947,9.090909090909092
2009-09-30 00:46:40,16.5,16.5,18.9,12.0,407,0.0
2009-10-01 00:46:40,17.7,15.6,17.7,15.0,889,-11.864406779661016
2009-10-02 00:46:40,16.8,16.2,16.8,16.2,2382,-3.5714285714285796
2009-10-05 00:46:40,10.5,16.2,16.2,10.5,25,54.285714285714285
2009-10-06 00:46:40,16.2,14.7,16.2,14.7,310,-9.25925925925926
2009-10-07 00:46:40,14.4,14.4,14.4,14.4,416,0.0
2009-10-08 00:46:40,14.4,14.4,14.4,14.4,116,0.0
2009-10-09 00:46:40,14.1,14.1,14.1,14.1,366,0.0
2009-10-12 00:46:40,12.0,14.7,15.0,10.5,883,22.499999999999996
2009-10-13 00:46:40,10.5,14.7,14.7,10.5,246,39.99999999999999
2009-10-15 00:46:40,12.0,12.0,12.0,10.5,243,0.0
2009-10-19 00:46:40,12.0,12.0,12.0,12.0,63,0.0
2009-10-20 00:46:40,12.0,10.5,12.0,3.3,1296,-12.5
2009-10-21 00:46:40,6.0,9.06,9.06,5.1,903,51.000000000000014
2009-10-22 00:46:40,9.0,9.0,9.0,9.0,33,0.0
2009-10-27 00:46:40,9.0,12.6,14.1,9.0,2843,40.0
2009-10-28 00:46:40,10.8,12.0,13.2,10.8,931,11.111111111111104
2009-10-29 00:46:40,12.6,15.0,15.0,12.6,1090,19.04761904761905
2009-10-30 00:46:40,15.0,13.5,15.0,13.2,3025,-10.0
2009-11-02 00:46:40,13.5,14.1,14.1,13.5,400,4.444444444444442
2009-11-03 00:46:40,18.36,15.0,18.36,15.0,945,-18.30065359477124
2009-11-04 00:46:40,15.0,13.5,15.0,13.5,446,-10.0
2009-11-05 00:46:40,14.1,14.1,14.1,14.1,435,0.0
2009-11-06 00:46:40,14.1,13.5,14.1,12.0,3276,-4.255319148936168
2009-11-09 00:46:40,13.5,14.1,14.4,12.9,2912,4.444444444444442
2009-11-10 00:46:40,14.1,14.7,14.7,13.8,4390,4.255319148936168
2009-11-11 00:46:40,14.4,16.8,16.8,14.4,14980,16.666666666666668
2009-11-12 00:46:40,18.9,17.4,18.9,12.0,18669,-7.936507936507938
2009-11-13 00:46:40,16.2,16.5,17.7,13.5,12285,1.8518518518518563
2009-11-16 00:46:40,16.5,15.3,16.5,14.4,4216,-7.272727272727268
2009-11-17 00:46:40,17.925,14.4,18.0,13.5,11025,-19.665271966527197
2009-11-18 00:46:40,15.0,14.07,16.2,13.5,8001,-6.1999999999999975
2009-11-19 00:46:40,15.0,13.2,15.0,12.9,9745,-12.000000000000005
2009-11-20 00:46:40,13.5,12.42,14.4,10.5,12315,-8.0
2009-11-23 00:46:40,12.0,10.5,12.9,9.6,3562,-12.5
2009-11-24 00:46:40,9.906,10.8,11.7,8.7,7433,9.024833434282254
2009-11-25 00:46:40,9.0,9.9,12.3,9.0,1456,10.000000000000004
2009-11-27 00:46:40,9.9,9.0,11.7,9.0,651,-9.090909090909093
2009-11-30 00:46:40,9.0,9.0,9.9,6.6,7285,0.0
2009-12-01 00:46:40,6.9,9.0,9.6,6.9,952,30.43478260869564
2009-12-02 00:46:40,7.2,7.2,9.0,6.6,2596,0.0
2009-12-03 00:46:40,7.2,7.2,7.2,6.6,591,0.0
2009-12-04 00:46:40,7.2,7.2,8.397,6.6,2395,0.0
2009-12-07 00:46:40,8.7,6.6,8.7,6.6,1936,-24.137931034482758
2009-12-08 00:46:40,6.33,7.35,7.35,6.33,1124,16.113744075829377
2009-12-09 00:46:40,7.35,6.63,8.1,6.63,812,-9.795918367346935
2009-12-10 00:46:40,6.3,8.1,10.77,6.3,51878,28.57142857142857
2009-12-11 00:46:40,8.4,7.95,8.7,7.2,16856,-5.3571428571428585
2009-12-14 00:46:40,8.55,8.85,9.6,8.25,107689,3.5087719298245488
2009-12-15 00:46:40,8.4,7.5,8.55,6.6,32501,-10.714285714285717
2009-12-16 00:46:40,7.5,6.9,8.25,6.6,24933,-7.999999999999995
2009-12-17 00:46:40,6.75,6.15,6.9,5.7,18499,-8.888888888888884
2009-12-18 00:46:40,6.0,5.4,6.3,5.4,9634,-9.999999999999993
