Datetime,Open,Close,High,Low,Volume,Gain%
2022-01-31 00:46:40,3.0,3.96,4.2,2.71,74666,32.0
2022-02-01 00:46:40,4.1,4.23,4.3,3.9801,91187,3.170731707317093
2022-02-02 00:46:40,4.14,4.25,4.3722,4.05,39264,2.657004830917882
2022-02-03 00:46:40,4.16,4.18,4.3,4.07,20269,0.48076923076922046
2022-02-04 00:46:40,4.08,4.22,4.3,4.0712,12528,3.4313725490195996
2022-02-07 00:46:40,4.11,4.25,4.27,4.07,21523,3.406326034063252
2022-02-08 00:46:40,4.1,4.23,4.2479,4.01,10060,3.170731707317093
2022-02-09 00:46:40,4.25,4.08,4.25,4.01,12044,-3.9999999999999982
2022-02-10 00:46:40,4.0,4.12,4.17,3.86,19022,3.0000000000000027
2022-02-11 00:46:40,4.22,4.04,4.22,4.01,7028,-4.265402843601889
2022-02-14 00:46:40,4.0,3.93,4.05,3.8,9077,-1.749999999999996
2022-02-15 00:46:40,3.88,3.93,3.93,3.76,8980,1.28865979381444
2022-02-16 00:46:40,3.82,3.83,3.9013,3.78,4919,0.26178010471204793
2022-02-17 00:46:40,3.75,3.8,3.83,3.63,8287,1.3333333333333286
2022-02-18 00:46:40,3.69,3.8,3.8,3.52,4833,2.9810298102980997
2022-02-22 00:46:40,3.92,3.85,3.92,3.642,9306,-1.7857142857142818
2022-02-23 00:46:40,3.93,6.87,7.91,3.58,8880557,74.8091603053435
2022-02-24 00:46:40,5.34,3.94,5.37,3.3701,1647231,-26.217228464419474
2022-02-25 00:46:40,3.84,3.77,3.9598,3.5,335184,-1.8229166666666625
2022-02-28 00:46:40,3.85,3.53,3.85,3.31,167041,-8.311688311688318
2022-03-01 00:46:40,3.41,3.39,3.568,3.11,92423,-0.5865102639296192
2022-03-02 00:46:40,3.17,3.32,3.37,3.0,106754,4.731861198738168
2022-03-03 00:46:40,3.04,3.13,3.3,3.04,101896,2.960526315789469
2022-03-04 00:46:40,3.22,3.07,3.28,2.91,89739,-4.658385093167713
2022-03-07 00:46:40,2.8,2.99,2.99,2.6012,95510,6.785714285714301
