Datetime,Open,Close,High,Low,Volume,Gain%
2021-07-13 00:46:40,10.15,10.05,10.16,10.04,1703089,-0.9852216748768439
2021-07-14 00:46:40,10.1,10.08,10.1,10.06,94830,-0.1980198019801938
2021-07-15 00:46:40,10.05,10.05,10.055,10.02,60797,0.0
2021-07-16 00:46:40,10.03,10.03,10.05,10.03,11205,0.0
2021-07-19 00:46:40,10.03,10.03,10.03,9.97,151128,0.0
2021-07-20 00:46:40,9.9701,10.01,10.05,9.9701,3230,0.4001965877975083
2021-07-21 00:46:40,9.98,10.0,10.02,9.98,20881,0.20040080160320214
2021-07-22 00:46:40,9.97,9.97,10.0,9.97,3779,0.0
2021-07-23 00:46:40,10.0,10.04,10.04,10.0,2243,0.39999999999999153
2021-07-26 00:46:40,10.05,10.0,10.05,10.0,381441,-0.4975124378109523
2021-07-27 00:46:40,10.0,10.0,10.02,10.0,74847,0.0
2021-07-28 00:46:40,10.0,10.0,10.0,9.9984,36464,0.0
2021-07-29 00:46:40,10.0,9.995,10.0,9.995,18362,-0.050000000000007816
2021-07-30 00:46:40,9.9631,9.97,9.99,9.92,101500,0.06925555299053412
2021-08-02 00:46:40,9.95,9.8801,9.95,9.8801,1281,-0.7025125628140578
2021-08-03 00:46:40,9.8,9.95,9.9748,9.7076,451,1.5306122448979447
2021-08-04 00:46:40,9.98,9.98,9.99,9.98,2900,0.0
2021-08-05 00:46:40,9.98,9.98,9.99,9.83,1785,0.0
2021-08-06 00:46:40,9.99,9.98,10.0,9.98,2178,-0.10010010010009797
2021-08-09 00:46:40,9.92,9.99,9.99,9.92,1508,0.7056451612903254
2021-08-10 00:46:40,9.99,9.98,9.99,9.975,1606,-0.10010010010009797
2021-08-11 00:46:40,9.91,9.95,9.99,9.8515,9597,0.4036326942482255
2021-08-12 00:46:40,9.915,9.97,9.97,9.915,4058,0.5547150781644126
2021-08-13 00:46:40,9.92,9.95,9.95,9.92,385,0.30241935483870325
2021-08-16 00:46:40,9.92,9.92,9.92,9.92,227,0.0
2021-08-17 00:46:40,9.8501,9.9,9.92,9.8501,12440,0.506593841686896
2021-08-18 00:46:40,9.89,9.89,9.89,9.88,11524,0.0
2021-08-19 00:46:40,9.9,9.92,9.92,9.85,15921,0.20202020202019771
2021-08-20 00:46:40,9.87,9.88,9.88,9.86,550,0.10131712259373417
2021-08-23 00:46:40,9.86,9.85,9.9,9.85,25888,-0.10141987829614389
2021-08-24 00:46:40,9.8,9.8,9.81,9.8,2882,0.0
2021-08-25 00:46:40,9.85,9.85,9.85,9.825,11534,0.0
2021-08-26 00:46:40,9.8,9.8,9.8,9.8,1210,0.0
