Datetime,Open,Close,High,Low,Volume,Gain%
2003-07-01 00:46:40,25.5,25.55,26.4,25.0,11648400,0.1960784313725518
2003-07-02 00:46:40,25.8,25.4,25.8,25.2,1789400,-1.5503875968992331
2003-07-03 00:46:40,25.3,25.6,25.6,25.1,415700,1.185770750988145
2003-07-07 00:46:40,25.48,25.8,26.1,25.35,821100,1.2558869701726856
2003-07-08 00:46:40,25.75,25.89,25.97,25.53,612400,0.5436893203883517
2003-07-09 00:46:40,25.89,25.7,25.99,25.62,438500,-0.7338740826574016
2003-07-10 00:46:40,25.65,25.35,25.73,25.0,1254400,-1.1695906432748429
2003-07-11 00:46:40,25.27,25.66,25.75,25.2,431300,1.543332014246144
2003-07-14 00:46:40,25.5,26.1,26.2,25.4,769400,2.3529411764705936
2003-07-15 00:46:40,26.0,27.75,27.75,25.95,394600,6.730769230769231
2003-07-16 00:46:40,27.5,26.1,27.5,26.1,569100,-5.0909090909090855
2003-07-17 00:46:40,26.12,25.55,26.12,25.2,475500,-2.1822358346094957
2003-07-18 00:46:40,25.62,25.88,26.35,25.45,442600,1.0148321623731382
2003-07-21 00:46:40,25.9,26.3,26.53,25.9,242900,1.5444015444015529
2003-07-22 00:46:40,26.15,26.53,26.72,25.99,305000,1.4531548757170272
2003-07-23 00:46:40,26.53,25.49,26.53,25.49,1427500,-3.9200904636260936
2003-07-24 00:46:40,25.69,25.65,25.8,25.5,554400,-0.15570260801869482
2003-07-25 00:46:40,25.7,26.38,26.39,25.63,143300,2.6459143968871586
2003-07-28 00:46:40,26.38,26.13,26.38,26.0,88500,-0.9476876421531463
2003-07-29 00:46:40,26.2,25.85,26.21,25.77,214500,-1.3358778625954117
2003-07-30 00:46:40,26.0,26.21,26.26,25.85,207600,0.807692307692311
2003-07-31 00:46:40,26.18,26.18,26.28,26.05,343800,0.0
2003-08-01 00:46:40,26.1,25.5,26.1,25.5,440700,-2.298850574712649
2003-08-04 00:46:40,25.45,25.15,25.45,25.15,303900,-1.178781925343814
2003-08-05 00:46:40,25.15,25.4,25.6,25.1,413000,0.9940357852882704
2003-08-06 00:46:40,25.55,25.78,26.13,25.5,393800,0.9001956947162443
2003-08-07 00:46:40,25.6,25.22,25.65,25.1,789200,-1.48437500000001
2003-08-08 00:46:40,25.22,25.15,25.23,24.65,383300,-0.27755749405234054
2003-08-11 00:46:40,24.95,25.0,25.03,24.67,238300,0.20040080160320925
2003-08-12 00:46:40,25.35,25.01,25.35,24.99,297100,-1.3412228796844177
