Datetime,Open,Close,High,Low,Volume,Gain%
2003-02-03 00:46:40,27.27,27.06,27.4,26.93,51400,-0.7700770077007731
2003-02-04 00:46:40,26.95,27.01,27.03,26.78,74800,0.2226345083488025
2003-02-05 00:46:40,26.92,26.77,27.03,26.75,33500,-0.5572065378900525
2003-02-06 00:46:40,26.72,26.5,26.72,26.49,14300,-0.8233532934131694
2003-02-07 00:46:40,26.54,26.31,26.64,26.25,63300,-0.8666164280331592
2003-02-10 00:46:40,26.25,26.05,26.25,25.67,103100,-0.7619047619047592
2003-02-11 00:46:40,26.12,26.39,26.51,26.12,50300,1.0336906584992327
2003-02-12 00:46:40,26.37,26.32,26.44,26.19,34900,-0.18960940462647216
2003-02-13 00:46:40,26.39,26.63,26.79,26.39,42100,0.9094353921940069
2003-02-14 00:46:40,26.65,26.93,27.04,26.65,25800,1.0506566604127623
2003-02-18 00:46:40,27.33,27.84,28.07,27.33,77800,1.8660812294182274
2003-02-19 00:46:40,27.77,27.66,27.8,27.51,32700,-0.3961109110550934
2003-02-20 00:46:40,27.82,27.96,28.01,27.82,26200,0.503235082674337
2003-02-21 00:46:40,28.01,28.02,28.17,27.93,28000,0.035701535166005036
2003-02-24 00:46:40,28.02,27.74,28.18,27.64,51500,-0.9992862241256286
2003-02-25 00:46:40,27.75,28.51,28.54,27.52,80100,2.7387387387387445
2003-02-26 00:46:40,28.39,28.42,28.47,28.18,59200,0.10567101091934179
2003-02-27 00:46:40,28.44,28.87,28.95,28.38,102300,1.5119549929676501
2003-02-28 00:46:40,28.91,28.45,29.1,28.25,61900,-1.591144932549294
2003-03-03 00:46:40,28.55,27.91,28.79,27.87,105600,-2.241681260945711
2003-03-04 00:46:40,28.1,28.06,28.29,27.92,34800,-0.14234875444840817
2003-03-05 00:46:40,28.1,28.21,28.47,28.0,23600,0.391459074733094
2003-03-06 00:46:40,28.05,27.9,28.15,27.9,73000,-0.5347593582887776
2003-03-07 00:46:40,27.94,28.25,28.35,27.91,37300,1.109520400858979
2003-03-10 00:46:40,28.19,27.89,28.44,27.89,63700,-1.0642071656615846
2003-03-11 00:46:40,27.91,27.75,28.33,27.74,35600,-0.5732712289501976
2003-03-12 00:46:40,27.6,27.08,27.6,27.02,64000,-1.884057971014504
2003-03-13 00:46:40,27.23,27.09,27.27,26.99,134000,-0.5141388174807219
2003-03-14 00:46:40,27.15,27.23,27.3,27.06,57400,0.29465930018416886
2003-03-17 00:46:40,27.11,27.69,27.85,27.0,79900,2.139431943932135
2003-03-18 00:46:40,27.8,27.96,28.11,27.7,81800,0.5755395683453243
2003-03-19 00:46:40,27.87,27.93,28.01,27.72,62300,0.21528525296016762
2003-03-20 00:46:40,27.88,28.21,28.37,27.81,69300,1.183644189383077
2003-03-21 00:46:40,28.4,28.55,28.58,28.34,36800,0.5281690140845146
2003-03-24 00:46:40,28.36,28.13,28.39,27.97,46200,-0.8110014104372371
2003-03-25 00:46:40,28.05,28.22,28.23,27.76,71200,0.6060606060605994
2003-03-26 00:46:40,28.33,28.48,28.58,28.2,60800,0.5294740557712747
2003-03-27 00:46:40,28.47,28.03,28.47,27.9,35600,-1.5454864769933183
2003-03-28 00:46:40,27.67,27.61,27.73,27.5,56400,-0.21684134441634356
2003-03-31 00:46:40,27.25,27.31,27.53,27.13,31200,0.2201834862385274
2003-04-01 00:46:40,27.45,27.27,27.54,27.22,67400,-0.6557377049180317
2003-04-02 00:46:40,27.78,27.81,27.9,27.54,141500,0.107991360691136
2003-04-03 00:46:40,27.56,27.47,27.56,27.34,70700,-0.32656023222060904
2003-04-04 00:46:40,27.37,27.34,27.47,27.11,24700,-0.10960906101571477
2003-04-07 00:46:40,27.34,27.35,27.48,27.15,208300,0.03657644476957411
2003-04-08 00:46:40,27.43,27.86,27.91,27.43,63300,1.5676266861100974
2003-04-09 00:46:40,27.82,27.76,27.9,27.59,28800,-0.2156721782889961
2003-04-10 00:46:40,27.76,28.12,28.16,27.76,93500,1.296829971181554
2003-04-11 00:46:40,28.29,28.22,28.29,27.99,21800,-0.24743725698126648
2003-04-14 00:46:40,28.1,28.17,28.3,28.06,40400,0.2491103202846985
2003-04-15 00:46:40,28.11,28.21,28.3,28.03,56200,0.3557452863749606
2003-04-16 00:46:40,28.27,27.8,28.27,27.69,32000,-1.6625397948355107
2003-04-17 00:46:40,27.92,27.97,27.97,27.7,21600,0.17908309455586374
2003-04-21 00:46:40,27.95,27.75,27.95,27.7,25300,-0.7155635062611782
2003-04-22 00:46:40,27.81,27.91,27.92,27.71,44400,0.35958288385473364
2003-04-23 00:46:40,27.95,27.82,27.95,27.75,39600,-0.4651162790697639
2003-04-24 00:46:40,27.66,27.62,27.78,27.55,50000,-0.1446131597975385
2003-04-25 00:46:40,27.74,27.48,27.74,27.4,27400,-0.9372746935832661
2003-04-28 00:46:40,27.63,27.64,27.8,27.54,30900,0.03619254433587247
2003-04-29 00:46:40,27.65,27.67,27.88,27.55,38600,0.07233273056058998
2003-04-30 00:46:40,27.82,27.89,28.03,27.82,58400,0.2516175413371685
2003-05-01 00:46:40,28.07,28.15,28.17,27.96,32000,0.2850017812611268
2003-05-02 00:46:40,28.07,28.26,28.29,28.07,38900,0.6768792304951952
2003-05-05 00:46:40,28.14,28.09,28.33,28.09,42800,-0.17768301350391152
2003-05-06 00:46:40,28.13,28.69,28.73,28.13,56300,1.9907571987202357
2003-05-07 00:46:40,28.53,28.34,28.53,28.32,34400,-0.665965650192784
2003-05-08 00:46:40,28.43,28.58,28.63,28.29,58300,0.5276116778051304
2003-05-09 00:46:40,28.57,28.84,28.87,28.55,33200,0.9450472523626167
2003-05-12 00:46:40,28.87,29.19,29.51,28.84,120800,1.1084170419120203
2003-05-13 00:46:40,29.15,29.31,29.49,29.14,30400,0.5488850771869644
2003-05-14 00:46:40,29.33,29.65,29.7,29.25,42000,1.091033071939994
2003-05-15 00:46:40,29.66,29.62,29.94,29.54,71000,-0.13486176668914074
2003-05-16 00:46:40,29.84,29.92,29.92,29.74,106000,0.26809651474531454
2003-05-19 00:46:40,29.92,29.61,29.92,29.56,28700,-1.0360962566844996
