Datetime,Open,Close,High,Low,Volume,Gain%
2012-01-25 00:46:40,4.91,4.9499,4.9599,4.46,2000,0.812627291242368
2012-01-26 00:46:40,4.96,5.16,5.16,4.96,1100,4.032258064516133
2012-01-27 00:46:40,4.94,4.95,4.95,4.94,500,0.20242914979756652
2012-01-30 00:46:40,4.78,4.94,4.94,4.78,483,3.347280334728036
2012-01-31 00:46:40,4.86,4.87,4.87,4.86,200,0.20576131687242358
2012-02-03 00:46:40,4.86,4.88,4.88,4.74,380,0.41152263374484715
2012-02-06 00:46:40,4.93,4.96,4.96,4.8801,1796,0.6085192697768814
2012-02-07 00:46:40,4.9599,4.95,4.9599,4.7685,1344,-0.19960079840319397
2012-02-08 00:46:40,4.76,4.61,4.76,4.57,1100,-3.1512605042016695
2012-02-09 00:46:40,4.94,4.95,4.95,4.94,400,0.20242914979756652
2012-02-10 00:46:40,4.86,4.86,4.8602,4.86,868,0.0
2012-02-13 00:46:40,4.96,4.96,4.96,4.86,4060,0.0
2012-02-14 00:46:40,5.06,5.44,5.44,5.06,200,7.509881422924917
2012-02-15 00:46:40,5.21,5.21,5.21,5.16,3130,0.0
2012-02-16 00:46:40,5.21,5.06,5.21,5.06,580,-2.879078694817665
2012-02-17 00:46:40,5.21,4.78,5.21,4.71,13838,-8.253358925143948
2012-02-21 00:46:40,4.97,5.01,5.2099,4.96,2500,0.8048289738430591
2012-02-22 00:46:40,5.09,5.2,5.2,5.01,4749,2.1611001964636603
2012-02-23 00:46:40,5.19,5.16,5.2,4.9601,1951,-0.5780346820809296
2012-02-24 00:46:40,5.02,4.9608,5.02,4.9608,402,-1.1792828685258905
2012-02-27 00:46:40,5.04,5.1599,5.21,5.01,8122,2.3789682539682606
2012-02-29 00:46:40,5.45,5.121,5.45,5.12,2600,-6.036697247706417
2012-03-01 00:46:40,5.07,5.21,5.21,5.07,750,2.761341222879678
2012-03-02 00:46:40,5.22,5.22,5.22,5.22,300,0.0
2012-03-05 00:46:40,5.23,5.31,5.31,5.23,774,1.5296367112810552
2012-03-07 00:46:40,5.24,5.24,5.24,4.98,9128,0.0
2012-03-08 00:46:40,4.99,4.97,5.9476,4.96,14574,-0.40080160320642205
2012-03-09 00:46:40,5.9499,5.68,5.9499,5.22,1125,-4.536210692616694
2012-03-13 00:46:40,5.44,5.71,5.74,5.44,1000,4.963235294117639
