Datetime,Open,Close,High,Low,Volume,Gain%
2022-04-19 00:46:40,9.96,9.96,9.96,9.96,10000,0.0
2022-04-20 00:46:40,9.97,9.97,9.97,9.963,8903,0.0
2022-04-21 00:46:40,9.97,10.01,10.03,9.97,15550,0.4012036108324889
2022-04-22 00:46:40,9.97,10.03,10.04,9.97,64360,0.6018054162487334
2022-04-25 00:46:40,10.0,10.0,10.0,10.0,382,0.0
2022-04-26 00:46:40,9.98,9.98,9.98,9.98,239,0.0
2022-04-27 00:46:40,10.01,10.01,10.01,10.01,438,0.0
2022-04-28 00:46:40,10.03,10.03,10.03,10.03,239,0.0
2022-04-29 00:46:40,9.99,9.99,9.99,9.9825,3403,0.0
2022-05-02 00:46:40,9.98,9.97,9.98,9.97,251417,-0.10020040080160107
2022-05-04 00:46:40,9.98,9.98,9.9801,9.98,500,0.0
2022-05-05 00:46:40,9.9801,9.9803,9.998,9.98,1900,0.0020039879359879547
2022-05-06 00:46:40,10.02,9.98,10.0201,9.98,94824,-0.3992015968063787
2022-05-09 00:46:40,10.01,9.93,10.01,9.93,79274,-0.7992007992007999
2022-05-10 00:46:40,9.9397,9.9399,10.37,9.92,92573,0.002012133162968036
2022-05-11 00:46:40,9.9375,9.92,9.9535,9.92,41661,-0.17610062893081832
2022-05-13 00:46:40,9.92,9.92,9.92,9.92,249,0.0
2022-05-16 00:46:40,9.97,9.97,9.97,9.97,328,0.0
2022-05-17 00:46:40,9.93,9.9399,9.94,9.93,515,0.09969788519637482
2022-05-18 00:46:40,9.94,9.93,9.94,9.929,1242,-0.10060362173038015
2022-05-24 00:46:40,9.9401,9.94,9.9401,9.94,400,-0.001006026096314594
2022-05-26 00:46:40,9.93,9.9399,9.9399,9.89,7512,0.09969788519637482
2022-05-31 00:46:40,9.93,9.94,9.94,9.93,430,0.1007049345417904
2022-06-02 00:46:40,9.9401,9.94,9.945,9.94,600,-0.001006026096314594
2022-06-03 00:46:40,9.94,9.95,9.95,9.94,1020,0.10060362173038015
2022-06-07 00:46:40,10.5,9.95,10.5,9.9498,4967,-5.238095238095245
2022-06-08 00:46:40,9.9401,9.95,10.1335,9.94,2868,0.0995965835353771
2022-06-10 00:46:40,9.96,9.9615,9.9615,9.96,1131,0.015060240963838158
2022-06-13 00:46:40,10.5,9.96,10.5,9.94,6103,-5.142857142857134
2022-06-14 00:46:40,10.44,9.96,10.44,9.96,11839,-4.597701149425275
2022-06-16 00:46:40,9.94,9.94,9.94,9.94,229,0.0
2022-06-17 00:46:40,9.95,9.95,9.95,9.95,305,0.0
2022-06-21 00:46:40,9.95,9.95,9.95,9.95,1902,0.0
2022-06-29 00:46:40,9.95,9.99,10.01,9.93,78061,0.4020100502512656
2022-06-30 00:46:40,9.95,9.95,9.95,9.95,1283,0.0
2022-07-05 00:46:40,9.96,9.96,9.96,9.96,285,0.0
2022-07-06 00:46:40,9.95,9.95,9.95,9.95,538,0.0
2022-07-08 00:46:40,9.95,9.95,9.95,9.95,173,0.0
2022-07-13 00:46:40,9.95,9.95,9.95,9.95,257,0.0
2022-07-14 00:46:40,9.94,9.94,9.94,9.94,150,0.0
2022-07-15 00:46:40,9.98,9.96,9.98,9.96,1104,-0.20040080160320214
2022-07-18 00:46:40,9.99,9.982,9.99,9.96,49956,-0.08008008008008904
2022-07-19 00:46:40,9.99,9.99,9.99,9.99,150,0.0
2022-07-20 00:46:40,9.97,9.97,9.9801,9.97,11607,0.0
2022-07-21 00:46:40,9.97,9.9702,9.985,9.97,3229,0.002006018054157812
2022-07-22 00:46:40,9.98,9.98,9.98,9.98,436,0.0
2022-07-26 00:46:40,9.99,9.99,10.005,9.9898,87010,0.0
2022-07-29 00:46:40,9.99,9.99,9.9902,9.99,762,0.0
2022-08-02 00:46:40,10.0,10.0,10.0001,10.0,1020,0.0
2022-08-04 00:46:40,10.01,10.01,10.019,10.01,526,0.0
2022-08-08 00:46:40,10.5,10.01,10.5,10.01,5209,-4.666666666666669
2022-08-09 00:46:40,10.01,10.01,10.01,10.01,10135,0.0
