Datetime,Open,Close,High,Low,Volume,Gain%
2021-12-09 00:46:40,9.85,9.85,9.85,9.8278,1910,0.0
2021-12-10 00:46:40,9.85,9.76,9.89,9.75,101090,-0.9137055837563437
2021-12-13 00:46:40,9.79,9.79,9.8,9.762,60560,0.0
2021-12-14 00:46:40,9.79,9.85,9.85,9.79,642030,0.6128702757916292
2021-12-15 00:46:40,9.85,9.83,9.85,9.83,462629,-0.20304568527918349
2021-12-16 00:46:40,9.81,9.81,9.85,9.78,1358,0.0
2021-12-20 00:46:40,9.82,9.82,9.82,9.82,200,0.0
2021-12-21 00:46:40,9.82,9.82,9.845,9.78,65097,0.0
2021-12-23 00:46:40,9.88,9.79,9.88,9.77,552621,-0.9109311740890852
2021-12-27 00:46:40,9.81,9.86,9.86,9.81,62496,0.5096839959225171
2021-12-28 00:46:40,9.81,9.81,9.81,9.81,971,0.0
2021-12-29 00:46:40,9.82,9.84,9.86,9.82,12175,0.2036659877800364
2021-12-30 00:46:40,9.83,9.83,9.86,9.83,12923,0.0
2021-12-31 00:46:40,9.84,9.88,9.88,9.84,32091,0.40650406504065983
2022-01-03 00:46:40,9.88,9.83,9.88,9.83,2291,-0.5060728744939342
2022-01-04 00:46:40,9.86,9.86,9.86,9.86,502,0.0
2022-01-05 00:46:40,9.86,9.87,9.87,9.86,250788,0.10141987829614389
2022-01-06 00:46:40,9.87,9.87,9.87,9.87,208552,0.0
2022-01-07 00:46:40,9.88,9.88,9.88,9.88,4359,0.0
2022-01-20 00:46:40,9.88,9.88,9.88,9.88,108,0.0
2022-01-21 00:46:40,9.82,9.81,9.82,9.81,263,-0.1018329938900182
2022-01-24 00:46:40,9.83,9.83,9.83,9.83,437061,0.0
2022-02-01 00:46:40,9.86,9.855,9.915,9.83,19746,-0.05070993914806294
2022-02-02 00:46:40,9.865,9.86,9.865,9.85,12461,-0.05068423720223803
2022-02-03 00:46:40,9.841,9.86,9.86,9.841,300,0.19306980997866202
2022-02-07 00:46:40,9.86,9.85,9.865,9.85,25010,-0.10141987829614389
2022-02-10 00:46:40,9.85,9.8499,9.85,9.84,2227,-0.0010152284263935732
2022-02-11 00:46:40,9.84,9.85,9.85,9.835,52805,0.10162601626016045
2022-02-15 00:46:40,9.8499,9.8601,9.87,9.8477,11431,0.10355435080558503
2022-02-18 00:46:40,9.86,9.86,9.86,9.86,1100,0.0
2022-02-23 00:46:40,9.86,9.84,9.86,9.84,3935,-0.20283975659228778
2022-02-24 00:46:40,9.85,9.85,9.85,9.85,4208,0.0
2022-02-25 00:46:40,9.8688,9.88,9.88,9.86,1700,0.11348897535668513
2022-02-28 00:46:40,9.86,9.87,9.88,9.84,15527,0.10141987829614389
2022-03-01 00:46:40,9.88,9.919,9.92,9.875,145286,0.3947368421052601
2022-03-02 00:46:40,9.9,9.9,9.9,9.88,111319,0.0
2022-03-03 00:46:40,9.9,9.9,9.9,9.9,8832,0.0
2022-03-04 00:46:40,9.9,9.9,9.9,9.9,11802,0.0
2022-03-07 00:46:40,9.92,9.9,9.92,9.9,1310,-0.20161290322580216
2022-03-08 00:46:40,9.9,9.9,9.9,9.9,2200,0.0
2022-03-09 00:46:40,9.9,9.9,9.9,9.9,2247,0.0
2022-03-10 00:46:40,9.91,9.91,9.91,9.91,514,0.0
2022-03-11 00:46:40,9.91,9.93,9.93,9.88,64178,0.20181634712411275
2022-03-15 00:46:40,9.88,9.92,9.92,9.88,20141,0.40485829959513303
2022-03-16 00:46:40,9.95,9.92,9.95,9.92,20449,-0.3015075376884358
2022-03-17 00:46:40,9.93,9.92,9.93,9.91,407731,-0.1007049345417904
2022-03-18 00:46:40,9.905,9.94,9.94,9.905,296,0.3533568904593654
2022-03-21 00:46:40,9.92,9.95,9.95,9.92,1457,0.30241935483870325
2022-03-22 00:46:40,9.96,9.88,9.97,9.88,8913,-0.8032128514056232
2022-03-23 00:46:40,9.92,9.92,10.105,9.89,25856,0.0
2022-03-24 00:46:40,9.95,9.92,10.055,9.92,10524,-0.3015075376884358
2022-03-25 00:46:40,9.93,9.92,10.035,9.91,3120,-0.1007049345417904
2022-03-28 00:46:40,10.0063,9.97,10.097,9.9483,28358,-0.362771453983979
2022-03-29 00:46:40,9.92,9.925,9.925,9.92,1721,0.05040322580645949
2022-03-30 00:46:40,9.89,9.9,9.93,9.86,5599,0.10111223458038206
2022-03-31 00:46:40,9.85,9.91,9.94,9.85,19438,0.6091370558375686
2022-04-01 00:46:40,9.93,9.93,9.93,9.93,197565,0.0
2022-04-04 00:46:40,9.93,9.96,9.96,9.93,96102,0.3021148036253891
2022-04-05 00:46:40,9.96,9.96,9.96,9.96,3701,0.0
2022-04-06 00:46:40,9.9,9.94,9.94,9.9,2350,0.40404040404039543
2022-04-07 00:46:40,9.94,9.96,9.96,9.94,3400,0.20120724346077817
2022-04-12 00:46:40,9.91,9.91,9.91,9.91,1306,0.0
2022-04-13 00:46:40,9.96,9.94,9.97,9.94,2659,-0.20080321285141917
2022-04-18 00:46:40,9.9445,9.9445,9.9445,9.9445,8100,0.0
2022-04-21 00:46:40,9.95,9.95,9.95,9.95,2415,0.0
2022-04-22 00:46:40,9.98,9.98,9.98,9.98,2000,0.0
2022-04-25 00:46:40,10.5,10.0,10.5,9.99,1294,-4.761904761904762
2022-04-27 00:46:40,9.96,9.96,9.96,9.96,20000,0.0
2022-04-28 00:46:40,9.96,9.96,9.96,9.94,19582,0.0
2022-04-29 00:46:40,10.5,9.975,10.5,9.95,181599,-5.000000000000003
2022-05-02 00:46:40,9.975,9.975,9.975,9.975,4875,0.0
2022-05-03 00:46:40,10.0,9.99,10.667,9.96,31311,-0.09999999999999788
2022-05-04 00:46:40,9.97,9.96,9.97,9.96,102241,-0.10030090270812222
2022-05-05 00:46:40,9.97,9.96,9.97,9.96,451566,-0.10030090270812222
2022-05-06 00:46:40,9.96,9.96,9.96,9.96,1887,0.0
2022-05-09 00:46:40,9.96,9.95,9.96,9.95,18044,-0.1004016064257185
2022-05-10 00:46:40,10.0,9.94,10.105,9.94,65166,-0.600000000000005
2022-05-11 00:46:40,9.96,9.95,9.96,9.95,16500,-0.1004016064257185
2022-05-12 00:46:40,9.92,9.9201,9.9201,9.92,15192,0.001008064516126683
2022-05-17 00:46:40,9.92,9.92,9.945,9.92,14523,0.0
2022-05-18 00:46:40,9.98,9.92,9.98,9.92,8379,-0.6012024048096242
2022-05-20 00:46:40,9.94,9.93,9.94,9.92,249731,-0.10060362173038015
2022-05-26 00:46:40,9.94,9.94,9.94,9.94,305,0.0
2022-05-27 00:46:40,9.94,9.94,9.94,9.91,82697,0.0
2022-05-31 00:46:40,9.91,9.9103,9.9103,9.91,1700,0.0030272452068547005
2022-06-01 00:46:40,9.95,9.97,9.97,9.95,721,0.20100502512564172
