Datetime,Open,Close,High,Low,Volume,Gain%
2021-12-27 00:46:40,9.69,9.77,10.3,9.69,3579,0.8255933952528388
2021-12-28 00:46:40,9.77,9.77,9.77,9.77,390,0.0
2021-12-31 00:46:40,10.0,9.82,10.0,9.82,42178,-1.7999999999999972
2022-01-05 00:46:40,9.98,9.88,9.98,9.87,28863,-1.0020040080160284
2022-01-06 00:46:40,9.9,9.88,9.9,9.87,89453,-0.20202020202019771
2022-01-07 00:46:40,9.9,9.9,9.93,9.9,1793,0.0
2022-01-10 00:46:40,9.89,9.89,9.89,9.89,4651,0.0
2022-01-13 00:46:40,9.89,9.87,9.89,9.87,31710,-0.20222446916078207
2022-01-14 00:46:40,9.87,9.87,9.87,9.87,5202,0.0
2022-01-18 00:46:40,9.89,9.89,9.89,9.89,203,0.0
2022-01-19 00:46:40,9.975,9.88,9.975,9.88,253,-0.952380952380941
2022-01-21 00:46:40,9.93,9.85,9.93,9.85,1133709,-0.8056394763343411
2022-01-24 00:46:40,9.95,9.9,9.97,9.84,56013,-0.5025125628140596
2022-01-25 00:46:40,9.85,9.85,9.85,9.85,426,0.0
2022-01-26 00:46:40,9.85,9.85,9.85,9.85,50003,0.0
2022-02-01 00:46:40,9.965,9.9,9.965,9.9,4930,-0.6522829904666282
2022-02-11 00:46:40,9.91,9.85,9.9685,9.85,906,-0.6054490413723561
2022-02-14 00:46:40,9.86,9.86,9.86,9.86,503,0.0
2022-02-16 00:46:40,9.85,9.87,9.87,9.85,103001,0.20304568527918349
2022-02-17 00:46:40,9.87,9.87,9.87,9.87,2401,0.0
2022-02-18 00:46:40,9.87,9.87,9.87,9.87,6977,0.0
2022-02-22 00:46:40,9.88,9.88,9.88,9.88,50214,0.0
2022-02-28 00:46:40,9.955,9.93,9.955,9.92,177952,-0.2511300853842326
2022-03-01 00:46:40,9.92,9.89,9.92,9.89,184991,-0.30241935483870325
2022-03-02 00:46:40,9.94,9.94,9.94,9.94,100,0.0
2022-03-08 00:46:40,9.95,9.95,9.95,9.95,180,0.0
2022-03-11 00:46:40,9.87,9.92,9.92,9.87,11801,0.5065856129685989
2022-03-18 00:46:40,9.95,9.96,9.96,9.95,4640,0.10050251256282978
2022-03-21 00:46:40,10.04,10.04,10.04,10.04,155,0.0
2022-03-22 00:46:40,9.93,9.95,9.95,9.93,455,0.2014098690835808
2022-03-25 00:46:40,9.95,9.95,9.95,9.95,112,0.0
2022-03-28 00:46:40,9.95,9.93,9.95,9.93,646,-0.20100502512562388
2022-03-31 00:46:40,9.92,9.95,9.95,9.92,44005,0.30241935483870325
2022-04-01 00:46:40,9.94,9.94,9.94,9.94,306,0.0
2022-04-05 00:46:40,9.95,9.9593,9.9593,9.95,9553,0.09346733668343135
2022-04-06 00:46:40,9.9108,9.95,9.95,9.9108,555,0.3955281107478633
2022-04-08 00:46:40,9.92,9.92,9.92,9.92,172,0.0
2022-04-11 00:46:40,9.96,9.99,9.99,9.96,9661,0.30120481927710197
2022-04-12 00:46:40,9.97,9.97,9.97,9.97,100050,0.0
2022-04-18 00:46:40,9.98,9.98,9.98,9.97,2144,0.0
2022-04-25 00:46:40,9.97,9.97,9.97,9.97,120124,0.0
2022-05-02 00:46:40,9.97,9.97,9.97,9.97,11803,0.0
2022-05-03 00:46:40,9.97,9.97,9.97,9.97,300,0.0
2022-05-04 00:46:40,9.97,9.97,9.97,9.96,1443407,0.0
2022-05-05 00:46:40,9.96,9.96,9.96,9.96,3000,0.0
2022-05-10 00:46:40,9.96,9.96,9.96,9.96,10101,0.0
2022-05-11 00:46:40,9.96,9.96,9.96,9.96,10000,0.0
2022-05-13 00:46:40,9.94,9.94,9.94,9.94,1920,0.0
2022-05-16 00:46:40,9.92,9.92,9.92,9.92,4400,0.0
2022-05-19 00:46:40,9.92,9.92,9.92,9.92,2806,0.0
2022-05-26 00:46:40,9.92,9.91,9.96,9.91,8904,-0.10080645161290108
2022-05-31 00:46:40,9.97,9.91,9.97,9.91,160512,-0.6018054162487513
2022-06-02 00:46:40,9.91,9.91,9.91,9.91,200,0.0
2022-06-09 00:46:40,9.94,9.93,9.94,9.92,46601,-0.10060362173038015
2022-06-13 00:46:40,9.95,9.95,9.95,9.95,105,0.0
