Datetime,Open,Close,High,Low,Volume,Gain%
2003-02-03 00:46:40,14.45,14.36,14.5,14.27,95600,-0.6228373702422135
2003-02-04 00:46:40,14.36,14.2,14.36,14.06,205100,-1.1142061281337057
2003-02-05 00:46:40,14.25,14.19,14.38,14.13,178600,-0.42105263157895084
2003-02-06 00:46:40,14.17,14.16,14.35,13.98,238000,-0.07057163020465622
2003-02-07 00:46:40,14.24,13.81,14.24,13.75,222500,-3.0196629213483126
2003-02-10 00:46:40,13.75,14.0,14.09,13.75,163200,1.8181818181818181
2003-02-11 00:46:40,13.95,13.87,14.08,13.8,214600,-0.5734767025089611
2003-02-12 00:46:40,13.82,13.75,13.9,13.74,200600,-0.5065123010130267
2003-02-13 00:46:40,13.74,13.86,14.02,13.61,167400,0.8733624454148414
2003-02-14 00:46:40,13.8,13.85,14.08,13.69,145800,0.3623188405797024
2003-02-18 00:46:40,13.8,14.02,14.15,13.8,195300,1.5942028985507162
2003-02-19 00:46:40,14.09,13.91,14.09,13.81,124800,-1.277501774308018
2003-02-20 00:46:40,13.94,14.01,14.03,13.8,49900,0.5021520803443349
2003-02-21 00:46:40,13.92,14.27,14.34,13.86,95900,2.514367816091952
2003-02-24 00:46:40,14.25,14.0,14.25,13.81,127700,-1.7543859649122806
2003-02-25 00:46:40,13.9,14.19,14.2,13.81,90200,2.0863309352517923
2003-02-26 00:46:40,14.1,13.67,14.1,13.6,84600,-3.04964539007092
2003-02-27 00:46:40,13.6,13.95,14.16,13.6,110000,2.5735294117647034
2003-02-28 00:46:40,13.97,13.77,14.05,13.77,53100,-1.431639226914825
2003-03-03 00:46:40,13.8,13.6,13.9,13.55,105000,-1.4492753623188481
2003-03-04 00:46:40,13.6,13.46,13.68,13.41,52500,-1.0294117647058736
2003-03-05 00:46:40,13.4,13.46,13.56,13.37,76500,0.4477611940298544
2003-03-06 00:46:40,13.34,13.11,13.34,13.09,54400,-1.7241379310344858
2003-03-07 00:46:40,13.06,13.29,13.35,13.06,48300,1.7611026033690556
2003-03-10 00:46:40,13.25,12.98,13.26,12.87,70500,-2.0377358490566007
2003-03-11 00:46:40,12.95,12.9,13.1,12.76,141600,-0.3861003861003779
2003-03-12 00:46:40,12.87,12.5,12.87,12.43,119400,-2.874902874902869
2003-03-13 00:46:40,12.55,12.65,12.87,12.49,251500,0.7968127490039812
2003-03-14 00:46:40,12.75,12.99,13.11,12.7,168600,1.8823529411764721
2003-03-17 00:46:40,12.99,13.2,13.33,12.87,188400,1.6166281755196232
2003-03-18 00:46:40,13.2,13.3,13.38,13.19,104300,0.7575757575757683
2003-03-19 00:46:40,13.35,13.49,13.49,13.3,77300,1.0486891385767834
2003-03-20 00:46:40,13.4,13.59,13.59,13.06,84800,1.4179104477611904
2003-03-21 00:46:40,13.69,13.85,13.92,13.55,153300,1.16873630387144
2003-03-24 00:46:40,13.75,13.54,13.76,13.42,130300,-1.5272727272727336
2003-03-25 00:46:40,13.54,13.68,13.79,13.5,64900,1.0339734121122643
2003-03-26 00:46:40,13.58,13.5,13.75,13.45,142800,-0.5891016200294555
2003-03-27 00:46:40,13.5,13.4,13.55,13.22,93800,-0.740740740740738
2003-03-28 00:46:40,13.4,13.48,13.48,13.3,83100,0.5970149253731348
2003-03-31 00:46:40,13.4,13.12,13.44,13.06,167100,-2.0895522388059784
2003-04-01 00:46:40,13.22,13.34,13.41,13.06,110900,0.9077155824508262
2003-04-02 00:46:40,13.44,13.7,13.72,13.39,120200,1.9345238095238078
2003-04-03 00:46:40,13.8,13.66,13.83,13.6,53700,-1.0144927536231925
2003-04-04 00:46:40,13.73,13.66,13.88,13.66,81800,-0.5098324836125293
2003-04-07 00:46:40,13.86,13.72,14.12,13.66,165000,-1.0101010101010015
2003-04-08 00:46:40,13.62,13.5,13.83,13.46,162600,-0.8810572687224614
2003-04-09 00:46:40,13.5,13.49,13.82,13.44,141800,-0.0740740740740725
2003-04-10 00:46:40,13.42,13.43,13.49,13.13,125200,0.0745156482861385
2003-04-11 00:46:40,13.53,13.36,13.69,13.28,53000,-1.2564671101256464
2003-04-14 00:46:40,13.36,13.74,13.76,13.35,102300,2.844311377245515
2003-04-15 00:46:40,13.7,13.9,13.97,13.66,102300,1.4598540145985481
2003-04-16 00:46:40,13.98,13.95,14.1,13.87,203300,-0.2145922746781197
2003-04-17 00:46:40,14.03,14.16,14.16,13.95,66600,0.9265858873841823
2003-04-21 00:46:40,14.1,14.3,14.39,14.05,52300,1.4184397163120643
2003-04-22 00:46:40,14.2,14.72,14.75,14.17,251700,3.6619718309859253
2003-04-23 00:46:40,14.74,14.94,14.98,14.55,108400,1.356852103120755
2003-04-24 00:46:40,14.9,14.6,14.9,14.6,57900,-2.013422818791951
2003-04-25 00:46:40,14.55,14.58,14.59,14.4,58100,0.20618556701030485
2003-04-28 00:46:40,14.65,14.8,14.98,14.65,140900,1.0238907849829375
2003-04-29 00:46:40,14.8,14.68,14.84,14.61,86600,-0.8108108108108174
2003-04-30 00:46:40,14.63,14.77,14.87,14.58,55200,0.9569377990430539
2003-05-01 00:46:40,14.72,14.95,15.05,14.62,175500,1.562499999999991
2003-05-02 00:46:40,14.65,14.76,14.9,14.64,235700,0.7508532423208152
2003-05-05 00:46:40,14.76,14.68,14.76,14.63,278700,-0.542005420054201
2003-05-06 00:46:40,14.68,14.44,14.68,14.33,185900,-1.6348773841961868
2003-05-07 00:46:40,14.34,14.66,14.75,14.32,157300,2.231520223152024
2003-05-08 00:46:40,14.56,14.23,14.58,14.18,144200,-2.266483516483517
2003-05-09 00:46:40,14.24,14.53,14.54,14.22,77900,2.036516853932578
2003-05-12 00:46:40,14.48,14.54,14.55,14.38,92900,0.414364640883969
2003-05-13 00:46:40,14.5,14.51,14.54,14.43,98400,0.06896551724137784
2003-05-14 00:46:40,14.52,14.73,14.79,14.45,110000,1.446280991735543
