Datetime,Open,Close,High,Low,Volume,Gain%
2021-08-17 00:46:40,9.61,9.63,9.63,9.61,101612,0.20811654526536266
2021-08-19 00:46:40,9.655,9.66,9.67,9.655,7003,0.05178663904713394
2021-08-20 00:46:40,9.67,9.72,9.72,9.66,44715,0.5170630816959743
2021-08-23 00:46:40,9.69,9.67,9.83,9.67,538,-0.2063983488132051
2021-08-25 00:46:40,9.81,9.69,9.81,9.68,221520,-1.2232415902140774
2021-08-26 00:46:40,9.7,9.69,9.7,9.68,184930,-0.10309278350515245
2021-08-27 00:46:40,9.69,9.72,9.81,9.68,483300,0.309597523219826
2021-08-30 00:46:40,9.7,9.7,9.75,9.69,277000,0.0
2021-08-31 00:46:40,9.745,9.69,9.75,9.69,40457,-0.5643919958953281
2021-09-01 00:46:40,9.75,9.73,9.75,9.7,257978,-0.20512820512820074
2021-09-02 00:46:40,9.75,9.72,9.81,9.72,195192,-0.30769230769230116
2021-09-03 00:46:40,9.75,9.74,9.81,9.71,218184,-0.10256410256410037
2021-09-07 00:46:40,9.73,9.74,9.765,9.72,220021,0.10277492291880562
2021-09-08 00:46:40,9.74,9.74,9.74,9.74,431418,0.0
2021-09-09 00:46:40,9.75,9.74,9.78,9.74,358605,-0.10256410256410037
2021-09-10 00:46:40,9.74,9.75,9.77,9.73,194500,0.10266940451745162
2021-09-13 00:46:40,10.0,9.84,10.0,9.79,545152,-1.6000000000000014
2021-09-14 00:46:40,9.94,9.85,9.95,9.81,1762544,-0.9054325955734392
2021-09-15 00:46:40,9.85,9.85,9.9,9.8,1182159,0.0
2021-09-16 00:46:40,9.83,9.85,9.9,9.83,629523,0.20345879959307805
2021-09-17 00:46:40,9.9,9.85,9.9,9.84,278479,-0.5050505050505122
2021-09-20 00:46:40,9.87,9.84,9.91,9.82,183191,-0.30395136778114856
2021-09-21 00:46:40,9.83,9.81,9.84,9.78,89679,-0.20345879959307805
2021-09-22 00:46:40,9.85,9.83,9.85,9.7811,104402,-0.20304568527918349
2021-09-23 00:46:40,9.83,9.82,9.83,9.78,127004,-0.10172939979653903
2021-09-24 00:46:40,9.86,9.81,9.86,9.77,58782,-0.5070993914807195
2021-09-27 00:46:40,9.91,9.85,9.91,9.83,149490,-0.6054490413723561
2021-09-28 00:46:40,9.89,9.83,9.89,9.78,84451,-0.6066734074823104
2021-09-29 00:46:40,9.88,9.85,9.88,9.8,52133,-0.30364372469636774
2021-09-30 00:46:40,9.87,9.8,9.87,9.79,67170,-0.7092198581560133
2021-10-01 00:46:40,9.8,9.79,9.85,9.79,19518,-0.10204081632654656
2021-10-04 00:46:40,9.85,9.88,9.92,9.8,243267,0.3045685279187933
2021-10-05 00:46:40,9.88,9.85,9.88,9.82,84774,-0.30364372469636774
2021-10-06 00:46:40,9.85,9.815,9.85,9.8,84643,-0.35532994923858013
2021-10-07 00:46:40,9.82,9.85,9.9066,9.8,67373,0.30549898167005457
2021-10-08 00:46:40,9.9,9.85,9.94,9.81,83954,-0.5050505050505122
2021-10-11 00:46:40,9.94,9.85,9.94,9.81,58652,-0.9054325955734392
2021-10-12 00:46:40,9.86,9.86,9.87,9.82,65631,0.0
2021-10-13 00:46:40,9.86,9.83,9.86,9.82,43652,-0.30425963488843166
2021-10-14 00:46:40,9.82,9.83,9.83,9.8,37975,0.1018329938900182
2021-10-15 00:46:40,9.81,9.81,9.8317,9.8,40480,0.0
2021-10-18 00:46:40,9.81,9.83,9.83,9.79,456057,0.20387359836900684
2021-10-19 00:46:40,9.8,9.82,9.82,9.8,537732,0.20408163265305687
2021-10-20 00:46:40,9.78,9.81,9.81,9.78,27597,0.3067484662576803
2021-10-21 00:46:40,9.79,9.81,9.8243,9.79,55515,0.20429009193055517
2021-10-22 00:46:40,9.78,9.83,9.84,9.78,137415,0.5112474437627885
2021-10-25 00:46:40,9.8,9.83,9.86,9.8,377556,0.3061224489795853
2021-10-26 00:46:40,9.82,9.83,9.845,9.81,72071,0.1018329938900182
2021-10-27 00:46:40,9.81,9.82,9.84,9.81,34146,0.10193679918450342
2021-10-28 00:46:40,9.875,9.86,9.9,9.83,138378,-0.15189873417722097
2021-10-29 00:46:40,9.86,9.85,9.86,9.82,47425,-0.10141987829614389
2021-11-01 00:46:40,9.82,9.83,9.85,9.8101,68309,0.1018329938900182
2021-11-02 00:46:40,9.85,9.83,9.85,9.83,21473,-0.20304568527918349
