Datetime,Open,Close,High,Low,Volume,Gain%
2003-02-03 00:46:40,43.6,43.42,43.7,42.9,838000,-0.412844036697247
2003-02-04 00:46:40,43.43,41.89,43.43,41.18,755400,-3.54593598894773
2003-02-05 00:46:40,42.35,42.02,42.37,41.73,829000,-0.7792207792207752
2003-02-06 00:46:40,41.9,41.0,41.96,40.61,1077400,-2.147971360381858
2003-02-07 00:46:40,41.2,40.75,41.35,40.45,924600,-1.0922330097087447
2003-02-10 00:46:40,41.0,41.65,41.65,40.76,1028700,1.585365853658533
2003-02-11 00:46:40,41.71,41.11,41.97,41.05,1024700,-1.438503955885882
2003-02-12 00:46:40,41.17,41.0,41.56,40.96,529100,-0.4129220306048134
2003-02-13 00:46:40,41.0,41.15,41.32,40.76,1204300,0.3658536585365819
2003-02-14 00:46:40,41.35,41.89,41.92,41.0,1032100,1.305925030229744
2003-02-18 00:46:40,42.04,42.28,43.04,42.02,577200,0.5708848715509087
2003-02-19 00:46:40,42.1,41.86,42.11,41.6,449300,-0.5700712589073681
2003-02-20 00:46:40,41.87,41.51,42.1,41.32,519300,-0.8598041557200847
2003-02-21 00:46:40,41.51,41.47,41.67,40.84,1115100,-0.09636232233196615
2003-02-24 00:46:40,41.25,39.98,41.25,39.42,1574400,-3.078787878787886
2003-02-25 00:46:40,39.98,39.88,40.07,39.01,1692500,-0.25012506253125144
2003-02-26 00:46:40,39.68,38.81,39.69,38.5,1252900,-2.192540322580639
2003-02-27 00:46:40,39.02,39.6,39.88,38.4,896900,1.4864172219374634
2003-02-28 00:46:40,39.57,39.46,40.07,39.21,993600,-0.27798837503158813
2003-03-03 00:46:40,40.08,39.34,40.1,39.32,657900,-1.8463073852295282
2003-03-04 00:46:40,39.34,37.55,39.4,36.21,4757700,-4.550076258261327
2003-03-05 00:46:40,37.43,38.3,38.57,37.36,1221000,2.3243387656959587
2003-03-06 00:46:40,38.05,38.0,38.46,37.7,793500,-0.13140604467804773
2003-03-07 00:46:40,37.25,38.36,38.69,37.05,1023700,2.9798657718120793
2003-03-10 00:46:40,38.25,37.0,38.3,36.87,1516600,-3.2679738562091507
2003-03-11 00:46:40,37.0,36.5,37.35,36.5,1452600,-1.3513513513513513
2003-03-12 00:46:40,36.5,35.8,36.78,35.3,1859400,-1.9178082191780899
2003-03-13 00:46:40,35.9,36.87,37.1,35.85,2147300,2.701949860724231
2003-03-14 00:46:40,37.0,37.0,37.49,36.65,1073400,0.0
2003-03-17 00:46:40,37.0,38.77,38.99,36.7,1568400,4.783783783783792
2003-03-18 00:46:40,38.85,39.15,39.55,38.75,1043300,0.7722007722007649
2003-03-19 00:46:40,39.11,39.81,39.81,39.02,769900,1.7898235745333748
2003-03-20 00:46:40,39.6,39.58,39.88,38.7,921000,-0.0505050505050584
2003-03-21 00:46:40,40.42,41.2,41.33,39.52,1350100,1.9297377535873357
2003-03-24 00:46:40,41.2,40.0,41.2,39.67,1273500,-2.9126213592233077
2003-03-25 00:46:40,39.9,40.08,40.63,39.7,980200,0.4511278195488715
2003-03-26 00:46:40,40.11,40.17,40.45,39.71,620800,0.1495886312640296
2003-03-27 00:46:40,40.17,40.53,40.92,39.44,879700,0.8961911874533219
2003-03-28 00:46:40,40.54,39.98,41.26,39.69,793500,-1.3813517513566904
2003-03-31 00:46:40,39.5,39.27,39.96,38.82,792700,-0.5822784810126503
2003-04-01 00:46:40,39.42,39.71,40.07,38.99,914500,0.7356671740233361
2003-04-02 00:46:40,40.75,41.36,41.59,40.28,861700,1.496932515337422
