Datetime,Open,Close,High,Low,Volume,Gain%
2003-02-03 00:46:40,15.72,15.68,15.74,15.62,41500,-0.2544529262086573
2003-02-04 00:46:40,15.73,15.74,15.78,15.68,31900,0.06357279084551676
2003-02-05 00:46:40,15.78,15.72,15.78,15.72,43100,-0.3802281368821212
2003-02-06 00:46:40,15.78,15.72,15.79,15.7,29800,-0.3802281368821212
2003-02-07 00:46:40,15.7,15.74,15.75,15.64,14100,0.25477707006370015
2003-02-10 00:46:40,15.75,15.74,15.76,15.71,35700,-0.06349206349206214
2003-02-11 00:46:40,15.74,15.75,15.8,15.69,95700,0.06353240152477628
2003-02-12 00:46:40,15.72,15.64,15.72,15.54,22100,-0.5089058524173032
2003-02-13 00:46:40,15.61,15.59,15.68,15.51,27100,-0.1281229980781523
2003-02-14 00:46:40,15.52,15.58,15.64,15.51,28900,0.38659793814433313
2003-02-18 00:46:40,15.62,15.48,15.62,15.4,37100,-0.8962868117797618
2003-02-19 00:46:40,15.52,15.62,15.62,15.47,14400,0.6443298969072142
2003-02-20 00:46:40,15.63,15.62,15.65,15.58,16200,-0.06397952655151351
2003-02-21 00:46:40,15.61,15.6,15.65,15.59,18500,-0.06406149903907615
2003-02-24 00:46:40,15.6,15.69,15.71,15.53,72800,0.576923076923076
2003-02-25 00:46:40,15.7,15.69,15.72,15.68,27900,-0.0636942675159222
2003-02-26 00:46:40,15.72,15.69,15.75,15.66,43800,-0.19083969465649578
2003-02-27 00:46:40,15.75,15.75,15.77,15.66,19300,0.0
2003-02-28 00:46:40,15.77,15.73,15.77,15.73,17800,-0.2536461636017701
2003-03-03 00:46:40,15.76,15.72,15.76,15.69,31500,-0.25380710659897937
2003-03-04 00:46:40,15.7,15.77,15.81,15.7,70400,0.44585987261146676
2003-03-05 00:46:40,15.81,15.73,15.85,15.72,26700,-0.5060088551549656
2003-03-06 00:46:40,15.78,15.81,15.81,15.7,30100,0.19011406844107187
2003-03-07 00:46:40,15.85,15.83,15.88,15.76,16100,-0.12618296529968187
2003-03-10 00:46:40,15.84,15.95,15.95,15.84,35800,0.6944444444444409
2003-03-11 00:46:40,15.97,15.93,15.99,15.93,18900,-0.2504696305573007
2003-03-12 00:46:40,15.9,15.86,15.93,15.84,17700,-0.25157232704403093
2003-03-13 00:46:40,15.86,15.89,15.92,15.8,39100,0.18915510718790124
2003-03-14 00:46:40,15.85,15.91,15.91,15.83,12100,0.37854889589905677
2003-03-17 00:46:40,15.92,15.8,15.92,15.8,50800,-0.7537688442211007
2003-03-18 00:46:40,15.75,15.83,15.87,15.73,20300,0.5079365079365084
2003-03-19 00:46:40,15.84,15.8,15.85,15.71,19800,-0.2525252525252471
2003-03-20 00:46:40,15.89,15.66,15.89,15.65,14600,-1.4474512271869127
2003-03-21 00:46:40,15.72,15.52,15.72,15.51,24600,-1.2722646310432637
2003-03-24 00:46:40,15.52,15.55,15.62,15.51,18300,0.19329896907217228
2003-03-25 00:46:40,15.54,15.6,15.68,15.54,31100,0.3861003861003893
2003-03-26 00:46:40,15.67,15.7,15.77,15.64,17100,0.19144862795149561
2003-03-27 00:46:40,15.75,15.77,15.77,15.7,14900,0.12698412698412428
2003-03-28 00:46:40,15.75,15.78,15.82,15.75,39600,0.1904761904761864
2003-03-31 00:46:40,15.85,15.77,15.9,15.77,20700,-0.5047318611987386
2003-04-01 00:46:40,15.85,15.87,15.92,15.84,48900,0.12618296529968187
2003-04-02 00:46:40,15.86,15.87,15.9,15.85,31000,0.06305170239596335
2003-04-03 00:46:40,15.88,15.85,15.89,15.85,41900,-0.18891687657431447
2003-04-04 00:46:40,15.83,15.8,15.86,15.8,24800,-0.18951358180669212
2003-04-07 00:46:40,15.85,15.82,15.86,15.74,49700,-0.18927444794952278
2003-04-08 00:46:40,15.85,15.8,15.85,15.8,17300,-0.3154574132492046
2003-04-09 00:46:40,15.8,15.92,15.94,15.8,10200,0.759493670886071
2003-04-10 00:46:40,15.95,15.96,15.96,15.88,24700,0.06269592476490009
2003-04-11 00:46:40,15.94,15.88,15.95,15.85,44700,-0.37641154328731946
2003-04-14 00:46:40,15.86,15.78,15.88,15.78,18200,-0.504413619167718
2003-04-15 00:46:40,15.77,15.79,15.82,15.75,16600,0.12682308180088506
2003-04-16 00:46:40,15.75,15.8,15.86,15.75,10500,0.317460317460322
2003-04-17 00:46:40,15.8,15.89,15.96,15.8,35300,0.569620253164556
2003-04-21 00:46:40,15.95,15.88,15.95,15.85,23400,-0.4388714733542226
2003-04-22 00:46:40,15.94,15.86,15.94,15.8,28000,-0.5018820577164371
2003-04-23 00:46:40,15.88,15.9,15.94,15.88,11500,0.12594458438286885
2003-04-24 00:46:40,15.91,15.93,15.95,15.87,51000,0.1257071024512858
2003-04-25 00:46:40,15.94,15.96,15.96,15.84,46300,0.12547051442911764
2003-04-28 00:46:40,15.96,16.0,16.0,15.93,45200,0.25062656641603476
2003-04-29 00:46:40,16.03,16.06,16.1,16.0,28000,0.1871490954460236
2003-04-30 00:46:40,16.11,16.16,16.16,16.1,28700,0.3103662321539461
2003-05-01 00:46:40,16.17,16.15,16.19,16.12,33800,-0.1236858379715716
2003-05-02 00:46:40,16.15,16.11,16.17,16.11,30600,-0.24767801857584612
2003-05-05 00:46:40,16.15,16.18,16.2,16.11,29400,0.1857585139318956
2003-05-06 00:46:40,16.19,16.19,16.2,16.14,40300,0.0
2003-05-07 00:46:40,16.2,16.2,16.23,16.16,35400,0.0
2003-05-08 00:46:40,16.18,16.22,16.25,16.14,32600,0.24721878862793045
2003-05-09 00:46:40,16.26,16.3,16.3,16.23,24300,0.24600246002459497
2003-05-12 00:46:40,16.31,16.36,16.36,16.24,23300,0.30656039239730665
2003-05-13 00:46:40,16.23,16.25,16.29,16.23,41100,0.12322858903265294
2003-05-14 00:46:40,16.29,16.27,16.35,16.26,29400,-0.12277470841006491
2003-05-15 00:46:40,16.27,16.39,16.39,16.27,22500,0.7375537799631284
2003-05-16 00:46:40,16.36,16.42,16.42,16.36,18900,0.3667481662591826
2003-05-19 00:46:40,16.39,16.5,16.55,16.39,21100,0.6711409395973119
2003-05-20 00:46:40,16.55,16.6,16.6,16.46,44000,0.30211480362538196
2003-05-21 00:46:40,16.6,16.53,16.62,16.53,65800,-0.42168674698795344
2003-05-22 00:46:40,16.58,16.6,16.66,16.55,21400,0.1206272617611769
2003-05-23 00:46:40,16.6,16.66,16.66,16.55,24900,0.36144578313252235
2003-05-27 00:46:40,16.65,16.68,16.69,16.65,16900,0.180180180180187
2003-05-28 00:46:40,16.71,16.68,16.71,16.65,36100,-0.17953321364453104
2003-05-29 00:46:40,16.69,16.72,16.72,16.61,41100,0.17974835230675604
2003-05-30 00:46:40,16.73,16.73,16.74,16.7,61400,0.0
