Datetime,Open,Close,High,Low,Volume,Gain%
2020-01-29 00:46:40,6.63,9.59,10.61,6.51,3388157,44.645550527903474
2020-01-30 00:46:40,9.0,7.01,9.4,6.62,938808,-22.111111111111114
2020-01-31 00:46:40,6.98,6.52,7.3,6.1,402061,-6.590257879656172
2020-02-03 00:46:40,7.15,7.25,7.7,6.7,341060,1.3986013986013937
2020-02-04 00:46:40,7.18,6.12,7.18,6.12,265678,-14.763231197771583
2020-02-05 00:46:40,6.42,6.02,6.55,5.67,334594,-6.2305295950155815
2020-02-06 00:46:40,6.06,6.16,6.67,6.05,76407,1.650165016501659
2020-02-07 00:46:40,6.15,5.59,6.15,5.5702,104395,-9.105691056910576
2020-02-10 00:46:40,5.58,5.25,5.7799,5.25,74497,-5.913978494623657
2020-02-11 00:46:40,5.25,5.22,5.45,5.0,95127,-0.5714285714285762
2020-02-12 00:46:40,5.17,5.65,6.0,5.17,112037,9.284332688588016
2020-02-13 00:46:40,5.88,6.2,7.35,5.4239,672375,5.442176870748304
2020-02-14 00:46:40,6.16,6.75,6.8284,6.0,156432,9.577922077922075
2020-02-18 00:46:40,6.66,6.09,6.66,5.5,117262,-8.558558558558563
2020-02-19 00:46:40,6.0,5.87,6.1198,5.76,43841,-2.166666666666665
2020-02-20 00:46:40,5.98,6.0,6.2397,5.61,123311,0.3344481605351099
2020-02-21 00:46:40,5.94,5.76,6.01,5.75,33578,-3.03030303030304
2020-02-24 00:46:40,5.51,5.38,5.72,5.12,65620,-2.3593466424682377
2020-02-25 00:46:40,5.37,5.42,5.6184,5.3,27210,0.9310986964618215
2020-02-26 00:46:40,5.4985,4.79,5.8817,4.73,80446,-12.885332363371827
2020-02-27 00:46:40,4.51,4.98,5.29,4.51,72489,10.421286031042143
2020-02-28 00:46:40,4.98,4.85,4.98,4.5,62306,-2.6104417670682887
2020-03-02 00:46:40,4.75,5.17,5.28,4.75,39287,8.842105263157892
2020-03-03 00:46:40,5.25,5.44,5.49,4.817,50549,3.6190476190476266
2020-03-04 00:46:40,5.435,5.03,5.435,4.8,24654,-7.451701931922712
2020-03-05 00:46:40,5.09,5.09,5.09,4.8,40124,0.0
2020-03-06 00:46:40,4.95,4.72,4.97,4.67,32129,-4.646464646464655
2020-03-09 00:46:40,4.55,4.39,4.68,4.11,73377,-3.51648351648352
2020-03-10 00:46:40,4.2827,4.3551,4.3551,4.03,2570,1.6905223340416096
2020-03-11 00:46:40,4.4,4.2,4.4,4.05,25472,-4.545454545454549
2020-03-12 00:46:40,4.04,3.57,4.04,3.54,32296,-11.633663366336638
2020-03-13 00:46:40,3.5,3.99,3.99,3.48,28346,14.000000000000007
2020-03-16 00:46:40,3.5,3.314,3.75,3.1637,44509,-5.314285714285712
2020-03-17 00:46:40,3.59,3.2,3.6,3.11,14813,-10.863509749303613
2020-03-18 00:46:40,3.0191,2.86,3.11,2.86,17164,-5.269782385479117
2020-03-19 00:46:40,2.7661,2.66,2.97,2.66,32538,-3.835725389537603
2020-03-20 00:46:40,2.66,2.8,3.0,2.5,29896,5.26315789473683
2020-03-23 00:46:40,2.85,2.75,2.85,2.418,17330,-3.5087719298245648
2020-03-24 00:46:40,2.89,3.41,3.64,2.8,41248,17.99307958477509
2020-03-25 00:46:40,3.64,3.55,3.85,3.41,13793,-2.4725274725274806
2020-03-26 00:46:40,3.66,3.63,3.82,3.55,6906,-0.8196721311475478
2020-03-27 00:46:40,3.63,3.55,3.705,3.55,3047,-2.203856749311297
2020-03-30 00:46:40,3.2102,3.44,3.44,3.2102,7244,7.158432496417669
2020-03-31 00:46:40,3.27,3.0,3.37,2.8,10802,-8.256880733944955
2020-04-01 00:46:40,2.75,3.19,3.2,2.6501,13411,15.999999999999998
2020-04-02 00:46:40,3.22,2.5,3.22,2.5,3472,-22.360248447204974
2020-04-03 00:46:40,3.07,3.07,3.3354,2.67,27253,0.0
2020-04-06 00:46:40,3.25,2.82,3.7,2.82,33408,-13.230769230769235
2020-04-07 00:46:40,3.05,2.95,3.2,2.83,7179,-3.2786885245901525
2020-04-08 00:46:40,3.375,3.13,3.375,3.0,2367,-7.259259259259262
2020-04-09 00:46:40,3.49,3.13,3.58,2.9,26176,-10.315186246418346
2020-04-13 00:46:40,3.1,2.93,3.12,2.93,5767,-5.483870967741932
2020-04-14 00:46:40,3.27,3.1,3.3,3.08,22042,-5.1987767584097835
2020-04-15 00:46:40,3.21,3.8,4.0,3.2,58683,18.380062305295947
2020-04-16 00:46:40,3.87,3.7,4.06,3.7,55680,-4.392764857881136
2020-04-17 00:46:40,4.11,3.8,4.11,3.65,19835,-7.542579075425802
2020-04-20 00:46:40,3.56,3.75,3.91,3.56,25565,5.337078651685392
2020-04-21 00:46:40,3.8,3.8,3.9,3.6,17228,0.0
2020-04-22 00:46:40,3.83,3.88,4.0,3.79,30467,1.305483028720622
2020-04-23 00:46:40,4.26,3.89,4.69,3.725,219047,-8.685446009389663
2020-04-24 00:46:40,3.79,3.89,3.89,3.75,19059,2.6385224274406354
2020-04-27 00:46:40,4.28,3.92,4.28,3.85,31195,-8.411214953271035
2020-04-28 00:46:40,3.95,3.8,4.0,3.7,18814,-3.797468354430389
2020-04-29 00:46:40,3.86,3.655,3.8737,3.33,20283,-5.310880829015546
2020-04-30 00:46:40,3.7499,3.85,3.85,3.69,36877,2.6694045174538066
2020-05-01 00:46:40,3.39,3.7,3.9,3.39,22986,9.144542772861358
2020-05-04 00:46:40,3.34,3.65,3.66,3.34,8085,9.281437125748505
2020-05-05 00:46:40,3.49,3.62,3.71,3.49,9144,3.724928366762174
2020-05-06 00:46:40,3.6801,3.67,3.6801,3.49,2401,-0.27444906388413354
2020-05-07 00:46:40,3.665,3.56,3.87,3.56,23913,-2.86493860845839
2020-05-08 00:46:40,3.635,3.54,3.66,3.5,6621,-2.6134800550206263
2020-05-11 00:46:40,3.67,3.65,3.75,3.54,34568,-0.5449591280653956
2020-05-12 00:46:40,3.64,3.61,3.64,3.585,1075,-0.824175824175831
2020-05-13 00:46:40,3.79,3.62,3.79,3.5003,8942,-4.4854881266490745
2020-05-14 00:46:40,3.37,3.45,3.46,3.36,8796,2.373887240356085
2020-05-15 00:46:40,3.45,3.57,3.57,3.4,8220,3.4782608695652075
2020-05-18 00:46:40,4.0,4.82,4.92,3.93,375033,20.500000000000007
2020-05-19 00:46:40,4.96,4.75,5.02,4.31,94641,-4.233870967741934
2020-05-20 00:46:40,4.75,4.51,4.75,4.01,39083,-5.0526315789473735
2020-05-21 00:46:40,4.4756,4.56,4.7499,4.36,16743,1.8857806774510588
2020-05-22 00:46:40,4.7,4.61,4.7,4.55,5040,-1.9148936170212734
2020-05-26 00:46:40,4.75,4.46,4.75,4.19,5428,-6.105263157894738
2020-05-27 00:46:40,4.8,4.81,5.58,4.27,276832,0.2083333333333289
2020-05-28 00:46:40,4.75,4.4,4.75,4.3105,38869,-7.368421052631572
2020-05-29 00:46:40,4.3233,4.4399,4.6,4.21,10699,2.6970138551569414
2020-06-01 00:46:40,4.74,4.41,4.74,4.3,21853,-6.962025316455697
2020-06-02 00:46:40,4.74,4.4779,4.79,4.3635,36849,-5.529535864978907
2020-06-03 00:46:40,4.59,4.44,4.59,4.26,39017,-3.2679738562091387
2020-06-04 00:46:40,4.31,4.4501,4.58,4.31,5856,3.2505800464037207
2020-06-05 00:46:40,4.5014,5.32,5.4,4.4,89748,18.185453414493267
2020-06-08 00:46:40,5.45,5.48,5.7285,5.3001,85982,0.5504587155963349
2020-06-09 00:46:40,4.94,5.35,5.35,4.86,22603,8.299595141700388
2020-06-10 00:46:40,5.0,4.9,5.285,4.6,51192,-1.9999999999999927
2020-06-11 00:46:40,4.4,4.43,4.7299,4.4,10026,0.6818181818181672
2020-06-12 00:46:40,4.6322,4.5,4.6322,3.83,29429,-2.8539354950131703
2020-06-15 00:46:40,4.3449,4.47,4.59,4.305,14413,2.879237726990259
2020-06-16 00:46:40,5.01,5.64,6.14,4.57,2024228,12.574850299401197
2020-06-17 00:46:40,5.15,5.0,5.55,4.9,116268,-2.9126213592233077
2020-06-18 00:46:40,5.49,5.31,5.59,5.16,93955,-3.2786885245901747
2020-06-19 00:46:40,5.14,4.8,5.615,4.8,94920,-6.614785992217896
2020-06-22 00:46:40,5.0,4.95,5.3,4.82,35626,-0.9999999999999963
2020-06-23 00:46:40,4.91,5.11,5.3,4.91,35917,4.073319755600818
2020-06-24 00:46:40,5.065,5.04,5.065,4.61,74191,-0.49358341559724295
2020-06-25 00:46:40,4.98,4.89,5.04,4.89,11120,-1.8072289156626655
2020-06-26 00:46:40,4.83,4.68,5.17,4.68,19774,-3.1055900621118084
2020-06-29 00:46:40,4.64,4.7,4.8699,4.6,47583,1.2931034482758728
2020-06-30 00:46:40,4.9,4.35,4.9,4.2366,36199,-11.224489795918382
2020-07-01 00:46:40,4.4,4.39,4.5699,4.3,9810,-0.22727272727274261
2020-07-02 00:46:40,4.37,4.3,4.45,4.15,25322,-1.601830663615567
2020-07-06 00:46:40,4.01,3.84,4.3176,3.84,55279,-4.23940149625935
2020-07-07 00:46:40,9.15,6.78,10.25,6.67,47607825,-25.901639344262296
2020-07-08 00:46:40,6.3,6.73,6.8,5.81,1163550,6.825396825396836
2020-07-09 00:46:40,6.4,5.83,6.48,5.65,398616,-8.906250000000004
2020-07-10 00:46:40,5.57,6.04,6.11,5.36,309661,8.438061041292634
2020-07-13 00:46:40,5.94,5.52,5.9799,5.5,192143,-7.070707070707084
2020-07-14 00:46:40,5.42,5.71,5.71,5.14,150073,5.350553505535056
2020-07-15 00:46:40,5.68,5.94,6.16,5.59,122600,4.5774647887324065
2020-07-16 00:46:40,5.99,6.05,6.05,5.52,52109,1.0016694490817963
