Datetime,Open,Close,High,Low,Volume,Gain%
2013-12-09 00:46:40,21.32,22.88,23.14,18.2,1638,7.317073170731701
2013-12-10 00:46:40,22.88,22.75,23.14,21.32,761,-0.5681818181818139
2013-12-11 00:46:40,22.1,19.5,22.75,19.5,3422,-11.764705882352947
2013-12-12 00:46:40,19.825,19.5,20.67,18.265,2795,-1.6393442622950787
2013-12-13 00:46:40,19.24,16.77,19.24,16.25,3514,-12.837837837837832
2013-12-16 00:46:40,17.55,21.45,22.62,17.55,12399,22.222222222222214
2013-12-17 00:46:40,21.06,22.1,22.36,20.8,1563,4.938271604938285
2013-12-18 00:46:40,22.1,21.84,22.1,21.84,607,-1.176470588235301
2013-12-19 00:46:40,20.28,22.62,22.75,20.28,3612,11.538461538461538
2013-12-20 00:46:40,22.62,22.1,22.88,22.1,1664,-2.2988505747126418
2013-12-23 00:46:40,22.1,21.71,22.1,21.06,1853,-1.7647058823529436
2013-12-24 00:46:40,21.71,20.8,21.71,16.51,5235,-4.1916167664670665
2013-12-26 00:46:40,21.19,20.28,21.97,19.5,2118,-4.294478527607362
2013-12-27 00:46:40,19.89,19.63,21.71,19.5,1744,-1.307189542483668
2013-12-30 00:46:40,20.02,20.15,20.15,19.89,777,0.6493506493506443
2013-12-31 00:46:40,20.15,21.45,21.58,19.89,1318,6.4516129032258105
2014-01-02 00:46:40,21.32,21.84,22.49,21.19,1557,2.4390243902439006
2014-01-03 00:46:40,22.49,22.88,23.01,22.1,6332,1.7341040462427773
2014-01-06 00:46:40,22.88,22.23,22.88,22.1,956,-2.840909090909085
2014-01-07 00:46:40,22.1,21.97,22.62,21.45,465,-0.5882352941176586
2014-01-08 00:46:40,22.1,21.84,22.62,21.45,1423,-1.176470588235301
2014-01-09 00:46:40,21.645,22.23,22.62,21.45,1203,2.7027027027027066
2014-01-10 00:46:40,21.905,22.1,22.23,21.84,480,0.8902077151335324
2014-01-13 00:46:40,21.97,21.97,22.1,21.775,4072,0.0
2014-01-14 00:46:40,22.1,22.1,22.23,21.905,1386,0.0
2014-01-15 00:46:40,21.32,21.32,21.45,20.15,2623,0.0
2014-01-16 00:46:40,21.255,20.15,21.255,20.15,2531,-5.198776758409788
2014-01-17 00:46:40,20.15,20.28,20.28,20.02,3702,0.6451612903225934
2014-01-21 00:46:40,20.28,20.41,20.41,20.15,3553,0.6410256410256361
2014-01-22 00:46:40,20.54,20.15,21.84,20.15,5688,-1.8987341772151927
2014-01-23 00:46:40,20.475,20.67,21.45,20.15,2496,0.9523809523809537
2014-01-24 00:46:40,20.41,20.41,20.41,20.28,2010,0.0
2014-01-27 00:46:40,20.8,20.28,21.32,19.76,1653,-2.499999999999998
