Datetime,Open,Close,High,Low,Volume,Gain%
2006-03-01 00:46:40,0.003,0.004,0.004,0.003,167200,33.33333333333333
2006-03-02 00:46:40,0.003,0.0039,0.004,0.0025,730660,29.999999999999993
2006-03-03 00:46:40,0.004,0.004,0.004,0.0025,27269,0.0
2006-03-06 00:46:40,0.004,0.004,0.004,0.004,70000,0.0
2006-03-07 00:46:40,0.0032,0.0044,0.0045,0.0025,1862965,37.5
2006-03-08 00:46:40,0.0045,0.005,0.005,0.0045,1206433,11.111111111111121
2006-03-09 00:46:40,0.004,0.005,0.005,0.004,36305,25.0
2006-03-10 00:46:40,0.0055,0.0055,0.0055,0.0055,25000,0.0
2006-03-13 00:46:40,0.0055,0.0055,0.0055,0.003,618063,0.0
2006-03-15 00:46:40,0.0055,0.0055,0.0055,0.004,154050,0.0
2006-03-16 00:46:40,0.005,0.003,0.0055,0.0025,658317,-40.0
2006-03-17 00:46:40,0.0055,0.003,0.0055,0.0025,601255,-45.454545454545446
2006-03-20 00:46:40,0.005,0.005,0.005,0.0025,55550,0.0
2006-03-21 00:46:40,0.003,0.005,0.005,0.0025,372295,66.66666666666666
2006-03-22 00:46:40,0.0038,0.003,0.005,0.0025,190800,-21.052631578947366
2006-03-23 00:46:40,0.005,0.003,0.005,0.003,11408,-40.0
2006-03-24 00:46:40,0.003,0.0049,0.005,0.0025,570800,63.33333333333332
2006-03-27 00:46:40,0.005,0.0035,0.005,0.003,989240,-30.0
2006-03-28 00:46:40,0.004,0.003,0.004,0.003,881804,-25.0
2006-03-29 00:46:40,0.0035,0.004,0.004,0.003,1320828,14.285714285714285
2006-03-30 00:46:40,0.0038,0.003,0.005,0.0025,1336973,-21.052631578947366
2006-03-31 00:46:40,0.0035,0.003,0.0035,0.003,2041840,-14.285714285714285
2006-04-03 00:46:40,0.0025,0.003,0.0035,0.0025,130692,20.0
2006-04-04 00:46:40,0.005,0.004,0.005,0.0025,1997389,-20.0
2006-04-05 00:46:40,0.0025,0.003,0.004,0.002,155080,20.0
