Datetime,Open,Close,High,Low,Volume,Gain%
2012-05-21 00:46:40,30.0,30.0,32.0,29.6,1382,0.0
2012-05-22 00:46:40,40.0,30.0,40.0,29.96,599,-25.0
2012-05-23 00:46:40,30.0,30.0,32.0,30.0,808,0.0
2012-05-24 00:46:40,30.4,30.0,31.2,30.0,312,-1.315789473684206
2012-05-25 00:46:40,31.6,30.0,31.6,30.0,191,-5.06329113924051
2012-05-29 00:46:40,39.2,39.6,39.6,38.8,103,1.0204081632653024
2012-05-30 00:46:40,39.2,42.0,42.0,39.2,62,7.142857142857135
2012-05-31 00:46:40,42.4,40.0,42.4,40.0,407,-5.660377358490563
2012-06-01 00:46:40,38.8,48.0,48.0,38.8,573,23.71134020618558
2012-06-04 00:46:40,47.2,44.0,47.2,44.0,229,-6.7796610169491585
2012-06-05 00:46:40,44.0,44.0,44.0,43.2,539,0.0
2012-06-06 00:46:40,57.6,54.0,60.0,54.0,1159,-6.250000000000003
2012-06-07 00:46:40,54.4,52.0,61.6,52.0,250,-4.411764705882351
2012-06-08 00:46:40,54.0,55.0,60.0,54.0,395,1.8518518518518516
2012-06-11 00:46:40,58.0,46.0,58.0,46.0,477,-20.689655172413794
2012-06-12 00:46:40,48.4,49.6,49.6,48.0,271,2.4793388429752126
2012-06-13 00:46:40,44.0,44.0,58.0,44.0,712,0.0
2012-06-14 00:46:40,40.0,38.0,40.0,36.0,812,-5.0
2012-06-15 00:46:40,44.0,43.6,44.0,40.0,178,-0.909090909090906
2012-06-19 00:46:40,30.0,30.0,30.0,30.0,33,0.0
2012-06-20 00:46:40,60.0,46.8,60.0,42.0,1241,-22.000000000000007
2012-06-21 00:46:40,59.6,46.4,61.6,46.4,594,-22.147651006711413
2012-06-22 00:46:40,52.4,54.4,55.6,50.4,430,3.816793893129771
2012-06-25 00:46:40,50.0,53.6,54.0,50.0,276,7.200000000000002
2012-06-26 00:46:40,50.0,50.8,54.0,50.0,154,1.5999999999999945
2012-06-27 00:46:40,54.0,57.2,57.2,54.0,909,5.925925925925931
2012-06-28 00:46:40,60.4,70.0,74.0,56.4,1438,15.89403973509934
2012-06-29 00:46:40,76.0,92.0,120.0,72.0,2467,21.052631578947366
2012-07-02 00:46:40,94.0,100.4,120.0,92.0,2598,6.808510638297878
2012-07-03 00:46:40,118.0,142.4,200.0,100.0,2887,20.67796610169492
2012-07-05 00:46:40,160.0,178.0,188.0,144.4,3849,11.25
2012-07-06 00:46:40,182.4,136.0,182.4,130.4,3959,-25.438596491228072
2012-07-09 00:46:40,122.0,156.0,169.6,122.0,2107,27.86885245901639
2012-07-10 00:46:40,148.0,160.0,162.0,148.0,3790,8.108108108108109
2012-07-11 00:46:40,159.6,146.0,160.0,140.0,1539,-8.52130325814536
2012-07-12 00:46:40,146.0,136.0,146.0,126.4,1007,-6.8493150684931505
2012-07-13 00:46:40,140.0,140.0,140.0,126.0,951,0.0
2012-07-16 00:46:40,139.6,136.0,140.0,130.4,803,-2.5787965616045803
2012-07-17 00:46:40,135.6,127.6,136.0,112.4,1540,-5.899705014749262
2012-07-18 00:46:40,120.4,120.0,127.6,112.0,1012,-0.33222591362126713
2012-07-19 00:46:40,116.0,120.0,124.0,116.0,372,3.4482758620689653
2012-07-20 00:46:40,118.0,118.0,120.0,116.4,350,0.0
2012-07-23 00:46:40,116.0,112.0,116.0,106.0,1153,-3.4482758620689653
2012-07-24 00:46:40,110.0,98.4,110.8,98.4,376,-10.54545454545454
2012-07-25 00:46:40,98.0,84.0,100.0,58.0,1856,-14.285714285714285
2012-07-26 00:46:40,84.0,86.0,96.0,84.0,1188,2.380952380952381
2012-07-27 00:46:40,85.2,88.0,97.6,80.0,1034,3.2863849765258184
2012-07-30 00:46:40,96.0,100.0,106.0,96.0,1228,4.166666666666666
2012-07-31 00:46:40,100.0,100.0,100.0,96.0,91,0.0
2012-08-01 00:46:40,100.0,100.0,100.0,95.6,364,0.0
2012-08-02 00:46:40,100.0,99.8,100.0,90.0,980,-0.20000000000000281
2012-08-03 00:46:40,86.0,92.0,100.0,86.0,244,6.976744186046512
2012-08-06 00:46:40,90.0,90.0,94.0,87.2,456,0.0
2012-08-07 00:46:40,90.0,84.0,90.0,82.4,610,-6.666666666666667
2012-08-08 00:46:40,84.0,88.0,88.0,82.8,586,4.761904761904762
2012-08-09 00:46:40,86.0,92.0,92.8,85.2,1458,6.976744186046512
2012-08-10 00:46:40,91.6,92.0,92.0,88.0,397,0.4366812227074298
2012-08-13 00:46:40,92.0,92.0,92.0,88.0,401,0.0
2012-08-14 00:46:40,92.0,90.0,92.0,89.2,537,-2.1739130434782608
2012-08-15 00:46:40,90.0,98.0,100.0,90.0,1136,8.88888888888889
2012-08-16 00:46:40,98.0,98.8,99.6,92.0,371,0.816326530612242
2012-08-17 00:46:40,98.4,100.0,100.0,92.0,265,1.6260162601625958
2012-08-20 00:46:40,100.0,98.0,100.0,92.0,386,-2.0
2012-08-21 00:46:40,97.2,96.0,98.0,94.0,432,-1.2345679012345707
2012-08-22 00:46:40,99.2,96.0,100.0,96.0,3436,-3.2258064516129057
2012-08-23 00:46:40,96.0,97.2,97.2,95.6,220,1.250000000000003
2012-08-24 00:46:40,98.0,90.4,98.0,90.4,485,-7.755102040816321
2012-08-27 00:46:40,96.0,95.6,98.444,88.4,3545,-0.41666666666667257
2012-08-28 00:46:40,94.0,95.6,95.6,94.0,390,1.7021276595744619
2012-08-29 00:46:40,97.6,96.0,97.6,90.8,970,-1.6393442622950762
2012-08-30 00:46:40,96.0,92.0,96.0,90.0,899,-4.166666666666666
2012-08-31 00:46:40,92.0,90.0,92.0,88.0,399,-2.1739130434782608
2012-09-04 00:46:40,95.6,89.6,96.0,88.0,2895,-6.2761506276150625
2012-09-05 00:46:40,90.0,89.6,90.0,89.6,83,-0.44444444444445075
2012-09-06 00:46:40,89.6,89.2,89.6,84.4,560,-0.44642857142856196
2012-09-07 00:46:40,89.2,89.2,89.2,84.4,755,0.0
2012-09-10 00:46:40,86.0,87.6,89.2,81.2,894,1.860465116279063
2012-09-11 00:46:40,82.4,82.0,87.6,76.0,2091,-0.4854368932038904
2012-09-12 00:46:40,82.0,82.4,84.0,76.4,1154,0.4878048780487874
2012-09-13 00:46:40,82.4,82.2,82.4,78.0,568,-0.2427184466019452
2012-09-14 00:46:40,84.0,90.0,91.6,80.0,1350,7.142857142857142
2012-09-17 00:46:40,91.6,74.0,91.6,74.0,3750,-19.21397379912663
2012-09-18 00:46:40,80.0,80.4,86.8,74.0,1191,0.5000000000000071
2012-09-19 00:46:40,90.8,96.0,98.0,82.4,5282,5.726872246696039
2012-09-20 00:46:40,95.6,94.8,95.6,92.0,532,-0.8368200836820056
2012-09-21 00:46:40,94.8,94.4,94.8,91.2,568,-0.4219409282700332
2012-09-24 00:46:40,92.8,92.0,94.4,92.0,1561,-0.8620689655172384
2012-09-25 00:46:40,91.6,84.4,92.0,80.8,963,-7.860262008733613
2012-09-26 00:46:40,80.4,85.2,85.6,80.0,1140,5.970149253731339
2012-09-27 00:46:40,85.2,81.6,85.2,80.4,908,-4.225352112676066
2012-09-28 00:46:40,80.0,84.8,85.6,80.0,4187,5.9999999999999964
2012-10-01 00:46:40,85.2,90.0,92.4,85.2,2096,5.633802816901405
2012-10-02 00:46:40,94.0,99.2,100.0,91.2,4231,5.531914893617024
2012-10-03 00:46:40,99.6,108.8,120.0,96.8,10189,9.236947791164663
2012-10-04 00:46:40,111.6,110.4,114.0,108.8,5023,-1.075268817204291
2012-10-05 00:46:40,111.2,108.0,111.6,108.0,2491,-2.8776978417266212
2012-10-08 00:46:40,106.0,106.0,108.0,102.4,833,0.0
2012-10-09 00:46:40,107.6,100.0,107.6,92.8,1295,-7.0631970260223
2012-10-10 00:46:40,102.4,102.8,102.8,100.0,2383,0.3906249999999917
2012-10-11 00:46:40,102.8,102.4,104.8,100.4,6067,-0.3891050583657505
2012-10-12 00:46:40,102.0,100.0,102.0,95.6,4265,-1.9607843137254901
2012-10-15 00:46:40,99.6,99.6,103.2,98.8,2276,0.0
2012-10-16 00:46:40,98.8,92.8,98.8,90.4,1801,-6.0728744939271255
2012-10-17 00:46:40,93.6,89.2,93.6,88.0,1470,-4.700854700854692
2012-10-18 00:46:40,89.2,88.8,96.0,84.4,1523,-0.44843049327354895
2012-10-19 00:46:40,86.0,87.6,88.4,85.2,797,1.860465116279063
2012-10-22 00:46:40,86.8,85.2,87.6,84.0,1308,-1.8433179723502238
2012-10-23 00:46:40,85.2,84.0,85.2,84.0,415,-1.4084507042253553
2012-10-24 00:46:40,84.0,84.0,84.8,80.0,767,0.0
2012-10-25 00:46:40,84.0,85.2,85.2,82.8,772,1.428571428571432
2012-10-26 00:46:40,85.2,83.6,85.2,78.0,1591,-1.8779342723004795
2012-10-31 00:46:40,83.6,83.6,83.6,80.0,497,0.0
2012-11-01 00:46:40,83.6,81.6,83.6,80.0,828,-2.3923444976076556
2012-11-02 00:46:40,81.6,80.0,83.6,78.0,1034,-1.9607843137254832
2012-11-05 00:46:40,80.0,78.0,82.0,76.0,778,-2.5
2012-11-06 00:46:40,78.0,77.2,78.0,76.0,1042,-1.025641025641022
2012-11-07 00:46:40,76.4,74.4,77.2,74.4,687,-2.6178010471204183
2012-11-08 00:46:40,77.2,68.0,77.2,68.0,1545,-11.917098445595858
2012-11-09 00:46:40,68.0,64.8,68.0,64.0,2935,-4.70588235294118
2012-11-12 00:46:40,65.2,76.0,81.2,65.2,2946,16.564417177914105
2012-11-13 00:46:40,90.8,73.2,93.2,72.4,2128,-19.383259911894267
2012-11-14 00:46:40,75.6,77.2,80.0,72.4,2689,2.116402116402128
2012-11-15 00:46:40,77.2,75.6,78.0,72.4,517,-2.072538860103638
2012-11-16 00:46:40,73.6,75.2,75.6,62.0,1578,2.1739130434782727
2012-11-19 00:46:40,79.6,74.0,79.6,72.4,380,-7.035175879396978
2012-11-20 00:46:40,74.0,72.0,74.0,70.4,1255,-2.7027027027027026
2012-11-21 00:46:40,72.0,70.0,72.0,70.0,300,-2.7777777777777777
2012-11-23 00:46:40,71.6,75.6,75.6,67.2,1238,5.5865921787709505
2012-11-26 00:46:40,76.0,72.0,76.0,70.4,883,-5.263157894736842
2012-11-27 00:46:40,71.6,68.4,72.0,66.0,7344,-4.469273743016744
2012-11-28 00:46:40,69.2,69.2,70.0,68.0,3732,0.0
2012-11-29 00:46:40,68.4,68.0,74.8,68.0,2344,-0.5847953216374352
2012-11-30 00:46:40,69.2,69.2,69.2,68.4,1583,0.0
2012-12-03 00:46:40,72.0,68.0,74.0,68.0,3812,-5.555555555555555
2012-12-04 00:46:40,68.0,67.2,68.8,66.4,840,-1.17647058823529
2012-12-05 00:46:40,67.2,67.6,69.2,62.4,1872,0.5952380952380826
2012-12-06 00:46:40,67.6,66.4,67.6,63.2,724,-1.7751479289940661
2012-12-07 00:46:40,66.0,64.0,66.4,63.6,1553,-3.0303030303030303
