Datetime,Open,Close,High,Low,Volume,Gain%
2006-11-30 00:46:40,0.0001,0.0001,0.0001,0.0001,100,0.0
2006-12-11 00:46:40,0.0001,0.0001,0.0001,0.0001,700,0.0
2006-12-12 00:46:40,0.0001,0.0001,0.0001,0.0001,700,0.0
2022-04-01 00:46:40,32.36,30.5,33.15,28.595,22998015,-5.747836835599504
2022-04-04 00:46:40,30.12,31.4,33.78,30.12,5199717,4.249667994687907
2022-04-05 00:46:40,30.57,30.0,31.28,30.0,4332966,-1.8645731108930332
2022-04-06 00:46:40,29.89,29.98,30.58,27.2,7015791,0.3011040481766472
2022-04-07 00:46:40,28.78,29.4,30.16,28.6,5450345,2.1542738012508598
2022-04-08 00:46:40,28.9,32.54,34.17,28.3,3501187,12.595155709342562
2022-04-11 00:46:40,31.77,32.42,32.74,30.7,1937516,2.0459553037456786
2022-04-12 00:46:40,32.5,32.11,33.22,30.46,2213448,-1.2000000000000017
2022-04-13 00:46:40,31.68,33.36,33.44,31.0,2132754,5.303030303030303
2022-04-14 00:46:40,33.01,32.83,33.56,32.19,1598893,-0.5452893062708262
2022-04-18 00:46:40,32.36,32.27,32.75,31.69,926582,-0.2781211372064163
2022-04-19 00:46:40,31.99,30.93,32.24,30.42,1038313,-3.3135354798374457
2022-04-20 00:46:40,30.94,31.13,31.64,29.88,964538,0.6140917905623714
2022-04-21 00:46:40,31.06,30.58,31.29,29.3,860620,-1.5453960077269815
2022-04-22 00:46:40,30.46,31.65,31.93,30.0,792141,3.9067629678266504
2022-04-25 00:46:40,31.32,32.44,32.53,30.07,862836,3.5759897828863263
2022-04-26 00:46:40,31.76,31.09,32.75,30.91,1023681,-2.1095717884131036
2022-04-27 00:46:40,30.84,31.65,32.0,30.47,921206,2.6264591439688676
2022-04-28 00:46:40,31.44,30.94,31.75,29.96,846725,-1.5903307888040712
2022-04-29 00:46:40,30.52,30.43,30.86,29.51,958846,-0.29488859764089076
2022-05-02 00:46:40,29.75,31.74,31.76,29.69,1029727,6.689075630252097
2022-05-03 00:46:40,31.34,32.13,32.56,31.1,746945,2.5207402680280877
2022-05-04 00:46:40,31.85,32.44,32.85,31.675,475814,1.8524332810046977
2022-05-05 00:46:40,32.08,31.8,33.24,31.3302,269909,-0.8728179551122119
2022-05-06 00:46:40,31.28,30.06,31.4615,29.87,604854,-3.900255754475711
2022-05-09 00:46:40,29.47,29.03,29.745,28.31,1003335,-1.4930437733288013
2022-05-10 00:46:40,28.74,28.58,29.055,27.5,929936,-0.5567153792623527
2022-05-11 00:46:40,28.19,28.88,30.24,27.75,536857,2.4476764810216305
2022-05-12 00:46:40,28.44,28.88,29.1,27.85,660654,1.5471167369901466
2022-05-13 00:46:40,27.12,26.33,27.68,24.61,2386042,-2.912979351032458
2022-05-16 00:46:40,25.94,25.24,26.89,25.0,1390805,-2.6985350809560633
2022-05-17 00:46:40,25.01,25.84,26.13,24.735,1150216,3.3186725309875977
2022-05-18 00:46:40,25.87,26.67,27.33,25.53,1197545,3.092385001932743
2022-05-19 00:46:40,26.29,27.18,28.32,26.01,667577,3.385317611259036
2022-05-20 00:46:40,27.62,27.75,28.315,27.21,527639,0.4706734250543049
2022-05-23 00:46:40,27.4,26.47,27.73,26.16,514846,-3.394160583941605
2022-05-24 00:46:40,26.01,25.31,26.2,24.42,948994,-2.69127258746637
2022-05-25 00:46:40,24.87,25.65,25.74,24.82,698534,3.1363088057900987
2022-05-26 00:46:40,25.91,26.17,26.32,25.19,656976,1.0034735623311524
2022-05-27 00:46:40,26.17,26.34,26.86,25.41,363627,0.649598777225824
2022-05-31 00:46:40,25.93,24.78,26.26,24.39,973656,-4.43501735441573
2022-06-01 00:46:40,24.75,25.26,25.45,23.84,628728,2.0606060606060668
2022-06-02 00:46:40,25.32,28.32,28.45,25.32,548079,11.848341232227488
2022-06-03 00:46:40,27.83,27.51,29.2,27.43,507315,-1.14983830398849
2022-06-06 00:46:40,28.21,28.21,29.94,27.82,731674,0.0
2022-06-07 00:46:40,28.0,27.75,29.09,27.25,538546,-0.8928571428571428
2022-06-08 00:46:40,27.69,28.0,28.61,27.27,601233,1.1195377392560444
2022-06-09 00:46:40,28.19,27.7,28.88,27.39,430049,-1.7382050372472577
2022-06-10 00:46:40,27.2,27.1,27.96,26.915,476845,-0.3676470588235216
2022-06-13 00:46:40,26.44,26.22,26.915,24.8252,481399,-0.8320726172466052
2022-06-14 00:46:40,26.17,27.51,27.74,25.88,651718,5.120366832250667
2022-06-15 00:46:40,27.27,28.13,28.71,27.27,474526,3.1536486982031513
2022-06-16 00:46:40,27.32,27.52,27.88,26.65,646259,0.7320644216691043
2022-06-17 00:46:40,28.27,28.26,29.96,27.79,1966229,-0.03537318712415285
2022-06-21 00:46:40,27.01,27.0,28.76,26.65,904355,-0.037023324694563355
2022-06-22 00:46:40,26.4,28.39,29.129,26.4,594411,7.537878787878796
2022-06-23 00:46:40,28.31,27.02,28.41,26.94,889211,-4.556693747792297
2022-06-24 00:46:40,26.85,26.87,28.41,26.82,7372727,0.0744878957169444
