Datetime,Open,Close,High,Low,Volume,Gain%
2020-09-25 00:46:40,5.75,5.0,5.75,4.35,459525,-13.043478260869565
2020-09-28 00:46:40,5.0,4.91,5.08,4.9,44251,-1.7999999999999972
2020-09-29 00:46:40,4.94,4.6,4.9419,4.0661,124851,-6.882591093117424
2020-09-30 00:46:40,4.75,4.6,4.98,4.34,26979,-3.157894736842113
2020-10-01 00:46:40,4.7499,4.575,4.79,4.5,6774,-3.682182782795428
2020-10-02 00:46:40,4.5,4.29,4.5,4.25,17312,-4.666666666666666
2020-10-05 00:46:40,4.31,4.28,4.49,4.26,24927,-0.6960556844547416
2020-10-06 00:46:40,4.3409,4.5,4.5,4.27,2250,3.6651385657352065
2020-10-07 00:46:40,4.37,4.4999,4.4999,4.37,3666,2.972540045766593
2020-10-08 00:46:40,4.47,4.8999,4.92,4.47,16221,9.617449664429529
2020-10-09 00:46:40,5.315,5.0,5.315,4.8,11226,-5.926622765757298
2020-10-12 00:46:40,5.0,4.8,5.0,4.755,4168,-4.0000000000000036
2020-10-13 00:46:40,4.5,4.48,4.79,4.365,7855,-0.444444444444435
2020-10-14 00:46:40,4.6303,4.79,4.79,4.4,3697,3.4490205818197515
2020-10-15 00:46:40,4.76,4.43,4.79,4.4001,4936,-6.9327731092436995
2020-10-16 00:46:40,4.5696,4.785,4.785,4.5696,1490,4.713760504201677
2020-10-19 00:46:40,4.54,4.595,4.7899,4.1,13620,1.211453744493386
2020-10-20 00:46:40,4.45,4.745,4.79,4.25,6792,6.629213483146065
2020-10-21 00:46:40,4.33,4.32,4.33,4.25,2949,-0.23094688221708512
2020-10-22 00:46:40,4.31,4.195,4.41,4.172,5399,-2.6682134570765506
2020-10-23 00:46:40,4.01,4.195,4.2,4.01,3095,4.613466334164601
2020-10-26 00:46:40,4.12,4.06,4.12,4.01,4151,-1.4563106796116625
2020-10-27 00:46:40,4.195,4.0612,4.195,4.0,10272,-3.1895113230035737
2020-10-28 00:46:40,4.0,3.85,4.0,3.82,4248,-3.749999999999998
2020-10-29 00:46:40,4.04,3.67,4.09,3.48,6382,-9.15841584158416
2020-10-30 00:46:40,3.75,3.51,3.92,3.51,7256,-6.400000000000006
2020-11-02 00:46:40,3.55,3.51,3.55,3.4172,5711,-1.1267605633802829
2020-11-03 00:46:40,3.49,3.5,3.5,3.365,1919,0.28653295128939216
2020-11-04 00:46:40,3.5,3.69,3.69,3.262,4791,5.428571428571427
2020-11-05 00:46:40,3.69,3.65,3.69,3.65,3833,-1.084010840108402
2020-11-06 00:46:40,3.61,3.885,3.9169,3.43,4478,7.6177285318559536
2020-11-09 00:46:40,4.07,4.19,4.19,3.75,3349,2.948402948402951
2020-11-10 00:46:40,4.23,4.23,4.24,4.23,1796,0.0
2020-11-11 00:46:40,4.2,4.19,4.2,4.1048,911,-0.238095238095233
2020-11-12 00:46:40,4.2,4.05,4.2,3.8,5027,-3.5714285714285796
2020-11-13 00:46:40,3.68,3.475,3.68,3.4001,5602,-5.570652173913046
2020-11-16 00:46:40,3.5973,4.59,4.6,3.5973,38163,27.595696772579426
2020-11-17 00:46:40,4.785,4.16,5.38,4.12,36900,-13.061650992685475
