Datetime,Open,Close,High,Low,Volume,Gain%
2017-08-07 00:46:40,12.5,10.2,13.0,9.4,3231,-18.400000000000006
2017-08-08 00:46:40,9.5,7.8,9.7,7.5,15797,-17.894736842105267
2017-08-09 00:46:40,7.325,7.4,7.5,6.9,5293,1.0238907849829375
2017-08-10 00:46:40,7.4,8.0,8.0,6.95,6074,8.108108108108103
2017-08-11 00:46:40,7.75,7.75,8.5,7.25,7290,0.0
2017-08-14 00:46:40,8.0,7.9425,8.385,7.0,5590,-0.7187500000000013
2017-08-15 00:46:40,8.1,7.0,8.1,7.0,5024,-13.580246913580243
2017-08-16 00:46:40,7.0,6.5,7.6005,6.25,2545,-7.142857142857142
2017-08-17 00:46:40,6.5,7.0,7.0,5.6,7776,7.6923076923076925
2017-08-18 00:46:40,6.3,6.75,6.839,6.1,190,7.142857142857145
2017-08-21 00:46:40,6.05,7.0,7.25,6.05,2600,15.702479338842979
2017-08-22 00:46:40,7.0,6.9,7.0,6.5,3080,-1.4285714285714235
2017-08-23 00:46:40,7.0,6.7,7.0,6.7,380,-4.285714285714283
2017-08-24 00:46:40,6.7,7.0,7.0,6.65,3179,4.477611940298504
2017-08-25 00:46:40,7.0,7.0,7.0,6.25,399,0.0
2017-08-28 00:46:40,6.9,7.1,7.1,6.75,2893,2.898550724637671
2017-08-29 00:46:40,6.65,7.0,7.1,6.3,4842,5.263157894736836
2017-08-30 00:46:40,4.375,1.9,4.75,1.5,102953,-56.57142857142857
2017-08-31 00:46:40,1.925,2.3,2.3,1.35,44918,19.48051948051947
2017-09-01 00:46:40,2.3,1.745,2.3,1.458,40178,-24.130434782608685
2017-09-05 00:46:40,1.5,1.65,1.68865,1.45,13153,9.999999999999993
2017-09-06 00:46:40,1.4005,1.1625,1.61275,1.131,62788,-16.993930739021774
2017-09-07 00:46:40,1.2005,1.5,1.5,1.2005,17162,24.947938359017087
2017-09-08 00:46:40,1.3,1.4155,1.495,1.2875,10904,8.88461538461538
2017-09-11 00:46:40,1.3,1.445,1.45,1.205,10850,11.153846153846155
2017-09-12 00:46:40,1.445,1.325,1.445,1.325,5499,-8.3044982698962
